,Date,PASSENGERS
0,2001-01-01,340729.0
1,2001-02-01,331358.0
2,2001-03-01,409113.0
3,2001-04-01,375406.0
4,2001-05-01,397997.0
5,2001-06-01,395635.0
6,2001-07-01,431262.0
7,2001-08-01,413076.0
8,2001-09-01,242728.0
9,2001-10-01,337661.0
10,2001-11-01,322375.0
11,2001-12-01,321601.0
12,2002-01-01,299448.0
13,2002-02-01,290190.0
14,2002-03-01,368521.0
15,2002-04-01,337437.0
16,2002-05-01,366192.0
17,2002-06-01,366653.0
18,2002-07-01,369745.0
19,2002-08-01,353053.0
20,2002-09-01,291350.0
21,2002-10-01,336456.0
22,2002-11-01,306643.0
23,2002-12-01,330699.0
24,2003-01-01,292761.0
25,2003-02-01,275196.0
26,2003-03-01,333226.0
27,2003-04-01,312648.0
28,2003-05-01,343404.0
29,2003-06-01,352709.0
30,2003-07-01,365742.0
31,2003-08-01,338642.0
32,2003-09-01,301144.0
33,2003-10-01,335307.0
34,2003-11-01,320291.0
35,2003-12-01,330389.0
36,2004-01-01,292618.0
37,2004-02-01,296687.0
38,2004-03-01,380526.0
39,2004-04-01,350612.0
40,2004-05-01,356620.0
41,2004-06-01,376289.0
42,2004-07-01,375576.0
43,2004-08-01,351260.0
44,2004-09-01,313532.0
45,2004-10-01,357536.0
46,2004-11-01,337517.0
47,2004-12-01,342137.0
48,2005-01-01,298941.0
49,2005-02-01,286260.0
50,2005-03-01,369772.0
51,2005-04-01,329368.0
52,2005-05-01,362039.0
53,2005-06-01,372156.0
54,2005-07-01,391981.0
55,2005-08-01,358512.0
56,2005-09-01,285329.0
57,2005-10-01,359496.0
58,2005-11-01,345927.0
59,2005-12-01,345410.0
60,2006-01-01,314877.0
61,2006-02-01,306132.0
62,2006-03-01,376513.0
63,2006-04-01,347401.0
64,2006-05-01,372029.0
65,2006-06-01,383476.0
66,2006-07-01,387169.0
67,2006-08-01,367037.0
68,2006-09-01,323033.0
69,2006-10-01,359175.0
70,2006-11-01,354432.0
71,2006-12-01,356246.0
72,2007-01-01,312625.0
73,2007-02-01,300734.0
74,2007-03-01,385906.0
75,2007-04-01,356197.0
76,2007-05-01,385165.0
77,2007-06-01,410109.0
78,2007-07-01,420598.0
79,2007-08-01,405527.0
80,2007-09-01,329296.0
81,2007-10-01,367897.0
82,2007-11-01,358253.0
83,2007-12-01,359880.0
84,2008-01-01,333199.0
85,2008-02-01,342366.0
86,2008-03-01,406507.0
87,2008-04-01,376833.0
88,2008-05-01,406712.0
89,2008-06-01,428158.0
90,2008-07-01,426864.0
91,2008-08-01,389679.0
92,2008-09-01,238916.0
93,2008-10-01,356799.0
94,2008-11-01,321338.0
95,2008-12-01,347442.0
96,2009-01-01,295632.0
97,2009-02-01,293512.0
98,2009-03-01,370584.0
99,2009-04-01,349202.0
100,2009-05-01,351954.0
101,2009-06-01,384750.0
102,2009-07-01,402865.0
103,2009-08-01,370823.0
104,2009-09-01,326296.0
105,2009-10-01,370550.0
106,2009-11-01,358685.0
107,2009-12-01,356301.0
108,2010-01-01,322022.0
109,2010-02-01,305233.0
110,2010-03-01,388538.0
111,2010-04-01,364623.0
112,2010-05-01,379916.0
113,2010-06-01,411466.0
114,2010-07-01,424682.0
115,2010-08-01,394868.0
116,2010-09-01,342528.0
117,2010-10-01,391365.0
118,2010-11-01,387496.0
119,2010-12-01,394567.0
120,2011-01-01,367603.0
121,2011-02-01,324140.0
122,2011-03-01,421803.0
123,2011-04-01,386978.0
124,2011-05-01,421062.0
125,2011-06-01,438114.0
126,2011-07-01,443825.0
127,2011-08-01,422739.0
128,2011-09-01,386476.0
129,2011-10-01,437473.0
130,2011-11-01,422995.0
131,2011-12-01,425395.0
132,2012-01-01,383648.0
133,2012-02-01,372939.0
134,2012-03-01,439717.0
135,2012-04-01,408515.0
136,2012-05-01,446351.0
137,2012-06-01,473750.0
138,2012-07-01,485719.0
139,2012-08-01,454706.0
140,2012-09-01,397486.0
141,2012-10-01,451387.0
142,2012-11-01,437935.0
143,2012-12-01,433355.0
144,2013-01-01,395137.0
145,2013-02-01,375817.0
146,2013-03-01,468151.0
147,2013-04-01,437932.0
148,2013-05-01,485596.0
149,2013-06-01,490193.0
150,2013-07-01,491126.0
151,2013-08-01,472316.0
152,2013-09-01,427187.0
153,2013-10-01,487966.0
154,2013-11-01,471604.0
155,2013-12-01,515366.0
156,2014-01-01,430865.0
157,2014-02-01,410260.0
158,2014-03-01,509571.0
159,2014-04-01,484765.0
160,2014-05-01,523571.0
161,2014-06-01,548509.0
162,2014-07-01,574719.0
163,2014-08-01,523324.0
164,2014-09-01,464939.0
165,2014-10-01,507713.0
