Date,PASSENGERS
2016-01-01,30393.0
2016-02-01,25408.0
2016-03-01,32761.0
2016-04-01,30519.0
2016-05-01,32308.0
2016-06-01,36029.0
2016-07-01,42351.0
2016-08-01,38820.0
2016-09-01,27820.0
2016-10-01,31042.0
2016-11-01,32164.0
2016-12-01,34613.0
2017-01-01,37573.0
2017-02-01,29343.0
2017-03-01,35719.0
2017-04-01,36354.0
2017-05-01,36162.0
2017-06-01,37740.0
2017-07-01,47328.0
2017-08-01,37182.0
2017-09-01,23338.0
2017-10-01,32189.0
2017-11-01,35948.0
2017-12-01,40330.0
2018-01-01,41115.0
2018-02-01,33482.0
2018-03-01,44531.0
2018-04-01,41175.0
2018-05-01,40937.0
2018-06-01,46869.0
2018-07-01,58694.0
2018-08-01,47437.0
2018-09-01,32455.0
2018-10-01,34439.0
2018-11-01,39179.0
2018-12-01,39196.0
2019-01-01,41488.0
2019-02-01,30679.0
2019-03-01,41432.0
2019-04-01,31723.0
2019-05-01,32590.0
2019-06-01,40251.0
2019-07-01,43067.0
2019-08-01,34653.0
2019-09-01,24219.0
2019-10-01,27469.0
2019-11-01,33691.0
2019-12-01,35817.0
2020-01-01,35608.0
2020-02-01,32121.0
2020-03-01,28365.0
2020-04-01,1.0
2020-05-01,1.0
2020-06-01,1.0
2020-07-01,7545.0
2020-08-01,9957.0
2020-09-01,9938.0
2020-10-01,11787.0
2020-11-01,13885.0
2020-12-01,17292.0
2021-01-01,16304.0
2021-02-01,9513.0
2021-03-01,19692.0
2021-04-01,23981.0
2021-05-01,29802.0
2021-06-01,36999.0
2021-07-01,40475.0
2021-08-01,36804.0
2021-09-01,23283.0
