Date,PASSENGERS
2001-01-01,1163591.0
2001-02-01,1106969.0
2001-03-01,1333412.0
2001-04-01,1268986.0
2001-05-01,1331681.0
2001-06-01,1338916.0
2001-07-01,1429946.0
2001-08-01,1402830.0
2001-09-01,812493.0
2001-10-01,1126365.0
2001-11-01,1154686.0
2001-12-01,1166554.0
2002-01-01,1076593.0
2002-02-01,1039428.0
2002-03-01,1272831.0
2002-04-01,1167300.0
2002-05-01,1247663.0
2002-06-01,1263513.0
2002-07-01,1317589.0
2002-08-01,1267949.0
2002-09-01,1027826.0
2002-10-01,1159497.0
2002-11-01,1119379.0
2002-12-01,1240365.0
2003-01-01,1075965.0
2003-02-01,1017786.0
2003-03-01,1223277.0
2003-04-01,1122328.0
2003-05-01,1192106.0
2003-06-01,1296016.0
2003-07-01,1414268.0
2003-08-01,1279994.0
2003-09-01,1086146.0
2003-10-01,1218775.0
2003-11-01,1181800.0
2003-12-01,1293812.0
2004-01-01,1126754.0
2004-02-01,1085416.0
2004-03-01,1288133.0
2004-04-01,1241870.0
2004-05-01,1250566.0
2004-06-01,1340596.0
2004-07-01,1434484.0
2004-08-01,1323571.0
2004-09-01,1117161.0
2004-10-01,1290575.0
2004-11-01,1264374.0
2004-12-01,1348183.0
2005-01-01,1225978.0
2005-02-01,1165048.0
2005-03-01,1467291.0
2005-04-01,1314118.0
2005-05-01,1408856.0
2005-06-01,1497967.0
2005-07-01,1543519.0
2005-08-01,1450002.0
2005-09-01,1129402.0
2005-10-01,1396834.0
2005-11-01,1372021.0
2005-12-01,1464588.0
2006-01-01,1341963.0
2006-02-01,1280339.0
2006-03-01,1532330.0
2006-04-01,1444036.0
2006-05-01,1510625.0
2006-06-01,1577957.0
2006-07-01,1603242.0
2006-08-01,1512608.0
2006-09-01,1321471.0
2006-10-01,1453055.0
2006-11-01,1457830.0
2006-12-01,1508494.0
2007-01-01,1370626.0
2007-02-01,1310572.0
2007-03-01,1527423.0
2007-04-01,1463168.0
2007-05-01,1501895.0
2007-06-01,1539346.0
2007-07-01,1557786.0
2007-08-01,1543639.0
2007-09-01,1324987.0
2007-10-01,1492820.0
2007-11-01,1447901.0
2007-12-01,1492254.0
2008-01-01,1368160.0
2008-02-01,1336444.0
2008-03-01,1522669.0
2008-04-01,1431111.0
2008-05-01,1523474.0
2008-06-01,1525214.0
2008-07-01,1561978.0
2008-08-01,1506401.0
2008-09-01,1065457.0
2008-10-01,1350590.0
2008-11-01,1267845.0
2008-12-01,1385019.0
2009-01-01,1194814.0
2009-02-01,1130927.0
2009-03-01,1368849.0
2009-04-01,1299420.0
2009-05-01,1371787.0
2009-06-01,1470390.0
2009-07-01,1534384.0
2009-08-01,1449595.0
2009-09-01,1217530.0
2009-10-01,1348833.0
2009-11-01,1290828.0
2009-12-01,1397291.0
2010-01-01,1197904.0
2010-02-01,1137923.0
2010-03-01,1350116.0
2010-04-01,1269549.0
2010-05-01,1371103.0
2010-06-01,1459063.0
2010-07-01,1484404.0
2010-08-01,1427546.0
2010-09-01,1218403.0
2010-10-01,1371866.0
2010-11-01,1306472.0
2010-12-01,1377027.0
2011-01-01,1195771.0
2011-02-01,1052487.0
2011-03-01,1336799.0
2011-04-01,1200814.0
2011-05-01,1385064.0
2011-06-01,1447642.0
2011-07-01,1524055.0
2011-08-01,1428723.0
2011-09-01,1226704.0
2011-10-01,1328342.0
2011-11-01,1302814.0
2011-12-01,1366117.0
2012-01-01,1170648.0
2012-02-01,1145768.0
2012-03-01,1345141.0
2012-04-01,1295373.0
2012-05-01,1375438.0
2012-06-01,1412217.0
2012-07-01,1439195.0
2012-08-01,1382021.0
2012-09-01,1176811.0
2012-10-01,1299522.0
2012-11-01,1268166.0
2012-12-01,1285312.0
2013-01-01,1194694.0
2013-02-01,1123840.0
2013-03-01,1346049.0
2013-04-01,1215762.0
2013-05-01,1337704.0
2013-06-01,1396710.0
2013-07-01,1412341.0
2013-08-01,1348683.0
2013-09-01,1185053.0
2013-10-01,1288564.0
2013-11-01,1242661.0
2013-12-01,1345946.0
2014-01-01,1186656.0
2014-02-01,1140535.0
2014-03-01,1359625.0
2014-04-01,1215548.0
2014-05-01,1355967.0
2014-06-01,1370881.0
2014-07-01,1420603.0
2014-08-01,1372591.0
2014-09-01,1236515.0
2014-10-01,1380345.0
2014-11-01,1314212.0
2014-12-01,1398920.0
2015-01-01,1225366.0
2015-02-01,1167069.0
2015-03-01,1362238.0
2015-04-01,1278038.0
2015-05-01,1398872.0
2015-06-01,1449996.0
2015-07-01,1498130.0
2015-08-01,1388841.0
2015-09-01,1246340.0
2015-10-01,1420616.0
2015-11-01,1375568.0
2015-12-01,1411999.0
2016-01-01,1242737.0
2016-02-01,1179700.0
2016-03-01,1313286.0
2016-04-01,1193468.0
2016-05-01,1330659.0
2016-06-01,1365625.0
2016-07-01,1379268.0
2016-08-01,1297262.0
2016-09-01,1194801.0
2016-10-01,1326644.0
2016-11-01,1262103.0
2016-12-01,1335435.0
2017-01-01,1210738.0
2017-02-01,1117636.0
2017-03-01,1328635.0
2017-04-01,1209870.0
2017-05-01,1357384.0
2017-06-01,1389351.0
2017-07-01,1411621.0
2017-08-01,1122724.0
2017-09-01,1011023.0
2017-10-01,1317797.0
2017-11-01,1324405.0
2017-12-01,1385194.0
2018-01-01,1184131.0
2018-02-01,1157264.0
2018-03-01,1382671.0
2018-04-01,1330088.0
2018-05-01,1420060.0
2018-06-01,1501709.0
2018-07-01,1551981.0
2018-08-01,1469188.0
2018-09-01,1272978.0
2018-10-01,1432561.0
2018-11-01,1420895.0
2018-12-01,1426910.0
2019-01-01,1310969.0
