Date,PASSENGERS
2001-01-01,339217.0
2001-02-01,331526.0
2001-03-01,408000.0
2001-04-01,376749.0
2001-05-01,402759.0
2001-06-01,402528.0
2001-07-01,426720.0
2001-08-01,411416.0
2001-09-01,240744.0
2001-10-01,333768.0
2001-11-01,323614.0
2001-12-01,321168.0
2002-01-01,296601.0
2002-02-01,289647.0
2002-03-01,367694.0
2002-04-01,340508.0
2002-05-01,370404.0
2002-06-01,372349.0
2002-07-01,367357.0
2002-08-01,351378.0
2002-09-01,287632.0
2002-10-01,335200.0
2002-11-01,306682.0
2002-12-01,333888.0
2003-01-01,292378.0
2003-02-01,273746.0
2003-03-01,332682.0
2003-04-01,313400.0
2003-05-01,343927.0
2003-06-01,360286.0
2003-07-01,366847.0
2003-08-01,335734.0
2003-09-01,298385.0
2003-10-01,334719.0
2003-11-01,319579.0
2003-12-01,330188.0
2004-01-01,282024.0
2004-02-01,309981.0
2004-03-01,379547.0
2004-04-01,353318.0
2004-05-01,356675.0
2004-06-01,377563.0
2004-07-01,384275.0
2004-08-01,348945.0
2004-09-01,320824.0
2004-10-01,361272.0
2004-11-01,340358.0
2004-12-01,344867.0
2005-01-01,302617.0
2005-02-01,289785.0
2005-03-01,369785.0
2005-04-01,336975.0
2005-05-01,368686.0
2005-06-01,382337.0
2005-07-01,398498.0
2005-08-01,358828.0
2005-09-01,294238.0
2005-10-01,360674.0
2005-11-01,344312.0
2005-12-01,345580.0
2006-01-01,320145.0
2006-02-01,308022.0
2006-03-01,378769.0
2006-04-01,353396.0
2006-05-01,382049.0
2006-06-01,391707.0
2006-07-01,396628.0
2006-08-01,367034.0
2006-09-01,329866.0
2006-10-01,361080.0
2006-11-01,357764.0
2006-12-01,354975.0
2007-01-01,315107.0
2007-02-01,304365.0
2007-03-01,383166.0
2007-04-01,362551.0
2007-05-01,393711.0
2007-06-01,417510.0
2007-07-01,424151.0
2007-08-01,404338.0
2007-09-01,332481.0
2007-10-01,366953.0
2007-11-01,362413.0
2007-12-01,360588.0
2008-01-01,334383.0
2008-02-01,342489.0
2008-03-01,406522.0
2008-04-01,381232.0
2008-05-01,407902.0
2008-06-01,438719.0
2008-07-01,432838.0
2008-08-01,383321.0
2008-09-01,238223.0
2008-10-01,362832.0
2008-11-01,322181.0
2008-12-01,350343.0
2009-01-01,297732.0
2009-02-01,294308.0
2009-03-01,368606.0
2009-04-01,356996.0
2009-05-01,356486.0
2009-06-01,395057.0
2009-07-01,413894.0
2009-08-01,361971.0
2009-09-01,331131.0
2009-10-01,374825.0
2009-11-01,356573.0
2009-12-01,359708.0
2010-01-01,325685.0
2010-02-01,306476.0
2010-03-01,383245.0
2010-04-01,375714.0
2010-05-01,383456.0
2010-06-01,424725.0
2010-07-01,433259.0
2010-08-01,386062.0
2010-09-01,348039.0
2010-10-01,394553.0
2010-11-01,386281.0
2010-12-01,399202.0
2011-01-01,369691.0
2011-02-01,325868.0
2011-03-01,421591.0
2011-04-01,394649.0
2011-05-01,425466.0
2011-06-01,454522.0
2011-07-01,451384.0
2011-08-01,415478.0
2011-09-01,393807.0
2011-10-01,438324.0
2011-11-01,427206.0
2011-12-01,426713.0
2012-01-01,389523.0
2012-02-01,376973.0
2012-03-01,441227.0
2012-04-01,416468.0
2012-05-01,453060.0
2012-06-01,497946.0
2012-07-01,486694.0
2012-08-01,455596.0
2012-09-01,401232.0
2012-10-01,449781.0
2012-11-01,445536.0
2012-12-01,438103.0
2013-01-01,394998.0
2013-02-01,380539.0
2013-03-01,468029.0
2013-04-01,450978.0
2013-05-01,497317.0
2013-06-01,507785.0
2013-07-01,497604.0
2013-08-01,473752.0
2013-09-01,429252.0
2013-10-01,491482.0
2013-11-01,476722.0
2013-12-01,522600.0
2014-01-01,432731.0
2014-02-01,412188.0
2014-03-01,510667.0
2014-04-01,495538.0
2014-05-01,531707.0
2014-06-01,561648.0
2014-07-01,584950.0
2014-08-01,519348.0
2014-09-01,463326.0
2014-10-01,509816.0
