Date,PASSENGERS
2016-01-01,27237.0
2016-02-01,26435.0
2016-03-01,32924.0
2016-04-01,29421.0
2016-05-01,34701.0
2016-06-01,39986.0
2016-07-01,42531.0
2016-08-01,35061.0
2016-09-01,30391.0
2016-10-01,33611.0
2016-11-01,35659.0
2016-12-01,38978.0
2017-01-01,35230.0
2017-02-01,32404.0
2017-03-01,37883.0
2017-04-01,36086.0
2017-05-01,39129.0
2017-06-01,43543.0
2017-07-01,47753.0
2017-08-01,33672.0
2017-09-01,26498.0
2017-10-01,35107.0
2017-11-01,40220.0
2017-12-01,48692.0
2018-01-01,39523.0
2018-02-01,35757.0
2018-03-01,46573.0
2018-04-01,40107.0
2018-05-01,45268.0
2018-06-01,53316.0
2018-07-01,57677.0
2018-08-01,44576.0
2018-09-01,34036.0
2018-10-01,39227.0
2018-11-01,44479.0
2018-12-01,49650.0
2019-01-01,41004.0
2019-02-01,34182.0
2019-03-01,44289.0
2019-04-01,31632.0
2019-05-01,34553.0
2019-06-01,40074.0
2019-07-01,42421.0
2019-08-01,32851.0
2019-09-01,24534.0
2019-10-01,30290.0
2019-11-01,37257.0
2019-12-01,40040.0
2020-01-01,34289.0
2020-02-01,32859.0
2020-03-01,21395.0
2020-04-01,1.0
2020-05-01,1.0
2020-06-01,1.0
2020-07-01,9380.0
2020-08-01,9721.0
2020-09-01,10152.0
2020-10-01,13029.0
2020-11-01,14075.0
2020-12-01,19024.0
2021-01-01,12492.0
2021-02-01,9706.0
2021-03-01,21639.0
2021-04-01,24212.0
2021-05-01,31712.0
2021-06-01,38906.0
2021-07-01,41176.0
2021-08-01,33147.0
2021-09-01,24441.0
