Date,PASSENGERS
2001-01-01,1158092.0
2001-02-01,1091003.0
2001-03-01,1317215.0
2001-04-01,1273746.0
2001-05-01,1335349.0
2001-06-01,1331688.0
2001-07-01,1413441.0
2001-08-01,1402240.0
2001-09-01,804314.0
2001-10-01,1094164.0
2001-11-01,1133274.0
2001-12-01,1135604.0
2002-01-01,1065195.0
2002-02-01,1031653.0
2002-03-01,1242417.0
2002-04-01,1185794.0
2002-05-01,1250383.0
2002-06-01,1248629.0
2002-07-01,1307109.0
2002-08-01,1258675.0
2002-09-01,1011321.0
2002-10-01,1134115.0
2002-11-01,1097920.0
2002-12-01,1212390.0
2003-01-01,1054325.0
2003-02-01,1004508.0
2003-03-01,1194334.0
2003-04-01,1114618.0
2003-05-01,1206285.0
2003-06-01,1275799.0
2003-07-01,1410444.0
2003-08-01,1244241.0
2003-09-01,1049969.0
2003-10-01,1196460.0
2003-11-01,1166771.0
2003-12-01,1267799.0
2004-01-01,1091764.0
2004-02-01,1107746.0
2004-03-01,1275688.0
2004-04-01,1249595.0
2004-05-01,1262662.0
2004-06-01,1341907.0
2004-07-01,1440590.0
2004-08-01,1298700.0
2004-09-01,1118463.0
2004-10-01,1268831.0
2004-11-01,1251442.0
2004-12-01,1308888.0
2005-01-01,1218405.0
2005-02-01,1145220.0
2005-03-01,1454992.0
2005-04-01,1331312.0
2005-05-01,1426116.0
2005-06-01,1487977.0
2005-07-01,1545060.0
2005-08-01,1431219.0
2005-09-01,1146999.0
2005-10-01,1383127.0
2005-11-01,1364523.0
2005-12-01,1436926.0
2006-01-01,1362870.0
2006-02-01,1274161.0
2006-03-01,1525558.0
2006-04-01,1459569.0
2006-05-01,1549895.0
2006-06-01,1581015.0
2006-07-01,1616666.0
2006-08-01,1510843.0
2006-09-01,1332407.0
2006-10-01,1452980.0
2006-11-01,1450699.0
2006-12-01,1478809.0
2007-01-01,1384759.0
2007-02-01,1318713.0
2007-03-01,1533796.0
2007-04-01,1499192.0
2007-05-01,1563563.0
2007-06-01,1547933.0
2007-07-01,1570955.0
2007-08-01,1553116.0
2007-09-01,1329242.0
2007-10-01,1486419.0
2007-11-01,1447874.0
2007-12-01,1467071.0
2008-01-01,1379227.0
2008-02-01,1340529.0
2008-03-01,1528255.0
2008-04-01,1456664.0
2008-05-01,1526815.0
2008-06-01,1547180.0
2008-07-01,1569789.0
2008-08-01,1513593.0
2008-09-01,1062880.0
2008-10-01,1354095.0
2008-11-01,1257354.0
2008-12-01,1367704.0
2009-01-01,1207068.0
2009-02-01,1120466.0
2009-03-01,1380428.0
2009-04-01,1336041.0
2009-05-01,1373844.0
2009-06-01,1478622.0
2009-07-01,1554871.0
2009-08-01,1446976.0
2009-09-01,1227004.0
2009-10-01,1348060.0
2009-11-01,1271232.0
2009-12-01,1378151.0
2010-01-01,1212132.0
2010-02-01,1132841.0
2010-03-01,1342616.0
2010-04-01,1307035.0
2010-05-01,1379209.0
2010-06-01,1469084.0
2010-07-01,1506076.0
2010-08-01,1415092.0
2010-09-01,1232789.0
2010-10-01,1357133.0
2010-11-01,1292910.0
2010-12-01,1353398.0
2011-01-01,1203352.0
2011-02-01,1050538.0
2011-03-01,1347272.0
2011-04-01,1225475.0
2011-05-01,1390869.0
2011-06-01,1458885.0
2011-07-01,1530205.0
2011-08-01,1413920.0
2011-09-01,1228685.0
2011-10-01,1304326.0
2011-11-01,1276661.0
2011-12-01,1324590.0
