Date,PASSENGERS
2001-01-01,246093.0
2001-02-01,216609.0
2001-03-01,260685.0
2001-04-01,241329.0
2001-05-01,261451.0
2001-06-01,282819.0
2001-07-01,311276.0
2001-08-01,280981.0
2001-09-01,159231.0
2001-10-01,174796.0
2001-11-01,201219.0
2001-12-01,241451.0
2002-01-01,223848.0
2002-02-01,209777.0
2002-03-01,269894.0
2002-04-01,217616.0
2002-05-01,249784.0
2002-06-01,284342.0
2002-07-01,284578.0
2002-08-01,260359.0
2002-09-01,183673.0
2002-10-01,204347.0
2002-11-01,217895.0
2002-12-01,251379.0
2003-01-01,235943.0
2003-02-01,196305.0
2003-03-01,236366.0
2003-04-01,201235.0
2003-05-01,236200.0
2003-06-01,284009.0
2003-07-01,296725.0
2003-08-01,262575.0
2003-09-01,189828.0
2003-10-01,205666.0
2003-11-01,230002.0
2003-12-01,271165.0
2004-01-01,236979.0
2004-02-01,224735.0
2004-03-01,269238.0
2004-04-01,251977.0
2004-05-01,271873.0
2004-06-01,317327.0
2004-07-01,345493.0
2004-08-01,283020.0
2004-09-01,220915.0
2004-10-01,243001.0
2004-11-01,258370.0
2004-12-01,314243.0
2005-01-01,288379.0
2005-02-01,257037.0
2005-03-01,321171.0
2005-04-01,271271.0
2005-05-01,297784.0
2005-06-01,346969.0
2005-07-01,361594.0
2005-08-01,306998.0
2005-09-01,215162.0
2005-10-01,240734.0
2005-11-01,258336.0
2005-12-01,332161.0
2006-01-01,294028.0
2006-02-01,269820.0
2006-03-01,332891.0
2006-04-01,313913.0
2006-05-01,319594.0
2006-06-01,369714.0
2006-07-01,385936.0
2006-08-01,329271.0
2006-09-01,245825.0
2006-10-01,259110.0
2006-11-01,281670.0
2006-12-01,339637.0
2007-01-01,301378.0
2007-02-01,275030.0
2007-03-01,338644.0
2007-04-01,315598.0
2007-05-01,338635.0
2007-06-01,385536.0
2007-07-01,395545.0
2007-08-01,351919.0
2007-09-01,258912.0
2007-10-01,274657.0
2007-11-01,297986.0
2007-12-01,351633.0
2008-01-01,316497.0
2008-02-01,306821.0
2008-03-01,375694.0
2008-04-01,320336.0
2008-05-01,359030.0
2008-06-01,397879.0
2008-07-01,415087.0
2008-08-01,367496.0
2008-09-01,218929.0
2008-10-01,276876.0
2008-11-01,295965.0
2008-12-01,351538.0
2009-01-01,311468.0
2009-02-01,280631.0
2009-03-01,338877.0
2009-04-01,313794.0
2009-05-01,290112.0
2009-06-01,389022.0
2009-07-01,407237.0
2009-08-01,355635.0
2009-09-01,258710.0
2009-10-01,286486.0
2009-11-01,307572.0
2009-12-01,379053.0
2010-01-01,335799.0
2010-02-01,301448.0
2010-03-01,359433.0
2010-04-01,317887.0
2010-05-01,350191.0
2010-06-01,404989.0
2010-07-01,440586.0
2010-08-01,360738.0
2010-09-01,295454.0
2010-10-01,325904.0
2010-11-01,339871.0
2010-12-01,414922.0
2011-01-01,363918.0
2011-02-01,304268.0
2011-03-01,375703.0
2011-04-01,340553.0
2011-05-01,378568.0
2011-06-01,416226.0
2011-07-01,448838.0
2011-08-01,355223.0
2011-09-01,281716.0
2011-10-01,300865.0
2011-11-01,324116.0
2011-12-01,405764.0
2012-01-01,354387.0
2012-02-01,308018.0
2012-03-01,377690.0
2012-04-01,348829.0
