ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,CrossValidated,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,LevelInSampleRMSE,LevelInSampleMAPE,LevelInSampleMAE,LevelInSampleR2,best_model,Series,FcstMAPE,ObjectEstimator,Used Anomalies
prophet_cv_uv,prophet,[],{'n_changepoints': 4},,248,True,True,True,1,4,28258.8839809922,0.4489839766349875,23426.621396508206,0.7231201170735855,-54565.61086885518,-41553.0,0.95,52062.911698243515,32711.81407582779,1.850159548586779,18708.70999764483,0.6057898524251284,,rmse,34030.03939825005,,,18847.763628136636,0.024966523469861536,13343.053111966365,0.8496329644799713,83628.95982771665,0.23823833428797472,57720.57486342609,0.2923606927623289,True,Hou-Dom,0.060044304604755405,Forecaster,False
arima_tune_uv,arima,,"{'order': (0, 0, 2), 'seasonal_order': (0, 1, 1, 12)}",,248,True,False,True,1,4,26317.84809802336,0.4068378486523956,21038.742370882625,0.7598502484325387,-36719.20028688921,-41553.0,0.95,67712.03914601488,37080.93513838257,1.3416585190647508,21339.86243140294,0.4934528255003834,36,rmse,69104.08456730351,,,17672.07016910091,0.03146286954255151,15862.297064175364,0.8678071885802452,88435.393438247,0.22985692075603206,69292.73999614872,0.20868247670221163,False,Hou-Dom,0.06553798790603087,Forecaster,False
arima_cv_uv,arima,,"{'order': (0, 0, 2), 'seasonal_order': (0, 1, 1, 12)}",,248,True,True,True,1,4,26317.84809802336,0.4068378486523956,21038.742370882625,0.7598502484325387,-36719.20028688921,-41553.0,0.95,62401.747235353636,37080.93513838257,1.3416585190647508,21339.86243140294,0.4934528255003834,,rmse,31634.771600782635,,,17672.07016910091,0.03146286954255151,15862.297064175364,0.8678071885802452,88435.393438247,0.22985692075603206,69292.73999614872,0.20868247670221163,False,Hou-Dom,0.06553798790603087,Forecaster,False
hwes_tune_uv,hwes,,"{'trend': None, 'seasonal': 'add'}",,248,True,False,True,1,4,27193.615249349245,0.4542341472562836,23203.509806401955,0.7436016139640514,-33106.99652196839,-41553.0,0.95,64282.47521413251,37054.538771840394,1.1165781317553463,19675.658599677572,0.49417374829855953,36,rmse,74731.63580040194,,,21036.53563251483,0.04093827166983068,20048.970251127408,0.8126811749230416,174469.53109818272,0.42412976906575756,157866.56624539327,-2.079908016624324,False,Hou-Dom,0.06675793142916134,Forecaster,False
hwes_cv_uv,hwes,,"{'trend': None, 'seasonal': 'add'}",,248,True,True,True,1,4,27193.615249349245,0.4542341472562836,23203.509806401955,0.7436016139640514,-33106.99652196839,-41553.0,0.95,45639.94742061766,37054.538771840394,1.1165781317553463,19675.658599677572,0.49417374829855953,,rmse,32865.646448294174,,,21036.53563251483,0.04093827166983068,20048.970251127408,0.8126811749230416,174469.53109818272,0.42412976906575756,157866.56624539327,-2.079908016624324,False,Hou-Dom,0.06675793142916134,Forecaster,False
auto_arima_anom,arima,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'order': (2, 0, 4), 'seasonal_order': (1, 0, 2, 12)}",,248,False,False,True,1,4,24274.033703736066,0.49252475347022995,23623.362823424934,0.7957014467936746,-24933.171492589114,-41553.0,0.95,37838.969978752015,31878.885528729705,1.191077044657421,19181.018300308908,0.6256095159259305,,,,,,27920.500632596275,0.04179573339840979,22423.348474925864,0.6700262541408815,107856.07994983533,0.24064376086764902,87787.16190279053,-0.17703078514409754,False,Hou-Dom,0.10458365035890504,Forecaster,True
prophet_tune_uv,prophet,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']",{'n_changepoints': 0},,248,True,False,True,1,4,29614.918361918182,0.3506139260886113,20903.25064814282,0.6959097683703214,-44170.41404657851,-41553.0,0.95,52371.08422214754,32704.82505309943,1.8523335206251572,18800.80405070939,0.6059582838884825,36,rmse,71230.82833868483,,,25647.620085846786,0.04672239432043852,22481.405942902013,0.7215628829915601,81589.31738426644,0.22298750586049504,59633.53229290281,0.3264572624407581,False,Hou-Dom,0.06062987178063842,Forecaster,True
sgd_cv_uv,sgd,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos', 'AR1', 'AR6', 'AR12', 'AR18', 'AR24', 'AR36']","{'penalty': 'l2', 'l1_ratio': 1, 'learning_rate': 'constant'}",minmax,248,True,True,True,1,4,37335.17174362825,0.6360218550042748,33327.883784143836,0.516698996656956,-23937.23450853821,-41553.0,0.95,58728.59846663252,36733.968086836234,1.2347854134081757,23141.03297327715,0.5206557726287131,,rmse,54183.53148678126,,,32765.211163216663,0.05458357453925421,28255.27839868226,0.5455784413954305,671673.2646879317,1.4748298086632663,591545.5147369157,-43.627297664107566,False,Hou-Dom,0.027731393745492043,Forecaster,True
sgd_tune_uv,sgd,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos', 'AR1', 'AR6', 'AR12', 'AR18', 'AR24', 'AR36']","{'penalty': 'l1', 'l1_ratio': 0.15, 'learning_rate': 'constant'}",minmax,248,True,False,True,1,4,36054.80154080043,0.585923576824803,31309.739646391186,0.5492791915580953,-22624.048014054017,-41553.0,0.95,55573.453562564675,39063.77106845298,1.3289027107317952,24811.908344326,0.4579240430539451,36,rmse,70922.35665098383,,,30946.035203092866,0.05664614860615427,28440.12568069443,0.5946380177893276,208059.29106154412,0.5476364303663411,159361.3214634877,-3.2821186274290755,False,Hou-Dom,0.034349866428590774,Forecaster,True
stacking_mv,stacking,"['Anomaly_2020-04-01', 'cp2', 'monthsin', 'monthcos']","{'estimators': [('knn_cv_mv', KNeighborsRegressor(n_neighbors=49)), ('elasticnet_cv_mv', ElasticNet(alpha=1.5, l1_ratio=0)), ('xgboost_cv_mv', XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, gamma=0, gpu_id=None,
             grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=0.1, max_bin=None,
             max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
             max_leaves=None, min_child_weight=None, missing=nan,
             monotone_constraints=None, n_estimators=150, n_jobs=None,
             num_parallel_tree=None, predictor=None, random_state=None,
             reg_alpha=None, reg_lambda=None, ...)), ('lightgbm_cv_mv', LGBMRegressor(learning_rate=0.001, max_depth=3, n_estimators=150))], 'final_estimator': BaggingRegressor(base_estimator=MLPRegressor(hidden_layer_sizes=(100, 100, 100),
                                             solver='lbfgs'),
                 max_features=0.5, max_samples=0.9)}",minmax,249,,False,True,1,4,44434.53356729953,0.7462519796355845,38425.642673721246,0.31542246818883046,-35322.021193173,-41553.0,0.95,61322.6315197105,31235.61992669717,1.2957783780295569,21355.02825337625,0.6419806791928614,,,,,,45136.59771392438,0.06221733470021325,33772.59304281915,0.1376359879762431,122157.8880918708,0.3248430575905295,91660.65795545596,-0.5080561856194576,False,Hou-Dom,0.09360519078715289,MVForecaster,True
