V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2031.123817209528,2032.5406985152301,2033.6511289408309,2035.0750807475476,2036.4222694200212,2037.901972129984,2039.349778119952,2040.6890359189897,2042.059279421818,2043.4297231126463,2044.7962064520884,2046.1670263046658,2047.538307806388,2048.910733555342
D2,2954.8304212878197,2948.3381721181177,2946.2726448470576,2949.2467689727796,2942.6924157246563,2933.161049186803,2929.784612679889,2928.4554559658845,2932.727682129424,2937.528085144184,2929.828811871,2921.1019008523967,2911.138659639375,2910.4387578348405
D3,1122.1779810009257,1120.8354209386628,1119.490754942527,1118.1288073044689,1116.7420785190805,1115.3420881753818,1113.9240232251032,1112.4844024563831,1111.0360460088884,1109.5638362111406,1108.0737603346554,1106.5645728900313,1105.0550665899864,1103.5397044376164
D4,1231.7316312621924,1239.3310585245788,1247.982276217515,1265.5588329095353,1286.4586629870178,1308.5597336433007,1326.583254928779,1338.1179245808967,1346.5352176747065,1357.924164732508,1379.5619012094467,1404.6321766185583,1430.3684507438606,1450.9741298006234
D5,5893.911422194072,5920.026999306375,5946.882225031443,5974.4749261723955,6003.085387537602,6028.849402426937,6054.873973258631,6082.990828472582,6111.767946766613,6152.371437979247,6193.9268965261945,6236.243668228507,6279.1061796384265,6321.975403908076
D6,3073.0659670850578,3042.898089858842,3015.3405598366962,2981.9331281371838,2951.2964842926917,2922.6155306289565,2898.29333743769,2862.5916691288867,2829.8244997109578,2798.5607944445674,2775.785035454228,2761.4267081497574,2752.7507508584035,2736.050290384137
D7,5249.8569705882355,5284.145970588235,5333.104794117647,5305.381176470588,5269.464999999999,5296.290029411764,5297.074588235294,5297.652558823529,5331.941558823529,5380.90038235294,5353.176764705881,5317.260588235293,5344.085617647058,5344.8701764705875
D8,1732.4047424537373,1732.8337985204882,1734.859232267971,1736.2430729639375,1737.103202542642,1737.1066212796252,1737.3796731214427,1735.656483201951,1735.3121686024228,1739.0218634528442,1741.1658336131795,1743.128925271047,1745.1326809606499,1746.3069054576795
D9,1584.3726547310578,1584.4112415191973,1585.0958457006284,1585.9464368205881,1586.3170616847212,1586.0859575217403,1585.387880579366,1584.6897239185791,1584.711805731496,1585.6404170143344,1586.9610675773138,1587.9840898816353,1588.5365418725403,1588.5881710569104
D10,2621.432464623259,2622.4638595814945,2629.0871500145377,2632.4750023582314,2624.0040432606547,2619.944873369423,2625.721151214047,2631.558022692913,2630.6421523827303,2633.606085288381,2633.074998466275,2635.9668265050004,2644.0058467850417,2656.422419915628
D11,2440.832802581345,2431.759341327512,2421.174425609139,2419.8839905059217,2419.3021372562607,2424.0667355005,2426.5808959566375,2421.661928420419,2410.277605333728,2401.600728210999,2403.0976902706384,2405.514560616366,2414.767291660628,2425.035628771541
D12,3671.294748638779,3677.181462762619,3682.3353830042083,3685.473606529043,3687.4491439606854,3689.452071312257,3691.800203540785,3693.4703366628196,3693.157451839854,3691.7180271469783,3688.5907491958733,3683.414750747436,3679.201383884028,3676.513727208513
D13,7248.143749999999,7248.458333333333,7255.3375,7275.683333333333,7286.752083333334,7294.606250000001,7301.0375,7304.8,7302.993750000001,7296.747916666667,7288.245833333333,7271.422916666666,7266.341666666666,7261.747916666666
D14,5671.924348288047,5689.777616970113,5735.0900538306205,5760.335498722724,5764.001488328726,5779.851864388467,5809.046450855952,5824.8851769632,5835.352128388788,5856.969148196776,5875.589107939182,5889.772613289368,5898.338380905557,5916.5765109468275
D15,8085.927461757305,8204.581750849778,8369.127911311565,8444.439684690633,8584.779877037725,8973.389442252825,9126.389882697595,9280.661576123202,9409.63770480485,9540.172055277011,9694.467793521937,9836.784592436577,10238.991118435133,10419.503571495752
D16,3063.4793892207663,3050.601077688627,3040.1392710952905,3029.9850500862335,3015.9236143111657,3002.479431449462,2987.221849404308,2976.508069921547,2960.836158268504,2943.908036682371,2927.9732588402107,2908.4821225020205,2892.070901591821,2873.8249271113846
D17,4045.4395696327533,4040.496336259629,4045.0752751063114,4047.2502405504997,4046.4054248237426,4051.0036473118585,4052.6717541012285,4050.826678972175,4050.8343381188783,4046.7084923318903,4047.0263854596037,4040.42324241508,4037.155525349712,4033.6997681265493
D18,9533.60042690551,9535.877437890822,9534.518831432133,9532.112618956267,9530.272533014422,9528.529791487988,9526.483819283925,9524.585526385476,9522.753849417628,9520.886101146549,9519.013910480879,9517.155131882851,9515.289907488384,9513.421085657765
D19,2692.466063035314,2712.8323966746707,2752.0193317914513,2768.6590852567942,2767.918439488854,2771.287350319183,2812.6169208796805,2870.4990254308423,2864.2024363855867,2852.198902221805,2857.7812122628106,2885.7506830407533,2898.2207078677247,2899.3766494374386
D20,10821.580955771838,10801.886836819678,10782.76173031035,10768.820079087029,10759.464054330327,10746.980621576642,10727.734882397412,10703.327561929975,10678.704970675024,10655.274462305597,10637.798858333805,10625.007667486543,10611.0371534251,10591.467544975496
D21,2680.0927161858067,2697.729224921218,2742.438866704856,2761.9379372979856,2765.237398505318,2759.597330741551,2795.9649422125262,2851.1160057795,2846.235081496943,2840.4569464972546,2842.6334084049536,2871.9277451439116,2883.824701678122,2898.645173795969
D22,2845.3959653170177,2839.5059952396214,2835.4859066525655,2829.9025288556745,2827.3750302128583,2822.9179417202454,2818.6291626238894,2817.873865089731,2821.5959583428253,2827.3107971784984,2831.5105322193963,2838.4988504593725,2843.0392401170516,2846.9664196176386
D23,1938.4353165054322,1938.1007162058354,1939.9255686724186,1925.741207214594,1912.2323094332219,1901.0745297396184,1913.084652992487,1917.7654877626896,1923.9911542856694,1936.677097889185,1942.6468106234074,1955.7346764528752,1964.1145068132878,1969.5385170900822
D24,2537.965973670456,2532.3217567607135,2528.3440586974366,2523.0473654146313,2520.427019230185,2516.1721259035553,2512.1427665128494,2511.2826462588796,2514.3996518430026,2519.297607862416,2522.8945918548443,2528.899443509633,2532.758938404815,2536.089290156962
D25,1597.3570285473593,1600.33273196684,1601.1449716870293,1601.0492317719745,1600.757038981152,1599.9050506073515,1601.5359201209546,1602.9270821498883,1606.1923633672538,1608.7110381342538,1609.8768608109067,1611.4355577776364,1613.2974016633884,1615.323846387064
D26,2366.015511248976,2365.4333302719533,2365.4209853374464,2364.953798016036,2366.1363363009796,2367.27135747803,2369.150439532268,2372.5613970048826,2377.3145417009164,2382.377470925298,2386.8474124623144,2392.717653044353,2398.1490387260205,2403.8119154685646
D27,1714.601820592953,1711.614649753482,1708.768284398415,1705.691008604399,1702.9733487684448,1700.2154753761795,1697.9760358546598,1696.697340105541,1696.266954536835,1696.116987374736,1695.7623182358177,1695.678996079499,1695.356327696042,1695.2502493320787
D28,424.09706279083224,423.93278870435176,423.79408492708296,423.6784348166695,423.58308827627496,423.50519553173217,423.44182177096224,423.3899614468267,423.3465529198811,423.3084933743745,423.2726539348562,423.2358949097421,423.1950810875769,423.1470970114689
D29,6414.606787233582,6421.514573302272,6430.401271164472,6438.598590871877,6445.324821656885,6452.631641529715,6463.709761827549,6480.000938302612,6499.991944169438,6524.910388385533,6550.721983823974,6576.1304792798455,6602.6292887333675,6632.829991294029
D30,610.4234378406204,610.6657156182598,610.9521529202137,611.2934479477783,611.6808107311331,612.1094042670047,612.5749222962002,613.0729056934033,613.5987304262181,614.1476356951623,614.7147482171569,615.2951060160597,615.8836825878043,616.4754113873407
D31,2121.3256911614617,2123.647276975984,2126.257544389355,2129.1478116238936,2132.307971422304,2135.726541221928,2139.390720015168,2143.2864516192703,2147.3984940474484,2151.7104946435793,2156.205070614631,2160.863894568679,2165.66778464198,2170.5967987762065
D32,1925.2306032056497,1928.5093481273184,1932.025503181314,1935.7671233640735,1939.7211090620654,1943.873270480171,1948.2083973747358,1952.7103337516196,1957.3620571654042,1962.1457622334842,1967.0429479582422,1972.034508431946,1977.1008264825402,1982.2218698041534
D33,6733.388184504333,6755.635825815333,6720.2917656889995,6721.666196110999,6745.6776549569995,6757.299028586999,6748.013359010999,6732.8822338753325,6755.129875186332,6719.785815059999,6721.160245481999,6745.171704327999,6756.793077957998,6747.507408381998
D34,2284.207957885365,2284.193897850081,2284.18725179767,2289.09680961291,2289.080635847297,2289.280757329197,2294.114619537907,2294.107582086408,2294.312274042657,2299.1507182041682,2299.1482727739326,2299.436331715083,2304.2803193393656,2304.260424271886
D35,1667.3918159371249,1673.2512419373495,1679.8231034066698,1686.8014390439487,1693.5493000952654,1701.2488315501014,1709.3218686982805,1718.5220356644613,1735.888088859225,1750.9560172840854,1765.708595217719,1780.6961170331763,1797.463488395657,1814.9294489703175
D36,3773.625,3766.75,3754.625,3748.875,3743.125,3737.125,3725.125,3710.0,3696.25,3689.5,3679.0,3672.25,3665.5,3658.75
D37,2433.3142386198824,2435.906863112934,2438.4994876059855,2438.415471237354,2438.947696374481,2430.2368896169137,2422.5689387811844,2409.883177401067,2412.4758018941184,2415.06842638717,2414.9844100185383,2415.5166351556654,2406.805828398098,2399.137877562369
D38,2300.5828342157683,2283.8107749392566,2308.908659146386,2267.785425707171,2299.259444739438,2299.930668422933,2264.1994348182716,2280.825954525127,2264.695450262095,2253.1017070238936,2254.7094159165335,2239.6445044943302,2236.9002617729375,2220.5175085667474
D39,2505.8226108551025,2505.6367565989494,2349.8498608469963,2352.913015305996,2335.1266364455223,2300.550418794155,2269.6885890364647,2251.7110518813133,2293.787979066372,2298.5196313261986,2285.4110974669456,2347.1342076659203,2303.9786939024925,2298.324462354183
D40,3912.2624108073715,3934.25466258257,3946.125009556001,3946.114115682322,3942.512999863293,3945.4971099364216,3957.145803094098,3969.619771928351,3986.583000025749,3995.148198457611,3993.9007095146812,3991.3915436126017,3997.9608091974364,4015.750451940143
D41,6585.778079400858,6558.541095330635,6579.418226995523,6570.395685002519,6550.250510106592,6527.938036797257,6530.274398144173,6519.642696975998,6503.556192546792,6467.751383323498,6437.109736878761,6399.2081762996495,6377.709274716059,6368.749152171237
D42,6812.6263197659855,6746.036916824223,6779.756343967236,6734.773457304324,6627.466315272156,6516.468834345997,6513.787833565268,6493.031099439528,6401.417788185445,6341.9252875334905,6313.244861107178,6281.412865550176,6204.444280311517,6184.510977291577
D43,1121.7274851199893,1116.971319458676,1111.0922590729567,1111.6625976128028,1107.6741992303694,1104.489114009564,1105.1703238176326,1106.3955348441027,1106.561967674614,1109.6330178592166,1114.7914060721869,1117.451216126044,1112.315031086437,1114.5888540883939
D44,8578.720327880761,8576.450036562805,8566.974714677574,8552.933645254261,8541.44280661719,8536.993343532406,8536.972527365093,8534.286625512823,8530.83827699248,8520.37604753482,8505.508204543521,8493.324743261917,8488.295041347186,8487.788134951039
D45,1121.4253227155355,1122.635769317591,1123.074068536655,1122.881213983302,1124.1382327411607,1125.9363855801023,1126.2098228379098,1126.6816232062752,1128.041335110296,1129.0643770221634,1129.9550421240838,1128.847491877293,1131.0059237585917,1131.7079208346272
D46,10167.335777912835,10167.297961044052,10167.27093715077,10167.243603793386,10167.216279309305,10167.188954570798,10167.161629839587,10167.134305108168,10167.106980376753,10167.079655645339,10167.052330913924,10167.02500618251,10166.997681451096,10166.970356719681
D47,1006.0055309736299,1012.3743246592568,1010.0216179773956,1008.6302637492104,1007.7807337987211,1007.8520051491006,1005.1391588657486,999.750316057549,1002.370152171369,1005.1577076315895,1003.1635972721166,1003.2792911789807,1008.7512986872264,1010.9376266783615
D48,10467.513768630279,10468.026912711026,10468.539493629762,10469.051576961645,10469.563232147615,10470.074532153689,10470.585553113098,10471.096373953013,10471.607076007645,10472.117742619652,10472.628458731739,10473.1393104705,10473.65038472448,10474.161768718537
D49,11070.519284072423,11071.015406912873,11071.511405820704,11072.007290250964,11072.503062578886,11072.998725723326,11073.494283135069,11073.989738780016,11074.485097119868,11074.980363090388,11075.475542077349,11075.970639890304,11076.465662734272,11076.960617179519
D50,9922.427617190087,9923.950147902102,9897.902309834046,9908.355189155964,9882.051544043285,9886.166660730076,9878.265744631994,9895.114885191912,9868.563180483397,9905.636638165448,9887.723551612044,9850.658560230897,9847.84897673717,9983.8528182611
D51,1017.125692451795,1017.963816836773,1017.298859808034,1011.1136523668845,1011.174582205662,1014.7684696333788,1012.2082251245438,1013.1229344430417,1005.8236092634351,1005.8501152153237,1004.2337883325606,1006.9082547297962,1009.5454219292343,1014.3219805897082
D52,2941.8027270554057,2935.881719698285,2951.903816595752,2903.3105237431278,2880.1952052492866,2881.0190221625635,2864.3724334501426,2826.70670053594,2819.8911492811426,2826.6183972297254,2815.0560536090484,2806.3561038086236,2816.691083134117,2810.652810523746
D53,1108.0212105545068,1109.4050081372989,1111.7013891912754,1114.4857528069408,1116.8368355578384,1118.2116642113344,1119.4415026149113,1119.9935416790197,1120.7123817623517,1122.075242745964,1123.6957421417253,1124.7002652610904,1124.6009671809545,1124.2894626704772
D54,2815.504280524012,2820.745096153145,2824.8760693596014,2833.4210548209394,2833.109806812558,2834.1189234958338,2845.041993674496,2846.237371873023,2838.562676356774,2848.2343643876907,2850.492315073219,2851.614680634715,2855.6015549602935,2853.9566255684545
D55,1085.308536683114,1086.0051644020014,1086.057094927755,1087.7453526247268,1090.7000895496158,1092.5774980980002,1087.8604618262596,1087.2382631229143,1084.038219613926,1091.6558752967176,1094.5684891674923,1096.8444525442587,1097.8275705861183,1100.1753957271671
D56,10519.111359959508,10505.218781608088,10491.48915059735,10478.088558715843,10465.181494706549,10452.93004289427,10441.493093527084,10431.025568679031,10421.677667485339,10413.594134387336,10406.913553952083,10401.767675702291,10398.280772245891,10396.569033832382
D57,1716.4601402374392,1713.2696628531953,1708.4580236909555,1708.4996096092157,1704.1289846572345,1700.9119616722571,1700.2191548443006,1701.8472272564466,1703.338278365779,1704.3240664460245,1706.9848793935594,1707.0610926130128,1706.8931946489565,1708.8636911529125
D58,1672.35174933848,1666.6828862785007,1658.1768417680257,1649.591481957527,1640.5331752565337,1634.0790318822822,1630.1499038923203,1626.0973505546142,1619.4075189655823,1605.7327386155357,1592.3508301926893,1578.7807077038888,1568.1154631143822,1560.2208697678013
D59,4923.354061030573,4930.369415131876,4935.704969193914,4941.398035351249,4949.111484389254,4957.334841732123,4979.873576673121,4986.217380689901,5014.796681897172,5033.876469072945,5045.437232975952,5053.299568519033,5064.612429040193,5098.5825262529415
D60,4079.345589848225,4092.780479501077,4107.264962893667,4118.385020392207,4124.735117674099,4129.279037118126,4132.936729623674,4138.7195901377945,4147.640269365927,4156.5872415984595,4161.297692890526,4160.890487653308,4158.634426527489,4155.683585101517
D61,3632.3040831790995,3635.1925709558036,3628.8038176757873,3609.826314142477,3602.0647380718533,3570.36893908009,3531.838761932242,3516.5696248688546,3490.186871351067,3471.694564282087,3458.9309229839632,3420.647563527142,3438.0036238392163,3425.117999684221
D62,5701.660514640711,5739.822550179286,5773.551920297762,5797.544228966274,5787.601189919722,5763.812897267846,5734.036212967894,5664.766644539195,5712.793817957447,5732.456282415312,5817.688205073668,5878.856090330611,5872.930993005586,5865.304747605654
D63,4719.8970915569025,4722.354721067819,4731.352418925236,4742.888636930363,4733.297391794822,4752.314959289375,4764.764842383793,4760.4845680571325,4761.433687733706,4765.7476863453,4772.520661237709,4790.429998438986,4787.541686263515,4786.49697670319
D64,1059.550500174397,1055.6958463903854,1073.5660798398337,1079.7753815426215,1081.1370576399954,1075.7037174480142,1075.304154063943,1061.772984990329,1052.8780191994672,1046.933194828494,1049.2920926623667,1044.4824032107608,1046.1380247913708,1046.002778159582
D65,3559.8793628554254,3530.168134263657,3398.9324500273274,3409.48469033203,3423.453070700848,3479.007772914605,3485.6659895195335,3450.65526602352,3475.2001883932926,3484.598549432572,3447.7812635907653,3426.276221695068,3440.33029223488,3476.828592177314
D66,1404.5570611158364,1410.9534444132903,1408.4152688762074,1389.9734548473432,1373.9171105478836,1370.456374618351,1377.769720395102,1387.5434512398847,1389.228427495878,1389.1543435981641,1384.9710699973186,1378.828841059063,1375.108402756788,1385.597204021834
D67,5157.616770711398,5164.842037439592,5169.92927174078,5173.269977598167,5177.002187438759,5182.872429706356,5190.489200417755,5198.105971129153,5205.331237857346,5210.418472158534,5213.759178015922,5217.491387856514,5223.361630124111,5230.978400835509
