V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2034.9111711696817,2036.8845383760256,2038.472821006003,2039.933466768524,2041.989335297306,2043.5398935540056,2045.552431831242,2047.2969354387874,2048.8761932065413,2050.6219240438313,2052.103507085292,2053.826896454022,2055.6783635702654,2055.694643621809
D2,2989.679676577443,2988.449689681167,2990.3482038608167,2991.669133858967,2992.1558057678017,2992.7843006657176,2994.3502611298036,2993.3938766003575,2992.38022988236,2991.4531782642684,2988.9968465851366,2986.320148716312,2985.016307660721,2984.448224677163
D3,1130.1287669665426,1135.4734252499243,1139.7838766181658,1143.803259029148,1147.2566737636,1150.0441266533803,1152.8917920931879,1154.6620524085206,1157.8591878930094,1161.014429558975,1164.2207824926422,1167.6559769492073,1171.1314236602102,1175.0552205782078
D4,1203.832865458434,1184.9341449038036,1178.6777902187066,1167.3905478972429,1510.095790435413,1480.9260039002352,1451.7629089296638,1432.1266026567328,1405.9863932672934,1387.638803281385,1358.5837153668099,1592.034414593329,1568.8618118938348,1544.0372828128534
D5,5899.614437830948,5918.394551353138,5936.251965470365,5953.320611101303,5977.935946482937,6002.367675295538,6017.597465582489,6032.771400700221,6047.985406568724,6078.454470468109,6093.947680424542,6110.892074959976,6129.953232698322,6156.086169860145
D6,3110.9932027879827,3118.5295324200324,3126.058163144291,3132.725105305777,3139.3644448485998,3145.983934987663,3152.5891716733895,3159.1842335495926,3165.772129092152,3172.355109237693,3178.9348861633257,3185.512786572902,3192.0898592648405,3198.666950773559
D7,4469.2107834035305,4429.617188434846,4492.587924161917,4485.197263998644,4423.747038214682,4388.867476021438,4437.391426605095,4460.048464870437,4433.265165968896,4403.29253848169,4423.301111150156,4451.869060670905,4446.578881047252,4425.163554037235
D8,1732.9856615294373,1733.7006673597455,1734.4885769930036,1735.5486732838133,1736.069767466324,1736.9011582633811,1737.7946839301883,1738.671406127888,1739.5110549588644,1740.303886462084,1741.1061185660765,1741.9156338634007,1742.7002089775658,1743.5158873157145
D9,1585.6315234729477,1586.202267802929,1586.8523309977656,1587.717324420311,1588.1198204138955,1588.792192422228,1589.5120560662401,1590.2183643794256,1590.9004254656948,1591.5414957511225,1592.190794024153,1592.844115909281,1593.477935955337,1594.1365475484795
D10,2618.178452869057,2618.4753638289667,2620.384199595912,2624.872419670153,2623.248303630661,2624.049191099637,2626.038280467965,2629.5181652614756,2632.5408166706666,2630.463077098323,2631.9721208902547,2631.787167787602,2630.1734186647436,2634.0494627831654
D11,2455.7887168523625,2457.6690972418114,2459.8086765734042,2462.253129978949,2464.824635401777,2461.199403393988,2463.278737887784,2468.103075393431,2472.4774792727253,2474.80925338762,2474.583814352156,2475.9692386545626,2477.3343147613477,2480.629664025618
D12,3669.108256190533,3668.7561021833476,3672.1305779777426,3669.5685990751986,3674.4975276586565,3673.4931300720855,3675.87721978586,3674.9680274030393,3677.7455783038604,3673.327797313726,3679.7638370522272,3676.6922405213027,3673.960698864206,3667.497023830085
D13,7236.153232360933,7250.433157591854,7259.468279356053,7274.838011242071,7287.1526903103595,7289.212290449152,7286.6569545474,7287.024155623508,7277.437616419128,7280.414181971179,7292.144620107374,7295.798949940697,7303.576282532773,7307.591328506091
D14,5678.161378850262,5684.34285142994,5693.686809978843,5698.618160566676,5706.793945404454,5713.960753078439,5719.887281655356,5724.884952546257,5731.281340261437,5738.18656129245,5745.472504240175,5750.895169334755,5758.039574981547,5764.559139769517
D15,7965.1367198659245,7987.077269891699,7995.462069228113,8008.289012036337,8021.485242584491,8037.794576518618,8049.087429392379,8061.865344673327,8073.026360475157,8083.220893895255,8092.088356974421,8101.878142657708,8114.5205284417425,8127.324188960432
D16,3081.6609019037555,3081.2823199495447,3067.66508838076,3069.0558554773643,3081.6447314997704,3093.4897690097987,3105.032382371687,3109.7674842963847,3101.6728411030754,3078.428747324886,3070.526598167551,3071.591272620824,3077.4902384887096,3082.99096333451
D17,4035.892403430201,4036.1338559100627,4042.4738822735776,4040.7470283913726,4043.7565569789376,4049.2649118236254,4055.335929070471,4062.0176232732924,4063.0913012651486,4064.4196012575194,4070.5329278306453,4071.592871423563,4078.1319018744657,4080.3488874774343
D18,9539.276685591545,9563.130188946063,9583.375574121994,9597.094092077963,9611.017138644555,9619.957338867944,9621.8363151312,9628.33227583243,9635.136627844558,9646.903436823986,9658.553187827907,9655.154332553879,9651.404890150352,9631.877758320115
D19,2687.131404947433,2691.0717354045055,2695.022578488663,2698.98505149643,2702.9597566315597,2706.9467568684395,2710.9455739387863,2714.9552085238647,2718.974181825385,2723.000596812977,2727.0322166405344,2731.0665570208585,2735.100988776512,2739.132846368211
D20,10842.46256911202,10851.193024180808,10857.039158818097,10857.054344776581,10837.228872844415,10847.480789263356,10845.456921601974,10849.674153158507,10851.287004110884,10847.013159061757,10846.047800750197,10843.51109417676,10839.498205622824,10837.065098189008
D21,2673.2414155503848,2687.4770954893975,2697.6078041103515,2696.9840086028935,2698.9824749237296,2704.3646187946515,2715.306651604298,2722.9413062852577,2736.759363731435,2748.4302080328107,2755.3366075125464,2766.0203313708644,2781.8092628229588,2791.369554896447
D22,2860.389570603036,2863.9954148612223,2866.848908451497,2875.7384141144435,2877.97663253873,2879.6155866873155,2892.400784046323,2891.157840314766,2895.308325012298,2898.1402042334817,2910.2695459718657,2914.619744244316,2920.884459596674,2924.484469428009
D23,1927.437988605637,1926.3204758089246,1926.9877744332882,1929.1649170024525,1931.018316944859,1928.9291524052549,1927.3932218565628,1926.3610886647293,1924.7309625507341,1923.9734349342098,1922.9145762888181,1921.0761962345387,1920.0536383009744,1918.7771475252298
D24,2552.4127821414895,2550.4838484258885,2553.6440692193473,2559.3828857386147,2565.8105346031325,2565.854287064592,2576.5283742244264,2586.632178352357,2591.384512373146,2596.676852087233,2597.3794527233017,2599.7579774432074,2601.2083147860944,2611.5600000136906
D25,1592.039407192141,1582.73565850633,1579.1874647499092,1574.707868800067,1571.9269873077296,1562.3336140737883,1562.0741614646995,1559.24344840581,1558.0956134220173,1553.0739269166463,1550.680359626165,1548.793013639533,1550.2888876613779,1552.810941375183
D26,2373.1110798169416,2376.717292511922,2379.8386047246704,2382.1955086735575,2384.0357936709124,2385.912668280198,2387.80627708971,2389.4633680213474,2391.130121419334,2392.79697942475,2394.462315146158,2396.1269131082445,2397.7911766221855,2399.4555048368325
D27,1720.8976232146204,1722.3741909261835,1723.8066328856771,1725.6235465657298,1727.4443328668067,1728.562440409347,1729.887674274007,1731.2256150115288,1732.7973463575515,1733.788891582386,1736.0342763004069,1737.8096409707337,1739.0075933423946,1740.873801727541
