V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2033.3809165647228,2035.4101389548778,2036.7509226590755,2037.9663222330441,2039.8882746812392,2041.0503175849308,2042.9446814073156,2044.6234419318457,2046.175964538062,2047.8817504759759,2049.3340638722975,2051.0520964024918,2052.9396228589867,2052.373058419407
D2,2999.871748016569,2998.186857075121,3000.858289792795,3002.6718052618553,3003.3569417599806,3004.2418361803966,3006.447131040143,3005.1002007293146,3003.7187240110934,3002.41359017954,2998.910959657696,2995.1459403883787,2993.5468431530203,2993.197626016145
D3,1129.664360956459,1135.465220768878,1140.3897101972427,1145.2113383028404,1149.3905690532588,1152.698639100273,1156.2024936380117,1159.3173884018017,1162.3152696211155,1165.2427240011484,1168.2274015517214,1171.5168141346855,1174.8462651575458,1178.7867475566277
D4,1202.1710349819293,1182.5144166405066,1174.7859367219494,1158.303794648255,1477.3735166482147,1451.7389181468182,1422.998357317672,1401.7877112650326,1379.3220069406946,1363.6475139076206,1333.504933680144,1499.623221526373,1478.6852685732485,1457.1472630634553
D5,5898.049469318795,5919.486865157648,5940.519782986459,5960.530310445831,5987.750768431641,6013.81646198243,6031.207614462833,6048.214308300101,6066.351584224419,6095.689120127743,6113.3943224098875,6132.171936287053,6149.486828117053,6172.747040638659
D6,3110.186324730194,3116.8715280050083,3123.544728010154,3130.20724302181,3136.860299340901,3143.5050378247574,3150.1425199473947,3156.7737334229173,3163.399597424004,3170.0209674250355,3176.638639697295,3183.2533554815654,3189.8658048616685,3196.4766303606643
D7,4373.579641811558,4336.2110199861,4333.011175575732,4337.6514858446035,4342.293029571741,4346.935806757143,4351.5798174008105,4356.225061502743,4360.87153906294,4365.519250081404,4370.168194558131,4374.818372493124,4379.469783886383,4384.122428737906
D8,1732.8801454306156,1733.7202908612314,1734.5604362918473,1735.4005817224634,1736.2407271530792,1737.080872583695,1737.9210180143107,1738.7611634449268,1739.6013088755426,1740.4414543061587,1741.2815997367743,1742.1217451673901,1742.961890598006,1743.802036028622
D9,1585.575544189302,1586.2585523796952,1586.941560570088,1587.6245687604812,1588.2787599627002,1588.9617681530933,1589.6447763434865,1590.3277845338794,1591.0107927242725,1591.6938009146654,1592.3768091050586,1593.0598172954517,1593.7428254858448,1594.4258336762377
D10,2619.3099110918974,2619.841737621094,2623.1504814427963,2626.0778089162027,2625.563895188294,2625.1445459464267,2626.834671022817,2630.2437386414704,2630.6523535180477,2631.0525524838454,2631.958961636445,2631.667291076339,2631.3452338280426,2634.8497129613493
D11,2453.8869960522966,2455.7212852514403,2458.860332933724,2460.178106956649,2460.6495760542834,2457.1019083319356,2460.7814931105045,2466.150972238119,2469.4140738365663,2470.4025483051378,2471.5817982501467,2472.544642880557,2475.375388450549,2476.748642438252
D12,3671.6485714521577,3669.416153783158,3674.0178364901885,3669.796909104786,3674.9688164915815,3672.6797634717764,3676.77276587686,3676.271403859413,3679.3564852604895,3674.039792020458,3683.84413566952,3679.0148252602985,3675.9771571276806,3667.7137934477378
D13,7231.663673253166,7238.07639957569,7251.990072533047,7268.724186355286,7286.281123998818,7297.739194838721,7301.290855664822,7305.450315818519,7310.836453642034,7316.378391127481,7323.048455308856,7330.159288422849,7337.071652791676,7343.403046362991
D14,5677.5839815248055,5684.0070084607,5693.2083377786985,5697.822733212542,5706.654120121828,5713.768931830509,5718.894470902494,5722.802251802548,5728.701335128916,5735.287518637803,5742.367571431967,5746.831713448345,5753.709224236927,5759.70982244766
D15,7966.676132432631,7992.832911083081,8000.006922762462,8013.395219296408,8027.29580266029,8045.550014758564,8056.77643736636,8070.077231338253,8081.1096500334115,8090.784277388178,8098.596290259672,8107.694838770969,8120.782311417344,8134.09085268627
D16,3084.2122657978343,3085.7366983319234,3087.554777660154,3086.1432003702193,3087.6532641540803,3095.125543244327,3105.407283586804,3112.1692571839076,3112.1173419769098,3111.451398658104,3106.765860808083,3104.3519273511047,3107.4168744766375,3112.99443389697
D17,4036.7853122267043,4039.1040933342033,4043.9347411743342,4044.9925249833104,4049.3072241942446,4054.8433976037404,4058.8812793819284,4063.7475196780783,4066.1719462943524,4069.1973357713255,4073.566245091478,4075.950540502067,4081.2154313236515,4084.914259170127
D18,9543.530645849614,9581.169119778759,9608.770299124906,9623.75050131483,9639.994013888308,9653.153547863569,9658.796269127193,9668.890322243613,9679.593712158236,9692.468394154328,9702.026746154314,9691.88534894426,9685.675681038061,9660.292650324598
D19,2687.3864556976314,2691.5758811125856,2695.768276244864,2699.963641094466,2704.161975661392,2708.363279945641,2712.567553947213,2716.77479766611,2720.9850111023297,2725.198194255873,2729.41434712674,2733.633469714931,2737.855562020445,2742.080624043283
D20,10840.425302252119,10837.83562303189,10836.959338125514,10834.370075952473,10833.493788161964,10830.904526008884,10830.028238218238,10827.438976065157,10826.562688274511,10823.97342612143,10823.097138330784,10820.507876177704,10819.631588387057,10817.042326233977
