V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2031.068764392643,2032.5340174162486,2033.1101092771114,2034.5271714671856,2035.8334694269904,2037.3426807432304,2038.8917520774166,2040.2493093566807,2041.6162763354123,2042.9970561237537,2044.3310106860963,2045.6911159487204,2047.0574948367082,2048.427015492064
D2,2955.937159167796,2949.782090411356,2947.6704866229006,2950.138368641981,2943.9470055338693,2934.9708977122395,2931.616717371365,2930.180057851944,2933.868989534217,2937.9916258297835,2930.735926493078,2922.5596930245392,2913.2060185884693,2912.3003355227797
D3,1122.7587857307767,1121.9858647671617,1121.209702861695,1120.406948678815,1119.5660620986298,1118.7047690778056,1117.815663682284,1116.8933885610736,1115.9576714772472,1114.9852500054164,1113.9853368118393,1112.956015032682,1111.9262026091915,1110.8873793967666
D4,1243.7266814261682,1259.8630412185792,1274.651304220513,1298.3955659814526,1324.3985030025829,1351.5921577562578,1374.5943771443606,1390.1497718948601,1401.1070236306289,1414.0294501206051,1439.1375370256135,1467.0819388909301,1496.0389981141927,1520.0444592939966
D5,5893.9384943083505,5920.043150584897,5946.8498910563385,5974.358102898989,6002.86683755752,6028.284280065183,6053.905242562632,6081.673689597785,6110.07585731146,6150.946499402154,6192.767911472183,6235.342510034868,6278.44656911574,6321.5138892307405
D6,3067.276792483501,3046.746314811511,3028.535498572394,3007.221015822567,2981.52563570384,2956.9510522930364,2933.768359853564,2897.9012230996564,2865.227407256924,2831.735955987303,2811.763243954636,2803.075883499745,2808.5846774201436,2808.072239992498
D7,5254.467617576552,5282.661908576139,5318.404587900593,5300.395465213699,5276.334113951947,5293.955494809926,5296.4742870576665,5301.662904634218,5329.857195633805,5365.599874958259,5347.590752271365,5323.529401009613,5341.150781867592,5343.669574115333
D8,1732.9447259370475,1733.5563637427117,1736.4660986257222,1738.066821845061,1739.1604427893378,1739.2491262802075,1740.228972285758,1737.590041138161,1736.7898618985937,1742.510942307404,1745.0545762834645,1747.55556859544,1750.5655394674934,1752.5110400227543
D9,1586.9730979174149,1586.367462872957,1586.1637403294392,1587.0519115034165,1587.3450493871796,1587.3720410374642,1589.8314481368504,1588.0955917220658,1588.2808898935607,1594.864258071029,1597.271644254119,1600.477742892724,1604.8735918009777,1607.2898253292788
D10,2621.0637860532984,2621.3464485641252,2626.1782687971413,2628.891437292163,2622.276779024628,2618.972270789926,2623.7279709238974,2628.5569137859898,2628.0954376546356,2630.971362153107,2631.4069309568845,2634.4739117353647,2641.7385542308957,2652.399610096073
D11,2440.851922962232,2432.602312266725,2423.7346630637658,2422.2625175967764,2421.1158956974746,2424.2971460473677,2425.46688293534,2420.4454326266737,2410.486953145478,2403.0794384829505,2404.0108762301056,2405.746261205867,2413.0925644663594,2420.837179789156
D12,3671.0953119866745,3678.1244712090247,3683.9072168283633,3688.2911455917233,3691.9261973747048,3695.3562775125106,3698.6152392912513,3700.5209467276736,3700.6896202185044,3698.796786728327,3697.6719554446217,3691.443473491311,3688.034686332967,3687.7706469654827
D13,7241.399562971929,7243.092304081065,7251.158117899282,7267.33248334487,7277.828504603017,7285.885248340226,7291.342626266181,7293.053305463904,7289.85992793536,7283.003932266525,7274.957767794532,7262.270314371499,7257.5980937083805,7252.329389636823
D14,5672.406521620174,5689.046712940292,5730.981580898548,5754.292911837409,5758.5186867290295,5774.145923850463,5801.571451220504,5816.642573700938,5826.82851637242,5847.764287387457,5865.457132725907,5879.328044803827,5888.507544676086,5906.091902991124
D15,8089.719042510397,8212.30787619017,8379.420764338693,8461.20755578756,8605.052800617605,8985.649015518202,9143.081030787858,9301.511196836016,9435.061877659498,9570.963317344109,9728.822968256742,9875.561826063962,10270.104222575512,10454.751407361513
D16,3062.933498270148,3050.3455331289697,3039.112211865691,3027.7858336696604,3013.500781161381,2999.4149356333724,2983.9155135827623,2971.233800858305,2954.959981799469,2937.595443801798,2920.810852664488,2901.399545965183,2883.9471206655967,2865.3258290094604
D17,4044.6466645695828,4042.187676737973,4046.994140961239,4049.6795045502945,4049.438845299018,4053.247525793533,4054.8796335101706,4053.5920786966426,4053.975878805972,4051.144800468864,4051.497080345171,4045.786521739269,4042.9789494763672,4040.3258876127443
D18,9534.727785126446,9535.614194493472,9534.088440323565,9531.866559991948,9530.02057235984,9528.239233164511,9526.256538829386,9524.37190856084,9522.53151358405,9520.667166005784,9518.799868522683,9516.94147712045,9515.078805484462,9513.21374502534
D19,2692.0772811914653,2711.4522611886255,2748.644717866257,2764.8556880174124,2764.8778188180795,2768.562369783396,2808.2583790932367,2863.8293059116822,2858.8589812878454,2848.1987641811165,2853.913638767365,2880.783916555145,2893.075233594482,2894.784481404633
D20,10821.53222413797,10801.823592501623,10782.654963568677,10768.409642755774,10758.612115142263,10745.749083243085,10726.465888073524,10702.284198893853,10677.89821149392,10654.643544614883,10637.040258235893,10623.882770266173,10609.605967615384,10590.015405960863
D21,2679.8555888539227,2696.8941701390404,2739.9494065468975,2759.0388792257654,2762.70227647588,2757.868350348084,2792.9081491079214,2846.254962314691,2842.296187905666,2837.254220292288,2839.79161484197,2868.2895533464884,2880.035456012405,2894.615863509867
D22,2844.6122096870045,2833.4529370299715,2820.300793009364,2810.552896456307,2806.191781568875,2801.4873140375244,2794.4103503612196,2791.2577416802887,2792.753456070246,2801.9694037176573,2805.7288098218933,2813.574648479902,2830.139974547125,2839.9293753653365
D23,1933.0400246863235,1931.7890698356766,1932.0227141009207,1921.5367748211634,1911.6220773105547,1903.2188821430905,1910.3460282608257,1912.9747894155907,1916.9562139501616,1925.326646615786,1929.1515263302376,1937.792245717572,1943.2001699072036,1946.7205740771592
D24,2540.151361070848,2536.091805349599,2533.604085500953,2529.8826851860235,2528.1979124059794,2524.8637579561882,2521.6801821697222,2521.4440687007695,2524.9458117111994,2530.1227279145287,2534.0450036659986,2539.721567090339,2543.2418144715894,2546.1851507555384
D25,1596.9396925650249,1599.5292045687645,1599.6595937307056,1598.9487135823126,1598.0277091443406,1597.8394250353742,1599.647393237166,1601.0037117816876,1604.4475120340483,1607.083226694001,1608.002335795771,1609.3030466336222,1611.308710700798,1613.0189882648717
D26,2367.4333063250288,2368.3688231249957,2369.2224181804045,2368.1078657234393,2368.939103472238,2368.9738772508213,2371.438635860723,2374.9720439780785,2379.557338052533,2384.5042633597586,2391.07469861702,2399.774721862127,2407.2833470876644,2413.6011141027943
D27,1714.954907230173,1712.2687815476424,1709.8143480280587,1707.25906124988,1705.035782546816,1702.7859502579086,1700.9131367773814,1699.8105106559312,1699.469223809547,1699.4733655893067,1699.38709846493,1699.5395640682889,1699.4722997402687,1699.4968855392206
D28,424.24135066891535,424.13223183072984,424.0394732454386,423.96962535688937,423.9207219117642,423.88979853444977,423.8737069009904,423.86921606332277,423.8730374403501,423.8818418347342,423.89227575947064,423.9009777872586,423.90459492827574,423.8997989657408
D29,6413.207512425844,6417.561626905993,6423.2291696484735,6428.803602923056,6429.009361675423,6420.168570869295,6419.489603580259,6426.218725794399,6441.6888023109095,6459.2473380665115,6474.97437257558,6486.85025014545,6513.600782556812,6546.139490048974
D30,610.249796014249,610.4689122806238,610.7340399731988,611.0512013404152,611.4133661567615,611.816061241825,612.2551019860563,612.7261446611634,613.2246851518911,613.7460846277912,614.2855928667965,614.8383714299695,615.3995172278389,615.9640864066414
D31,2121.308751117426,2123.5960953307826,2126.1536436524457,2128.9716489542393,2132.0390540872245,2135.3435463741826,2138.8716182094504,2142.608633471011,2146.5388994214404,2150.6457437475406,2154.9115963634836,2159.318075579044,2163.846078213273,2168.475873214695
D32,1925.2383634432517,1928.5140432757642,1932.0168989239319,1935.7356185350934,1939.6577748033687,1943.7698862219265,1948.057483463358,1952.5051805648388,1957.096750571368,1961.815205268631,1966.6428786171318,1971.5615134811887,1976.5523512303444,1981.5962237767399
D33,6738.090387864302,6753.089671548949,6729.832646775298,6731.571441260473,6748.35349687106,6756.3065214382395,6749.766760892209,6739.3378391165115,6754.337122801158,6731.080098027507,6732.818892512682,6749.6009481232695,6757.553972690449,6751.014212144419
D34,2314.0106342710747,2313.967230777563,2313.9833627407834,2353.652147243722,2353.5907943329894,2355.2736618131817,2394.3308034722463,2394.3419507678145,2396.060402396634,2435.153137914368,2435.199884320443,2437.589248306055,2476.7251299095838,2476.6295131550364
D35,1666.4664652523238,1671.317127498313,1676.9761507106643,1682.9436167168255,1688.1649716523332,1694.6455686756508,1701.4330448186095,1709.8155253997043,1731.6488639681245,1749.365361998069,1766.323522353709,1783.4747169064287,1803.443377629247,1824.439772626088
D36,3775.7566608924494,3770.8394290440497,3762.5065179086355,3758.449862823423,3754.4150679232557,3750.200094228626,3742.0262806270307,3731.7525590169002,3722.433489293897,3717.768277234384,3710.3081320973733,3705.4297318947674,3700.693684760747,3695.953765036716
D37,2432.98642704526,2435.7416774602902,2438.4969278753206,2438.2128304097646,2438.807443288125,2430.031142600954,2422.5622601143646,2409.5486871596245,2412.303937574655,2415.059187989685,2414.775090524129,2415.3697034024894,2406.5934027153185,2399.124520228729
D38,2296.155722929078,2279.9568747653825,2301.612612607321,2263.97311138982,2288.862563507548,2286.9792590149245,2255.494162308597,2268.820136265743,2253.012137263322,2243.3509677595735,2242.988282304096,2228.850396203108,2224.9875412785664,2209.953301911392
D39,2506.1985438598836,2501.341624727013,2393.3061237983698,2390.614344646773,2374.0821466204675,2346.413118871055,2321.2078630097803,2304.548824225432,2327.724225087947,2326.1283430192457,2312.699077093636,2348.9059151301885,2315.546198756987,2307.0612835533516
D40,3913.7323049751367,3936.2263286905127,3948.8472700377074,3949.899311846187,3947.5506940222467,3951.7640956962186,3964.498336997889,3977.9729689111045,3994.5943998213424,4002.842577252397,4001.356563587965,3998.564365109336,4004.6026792766897,4021.51147217364
D41,6573.046719624659,6551.608157151867,6564.013218238078,6553.626402154874,6532.660884893745,6510.6030233598585,6509.332914111082,6499.171683315476,6482.193028666336,6447.7674095315715,6417.038279835205,6380.231881368275,6357.898464756014,6348.329380441807
D42,6840.493806286632,6798.902050312171,6885.944589876806,6801.430861227031,6729.947068485651,6656.130988373538,6631.316299059326,6610.119175986755,6522.868256194644,6439.33699734937,6400.939375854486,6328.588652078589,6252.155972146076,6249.612692679353
D43,1121.9792169989826,1117.5558129379508,1110.4165780509259,1110.2254145325355,1108.4739174911665,1106.8218872146326,1106.556384830626,1109.449069811825,1109.3205422016915,1110.5022726987615,1115.887824355806,1115.2706221281237,1110.4939465335624,1114.501977407472
D44,8590.936199140313,8595.129387061517,8590.06515578622,8578.979252319925,8569.00468898838,8564.963268956697,8565.061430298876,8562.974386580396,8559.651558206917,8550.181302224346,8536.457240330887,8524.859058483007,8519.784123316756,8519.198408883118
D45,1121.414940883144,1122.6155720858499,1123.060114488856,1122.8958487500217,1124.1432358633285,1125.9107135944257,1126.198596309816,1126.677117414817,1128.020922266822,1129.0387172958742,1129.922655467841,1128.8783856782643,1130.9979606142592,1131.7061427118463
D46,10168.049575334286,10168.407692373778,10168.785700800205,10169.163138881771,10169.540593316911,10169.918047283143,10170.295501262819,10170.67295524211,10171.05040922141,10171.427863200712,10171.805317180013,10172.182771159314,10172.560225138615,10172.937679117917
D47,1008.8971432187535,1015.9124951915243,1013.2397979925285,1010.7364076519452,1012.584336918748,1013.7890550316934,1010.7880169353137,1005.3728049989534,1009.6756299997576,1009.6500858772524,1005.0897174437259,1007.3033573984073,1013.1947236754553,1015.8923287866866
D48,10473.790933959634,10481.180984606499,10489.184686720148,10497.813595493959,10507.076230222716,10516.978032780833,10527.521341093516,10538.705377730106,10550.526253675185,10562.976987259057,10576.047538155384,10589.724856280347,10603.992945355096,10618.832940821814
D49,11060.393615366684,11042.68627441606,11044.884166244658,11046.743803842995,11046.843010055127,11046.89097163523,11048.259992527395,11050.184399100151,11049.304627459604,11049.045414779064,11050.18021482189,11051.245273918288,11051.910780345668,11054.613024211832
D50,9920.424214355253,9923.538173849443,9897.835126852053,9908.612537353109,9880.209072791611,9884.830859557569,9878.120184215615,9894.287503196801,9867.559360234094,9908.065127941121,9891.10756401371,9853.229081988606,9845.374308135277,9986.922805149834
D51,1017.4420733513706,1018.105390184819,1017.4631581810783,1011.5250068556949,1011.63040772999,1015.2357688814899,1012.6944099959685,1013.5475076246493,1006.3252263737376,1006.2120876587948,1004.6120716830936,1007.2175910215021,1009.8514433617136,1014.4750281349795
D52,2941.2644348105705,2936.569608994829,2951.8791005320304,2904.4268613460636,2881.3020531646093,2882.7316006251062,2866.3819750500784,2830.476737814908,2823.9014102220503,2830.879271628456,2818.345048863494,2809.0688769494764,2819.5416772584417,2813.3039589235045
