V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2039.3501313343081,2040.9121490015823,2043.1700260780422,2045.1363328483214,2047.7379266608623,2050.6296419984824,2053.1462650180615,2054.939852411329,2056.3023457906907,2058.1734372905853,2059.5829237293583,2061.4818573345847,2063.5552449520924,2065.172787003208
D2,3012.256382032644,3013.0648323321097,3014.049807265787,3014.4837890915696,3014.993879473103,3015.667031162659,3016.3736161001916,3016.8470999754295,3016.840785869302,3016.829871344003,3016.210394315109,3015.5027795278443,3015.0717076396427,3014.7477451993577
D3,1131.599771836531,1138.7239984076175,1145.0898972754264,1150.8683412402931,1156.1937462932765,1161.1718499105407,1165.8858297986767,1170.4011171664179,1174.769183053923,1179.0305168243922,1183.2169691753693,1187.353595253536,1191.4601045291279,1195.5520013303342
D4,1209.9175723148976,1186.4391838583679,1196.0095913735533,1185.0171770552197,1464.7479480236038,1416.974279766211,1382.8572742667232,1357.8658880981122,1322.5533610799423,1314.1884135760022,1303.5667172214687,1473.322181832402,1440.5153317081335,1421.9849518805638
D5,5900.569631598156,5921.600580618812,5941.900871953668,5961.240261683906,5990.070491788,6017.311673851833,6033.29377166545,6050.475539942536,6069.4904954376525,6101.04695997958,6118.043805205256,6136.206380866964,6152.82114533357,6177.139825545322
D6,3111.235933720832,3118.7244552940497,3125.890243875733,3132.833201132164,3139.6229836916928,3146.3081597719884,3152.9225936559365,3159.4898972797064,3166.026534111064,3172.543983334471,3179.050248833304,3185.550911330592,3192.0498619961672,3198.5498139556553
D7,4326.5186387192225,4331.156482071565,4335.7955588821715,4340.435869151044,4345.077412878181,4349.720190063583,4354.36420070725,4359.009444809184,4363.65592236938,4368.3036333878445,4372.952577864571,4377.602755799564,4382.254167192823,4386.906812044346
D8,1733.135495702158,1733.6208495349606,1734.2835548946496,1735.6663039812324,1735.6448134576156,1736.4306776903143,1737.3638889840606,1738.2758906240072,1739.0721410073525,1739.7658952286693,1740.4770561165178,1741.2018019778463,1741.881153008255,1742.6164868380656
D9,1585.6152303584831,1586.0150537575698,1586.5730612706782,1587.6037100236501,1587.685224142821,1588.3013885214807,1589.0059114692597,1589.7029044265867,1590.328186903929,1590.8864939195705,1591.4533052168304,1592.024933111724,1592.5742456846313,1593.1514228721612
D10,2620.379265032408,2621.011427124055,2622.462542505105,2624.748220528487,2626.1830432503043,2626.3179517452013,2627.4875154227298,2629.6811931449583,2630.198678837696,2630.8100013593858,2631.9842777446165,2632.836128572337,2633.6268334408637,2635.3370534810733
D11,2453.6612743760415,2456.5802085349615,2458.335489786495,2460.128525812298,2461.304559905966,2462.592306751984,2463.4765137115587,2467.507045257847,2471.459996302539,2474.258359693399,2476.663169205218,2478.996241510512,2481.3203244228325,2483.6414976766905
D12,3664.3690340900393,3666.5280185889933,3667.8149669439927,3669.6005444055613,3671.705481760041,3674.53238235174,3675.9084642228836,3677.203393530513,3679.8356356832446,3680.647100852599,3681.8301266769413,3683.090295858939,3684.3103108224877,3685.5338698834967
D13,7237.283041126621,7243.637608162442,7249.964022184827,7256.262600650631,7262.533657437026,7268.777502881869,7274.994443823604,7281.184783640734,7287.348822290824,7293.486856349077,7299.599179046485,7305.686080307527,7311.747846787457,7317.784761909171
D14,5676.375508120859,5679.788344320755,5691.43896942325,5695.127907247603,5700.434826472901,5707.253680583236,5715.3288432261415,5722.982691955139,5730.46294535108,5738.061430073811,5745.8475208157015,5753.662119503059,5761.453957223444,5769.24837084987
D15,7961.288188449162,7972.688166913242,7984.099935392242,7995.523493886158,8006.958842394994,8018.4059809187465,8029.864909457419,8041.335628011009,8052.818136579518,8064.312435162944,8075.81852376129,8087.336402374553,8098.866071002734,8110.407529645833
D16,3082.429105881898,3083.8204180621437,3085.359571250315,3084.6309853756343,3085.9207373441377,3091.4473255093185,3099.0476135832196,3104.251141984387,3104.672351684788,3104.6417110725843,3101.818107884037,3100.5802105184384,3103.256820997736,3107.8083028630253
D17,4034.780720950472,4034.2959696843595,4039.797524946532,4036.6684376394805,4040.6846503613906,4047.229044974755,4051.2089953414097,4058.21194346723,4057.657280266573,4057.496557305692,4062.444109375346,4061.396484977634,4067.5161151624748,4069.1487007227497
D18,9529.595322799925,9521.217438686605,9523.918274786916,9534.220114290945,9542.03428205531,9540.74285472633,9533.790528497528,9531.15593870312,9529.169001044158,9537.741611421525,9553.164564039322,9565.134582038114,9566.854221505026,9561.648090265215
D19,2686.9085936844135,2690.6201570861504,2694.3346902052117,2698.0521930415957,2701.772665595304,2705.4961078663355,2709.2225198546907,2712.9519015603696,2716.6842529833716,2720.419574123698,2724.1578649813473,2727.8991255563205,2731.643355848617,2735.3905558582373
D20,10839.982961657495,10839.26548370052,10838.548722078387,10837.83195534736,10837.115188652768,10836.398421957916,10835.681655263066,10834.964888568216,10834.248121873366,10833.531355178517,10832.814588483667,10832.097821788817,10831.381055093967,10830.664288399117
D21,2676.572667194703,2681.3504826974354,2686.1334465081977,2690.9215586269897,2695.714819053811,2700.5132277886614,2705.3167848315416,2710.1254901824514,2714.939343841391,2719.7583458083586,2724.5824960833575,2729.411794666385,2734.246241557442,2739.085836756529
D22,2864.592403294177,2871.1604891303186,2877.5521983956655,2883.775129862878,2889.836554929242,2895.7434317208704,2901.502418589262,2907.1198870263925,2912.601934023384,2917.954393896734,2923.1828496050384,2928.292643578162,2933.2888880798528,2938.176475123915
D23,1924.8922772150243,1923.5871734305467,1922.2746886465673,1920.954822863086,1919.6275760801034,1918.2929482976192,1916.950939515633,1915.601549734145,1914.2447789531552,1912.880627172664,1911.509094392671,1910.130180613176,1908.7438858341793,1907.350210055681
D24,2557.198312903318,2564.776784232784,2572.0388369588127,2579.4564291194815,2586.472558848719,2593.0017568438216,2599.3881045412027,2605.3540285017316,2610.708544837605,2616.186418115929,2621.2693462950742,2625.676547524514,2630.0040166929275,2633.8238433828496
D25,1586.3225349841389,1578.4706965321984,1571.696270871183,1565.8317173486491,1560.735421838609,1556.287684671835,1552.3873294246291,1548.9488364896379,1545.899920219923,1543.1794810043564,1540.7358742545841,1538.5254472622316,1536.5113024740585,1534.6622521474076
D26,2372.6205697151427,2374.441139430285,2376.261709145427,2378.0822788605697,2379.902848575712,2381.7234182908546,2383.5439880059967,2385.3645577211396,2387.185127436282,2389.005697151424,2390.8262668665666,2392.646836581709,2394.4674062968515,2396.2879760119936
D27,1719.210060133787,1720.230422973887,1721.2510885203005,1722.272056773027,1723.2933277320672,1724.3149013974203,1725.3367777690867,1726.3589568470666,1727.3814386313595,1728.4042231219657,1729.4273103188852,1730.4507002221183,1731.4743928316643,1732.4983881475237
D28,419.4377430556054,417.017400179757,414.46159183347834,411.72168932194194,409.06372987165133,406.39222435070093,403.7156304625849,401.0393346318417,398.35984366364346,395.6773972590065,392.9918190364335,390.3028050107305,387.61020650571777,384.9138836302396
D29,6416.808326529356,6424.623599377144,6432.445818543365,6440.274984028016,6448.111095831099,6455.9541539526135,6463.8041583925615,6471.6611091509385,6479.525006227749,6487.395849622991,6495.273639336665,6503.15837536877,6511.050057719307,6518.948686388275
D30,607.9968175384543,605.7241677666834,603.4011816108039,601.0702437053801,598.7350046423248,596.3956794562707,594.0521781683229,591.7043834564416,589.3521753135552,586.9954332668871,584.6340366073267,582.2678644423737,579.896795733485,577.5207093320753
D31,2114.365047710675,2112.360946065884,2114.4937457275746,2118.4199971254643,2120.636517957949,2123.31101127814,2123.1008663576745,2122.336120914647,2124.4552407315086,2130.4845482394594,2137.9102217344252,2143.075040424302,2148.028619941089,2149.311669207263
D32,1917.1582713639773,1915.3879310544112,1918.2044984384947,1923.0181936973422,1925.9652256493196,1929.354100616554,1929.5615001338542,1929.1393939064628,1931.8562196345383,1938.8259133002769,1947.2708675205868,1953.160912499454,1958.6791268307115,1960.0853121711045
D33,6704.859027883212,6690.403252991474,6668.272596442128,6633.002641285938,6607.954964940815,6587.165568300309,6572.490795175913,6563.865726135775,6559.768291071167,6562.606747198121,6572.418393757538,6589.0935252322015,6614.997716605001,6622.102322937881
D34,2283.929914242006,2287.864618305751,2291.8041121912356,2295.7483958984594,2299.697469427423,2303.6513327781263,2307.6099859505684,2311.5734289447505,2315.5416617606716,2319.514684398332,2323.492496857732,2327.475099138872,2331.4624912417503,2335.454673166369
D35,2614.1279454505134,2614.6860944082378,2615.220456599056,2615.730874543977,2616.21719782049,2616.6792831068938,2617.1169942245324,2617.5302021779316,2617.91878519281,2618.2826287519697,2618.621625629044,2618.935675920097,2619.224687073067,2619.48857391504
D36,3781.417796439714,3781.2920164494944,3780.8857056637676,3781.1485560613314,3781.6711213950293,3783.2817477399262,3785.450609695876,3787.2011540973244,3788.0640235786295,3788.520781523312,3789.494759718341,3790.552167231647,3792.5123982846426,3794.840051678344
D37,2443.3721093602694,2439.0696894422244,2437.408499250653,2436.461707540201,2435.9955571123037,2435.7540750104545,2435.631237995847,2435.5683482378854,2435.536224081826,2435.5198016079407,2435.5114085703235,2435.507118695167,2435.5049261216004,2435.503805473213
D38,2295.771372216123,2298.601244085767,2299.9993730396886,2300.637402156295,2300.687917506695,2300.3176607505197,2299.6432771823756,2298.7506603240463,2297.702486414869,2296.544562700067,2295.3103583525826,2294.024328888743,2292.7043435045657,2291.3634589122835
D39,2494.709571552761,2472.1649286548595,2452.8334688198706,2420.9304043712195,2392.058296098964,2353.499708801058,2299.203326598858,2260.21853216063,2213.7123701210535,2180.134007433262,2140.2288940475787,2106.7783926265065,2075.8816128523026,2045.6241549586268
D40,3874.6183689501067,3859.0035581688676,3845.780623543086,3834.625431302982,3825.257772486701,3817.4354104943454,3810.9489352844193,3805.617314900983,3801.2840498331366,3797.8138485143486,3795.089753339643,3793.010656148971,3791.4891503984845,3790.4496743936147
D41,6596.922794706639,6464.587935863216,6531.974495436797,6400.19477601815,6364.739866558097,6067.8995465717,5893.242323000553,5426.021654569398,5256.405414546927,4905.650998610241,4691.0100690622185,4366.43426604106,4223.994149915702,3967.5070183410753
D42,6917.778300930793,6869.647005926875,6833.990422716005,6805.19217635413,6780.164500817027,6757.209806624768,6735.394794421198,6714.2063556494495,6693.362393906699,6672.707818463272,6652.157363664624,6631.664152228924,6611.202412002497,6590.757973991772
D43,1129.3159011692544,1131.4895823755658,1133.1739469353179,1134.5493619287731,1135.7202858826547,1136.756528390856,1137.7040219367693,1138.5930370320118,1139.4435193065408,1140.268611417373,1141.0769733631635,1141.874311417025,1142.6643855740253,1143.4496733817086
D44,8587.418865433407,8614.327919990152,8615.502100856274,8628.024726567344,8648.925510912928,8635.984189798859,8578.499963687047,8608.19715627442,8641.646543165969,8671.521122603015,8703.643031069829,8684.470534182568,8693.587356124899,8707.336698440475
D45,1126.7462184094977,1129.1962635360592,1131.3966129843782,1133.6399006591612,1136.4773022686954,1138.987446959987,1140.967319798172,1143.2724080721118,1145.644809270313,1148.483774402738,1150.9305814390932,1153.2809626422447,1155.854987450903,1158.2711061943317
D46,10190.65560479642,10200.445268706431,10206.192891289704,10210.762223973938,10214.988074992863,10219.113798144697,10223.210333159926,10227.298359581662,10231.383905675028,10235.46872873129,10239.553341016002,10243.637891858989,10247.722424791184,10251.806952502226
