V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2033.1166666666668,2032.0166666666669,2031.0083333333334,2035.0000000000002,2036.9916666666668,2037.8000000000002,2040.8750000000002,2043.6000000000004,2047.5833333333337,2047.8750000000005,2050.1083333333336,2054.991666666667,2057.4333333333334,2059.4416666666666
D2,2960.4375,2970.9125,2980.275,2990.7875000000004,2986.675,2969.3375,2955.0,2963.8375,2973.2000000000003,2983.7125000000005,2979.8375000000005,2955.0000000000005,2945.9375000000005,2957.6875000000005
D3,1120.6690476190477,1117.8380952380953,1115.007142857143,1112.1761904761906,1109.3452380952383,1106.514285714286,1103.6833333333336,1100.8523809523813,1098.021428571429,1099.3571428571431,1096.5238095238099,1098.8928571428576,1100.2261904761908,1102.5904761904765
D4,1138.7727272727273,1099.3181818181818,1067.8181818181818,1057.6363636363637,1063.3636363636363,1064.6363636363637,1051.2727272727273,1045.5454545454545,1045.2272727272727,1057.3181818181818,1085.0,1087.8636363636363,1088.8181818181818,1087.5454545454545
D5,5894.4488,5920.3476,5946.2404,5972.156,5998.7472,6017.6318,6035.6448,6056.8458,6078.1802,6124.0866,6170.9212,6218.355799999999,6266.012999999999,6312.814399999999
D6,3095.7221124999996,3071.0996124999997,3053.7490875,3014.9144625,3002.3329624999997,2991.4165124999995,2995.7804999999994,2984.0904999999993,2960.7295374999994,2935.3871999999997,2952.2179625,2976.3026624999998,2999.0738749999996,3014.7569124999995
D7,5249.8569705882355,5284.145970588235,5333.104794117647,5305.381176470588,5269.464999999999,5296.290029411764,5297.074588235294,5297.652558823529,5331.941558823529,5380.90038235294,5353.176764705881,5317.260588235293,5344.085617647058,5344.8701764705875
D8,1733.405,1735.56,1736.75,1738.79,1741.3445,1741.9705,1743.3229999999999,1746.0524999999998,1745.5694999999998,1745.7269999999999,1746.899,1749.0964999999999,1752.8474999999999,1755.984
D9,1585.911,1587.731,1588.6345,1590.3649999999998,1592.6194999999998,1593.1189999999997,1594.2859999999996,1596.6449999999995,1596.0139999999994,1596.0114999999994,1596.9689999999994,1598.8534999999993,1602.1704999999993,1604.9064999999991
D10,2622.18,2620.0699999999997,2616.9599999999996,2622.1599999999994,2615.5499999999993,2613.2899999999995,2604.0999999999995,2601.7499999999995,2602.7899999999995,2618.4099999999994,2612.3799999999997,2618.5599999999995,2623.1999999999994,2630.3399999999992
D11,2441.0125,2435.365625,2428.9562499999997,2427.3875,2425.3468749999997,2426.4156249999996,2425.7531249999997,2423.840625,2419.521875,2415.390625,2418.86875,2424.9968750000003,2429.4968750000003,2436.378125
D12,3663.105555555556,3663.7722222222224,3662.4,3666.3944444444446,3665.588888888889,3662.527777777778,3650.927777777778,3653.4555555555557,3661.327777777778,3672.05,3659.6444444444446,3645.488888888889,3649.194444444445,3649.5277777777783
