V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2038.1234840298491,2040.228924856208,2042.3851076686024,2044.5663233661257,2046.7460470140845,2048.8980249549027,2050.9973507640543,2053.0214860009532,2054.9511839647885,2056.7712786363545,2058.4713065062015,2060.04593583111,2061.4951857448336,2062.824426252422
D2,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563,2938.7221639338563
D3,1138.1328416211736,1147.2969986204514,1153.6792503196834,1158.6565459992134,1162.9345592903737,1166.8749413309854,1170.6630349476466,1174.3938266059843,1178.1159959814831,1181.8544909526615,1185.6220970739903,1189.4253668225876,1193.2676582817091,1197.150692437624
D4,1189.0434484751663,1160.0644471569694,1140.781936206561,1111.7855259527569,1706.0340156803236,1676.9931946879342,1630.4860175375668,1601.4598793896134,1572.3239710404375,1543.2535583464355,1477.0267309223802,1771.6596318287516,1744.6098834253735,1706.3629998943698
D5,5893.344364174442,5910.972381617155,5929.520127588174,5946.9326603969275,5969.231539970869,5989.156978297346,6005.232702107029,6022.670854775133,6041.188535321664,6065.4727203423445,6083.263719938906,6101.2200046447915,6117.75547098436,6138.551851572476
D6,3110.215727972419,3117.115064347913,3123.9826951116593,3130.8216506301324,3137.6347255358296,3144.4244970651557,3151.1933419697907,3157.9434521125154,3164.6768488498274,3171.3953962957194,3178.100813553672,3184.794685997102,3191.478475672302,3198.153530892132
D7,4326.5186387192225,4331.156482071565,4335.7955588821715,4340.435869151044,4345.077412878181,4349.720190063583,4354.36420070725,4359.009444809184,4363.65592236938,4368.3036333878445,4372.952577864571,4377.602755799564,4382.254167192823,4386.906812044346
D8,1732.7540283400806,1733.4680566801615,1734.1820850202425,1734.8961133603236,1735.6101417004047,1736.3241700404856,1737.0381983805664,1737.7522267206475,1738.4662550607286,1739.1802834008097,1739.8943117408903,1740.6083400809712,1741.3223684210523,1742.0363967611333
D9,1585.3367712550607,1585.9035425101215,1586.4703137651823,1587.037085020243,1587.6038562753038,1588.1706275303645,1588.7373987854253,1589.304170040486,1589.8709412955468,1590.4377125506073,1591.004483805668,1591.5712550607288,1592.1380263157896,1592.7047975708504
D10,2620.0914234379266,2620.540625501749,2622.125862996333,2624.7277199818404,2626.231867843231,2626.126526525293,2627.329699224383,2629.767052894699,2630.0911590692203,2630.5594654479964,2631.7017334696966,2632.4628648525227,2633.2247206832685,2635.0681029587026
D11,2450.010704624199,2455.25521375866,2460.251144259757,2465.0149470977417,2469.5619845152482,2473.906602079455,2478.062195965805,2482.041275788899,2485.8555232752133,2489.515847052864,2493.0324338153623,2496.414796099358,2499.6718169004357,2502.8117913362353
D12,3666.2110775427996,3668.122155085599,3670.0332326283988,3671.9443101711986,3673.8553877139984,3675.7664652567983,3677.677542799597,3679.588620342397,3681.4996978851964,3683.4107754279958,3685.3218529707956,3687.2329305135954,3689.1440080563953,3691.055085599195
D13,7228.941272814063,7235.504896476401,7253.571256471978,7276.915341892819,7300.534827495906,7314.70165168281,7317.306006496352,7320.229523964993,7325.0474377979945,7330.310220383804,7337.223484065007,7344.884954473862,7352.2509906394735,7358.688676603608
D14,5682.8342362069425,5690.576573385326,5698.327011535152,5706.085550656421,5713.852190749133,5721.626931813285,5729.409773848883,5737.200716855922,5744.999760834403,5752.806905784326,5760.622151705692,5768.445498598501,5776.276946462753,5784.116495298445
D15,7961.288188449162,7972.688166913242,7984.099935392242,7995.523493886158,8006.958842394994,8018.4059809187465,8029.864909457419,8041.335628011009,8052.818136579518,8064.312435162944,8075.81852376129,8087.336402374553,8098.866071002734,8110.407529645833
D16,3096.5522737806305,3099.2223639248086,3102.8077385997167,3096.838554262298,3099.49088632134,3119.5992841769626,3147.7974360444764,3165.4741193056507,3163.031184267621,3158.7723711173285,3142.5870825727375,3133.0721117319467,3139.563360319911,3153.2552098741357
D17,4036.0879807272204,4038.47666809656,4040.8660621080185,4043.256162761596,4045.6469700572925,4048.038483995108,4050.4307045750425,4052.823631797096,4055.217265661268,4057.6116061675593,4060.0066533159697,4062.402407106499,4064.7988675391475,4067.196034613915
D18,9536.660329023349,9534.420921007579,9532.181775952686,9529.942893858672,9527.704274725536,9525.465918553278,9523.227825341899,9520.989995091399,9518.752427801777,9516.515123473035,9514.27808210517,9512.041303698183,9509.804788252075,9507.568535766844
D19,2686.9085936844135,2690.6201570861504,2694.3346902052117,2698.0521930415957,2701.772665595304,2705.4961078663355,2709.2225198546907,2712.9519015603696,2716.6842529833716,2720.419574123698,2724.1578649813473,2727.8991255563205,2731.643355848617,2735.3905558582373
D20,10839.977499032368,10839.259907722513,10838.54295872655,10837.8260053919,10837.109052086558,10836.392098781018,10835.67514547548,10834.958192169941,10834.241238864402,10833.524285558864,10832.807332253326,10832.090378947787,10831.373425642249,10830.65647233671
D21,2676.572667194703,2681.3504826974354,2686.1334465081977,2690.9215586269897,2695.714819053811,2700.5132277886614,2705.3167848315416,2710.1254901824514,2714.939343841391,2719.7583458083586,2724.5824960833575,2729.411794666385,2734.246241557442,2739.085836756529
D22,2864.784539307164,2871.5281904011013,2878.0799807513904,2884.448532153201,2890.642078957402,2896.668485481444,2902.535262637839,2908.2495838153936,2913.818300046775,2919.2479544944754,2924.5447962858143,2929.7147937262275,2934.7636469187764,2939.6967998165665
D23,1924.8922772150243,1923.5871734305467,1922.2746886465673,1920.954822863086,1919.6275760801034,1918.2929482976192,1916.950939515633,1915.601549734145,1914.2447789531552,1912.880627172664,1911.509094392671,1910.130180613176,1908.7438858341793,1907.350210055681
D24,2558.2371940111652,2566.6799078040867,2574.6924600963703,2582.705872828133,2590.109868659235,2596.903591366494,2603.563146848425,2609.784818534441,2615.3385748596083,2620.9985521875324,2626.0877589817314,2630.356401941582,2634.5660290789297,2638.275235266816
D25,1590.0856467587184,1585.09298405809,1580.440535270293,1576.0994521909977,1572.0432955555577,1568.2478338829746,1564.690859117194,1561.352017663081,1558.2126555315645,1555.2556764157796,1552.4654116184145,1549.8275008406376,1547.3287829256276,1544.9571957254525
D26,2372.6205697151427,2374.441139430285,2376.261709145427,2378.0822788605697,2379.902848575712,2381.7234182908546,2383.5439880059967,2385.3645577211396,2387.185127436282,2389.005697151424,2390.8262668665666,2392.646836581709,2394.4674062968515,2396.2879760119936
D27,1719.210060133787,1720.230422973887,1721.2510885203005,1722.272056773027,1723.2933277320672,1724.3149013974203,1725.3367777690867,1726.3589568470666,1727.3814386313595,1728.4042231219657,1729.4273103188852,1730.4507002221183,1731.4743928316643,1732.4983881475237
D28,420.66081102585457,417.4595200292531,414.4911876948858,411.6551188415316,408.89335325879927,406.1725290127026,403.4734429528081,400.785041733506,398.10096304202864,395.4175447270989,392.7326788521098,390.0451520874107,387.3542660396812,384.6596187132819
D29,6416.808326529356,6424.623599377144,6432.445818543365,6440.274984028016,6448.111095831099,6455.9541539526135,6463.8041583925615,6471.6611091509385,6479.525006227749,6487.395849622991,6495.273639336665,6503.15837536877,6511.050057719307,6518.948686388275
D30,607.0364987785083,604.3277296983853,601.6136927596306,598.8943879622445,596.169815306227,593.4399747915779,590.7048664182976,587.9644901863854,585.2188460958422,582.4679341466672,579.7117543388609,576.9503066724232,574.1835911473538,571.4116077636529
D31,2122.8260763452117,2126.3747522309486,2129.946027657205,2133.539902623985,2137.156377131287,2140.7954511791067,2144.457124767454,2148.141397896321,2151.8482705657116,2155.577742775622,2159.329814526052,2163.1044858170076,2166.901756648485,2170.7216270204835
D32,1925.2905182374375,1928.403159994115,1931.537925270033,1934.6948140651948,1937.8738263795933,1941.0749622132303,1944.2982215661127,1947.5436044382302,1950.8111108295898,1954.1007407401912,1957.4124941700295,1960.7463711191062,1964.102371587425,1967.4804955749878
D33,6671.703473685047,6619.7223014925585,6584.546712645362,6560.743439295444,6544.6357964459585,6533.7357763372775,6526.359747486882,6521.368398749963,6517.9907598172995,6515.705116124431,6514.158424131919,6513.111779754597,6512.4035169214785,6511.924236421199
D34,2283.929914242006,2287.864618305751,2291.8041121912356,2295.7483958984594,2299.697469427423,2303.6513327781263,2307.6099859505684,2311.5734289447505,2315.5416617606716,2319.514684398332,2323.492496857732,2327.475099138872,2331.4624912417503,2335.454673166369
D35,3983.271666525229,3993.7086869399723,4003.747244968855,4013.3843822027493,4022.6172585330787,4031.4431529888107,4039.859464538338,4047.863712856017,4055.453539053129,4062.6267063730575,4069.3811008504686,4075.714731934307,4081.625733074422,4087.1123622716455
