V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2031.595546749916,2032.871631118792,2034.653872824225,2035.8098550488921,2038.7707688329479,2043.0968482534934,2048.3210791531437,2051.7408473398455,2054.5037622540813,2056.87883262543,2060.409158429859,2059.3947442541976,2048.8779591574676,2045.6764467834043
D2,3092.1498930215653,2937.94492418394,3113.9182758583243,3105.1992848164246,3090.8733527845247,3142.886635439932,3131.494290947537,3146.409267263315,2978.16346117814,3182.9250089058046,3070.0531938510135,3115.343199098115,3132.5840533273768,3081.957684618975
D3,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718,1151.288702573718
D4,1265.2879213421827,1265.2879213421827,1265.2879213421827,1261.9497504635021,1254.3349102431155,1256.2925362540648,1258.378712925893,1258.378712925893,1261.8164400193507,1261.8164400193507,1274.761973624051,1273.1778664041517,1271.5835288852302,1271.5835288852302
D5,5743.904704505664,5743.904704505664,5752.500937449585,5758.15215269226,5758.289446995124,5765.207613327869,5756.421960510929,5743.904704505664,5743.904704505664,5752.500937449585,5758.15215269226,5758.289446995124,5765.207613327869,5756.421960510929
D6,3100.2738644336273,3048.504047926907,3026.774151309026,3050.7060654158827,3043.222630772553,3087.6139642240278,3023.791055823212,3064.6358552746665,3026.421578813,3069.8414253022847,3050.776020026787,3093.4954588377605,3067.035223254641,3106.6976885679214
D7,4428.59652445416,3944.476809995689,4544.815753736302,5457.973359660779,4795.791679994327,4588.330506983966,3871.0739033333666,5209.312756646686,5298.042400573047,4754.5296508433075,4163.075300436961,3818.5112551640586,5254.243666195522,4979.877543447239
D8,1724.230050785647,1721.8674472129562,1716.739047055884,1716.7113116626074,1715.6582600413283,1714.7626087732328,1717.4249967680237,1714.1985424440993,1714.3440486233887,1716.5417443982064,1713.7545858008732,1691.9456015435053,1692.6394131674463,1646.7715843052872
D9,1581.483300673566,1575.072492227353,1575.2383274258302,1575.119014320751,1573.4444477906056,1572.4581566886086,1573.2243151741695,1572.7352188712298,1574.3807323799745,1574.045702158383,1572.661798175151,1563.8586939614654,1563.5671821265098,1558.8431190669785
D10,2603.867580558953,2603.867580558953,2598.0947320810506,2597.2675040998956,2600.0437730218305,2600.0437730218305,2601.7728259080577,2599.6177554662854,2599.108565661028,2599.004086199029,2599.004086199029,2599.004086199029,2599.004086199029,2599.624535199729
D11,2450.298385545088,2443.9115996637024,2443.569234782736,2435.9973258223827,2424.5479690938682,2400.651937711219,2382.846265149767,2388.0632849850795,2378.177046268853,2360.8113446103143,2368.685528990278,2370.705986092368,2377.421149379501,2366.1804283748734
D12,3698.008850791017,3696.2315670774715,3702.583102801836,3694.3355096845867,3680.29457422267,3682.9337662631456,3663.6694016052484,3651.863919712775,3671.9824941526113,3673.0638801381097,3674.2385389352667,3667.925709677088,3671.7709482414743,3663.397725351728
D13,7284.33537651754,7276.264604388957,7272.780536076835,7276.271218909218,7267.782582271748,7257.901646240397,7251.0942360279205,7283.835180296921,7282.095225750988,7236.280290303861,7227.396785120798,7206.612051710032,7132.563503964559,7103.68999428052
D14,5701.9104305551555,5716.127074507488,5759.655044592828,5786.106469601256,5808.135355303654,5817.261255840803,5830.113189491914,5850.353338503522,5858.448888254523,5890.137032277335,5927.44936342825,5972.180087425152,5989.878365837786,6008.346199412435
