V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2031.123817209528,2032.5406985152301,2033.6511289408309,2035.0750807475476,2036.4222694200212,2037.901972129984,2039.349778119952,2040.6890359189897,2042.059279421818,2043.4297231126463,2044.7962064520884,2046.1670263046658,2047.538307806388,2048.910733555342
D2,2964.05937351152,2961.1403904299486,2959.0823352082184,2957.8942583046264,2954.3995994712586,2950.589090426791,2948.5569405649726,2946.8151831547266,2946.250026170874,2945.2779940557616,2941.7659619583565,2938.254360796024,2934.2248015651962,2932.6447643638435
D3,1125.7053403425293,1127.8223282017752,1129.930316965313,1131.9644784780744,1133.8927736630644,1135.7644147928654,1137.5588416335559,1139.2611787532464,1140.926197861032,1142.489316340829,1143.9761100206651,1145.3812560013791,1146.7850398135001,1148.1638071250627
D4,1318.807095262715,1394.128615923664,1425.184221525394,1432.2201714733917,1434.835984861121,1434.643228097347,1432.84350769161,1431.7072047789227,1433.0792384694525,1435.8039890557395,1437.28623497481,1438.662412479797,1438.4284411260228,1437.0726718476378
D5,5873.382442851556,5878.3033702259245,5883.317683623157,5888.429712637971,5893.6431968595925,5898.961273361122,5904.3864697706895,5909.920702798173,5915.565281976045,5921.320918266865,5927.187737098348,5933.165295314301,5939.252601479054,5945.448138945943
D6,3073.8756235254787,3042.359888762562,3013.4951556359943,2978.39644069238,2947.0687266565856,2917.813468476081,2893.3319081580557,2857.65338176524,2824.873156198793,2793.9210167467504,2770.7532320915657,2755.601780525142,2744.941986855581,2725.977518466637
D7,5255.288009525945,5288.449952164134,5270.4819422086575,5301.294117117196,5290.209777256032,5279.125437394868,5295.38003780139,5301.389047327335,5334.5509899655235,5316.582980010047,5347.395154918586,5336.310815057422,5325.2264751962575,5341.48107560278
D8,1732.1923259633486,1732.524232216376,1733.0151115857727,1733.4101059977254,1733.7710065879405,1733.8874926520502,1734.0066981827017,1734.0667176748898,1734.42376197574,1735.2528742781133,1736.3513696073085,1737.4893441673823,1738.4426003605454,1739.5407178627015
D9,1584.3215739072432,1584.1714482027637,1584.4762482363305,1584.9324743369098,1585.1189573146792,1584.954778510611,1584.9216411335303,1584.9145908907328,1585.415680106495,1586.5886946417697,1588.090423528134,1589.4288089523543,1590.461604581365,1591.6343047653
D10,2620.8530120371533,2619.9981645240255,2621.2806280646646,2623.167703961751,2621.986659534906,2621.7807871565997,2624.1101528977874,2625.22776157835,2625.8089649226486,2628.4582833969084,2630.582171868319,2632.704928952715,2635.73572921113,2638.9422023659113
D11,2440.832802581345,2431.759341327512,2421.174425609139,2419.8839905059217,2419.3021372562607,2424.0667355005,2426.5808959566375,2421.661928420419,2410.277605333728,2401.600728210999,2403.0976902706384,2405.514560616366,2414.767291660628,2425.035628771541
D12,3673.675411978413,3709.596985237204,3714.244465603929,3710.4921642844424,3710.5768269111436,3710.3138535350104,3695.0211649541225,3689.9279715272282,3706.3263543321873,3719.599011258708,3736.130357596351,3732.8823206684597,3742.2573093581327,3730.3873569300763
D13,7215.432804087155,7226.9234985526555,7192.535542745676,7207.834688839573,7220.567704030476,7225.731953498156,7244.604768987974,7262.878468465886,7264.741602386757,7277.840490234978,7292.1266642051305,7307.252433256952,7309.307975022622,7339.662216090989
D14,5684.78202934959,5696.218955407076,5707.811620551297,5718.487598042737,5728.167527708416,5737.00732454787,5746.235906616569,5756.104828093356,5766.823564744548,5777.811052225251,5789.065518595806,5799.239039806487,5809.116363801228,5818.878024400579
D15,8347.241132425317,8150.573550204363,7949.075602042621,7828.268132849858,7634.992657028067,7793.187315449058,8196.160720634116,8342.686395811437,8142.105063209518,7939.609681572464,7827.4723084219395,7630.155431706435,8048.873976650127,8439.499282249888
D16,3063.517545520728,3050.674620677443,3040.160784119357,3030.0232321826647,3015.962669875789,3002.4903248884916,2987.276971026802,2976.548904960954,2960.889905639323,2943.964819359821,2927.9883134614442,2908.498197362271,2892.0833631808973,2873.8232203396387
D17,4045.069888470456,4031.063646948234,4047.0437749760836,4050.046415924002,4061.336817559763,4067.8545683277175,4072.5888731189275,4069.419858330743,4065.2059705260167,4064.163347593521,4067.1617301398396,4065.970327745159,4068.808222114654,4062.704386841686
D18,9535.058078646975,9532.087562895189,9526.814129560393,9521.66799744941,9516.460891727711,9511.251202744026,9506.057703941175,9500.861028976482,9495.662102352087,9490.46491535285,9485.267507884735,9480.069695846158,9474.872032015664,9469.674396404507
D19,2690.9149222128253,2699.2587404673955,2708.718458826804,2717.4398580604025,2726.1816488014138,2734.3334959580534,2744.343222889225,2754.583413393813,2762.8578323569295,2770.727292975158,2778.751897680356,2787.590032026103,2796.115934075355,2804.7756536947436
D20,10820.624904656568,10800.646065763744,10780.667106051958,10760.767853436128,10742.750118304883,10722.819445276342,10702.838868405754,10682.858139603417,10662.877407475913,10642.896679868018,10622.91611355222,10602.938650777534,10582.95915396308,10562.978470953938
D21,2679.722142876465,2687.911920385052,2697.5897646762096,2706.7399276168126,2715.383751662899,2724.026627394601,2733.8926582311938,2744.4207139745763,2753.160353325829,2760.7956688606737,2768.754118063811,2777.6637100240173,2786.3599922264148,2794.794232619388
D22,2831.276246885242,2876.1866398668694,2842.2166799754996,2851.645411486045,2785.92242309539,2765.0418341989416,2740.316262970994,2711.1844692466298,2673.4572223683704,2723.934361279041,2763.19783579461,2799.0969871247726,2807.921342712727,2885.731450876695
D23,1923.1464642575474,1908.6880494377617,1879.5033214072798,1800.8157052443007,1699.1070452311544,1708.5918497004495,1712.0811647331245,1732.4751310994698,1744.9522529894145,1763.535121768113,1791.0124169193543,1765.7713389189166,1753.0450170189756,1719.8486655576635
D24,2537.161367890938,2530.9563504459375,2526.628353992422,2515.7991142577757,2505.4592684332024,2493.7490142027655,2485.305817038378,2485.0703300342902,2493.0780187638347,2506.0231239929503,2510.7477313884187,2516.5779989736748,2513.631797974186,2513.195836676583
D25,1595.409407254283,1595.8261898000894,1596.4414276386258,1596.9008312578355,1597.518346737678,1598.386714702414,1599.692731110904,1601.3628946313881,1603.496647907365,1605.4187042486558,1607.2306689613654,1609.0474474576442,1610.7582750543575,1612.677573405452
D26,2377.8638732201734,2373.640398242287,2384.8588050261883,2367.317097543989,2363.436806105196,2370.029210042333,2389.527794818465,2401.0307330108676,2428.3826453330125,2433.277880044013,2451.955455744551,2466.322427024068,2477.9371111452624,2476.3120181441163
D27,1733.3605142630406,1741.8574020701271,1741.3294612247387,1729.8416545451137,1710.6376396492576,1698.9706334373063,1701.6303315157918,1694.594646094436,1710.7193434348926,1745.7408780779783,1755.2971542210125,1771.4796431458783,1753.7468558029923,1751.8838724881052
D28,425.1687102030368,426.2565775457273,427.36974101462715,428.57969177899423,429.1800035931786,428.16795958895045,426.3986137752747,424.5131664614843,422.94194060648056,422.2404158279081,422.47641053874133,423.04801666622996,423.6758000337067,424.3255529579299
D29,6416.399025229508,6424.822904951357,6433.24226569975,6441.683045222937,6449.221414312258,6455.893397108162,6462.73738538538,6470.807542690272,6480.0472628993875,6489.406645133029,6498.883046465651,6507.583175073096,6515.523697413921,6523.613101701519
D30,608.050829845756,613.3075100295508,611.3742476616447,616.4520115715968,615.3040404452664,615.8666114904963,615.6732901358595,615.8801472584366,616.395340927982,617.0291122330278,617.4734336744581,617.452965216515,616.931087529105,616.0515164302202
D31,1929.5577428490174,1916.8048165757536,1919.8096880976689,1924.782755212365,1930.7311479429734,1937.6672295048284,1945.6921616210134,1954.918703164863,1965.4595931130389,1977.419248564585,1990.8831765470195,2005.9045503132468,2022.4884190072162,2040.574998532845
D32,1922.6344320506364,1923.588965924341,1925.087934279356,1927.152860688409,1929.8023556247604,1933.0520266360095,1936.9144031432932,1941.3988762322851,1946.5116537293457,1952.2557307817126,1958.6308760850857,1965.633633825731,1973.257341327664,1981.148126589914
D33,6747.850003489074,6747.956261353871,6748.062519218668,6748.897704044905,6749.676205503597,6749.686700798014,6748.970437034701,6748.301130883775,6748.407388748572,6748.513646613369,6749.348831439606,6750.127332898298,6750.137828192715,6749.421564429402
D34,2393.3191569201513,2599.593695803063,2590.485127773442,2581.4285459922344,2787.715953291632,2778.607385262011,2770.8614961856897,2794.2214079946198,2540.0089662607606,2429.6019768154906,2175.384036716688,2093.963186651492,1983.5562044717165,1873.1492222919132
D35,1651.7454314911386,1641.4923302742573,1631.2402621004883,1620.988721767138,1610.7371646623242,1600.4851129144083,1590.2324854892602,1579.9806289062037,1569.7356401827894,1559.5194921283708,1549.4082206704759,1539.6613611699565,1531.118879113275,1526.04942652642
D36,3773.698141914806,3766.5916017940367,3760.0531253364793,3753.0219155778054,3792.0074173655976,3792.5489241927266,3862.4171161667373,3922.2172565619903,3981.530164919021,4040.7861008687896,4100.0072991562665,4159.024425325388,4218.178697912162,4274.620294384343
D37,2443.483096285832,2441.7245348627334,2439.965973439635,2439.0055855270534,2438.1918589065767,2436.8334776355678,2434.6745594386093,2432.157655724441,2430.3990943013428,2428.6405328782444,2427.6801449656627,2426.866418345186,2425.508037074177,2423.3491188772186
D38,2214.683152338883,2305.774673193892,2222.696733821858,2182.329194700915,2135.441141269021,2093.5603043412293,1943.8621597583087,1923.3145096162443,2027.165310966593,1988.9333776846536,1930.5315919358861,2005.5512459297047,1853.0763836331457,1822.2252840189392
D39,2506.9391501734876,2492.880005923496,2478.9170765429067,2464.8877981236897,2450.8263973734224,2436.7648698583357,2422.7033398412264,2408.641807009999,2394.580281204209,2380.5188485888525,2366.457724884601,2352.3962650521394,2338.3347462346755,2324.273246479303
D40,3901.7864326920844,3910.3998442085476,3916.987416046473,3921.579777226273,3926.1099099520134,3932.1890490855876,3939.5067125908918,3946.440555814156,3953.452700315229,3958.6203349369734,3962.221033277399,3966.359156465479,3972.6470812442262,3980.6646430852725
D41,6538.804602307509,6518.073875332719,6500.922154026586,6479.349976778253,6453.230188806485,6427.004014935628,6403.742126992437,6389.702356750497,6367.300792979578,6341.220440589477,6315.244385587337,6289.022285537193,6263.05999133451,6255.407995110713
D42,6952.196548877222,6941.567743466184,6915.975774245541,6901.593923530019,6862.731219662149,6835.302397867843,6803.209400586003,6784.837658331247,6743.760300204395,6711.669700733222,6674.100032411022,6637.45790564011,6591.112506111906,6560.531758143737
D43,1125.569812413251,1123.9522066516558,1122.5870562416267,1122.9754531637632,1122.9939169857,1123.5742408519627,1125.0674105894961,1125.89733969054,1125.8385607875043,1126.7784098821658,1129.204694726924,1130.671842284893,1130.899934223388,1133.0733375082348
D44,8575.158223007506,8569.8032604093,8559.41596886817,8548.462114315422,8541.992756557625,8540.200710012445,8538.354968807844,8531.637257767865,8524.821678708975,8513.239781928225,8501.362187012817,8494.224567882311,8491.912207969863,8489.661346835821
D45,1118.9952440852483,1118.904839109083,1113.30912076286,1109.890270170963,1110.9785324472828,1107.924860029908,1108.15014116532,1111.5564333089994,1111.1271808319693,1108.1312761780557,1104.5191998057028,1101.7366958083508,1097.5028876347146,1093.598677327581
D46,10113.426375611534,10127.494131558347,10125.511647394807,10146.16766496543,10134.892586350328,10168.653677559794,10147.443432286282,10195.21464745645,10174.946213287369,10221.389328912326,10201.011438001593,10247.608904587292,10227.243734675745,10273.82326268209
D47,1009.7563058429793,1010.92151909528,1010.611595486143,1010.6909001491376,1010.8716976043054,1011.4145826706992,1010.8047573134778,1009.7211756366439,1010.3605771648711,1011.1294120652235,1010.7081197495644,1010.8818347968901,1011.7700628314859,1012.1158051694713
D48,10476.229128301648,10490.687929465717,10510.399566213027,10535.36152732355,10565.545640007851,10600.89820729868,10641.340269793323,10686.767990471568,10737.053160714451,10792.516279611107,10767.324161380944,10756.399113718293,10787.23709937931,10856.95625362634
D49,11011.854604291197,10933.27190389062,10833.838346204297,10713.6049885394,10572.723004969834,10411.444171684296,10230.11963625932,10029.198206917317,9809.22416597799,9570.834618169583,9314.756386718687,9041.80247234054,9086.104377863941,9121.35847546962
D50,9955.721039914726,9930.79651252147,9899.01878595184,9904.078464492337,9912.670535477973,9908.36558764537,9880.684731163445,9908.864680310018,9885.24510351881,9865.278935122367,9831.486556517973,9807.940507718351,9888.974099669835,9932.834436202069
D51,1014.5579841710645,1017.817041226402,1017.0080971257271,1001.8918886568808,995.1165148884306,998.012551955958,996.2432757975517,996.1447064357191,989.019057969659,986.0113004507377,980.3883834603641,981.3409572911227,980.6953610121917,985.2161351128606
D52,2931.2259641297414,2949.397875798345,2951.4181771518506,2925.24514807505,2901.9433692019575,2914.6690265304546,2903.857388501428,2900.7831727555167,2898.687713134676,2910.3391990874347,2879.6806574439897,2859.658670689718,2872.701658318048,2862.744529054031
D53,1108.2011689827852,1109.3614221281503,1111.23624353724,1113.621524917964,1115.7713458481894,1117.1729402121348,1118.3943522999728,1118.9583495009206,1119.5400207745324,1120.821021192947,1122.5633557851868,1123.5549886391157,1123.2704926834217,1122.7809647840425
D54,2820.420207862059,2824.34800290071,2828.50872144797,2832.2464281132316,2835.503729030817,2838.0552376037895,2840.4990273954254,2843.2534139422787,2846.7201006934524,2850.2697595212157,2853.666136695386,2856.5838091108067,2859.4054051777034,2862.1772967854026
D55,1077.044163108853,1076.9008262708076,1076.7635006869236,1077.3297165985923,1077.8973812986214,1078.4650460516468,1079.0327108046768,1079.6003755577067,1080.1680403107366,1080.7357050637665,1081.3033698167965,1081.8710345698264,1082.4386993228563,1083.0063640758863
D56,10541.306882406321,10549.649489248359,10558.04624469692,10566.515124714995,10575.073528019904,10583.738154210741,10592.524890411853,10601.448707648995,10610.523568016333,10619.762343511899,10629.17674722056,10638.777277311512,10648.573174097543,10658.572390181853
D57,1716.6259425796902,1715.1586584301742,1712.5956526786706,1712.1414596074114,1709.630154802106,1708.4558190376174,1708.7086044198072,1709.6117477627051,1710.136581485439,1709.6513234880467,1709.5630527646472,1708.333789738756,1707.9044465414786,1709.2310928084837
D58,1673.190178107718,1670.3887517866158,1666.7668257000596,1663.2851307683902,1659.8337829750037,1657.4560805056135,1656.0740551689123,1654.5506270262288,1652.08109431412,1648.8472741542835,1645.7650015455654,1642.717081821429,1640.8630982337222,1640.1102175687065
D59,4917.663683845328,4924.513051076774,4931.046284456904,4937.439077602498,4943.229526267096,4950.05331549865,4956.671414935062,4963.792858726098,4971.331267108351,4977.580356861391,4982.679642052307,4987.952383048425,4993.947841864344,5000.681080781155
D60,4077.7510788073346,4087.14048290491,4095.626304429771,4100.957084974918,4103.599050572186,4106.411774874319,4108.453839425425,4112.609521555317,4118.03146119032,4121.866396867364,4121.913892142793,4119.340142819074,4117.270636381997,4114.882109202976
D61,3655.83165692297,3641.7833526299496,3627.656565237363,3613.5928752163345,3599.554336267691,3585.5517176245257,3571.6170345113055,3557.698770032019,3543.8228850070527,3530.0434360511294,3516.2822736521557,3502.4161570778942,3488.60624733679,3474.591743058545
D62,5745.024135711538,5793.497339069216,5818.661463208695,5868.174651177083,5682.303920519351,5613.7499839861775,5727.014749785585,5766.5936013334585,5764.643176630525,5814.275035771016,5920.598408788353,6025.804193515598,5943.002562132308,5924.558115325762
D63,4709.922640399769,4713.428044280274,4716.921757562988,4720.944546184677,4723.482048052638,4727.544121660003,4731.393975074809,4733.940346235765,4736.579266121431,4740.260020679096,4744.5233940016,4750.560057022328,4754.297680150229,4757.7399378357695
D64,1047.5021977185327,1020.8073034610951,991.9416087016782,975.116953313444,952.602305843928,939.5854934536065,929.8504300302724,911.7902154377363,916.5991657126659,922.9097718569589,932.5673731241088,933.9705352440684,919.4878772100402,902.4120084506919
D65,3539.186457146871,3527.809943623903,3516.511916359209,3505.7935220585905,3494.0356045244907,3482.625754522895,3471.248577996812,3459.5843469048637,3448.096930390563,3436.796892578363,3425.464302483723,3414.011000303276,3402.7254975307437,3391.511192366388
D66,1378.7271583267316,1382.5223108228056,1377.1138773408563,1382.4617711590543,1387.8267800999674,1406.4329784669546,1405.0787591371693,1392.9265427391974,1393.8882489840137,1389.197109978525,1398.163795876501,1403.3915207102712,1411.9674369651607,1422.134389203537
D67,5158.486243836083,5171.091929387769,5170.496085672769,5172.465153342403,5179.253399790145,5182.9727189994865,5191.45896283557,5199.945206671653,5212.550892223338,5211.955048508339,5213.924116177973,5220.712362625714,5224.431681835056,5232.9179256711395
D68,5534.891455855055,5540.0424560501715,5545.0969968851505,5549.9657708657605,5555.076359550843,5560.141955094607,5565.208175461901,5570.274064380716,5575.339986920528,5580.406506643657,5585.472893290733,5590.539282406909,5595.605671808477,5600.672062724546
D69,3958.5477537435495,3959.109791385918,3958.402963395774,3960.0388053086695,3960.3616432809786,3962.162081551649,3963.907104533672,3966.8035159855085,3965.142955246677,3961.787294128904,3962.5126959646072,3961.786819415429,3961.5594347148653,3962.461999550088
D70,4024.200238093853,4023.3139397955474,4022.1549307370256,4020.9182112782896,4019.4674026371813,4017.887134950825,4016.2314777698602,4014.364284524198,4012.4859107934262,4010.5352251607305,4008.50570243709,4006.458287938844,4004.412906298346,4002.3888890334324
D71,2529.084161369378,2529.0019101751677,2527.0488750124164,2525.9327391542206,2525.0957916161624,2524.0215777045096,2523.076541877584,2524.2465344442803,2523.661447384724,2526.0222923588835,2525.470723138346,2526.083839962887,2526.0201347078123,2527.9707136823768
D72,1920.4015897269483,1921.1940967252217,1922.2869358321548,1923.596148755029,1924.6633633545164,1925.7663958401502,1926.8510979430132,1927.6537339504125,1928.4405597949528,1929.5111151227602,1930.87044910643,1932.1199491727996,1933.0584312152955,1933.9943612296197
D73,1017.3161981167692,1017.7286540412634,1017.0182817518314,1017.3701344392193,1018.0158948005137,1018.0371489961127,1016.8025506974927,1014.1749106489439,1014.2638424178783,1015.554231945833,1015.5737825538378,1016.1494310317131,1016.8959511652388,1017.5817321229925
D74,1665.7817434018878,1666.0814704534207,1662.4531217654066,1668.3886948022414,1672.8748199588458,1669.1173065607918,1664.4990499626795,1659.8807933645671,1660.1805204161,1656.552171728086,1662.4877447649208,1666.9738699215252,1663.2163565234712,1658.5980999253588
D75,1640.0902950127902,1639.3579535240722,1638.4474141725946,1637.5778210367355,1636.7322758142532,1635.8711573240482,1635.0115627355433,1634.1526509819969,1633.2933055156175,1632.4339610826178,1631.5746835653001,1630.7153920433834,1629.8561002505717,1628.996810822338
D76,1802.6118065994906,1800.2404793905987,1798.7316919487018,1797.2807450475816,1795.2604078866107,1792.6613764453025,1789.4769055205177,1785.7028442922085,1781.3376591925617,1776.3824439689383,1770.8409168933306,1764.7194051335966,1757.6124567265076,1748.9526708054352
D77,1933.1269314703384,1929.6871796339499,1933.509429701919,1935.1004855242722,1935.6640720670955,1934.5181996669157,1933.6377262265314,1926.33528656608,1913.4858621384878,1905.7198722786172,1903.1660804028204,1895.9268701056108,1898.2185089420718,1898.0480034398151
D78,3187.295744890694,3183.034973110435,3179.13620458122,3175.207152529357,3170.620024847249,3165.948138120115,3160.266219692035,3154.788211240976,3149.797600056712,3145.076880362821,3140.109658549419,3134.603283192625,3128.889750416431,3123.105068369513
D79,9857.870087973659,9879.05625077545,9902.013013357322,9883.332175304407,9861.203086625565,9839.074788483065,9816.94951550624,9794.820628358042,9772.690861020266,9795.60557360311,9818.566641334872,9841.524527697851,9857.765174000124,9835.9772311191
D80,2496.3656924840952,2496.764394570999,2498.5420777602026,2501.8467495231353,2505.5280410315604,2508.347403624914,2510.203045461502,2512.2701621502492,2514.407139299755,2517.738039025553,2522.3119841531498,2526.927747053789,2530.3941504409504,2532.5713348911986
D81,1567.4949208148219,1582.488814311307,1583.3940746888063,1564.9705422958505,1556.5750665248752,1556.0996969737864,1556.279750779414,1549.8236668955406,1566.8809774313936,1584.0225191222908,1581.310577613095,1564.2444133061008,1565.7815064759925,1576.230713221914
D82,1103.6478301111479,1099.1990742837422,1090.519919626999,1089.1319466339294,1090.4129870381691,1093.1196145746958,1098.5719965539529,1107.302817912179,1121.2088025003532,1133.9987061898685,1151.0346241646182,1156.048594438369,1152.6719341234964,1157.2004252929335
D83,2905.5865610356395,2885.4547873037523,2865.320756784656,2845.1872152296946,2825.057655394694,2804.948743569124,2784.937142651798,2765.2270489465263,2736.4471497430513,2581.420547331488,2346.268813966776,2096.4612791379986,1841.1296137269587,1584.3366988365315
D84,1724.864894787188,1724.625455176925,1725.1465914705261,1725.320032761265,1724.3378514181518,1722.5842457240624,1720.8400403457313,1719.523624106243,1719.3743535077206,1719.9668778129299,1720.1987714171971,1719.2824689477472,1717.6235640161995,1715.9841717403435
D85,6307.5248700208795,6279.049760709729,6250.820396934591,6260.0901623241625,6231.620916447953,6203.152932607251,6174.677808955957,6146.20267948254,6117.72756640034,6089.291991778296,6063.772007717112,6035.297282787172,6006.822419305156,5978.3472894136385
D86,7090.579144643401,7081.568726767986,7085.952302245873,7097.900665275488,7113.527173622892,7110.010239633111,7122.89509846898,7130.953253405054,7155.300939275918,7162.872879836965,7177.921642012254,7191.332009276428,7215.981748193844,7243.0662191700485
D87,2138.108780245038,2144.704330016982,2134.929397231109,2125.2312165090416,2121.0327695354263,2086.775112506817,2095.813375682871,2099.9152877592414,2120.431055563218,2137.057775925216,2159.2096060489675,2173.1911170371127,2169.1069271964257,2163.4312574260903
