V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2031.0876395355879,2032.472175932052,2033.8513982542831,2035.223201879449,2036.585607557527,2037.9367792684984,2039.275040709844,2040.598890260779,2041.9070142839169,2043.1982986405833,2044.471838312705,2045.7269450418917,2046.9631529148612,2048.1802218435478
D2,3022.797036095893,3026.169892123752,3033.7690573561017,3034.435031429741,3034.741301957892,3036.6923297504213,3040.0858426383193,3042.643513382013,3042.2436310794706,3045.728660341316,3041.8347554563106,3037.4613255381964,3034.8044188829504,3033.850412699264
D3,1123.0260809476745,1122.6866759971851,1122.4693632524716,1122.3628679351332,1122.3569564522174,1122.442340246469,1122.6105885256636,1122.8540490510768,1123.1657762408533,1123.539465912773,1123.96939605329,1124.4503730563379,1124.9776829267894,1125.5470469901027
D4,1195.7506295157593,1176.277359615615,1159.0709773159288,1143.7154298481755,1129.8718764535008,1117.2654647145923,1105.6743609792534,1094.920645713102,1084.8627518822195,1075.3891801280367,1066.413270556971,1057.8688490818556,1049.706597791012,1041.8910249175615
D5,5897.05082825367,5918.65686849152,5940.214521223386,5939.661232112967,5925.917372809241,5915.4234303459125,5912.042283179908,5933.1477552462875,5956.2322413709335,5981.876669376893,5979.601495917203,5959.88678919003,5937.08263415301,5941.011998538235
D6,3124.333003077008,3066.909377356383,3050.347961376429,3079.879256034757,3042.76373467469,3088.5789704289955,3051.8902014785526,3080.8138641249025,3062.71461333656,3080.5498290734895,3065.401303226217,3102.462036827486,3088.8358816160553,3083.1784708387963
D7,4724.8129180219385,4666.855398024196,5341.196799037625,5483.952293519025,5034.2026270874885,4734.487743201662,4959.822271487908,5251.608340059824,5098.810271517446,4837.8577225030895,4864.737423372437,5096.64248742028,5127.786367894438,4955.607874739144
D8,1731.923103400959,1732.2199906605895,1732.935877628609,1733.7844569502827,1734.5101761415226,1735.1758747430795,1735.150173256169,1735.47597265112,1736.4410757869848,1737.9987569191958,1739.8026089446948,1741.5314208393308,1743.179649832693,1743.9814104736447
D9,1587.32928220182,1589.9018223071237,1591.5358209106812,1592.1122441692778,1592.5274189527179,1593.8576638187874,1595.6378942127094,1598.591577037742,1601.9193102420527,1604.6255531746815,1606.5361510732546,1608.4831883730858,1611.472244921932,1614.9109474674042
D10,2622.283016189224,2624.510801777671,2626.75717517212,2628.9964628141042,2631.2037160458367,2633.354921523789,2635.427203211917,2637.399014065343,2639.250315611773,2640.9627437511126,2642.5197592226145,2643.906781332232,2645.11130368931,2646.1229908698924
D11,2437.7403074648087,2431.5642002529007,2425.8449982531283,2426.966046501497,2420.882125542896,2413.72960944518,2413.499696231951,2406.731832758791,2398.7251644983526,2390.1394747761333,2391.033616540088,2388.351442120965,2391.2887809053277,2392.5777894803027
D12,3672.2416192260384,3683.35129609978,3692.177101415758,3700.9127403541015,3709.862435945101,3718.208091884168,3725.488729797848,3730.15889188127,3733.554752540928,3732.834065594792,3737.8469355814514,3731.7139838002845,3732.035743846488,3738.563791951133
D13,7240.553562900932,7247.3144034458655,7252.0495753644645,7256.712829683005,7262.859417248725,7268.921163246903,7271.728637954417,7269.692812229641,7264.464513732246,7257.353826110422,7250.652999043601,7246.292201874621,7243.047032748509,7238.046773176391
D14,5679.754182151951,5697.456654189043,5737.157620401586,5761.045391595808,5766.764303318291,5787.812635287502,5812.92328465188,5829.492058221734,5840.581417736194,5862.661383173807,5875.394117760365,5888.581465081099,5896.535533348925,5912.881615552088
D15,7398.27179510124,7443.2954720262005,8186.067628646103,8482.51295187167,8046.746085292675,7952.628568143013,8654.279811706201,9328.30982692289,9189.538744975782,8764.460242887575,9181.44305739434,10016.63210573574,10190.985999278175,9829.527814524306
D16,3068.216745587938,3061.334489486121,3061.0405494490806,3063.110088631477,3061.92483699545,3054.876089998387,3050.692284858711,3060.86231424591,3059.5061183114003,3061.6499532908356,3054.6080015435527,3047.7863720383048,3045.3165191448543,3026.2538464151316
D17,4046.8937978935915,4043.142968575789,4053.076940044253,4056.2716603218432,4061.6937679867115,4069.410350220061,4072.958731260092,4080.897620632063,4080.743643050567,4085.8648969184783,4094.801255436989,4090.3757379276803,4093.928225226364,4091.1517968225244
D18,9542.105663823731,9531.934827195188,9518.070029476603,9497.826192117076,9484.608179766208,9484.40609962076,9495.626038247954,9501.453019165838,9509.119394599065,9518.98054534325,9502.607987141593,9498.048359511751,9497.28476103012,9494.777667224429
D19,2684.2039848704294,2687.152489796516,2719.351004705676,2732.127474848094,2729.94550034259,2722.786725190284,2772.4781678278587,2838.4294452892623,2828.436471686542,2820.884725244664,2813.653053828969,2836.6499227282325,2840.0433899538443,2841.3331269755913
D20,10812.298303676755,10784.659458434446,10755.570956741103,10738.358384855528,10741.863637406886,10743.418178239444,10743.777477865044,10731.345492934794,10712.715826453854,10690.713415056394,10685.174112037352,10691.952368957966,10697.301506045933,10707.189667669478
D21,2669.9481730683374,2672.485640011546,2710.942949795992,2719.7000081503147,2718.9093201755572,2699.4113870121896,2745.7738630566746,2805.2158540143146,2793.3935111536307,2788.0491896426265,2780.4838644965407,2806.8903875223637,2807.8879492729357,2820.842332420802
D22,2856.2450778821903,2861.1367629190354,2866.779570471428,2871.7527622458583,2878.933647608826,2885.8121935940194,2893.0552809454884,2901.5423589307147,2911.2038329763363,2921.045888375472,2930.107290716103,2941.0999332924084,2951.421799954128,2961.5959710825455
D23,1929.5975626006446,1931.0083040371978,1933.2275863578739,1932.478951532023,1932.5048278275826,1930.5966394200295,1931.8303553025207,1931.3396509770266,1933.2386972943073,1934.4677598828957,1933.8083216581645,1936.258139814281,1937.5881898928355,1939.731481939903
D24,2548.229472764152,2552.9934612111374,2558.4964070750275,2563.518331035758,2570.5812735516542,2577.425436454902,2584.5316138633543,2592.6193471985744,2601.6733689899806,2610.913491999142,2619.535364876373,2629.908435467833,2639.684548293784,2649.21288197141
D25,1600.308298037633,1603.1926601849864,1605.9049817512387,1606.979722885111,1607.789825367879,1606.8141527568368,1608.9100515856717,1608.8056294445685,1610.1822237496538,1610.9583791389218,1610.0009247475336,1611.0922595940738,1611.4079246193814,1611.976306073988
D26,2367.722131063019,2369.442139524965,2371.7023832020823,2373.4798501226137,2376.8511948434916,2380.189452228751,2384.178603242588,2389.446635780661,2395.7178139123125,2402.0262796978086,2407.6227112470124,2414.4422514445396,2420.796788078472,2427.271794019378
D27,1722.2936896157576,1724.3452551200462,1726.8219841192126,1727.2335292763062,1727.8674871538092,1726.9134386891378,1728.7292964410226,1728.833684490451,1730.8475143594983,1732.0846500815974,1731.664549645476,1734.0159644536952,1735.4166377787733,1737.2646778558292
