V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2036.279456003132,2037.821423635714,2040.1962548058586,2042.2290623216372,2045.0225376939272,2048.155803582055,2050.8322769489514,2052.643013373352,2053.945474373421,2055.857664949205,2057.2252512926852,2059.179780735441,2061.336352447178,2062.9400073194106
D2,2977.1539893859976,2971.9227201691056,2977.9930945511937,2982.3504068504235,2983.65714899222,2985.3313032449682,2990.4642277676903,2986.436551651802,2982.7951733209256,2979.363689822678,2970.7494009763655,2961.554309269092,2957.783112812591,2957.18331520691
D3,1131.6728829069327,1138.8397574866233,1145.2275577988216,1151.0141038251759,1156.3387309563627,1161.3106189983587,1166.0153185781453,1170.5198650756759,1174.8767857759524,1179.127239775433,1183.3034783359385,1187.4307727578241,1191.5289250142732,1195.6134514473981
D4,1226.7355800853752,1220.3693990998845,1235.432380271146,1266.6077438301943,1775.2063890481893,1725.3279643589176,1692.229585695225,1688.097908337432,1644.7321004879211,1621.382351946524,1597.7992135769305,1889.4361672832738,1857.5596638378017,1817.5821171876578
D5,5902.672159926182,5925.025764958598,5947.031419650037,5967.271601627586,5998.505799493205,6026.991298714273,6043.60377266453,6061.328466998895,6080.585338487889,6114.738843029046,6132.432410563308,6150.561637056838,6167.596457477782,6192.781550664531
D6,3110.130198253209,3116.959286244871,3123.770252762827,3130.5645929659054,3137.343713901573,3144.108939698442,3150.8615164527655,3157.60261682697,3164.333344377198,3171.0547376258073,3177.767773893893,3184.4733729079385,3191.172400193934,3197.8656702714698
D7,4703.233641373474,4721.728945530271,5277.972556576997,5309.810840472868,4851.809997622316,4579.796399157192,4891.5999893807875,5022.327792626584,4806.965834954612,4569.271176433394,4681.437518252294,4853.512097287574,4788.572371562448,4610.749213383195
D8,1733.3634078508248,1733.6823676771016,1734.3343025971396,1736.1715003931438,1735.6399230412565,1736.4730672348794,1737.5938084557042,1738.6181350465765,1739.4986993269847,1740.154038475126,1740.8577751621458,1741.5989092290074,1742.2108568446747,1742.9845442288265
D9,1585.9277130056412,1586.108058964459,1586.6854528632412,1588.2947171161197,1587.759718940947,1588.4351176686491,1589.3545992769893,1590.1867235599955,1590.9208277345708,1591.4349717649593,1591.9982074269494,1592.5847917759847,1593.0571785735042,1593.6752415860071
D10,2617.815496118861,2618.3630567384653,2624.63372584772,2628.314290109042,2624.4831571586824,2623.380294835045,2625.904413221309,2631.0954547192496,2631.515997753775,2631.7073402693345,2632.199312397746,2630.092492302823,2627.9446805642688,2634.3064292841796
D11,2448.0204095341346,2451.2965375939634,2455.7854646651726,2459.183896100156,2459.292322417018,2457.6406051256813,2460.2132015551624,2463.1749874402894,2465.240588403243,2467.5198308098284,2469.980653900048,2472.1912572930405,2474.015287493968,2475.82451635273
D12,3664.6038213463016,3669.4709258999765,3672.654117530851,3676.9401923130395,3682.4008783041304,3686.389856872219,3688.310720243767,3687.6326310133963,3688.3769034376464,3684.9492402049873,3681.541974986161,3677.4749443220917,3673.30608048762,3668.881735551271
D13,7227.859239005779,7234.229526388463,7252.962000255314,7275.725001701587,7300.526121562551,7315.392582232847,7316.910500285019,7319.863042565321,7324.850095555937,7329.982039735004,7337.047712400459,7344.815385837497,7352.275900230696,7358.830910656399
D14,5675.8239578518715,5678.809475243343,5690.860409486849,5694.180984643674,5699.282283981829,5705.922772066129,5714.062894457257,5721.690389091941,5729.122276822274,5736.673900797732,5744.457054257657,5752.272141059885,5760.057550726606,5767.842021958112
D15,7976.692919808773,7996.758721272726,8015.38573613233,8029.94920028142,8045.859112618804,8065.837494395106,8087.300392504329,8105.097959656686,8116.866035438029,8128.242731976097,8136.909457056139,8148.526236501599,8165.998735846561,8186.852743881362
D16,3086.3397320346126,3075.2535493416844,3070.1708349914998,3052.2320428705493,3046.079281659313,3061.83049972669,3086.708433893115,3097.1320690673147,3081.866345969453,3067.546897129907,3037.506894730489,3016.913887203454,3016.6324804544647,3024.687223876098
D17,4032.758675334611,4031.184298176374,4042.592312134721,4031.7905044815634,4035.4605751986614,4047.4140747106453,4056.004900729909,4069.805725017223,4064.0064933065473,4060.66544059649,4070.3952342628213,4064.363355249983,4080.705117302104,4078.5758945015623
D18,9527.696591989714,9514.997520269804,9516.15405649354,9527.010179256467,9535.49782239252,9533.69173316029,9525.703130215476,9523.465034937117,9519.715374742173,9529.180788207075,9547.428613340491,9562.129301757948,9565.133097140342,9560.399187485711
D19,2686.234762571119,2689.314185405776,2692.4493783260823,2695.6481624077205,2698.9147530769465,2702.249591154486,2705.6493287623553,2709.106970669401,2712.612165287603,2716.1516334043586,2719.709717096936,2723.2690263549352,2726.811156936301,2730.3174500660407
