V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2031.0627980448437,2032.420225921406,2033.770685041276,2035.1127036432085,2036.4449500129267,2037.7662443595823,2039.0755692383107,2040.372078421914,2041.6551041392074,2042.9241626128326,2044.1789578452392,2045.4193836179152,2046.6455236856432,2047.8576501644372
D2,3023.6069675955887,3034.496550629735,3042.372235638866,3044.062232683722,3037.3482953543075,3030.122745316875,3030.0076948790006,3036.716699376074,3042.357639092578,3045.068833007092,3041.511542499798,3029.875491205235,3018.254512713713,3014.4506686901595
D3,1123.6612157002912,1123.908863176973,1124.2350098917063,1124.6324513389088,1125.0946442283425,1125.6156458000703,1126.1900587089665,1126.8129809676193,1127.4799604833745,1128.18695376788,1128.9302884361866,1129.7066291476092,1130.5129466724663,1131.3464897978154
D4,1196.608264475869,1177.748223103051,1160.9909899258855,1145.9803009722084,1132.4210639227954,1120.0697079601243,1108.726046938349,1098.2264147705391,1088.4378704043042,1079.2533021106449,1070.5872880167312,1062.3725926899392,1054.5571988161976,1047.1017891893337
D5,5890.473965148287,5902.610158715939,5938.460068049484,5944.850174442765,5921.464557090154,5893.760244131133,5892.01843651711,5920.531812516749,5927.732320209358,5962.9341659446,5966.4551667215055,5939.083945836723,5909.12816095479,5909.818011988213
D6,3117.709249712957,3110.4321414694855,3109.526255160953,3116.270829212083,3110.088139300999,3126.4249591211164,3122.955981670422,3135.5775176352877,3134.0569671310473,3140.9894723610846,3137.054152578345,3145.036807977791,3142.740881965939,3144.661245630157
D7,4845.94720086253,4858.548334946565,5164.527310088824,5245.5452391212575,5074.124681218206,4946.968169853106,4995.963098870586,5111.893649219363,5088.985199202339,5033.538693672474,5024.555801837691,5055.655373215005,5060.509362709204,5030.381163316569
D8,1769.4217483092475,1813.4280722808091,1864.581172123305,1926.2869094226653,2003.758690502341,2101.640491517197,2225.730428821319,2378.9590533974715,2565.029114517617,2790.1445548535607,3064.6245583237146,3402.102718525722,3817.4864416120363,4328.762012048725
D9,1668.1781684499551,1728.2163118436702,1770.3778282118742,1801.0459859170028,1826.1061721875694,1848.6592153910076,1880.3538688381902,1906.9912071100066,1927.7581824979989,1943.1713302921023,1955.9880332723956,1969.4449755334172,1984.7040579048182,2010.9064614468925
D10,2621.5847764754676,2623.1202298785415,2624.680321377473,2626.239874134011,2627.7747706535865,2629.262141156794,2630.680541186605,2632.010116767235,2633.2327555478023,2634.3322224957137,2635.2942788498854,2636.106783201083,2636.759773734391,2637.2455308455387
D11,2434.4348537293417,2427.7607398329556,2422.6854867617662,2424.237345884162,2418.9243824437353,2417.548965320496,2413.1953886634574,2405.8097480932347,2397.7816353068606,2394.9596276781785,2400.470746861818,2400.6655069029994,2404.129090098077,2404.515547991296
D12,3668.483071175476,3683.488831085851,3695.7815203931477,3707.829001631307,3717.690621488219,3726.688097352264,3736.46509273325,3747.1600277034377,3756.7390936312977,3763.178439301456,3768.6236015967056,3771.276853404548,3773.2207845305193,3776.4325598021433
D13,7241.178241940524,7253.370484113094,7263.438007287842,7275.386351936693,7286.144452845654,7292.471838115835,7294.131001851104,7294.097214585358,7295.598617688243,7294.923353375606,7296.299977242375,7296.950542115098,7293.923321318137,7287.253794199277
D14,5686.038135952206,5699.099518355443,5715.21130383955,5728.003390631069,5738.564998555134,5751.2239968121785,5764.463260039291,5775.90578892727,5786.785194205804,5799.203862118295,5809.51964096314,5819.61108690365,5830.0130552251485,5840.640735238347
D15,7610.091925111614,7586.100385604297,7919.017059388081,8046.534024520329,7862.438400168576,7789.272148994474,8009.888856172182,8197.853293663882,8126.4565511866385,7972.706681811828,8041.355043363966,8226.012890263653,8276.67498546007,8203.539351575686
