V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2031.892537386107,2034.0111701731846,2035.4251144203363,2037.5241539414094,2039.414264584775,2041.5824155245261,2043.7974279844525,2045.8119473992326,2047.8847669623774,2049.9597825803694,2052.012259488003,2054.079404109239,2056.145890352653,2058.2173654230314
D2,2963.213986011458,2959.7813762509095,2956.9262331937084,2955.0836896669334,2951.4357147871633,2946.724442266756,2942.8576751816963,2940.174787763626,2938.5558969415397,2936.7886159883215,2932.6256748464384,2928.08213335707,2923.8979726247053,2921.035183864648
D3,1121.0999540388834,1118.7000914523564,1116.3002296110874,1113.9003675231345,1111.5005054349563,1109.1006433467771,1106.7007808446704,1104.3009190034406,1101.9010567788143,1099.5011939111766,1097.1013310429475,1094.7014688173788,1092.3016065924003,1089.9017443674231
D4,1064.5120350543436,1055.4957182300118,1055.0254818065966,1056.9776421802806,1057.6713599147442,1058.2883249903803,1058.3059816513858,1057.6872013686382,1057.0101130202231,1056.8963269126668,1058.7725843740404,1059.3704266726456,1059.9024428476735,1059.8510447878277
D5,5872.648513097643,5876.854011364576,5881.170109521519,5885.599883457649,5890.145855245172,5894.809980852041,5899.593640612678,5904.497632503126,5909.522168253384,5914.666872315885,5919.930783695123,5925.3123606295285,5930.809488102775,5936.419488147924
D6,3104.814306065549,3106.493767870201,3107.5577595033105,3107.659995097005,3107.243531440761,3106.742425286141,3106.5921018905806,3107.2154059941277,3108.253463388462,3108.9709551933906,3109.0362294139295,3108.8943044418734,3108.9817184903977,3109.697522605289
D7,5182.674000000001,5121.667000000001,5058.990000000002,4989.045000000002,4913.502000000002,4837.959000000003,4764.086000000003,4697.481000000003,4636.474000000004,4573.797000000004,4503.852000000004,4428.309000000005,4352.766000000005,4278.8930000000055
D8,1732.4963015688666,1732.5280423177876,1732.656401155146,1733.4046298284552,1734.8178139521165,1736.454998802046,1738.3453113308376,1740.0158958099353,1741.4625586266632,1743.149090531731,1745.5354904022115,1748.6003158492467,1751.835532676943,1755.1990187067145
D9,1584.565319698395,1584.0602199183984,1583.6363172528986,1583.661382765944,1584.169650018649,1584.870934852613,1585.851813887276,1586.7586375156452,1587.6124467061081,1588.7410882278896,1590.4506358728456,1592.7082243749442,1595.1539162275492,1597.7984469281787
D10,2621.3829153151814,2622.8254489092747,2624.2924844700074,2625.8407084612777,2625.9174979144486,2624.5697272015427,2624.5552604050404,2626.246079532562,2626.819604517003,2629.046935376432,2631.5561760452006,2633.8246504129875,2635.4323706190517,2637.184344073978
D11,2444.2480132723585,2442.6007759840095,2440.6447250222477,2439.579812421175,2438.423143580695,2438.5023926663707,2438.9525779052087,2438.7926590757893,2438.004371587598,2437.6338465142417,2438.8109839657122,2440.4628566146193,2443.79040130605,2447.7907927345773
D12,3666.2205324592755,3669.0941789398917,3671.9222722902887,3674.5840251648656,3675.9784963728816,3676.22635024423,3676.1868968435024,3677.06052236099,3678.799729068412,3680.0643255052987,3681.4305000120494,3681.070780170051,3679.586880234917,3678.1376293117933
D13,7234.455177438749,7238.709736345348,7241.974457822502,7245.426970879071,7249.174818807895,7251.350965118156,7250.938275717347,7248.630953980289,7246.271436315525,7243.406396078566,7241.888954766302,7241.260291027275,7239.935470100195,7236.928494584716
D14,5681.05976601478,5689.766273493653,5702.770663539629,5712.970679047739,5723.127957637016,5731.7085576667305,5741.0981808075,5750.2284897155805,5761.781635576507,5773.142646542656,5784.7737586693465,5794.147179122645,5802.1940837763195,5810.140754470374
D15,7987.874863811136,8021.858885771655,8055.300206918308,8085.99254035615,8117.244604865831,8151.18050022483,8186.700663993512,8220.689722939944,8251.258954314882,8281.968394187972,8310.782032564743,8341.099863292642,8375.098594860205,8411.690453376295
D16,3357.3627690683593,3375.574206650768,3396.104223006616,3416.4779216632114,3436.997264329283,3459.114330055992,3481.4528835067977,3503.4374994339555,3525.7294185780056,3548.942876796659,3575.7386630973865,3602.648965607837,3632.5288117807386,3667.6949734479385
D17,4036.0304262906116,4038.7742587825887,4040.844827916362,4040.0441540590627,4037.9118439569934,4036.5316291869676,4035.456645627918,4034.841342771845,4033.955156941646,4033.3046243537906,4031.330153612971,4026.7477331544583,4023.752768679086,4022.678016221051
D18,9538.499143820347,9538.365882904376,9538.103347240605,9537.834962776142,9537.572674073595,9537.308740450171,9537.044485440123,9536.780394311332,9536.516306691079,9536.252211230863,9535.988118004703,9535.724025157704,9535.459932102682,9535.195839048049
D19,2688.3439879950256,2698.24300405534,2710.669713361692,2710.0940120356045,2709.069226558265,2707.498619438477,2720.647884940055,2727.37105404902,2726.160824411986,2731.139970994765,2737.768337703031,2748.58762699631,2751.7833512019374,2748.7687325916518
D20,10829.06290077665,10816.500285592003,10801.214582711076,10788.239230438256,10778.907645761705,10769.527049029006,10755.135082070885,10734.579988094772,10713.490865050417,10690.46963250319,10670.879754360738,10656.338779187341,10643.38053249944,10627.202457647116
D21,2676.237961697702,2681.920497875268,2687.7058164871296,2691.8176998772283,2696.1933581930316,2700.0415648905537,2706.4035798879654,2711.391789707167,2714.8877033423746,2719.337123574982,2724.275262785973,2730.2895061796708,2734.5704702039434,2738.685103686788
D22,2853.1880195498056,2851.432785147873,2850.9591315939792,2850.6568452737706,2850.8519971543774,2850.4783103679915,2849.8308434701603,2850.064005058427,2852.033523186248,2855.4216521006597,2859.013117413648,2862.989642622171,2866.1172831232066,2868.5474024934742
D23,1924.778900819818,1923.0625022979275,1921.2384021256653,1919.620839611856,1918.0693193006891,1916.8930244267303,1915.944304552921,1914.9531988825486,1913.8119083394745,1912.691821730815,1911.8756920713877,1911.1875492541635,1910.8985658416682,1910.8221008653607
D24,2544.3833289051468,2542.205956508221,2541.255664987447,2540.5568121230694,2540.4059223089425,2539.888111256403,2539.2893571733707,2539.603554504663,2541.5164674513708,2544.681218278003,2548.0035592428244,2551.6251162375615,2554.466612245118,2556.6750330819286
D25,1597.6519951992211,1598.199205069413,1598.8148818860298,1598.9515940830624,1598.8619994616042,1600.3756686319043,1602.5081949050564,1604.7081855144797,1607.1026965311473,1608.0635590970699,1609.0253200649952,1610.0953426678996,1611.8746165314226,1614.6054827913324
D26,2371.5258357256403,2373.876805789698,2376.0175223925676,2378.316276144949,2380.8430500164786,2384.0770701407355,2388.1077647124002,2392.492863183124,2396.68482646718,2400.5547390337097,2404.488466528395,2408.4948559512663,2412.9887473643603,2418.0064763665873
D27,1716.6608387346632,1714.8847557903082,1713.0855763705322,1711.5815062361273,1710.2157883377192,1709.295932687513,1708.6523154418564,1708.0099937531659,1707.2723070545915,1706.6185567329665,1706.3180427947668,1706.1627227060785,1706.4085408981057,1706.8361389506786
D28,423.58445679994696,422.8564445426252,422.15615113588666,421.48609192167993,420.84732538472826,420.24073216249235,419.6670356549148,419.12679898290406,418.62042225422823,418.1481406144112,417.71002310113136,417.3059723078764,416.93572485849876,416.5988526903574
D29,6417.206556644156,6425.190145900473,6433.521199594673,6439.9158515623385,6444.811500070771,6450.413966957094,6458.498262334071,6468.629190097685,6478.58136822591,6488.837497699211,6497.05534498983,6503.604032771556,6510.628073496665,6519.8506441151585
D30,609.2551953035304,608.7474889074815,608.2062968260092,607.6763138030318,607.1590646612437,606.6556149928641,606.1665451042362,605.6923525438007,605.2334581365851,604.7902079652946,604.3628718506758,603.951642078827,603.5566324668747,603.1778778089177
D31,2300.239253537985,2315.4352851470608,2317.607402913663,2318.5963974964047,2319.31669905969,2319.836099616499,2320.1575991611167,2320.280060348793,2320.202919833769,2319.9265560176796,2319.4523155174356,2318.782508800609,2317.920399099399,2316.8701865257067
D32,2212.4043781511145,2236.8415967771243,2240.0003219054474,2241.3449999843906,2242.4203963532054,2243.344814044427,2244.1235879277933,2244.7537074074353,2245.232165001183,2245.556634680816,2245.725536058389,2245.738046294887,2245.594104444204,2245.2944117767665
D33,6749.7859098512,6750.9885987964,6752.1912877416,6753.0210650368,6753.541841948,6754.1265301252,6755.084129952399,6756.350730163599,6757.553419108799,6758.756108053999,6759.585885349199,6760.106662260399,6760.691350437599,6761.648950264798
D34,2279.9900608702333,2279.980153739986,2279.9702839729352,2279.960456810904,2279.950677134831,2279.940949345496,2279.931277826782,2279.9216667342657,2279.9121201328117,2279.90264153071,2279.893234104952,2279.8839006857584,2279.874643742797,2279.865465373165
D35,1661.500203963627,1661.0004178738964,1660.5006412530765,1660.0008735775473,1659.5011142803503,1659.0013627539515,1658.5016183532007,1658.001880398474,1657.502148178985,1657.002420956247,1656.5026979676718,1656.0029784302828,1655.503261544531,1655.003546498189
D36,3773.1988543978264,3765.58672508794,3757.973648189071,3750.495274628782,3743.021388653162,3735.520646595545,3728.0243718058077,3720.5251666010545,3713.057548696685,3705.59942805255,3697.9590530224614,3690.330960031353,3682.7114862955955,3675.132642554028
D37,2434.5625,2424.9375,2415.3125,2407.375,2399.3125,2389.4375,2377.875,2366.4375,2356.8125,2347.1875,2339.25,2331.1875,2321.3125,2309.75
D38,2283.0362375379177,2272.749017869875,2264.8558116064783,2252.9423080774195,2245.593840985114,2236.597575424184,2227.9233411091523,2219.102590486017,2207.7686447098254,2198.203335036359,2189.1065924113564,2179.7467551643044,2171.193627832187,2162.6100893153266
D39,2511.090303878047,2500.0641052489573,2487.32426618807,2472.982230324427,2457.9622019284297,2443.3248839673397,2428.697824904708,2415.1528924261875,2402.304807469775,2389.631020351112,2377.2402705249656,2365.9768763820957,2356.7477438420547,2348.959009621821
D40,3911.2321660310795,3929.7861078587725,3940.405337236592,3941.4407485013926,3940.0258774339486,3944.996539615822,3958.138812296965,3972.5139472290452,3987.7263539695437,3995.7491632725546,3995.0853179845017,3992.9836724157276,3998.353909543212,4013.0114987383263
D41,6512.0002058346345,6504.1606457222115,6494.307477246422,6482.11678671821,6468.843085581254,6457.46350201521,6448.129516724143,6437.174874877866,6422.102733890093,6403.890257705055,6385.491172430292,6367.83056943627,6353.829258038749,6342.883383987912
D42,6962.556451850846,6939.320501949841,6912.659165972121,6889.180923802639,6856.28779339838,6830.887821934278,6802.274214540605,6775.279345351024,6742.689689501219,6716.648356139371,6685.60095059048,6656.113989795221,6621.818449265495,6594.3137752960165
D43,1126.727069625187,1127.0953492181918,1127.6406517980163,1128.869241167992,1129.7224597431637,1130.4211725103044,1130.8419695366304,1131.5988438591896,1132.612473057781,1134.197812790641,1136.3037392326582,1137.8405436370983,1139.0084595019807,1140.900155304114
D44,8841.33252510635,8878.197000634247,8884.512563431,8882.290403426954,8876.959988269064,8873.430592536684,8874.286350072394,8877.650533287815,8877.252053038364,8878.185064382928,8875.185406739976,8869.742683769728,8866.197065422532,8867.050479637453
D45,1120.1453447997237,1121.1720042934978,1121.7480914807502,1122.2717902820061,1122.9246501583862,1123.418266786106,1124.1222978731757,1124.9401639529226,1125.6142820100874,1126.1575139197812,1126.6113546089962,1127.1923657387888,1128.1030793858677,1128.463808537522
D46,10166.4890512774,10165.981566438502,10165.474081782819,10164.966597127146,10164.459112471473,10163.9516278158,10163.444143160128,10162.936658504455,10162.429173848783,10161.92168919311,10161.414204537437,10160.906719881765,10160.399235226092,10159.89175057042
D47,1009.782669936681,1012.1935501835686,1012.0305352768562,1012.5854711563808,1013.3679022158838,1012.8043596865574,1012.5798741858907,1012.3702478921554,1013.7511082736812,1014.6267649205683,1015.0179948583396,1016.1232953385514,1017.9403160360011,1018.7823488003415
D48,10467.513768630279,10468.026912711026,10468.539493629762,10469.051576961645,10469.563232147615,10470.074532153689,10470.585553113098,10471.096373953013,10471.607076007645,10472.117742619652,10472.628458731739,10473.1393104705,10473.65038472448,10474.161768718537
D49,11070.519284072423,11071.015406912873,11071.511405820704,11072.007290250964,11072.503062578886,11072.998725723326,11073.494283135069,11073.989738780016,11074.485097119868,11074.980363090388,11075.475542077349,11075.970639890304,11076.465662734272,11076.960617179519
D50,9930.475713894615,9930.924867672136,9931.388860419771,9931.844711649077,9932.316071616398,9932.78261479806,9933.221404166308,9933.711161349831,9934.16928590048,9934.640937398075,9935.153834180706,9935.607624970451,9936.092175462814,9936.578153948722
D51,1022.1978226221962,1024.9171654882223,1024.1821969629013,1023.9657011738103,1025.26679076128,1026.1833500703412,1025.8502332226028,1027.660723954661,1028.2405324955266,1029.6576955594323,1032.2333325342288,1032.9207649842485,1035.1500891971307,1037.8329562054541
D52,2894.19146227958,2892.334058752457,2888.417465340913,2883.0775692753477,2877.7489818026042,2873.012283099071,2870.307276449521,2869.026207703658,2867.139683190575,2863.223718464031,2857.8837731473986,2852.5551870974705,2847.8184883070176,2845.1134816604404
D53,1107.32496211319,1107.952836428039,1108.9938395668862,1110.061517997563,1110.7482169423463,1111.021526424368,1111.2666848626334,1111.453148041618,1111.9688514633663,1112.82860403976,1113.653372657954,1114.0454472964886,1113.9844799322104,1113.8693943174885
D54,2818.3575336274566,2822.6561343413664,2828.396612176844,2832.6000208494333,2835.1297588608504,2836.9844794698006,2837.7795127191143,2839.2925261552487,2843.942647171379,2848.6342031701747,2851.373273973089,2852.5613324726464,2854.5290389373067,2856.5545073412613
D55,1077.1921934373686,1077.1977208156072,1077.2040633970564,1077.2111984724681,1077.2190994716439,1077.227736092881,1077.2370744506009,1077.2470772404345,1077.2577039209668,1077.26891091125,1077.2806518031255,1077.2928775873197,1077.3055368922123,1077.3185762341138
D56,10533.065656341132,10533.129824354573,10533.192827194476,10533.254993691597,10533.316656751273,10533.378151731535,10533.439814809282,10533.50198134246,10533.564984236229,10533.629152321084,10533.694808750826,10533.762269428193,10533.831841465802,10533.903821689944
D57,1715.5058798836992,1714.2307367143487,1712.8318145329963,1712.9043712921841,1711.3569678465424,1710.7968622158432,1711.0957465003037,1711.197988260895,1710.9614414596329,1710.494814914414,1712.1586133759663,1713.0587375189953,1713.0789696374825,1713.6906515542182
D58,1674.099561515863,1672.1493343458974,1669.5974594168597,1667.4734593998799,1665.301081774776,1664.146108225479,1663.5681810935594,1662.5463421918953,1660.504717315106,1657.5735739220324,1655.1020348924135,1652.617972696948,1651.1796279210253,1650.3431483184406
D59,4918.776698465641,4928.023943194821,4935.469444882807,4941.154510916519,4946.855495849949,4955.241964292159,4962.7143307269935,4970.445252841721,4978.874187070034,4985.507517628324,4990.098480279891,4994.817724971973,5000.986768204648,5007.855965718591
D60,4070.1318648372935,4069.991577956248,4070.130852286803,4070.866268153984,4071.9562458282753,4072.834623164192,4073.724127005204,4074.0572539169375,4074.056268599107,4074.267180959287,4075.003638453153,4076.0240187068703,4076.7650089015297,4077.454960526306
D61,3654.2815982656116,3640.0949548703065,3624.8214461278562,3609.4973425067656,3594.3527335308736,3578.669227426564,3564.006931740244,3549.102189890491,3533.857592967161,3519.2483844432886,3504.051851296873,3489.2548710449414,3475.0724031553095,3460.111176125792
D62,5678.157379275292,5701.777940478388,5717.401410940093,5723.908088330796,5712.202717989156,5707.98105764801,5709.599399576325,5720.594700395081,5734.776904393999,5751.529146149839,5769.5162438475445,5776.335182396748,5769.968148661889,5768.656841246785
D63,4714.30410962906,4721.988406712203,4730.249768116214,4738.851448584722,4745.712043423156,4753.117600207518,4760.0543992916355,4766.871070731288,4774.035249622919,4782.517399297685,4790.904955103023,4800.164705331505,4807.680606309783,4815.181177976487
D64,1052.29998495424,1049.4342475192032,1048.0894040736205,1045.5742356512387,1044.7049295386391,1046.1802549815357,1042.6442845494569,1037.3085661767198,1036.544896971979,1030.0673077362912,1023.5572079832156,1024.3754932097088,1023.5485773479186,1021.0884701428885
