V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2031.1169861455755,2032.5398695110666,2033.583998135696,2035.0070950649595,2036.34920993578,2037.8325741328024,2039.2929453298145,2040.6344737650668,2042.0043107102126,2043.376036924754,2044.7384840282825,2046.1079743930457,2047.4786475686215,2048.8507128477345
D2,2953.2252805303806,2946.2440067833786,2944.245305901268,2947.9536507067046,2940.8728401295034,2930.536162404188,2927.1274469992063,2925.954205373711,2931.0724039778884,2936.8557958328215,2928.5131917247036,2918.987613744566,2908.140296459179,2907.738846433854
D3,1121.2918451348687,1119.0801846502488,1116.8681499175134,1114.6530388129236,1112.4335166111275,1110.2116338236976,1107.9865333775406,1105.7575964930159,1103.5271043239065,1101.2923656790786,1099.0544468336855,1096.8131266167118,1094.5717496432792,1092.3293303156577
D4,1233.21680708346,1241.873240828359,1251.284321229858,1269.624536790816,1291.1562117495153,1313.8878243931865,1332.5277867891505,1344.5602854305969,1353.29206534276,1364.8708812667974,1386.9383016947525,1412.364439152098,1438.4994971163671,1459.5261226583627
D5,5893.911422194072,5920.026999306375,5946.882225031443,5974.4749261723955,6003.085387537602,6028.849402426937,6054.873973258631,6082.990828472582,6111.767946766613,6152.371437979247,6193.9268965261945,6236.243668228507,6279.1061796384265,6321.975403908076
D6,3073.0659670850578,3042.898089858842,3015.3405598366962,2981.9331281371838,2951.2964842926917,2922.6155306289565,2898.29333743769,2862.5916691288867,2829.8244997109578,2798.5607944445674,2775.785035454228,2761.4267081497574,2752.7507508584035,2736.050290384137
D7,5250.429340241749,5283.961737863022,5331.279897967421,5304.762246018559,5270.317737670566,5296.000218293161,5297.000066334591,5298.150406576339,5331.682804197612,5379.000964302011,5352.48331235315,5318.038804005157,5343.721284627752,5344.721132669181
D8,1731.883678562475,1732.136550071194,1733.308666254404,1734.483223416581,1735.118042549167,1735.039183983564,1734.6302058584304,1733.7906720181595,1733.8862497682487,1735.6550326865893,1737.4133421934878,1738.8573798124726,1739.8901754364065,1740.3201473469016
D9,1584.6950240567244,1584.653748551066,1585.2282294701254,1586.0834792793175,1586.444498309437,1586.245389528519,1585.9387366352012,1585.1119393751135,1585.154254641977,1586.7838695754604,1588.239239570447,1589.5328914541624,1590.5617981044174,1590.9065603638805
D10,2621.386923458084,2622.3258309466432,2628.72782931952,2632.0323410757837,2623.7906822674126,2619.8247322537427,2625.474942835765,2631.187309536319,2630.327568445567,2633.2806300781504,2632.868949771944,2635.782413621649,2643.725778581675,2655.9255007524657
D11,2440.8351677912956,2431.8636176630685,2421.491129504259,2420.178216650048,2419.526500962096,2424.0952375121155,2426.443091448536,2421.511446692414,2410.3035018642618,2401.7836461282554,2403.210652273366,2405.5432222075265,2414.5601262569944,2424.5162764967054
D12,3671.2699867221836,3677.298546038196,3682.5305408031613,3685.8234302276346,3688.0050118117574,3690.18513346482,3692.6463536594606,3694.345735525211,3694.0926406489584,3692.596921033841,3689.7182654740636,3684.4115914026124,3680.2981205981323,3677.9113785689824
D13,7247.306419390261,7247.792109142489,7254.818605054151,7274.646526037869,7285.644168385511,7293.523486190676,7299.83382422691,7303.341578568717,7301.363108502099,7295.0415199149,7286.59604159809,7270.286567092046,7265.256100497463,7260.5785509673005
D14,5671.984159032386,5689.686952656782,5734.580422111507,5759.5859516298815,5763.3213792831,5779.144076279937,5808.119221450387,5823.862730876791,5834.294824831778,5855.827339764296,5874.332296459265,5888.477026466553,5897.1189239319365,5915.275957465026
D15,8085.927461757305,8204.581750849778,8369.127911311565,8444.439684690633,8584.779877037725,8973.389442252825,9126.389882697595,9280.661576123202,9409.63770480485,9540.172055277011,9694.467793521937,9836.784592436577,10238.991118435133,10419.503571495752
D16,3063.4119227431706,3050.5694950230973,3040.0123371931536,3029.713249674579,3015.6241771832324,3002.1006914500463,2986.813220480573,2975.8562247953632,2960.109923610012,2943.1278654674697,2927.0880594881464,2907.606789267973,2891.0668862601324,2872.7745264571386
D17,4045.3411163283427,4040.7063463437,4045.3135365236158,4047.551877000026,4046.78207807434,4051.2822648431097,4052.9459017055856,4051.170052666627,4051.2244164220087,4047.2593391050495,4047.581501960861,4041.089189192911,4037.8786073110787,4034.522519032223
D18,9533.740242792137,9535.844790229841,9534.465453975592,9532.082102522694,9530.241284648406,9528.493756207576,9526.45563177646,9524.559033328522,9522.726275146091,9520.85894863171,9518.987364822537,9517.128634244847,9515.26372644557,9513.395371103314
D19,2692.3435773628603,2712.3975851582377,2750.9561600861907,2767.460825420732,2766.9604923176344,2770.4288455339674,2811.2437628218217,2868.397731110371,2862.518981509212,2850.938659220303,2856.5627337051083,2884.185903865657,2896.5996268259455,2897.9298874591777
D20,10821.580955771838,10801.886836819678,10782.76173031035,10768.820079087029,10759.464054330327,10746.980621576642,10727.734882397412,10703.327561929975,10678.704970675024,10655.274462305597,10637.798858333805,10625.007667486543,10611.0371534251,10591.467544975496
D21,2680.0927161858067,2697.729224921218,2742.438866704856,2761.9379372979856,2765.237398505318,2759.597330741551,2795.9649422125262,2851.1160057795,2846.235081496943,2840.4569464972546,2842.6334084049536,2871.9277451439116,2883.824701678122,2898.645173795969
D22,2845.299006882902,2838.757171214452,2833.607355756949,2827.5087852112233,2824.7544498440025,2820.2667580825764,2815.633052582449,2814.581183609469,2818.0278514620295,2824.175812581044,2828.321074515071,2835.4154766334527,2841.443471559861,2846.0958666475867
D23,1937.768511975991,1937.3206593471969,1938.9488542702197,1925.2215810928446,1912.1568907984106,1901.3395504175153,1912.7461861520012,1917.1734049867925,1923.1217054704168,1935.2742947463598,1940.9789274032798,1953.5171700631167,1961.5297023121034,1966.7184457642534
D24,2537.965973670456,2532.3217567607135,2528.3440586974366,2523.0473654146313,2520.427019230185,2516.1721259035553,2512.1427665128494,2511.2826462588796,2514.3996518430026,2519.297607862416,2522.8945918548443,2528.899443509633,2532.758938404815,2536.089290156962
D25,1597.691700785061,1600.9771008297023,1602.3361336896314,1602.7336902242141,1602.9457573341726,1601.5615277904599,1603.0503774045599,1604.4694813014157,1607.591603607393,1610.016421135782,1611.380089643306,1613.1456721859327,1614.8921830451038,1617.1721701789013
D26,2366.190656613602,2365.7959623439556,2365.8905901150533,2365.3434314320352,2366.4825722884393,2367.481675916446,2369.433108718424,2372.859192963013,2377.5916024633784,2382.640201303411,2387.3696244430516,2393.589438334172,2399.27743294577,2405.021210657375
D27,1714.6455598031052,1711.6956814465457,1708.897867316902,1705.8852538036244,1703.2288362747624,1700.5338973417583,1698.3398742471547,1697.0829894238377,1696.6636411115135,1696.5327644577594,1696.211344076743,1696.1572305318095,1695.8662007618736,1695.776308644227
D28,424.1149715224332,423.95754319840506,423.82454204926006,423.7145768217972,423.62499470831744,423.5529317105444,423.495426515719,423.4494456003772,423.41189915751676,423.37965627334313,423.3495601940552,423.3184437066618,423.283144569479,423.2405209182702
D29,6414.433414459647,6421.024795827434,6429.512634330669,6437.384973488107,6443.3033055548585,6448.609406169155,6458.230801256864,6473.337221269107,6492.768075507468,6516.774613256984,6541.336712676082,6565.068491386597,6591.598489786867,6622.088875545
D30,610.4018855655595,610.6412885562191,610.9250809276723,611.2633805059438,611.6476157391726,612.0729947814679,612.5352264726862,613.0298660104916,613.552304246501,614.0977955199244,614.6614818219103,615.2384165096489,615.8235883971879,616.4119461678148
D31,2121.3236024322273,2123.640966213251,2126.2447332947563,2129.126090539974,2132.274813568746,2135.6793174642216,2139.326714094351,2143.2028757691232,2147.2925049236173,2151.579209487583,2156.045583574544,2160.673293097526,2165.443165894475,2170.3352859244815
D32,1925.2315659320363,1928.5099306021766,1932.0244357467786,1935.763214910271,1939.7132518848564,1943.860444744868,1948.1896751638913,1952.6848826770083,1957.3291435264516,1962.1047537065988,1966.9933158038018,1971.9758292080387,1977.032783256963,1982.1442528586224
D33,6733.971760032336,6755.319830694189,6721.475854145264,6722.895504634172,6746.009745200298,6757.175851676297,6748.230968150864,6733.6834185432,6755.031489205053,6721.187512656128,6722.607163145036,6745.721403711163,6756.887510187161,6747.942626661728
D34,2284.207957885365,2284.193897850081,2284.18725179767,2289.09680961291,2289.080635847297,2289.280757329197,2294.114619537907,2294.107582086408,2294.312274042657,2299.1507182041682,2299.1482727739326,2299.436331715083,2304.2803193393656,2304.260424271886
D35,1668.477567311736,1675.5206166137082,1683.1635481201297,1691.3279779696525,1699.8669503702283,1708.996706880624,1718.5781447373024,1728.7377362018817,1740.8621428350832,1752.8223974485916,1764.9870763447632,1777.4358734504679,1790.447042563786,1803.7706016793927
D36,3773.8890254054186,3767.256512628303,3755.6011969966758,3750.0609330195225,3744.523376623223,3738.7444682122405,3727.2183758673577,3712.694250400554,3699.4930610331035,3693.0012808011484,3682.8777942116335,3676.359608707569,3669.859054913491,3663.3580214642525
D37,2433.3142386198824,2435.906863112934,2438.4994876059855,2438.415471237354,2438.947696374481,2430.2368896169137,2422.5689387811844,2409.883177401067,2412.4758018941184,2415.06842638717,2414.9844100185383,2415.5166351556654,2406.805828398098,2399.137877562369
D38,2300.033570963452,2283.332628896267,2308.0034525700016,2267.3124391420724,2297.9695235177733,2298.3238117633978,2263.1193882639104,2279.3364155556205,2263.2459239050713,2251.8919514035842,2253.2551972281176,2238.305300069152,2235.4222732655453,2219.2068275989777
D39,2505.869133326702,2505.1052253208054,2355.2276615009923,2357.578631256733,2339.947459817518,2306.2260209218293,2276.06420365333,2258.249833345009,2297.9876583221153,2301.9362653788094,2288.7880402760147,2347.353460057013,2305.4101960830003,2299.40566169273
D40,3912.4444975977017,3934.4989076180773,3946.462236333565,3946.5830162571815,3943.137056737716,3946.2734483606914,3958.0566164905285,3970.6545449487094,3987.575432070737,3996.1013587388425,3994.8243219536903,3992.280094688315,3998.783587347758,4016.464112628341
D41,6584.197189637613,6557.680212346516,6577.505342505928,6568.313394653584,6548.066355473692,6525.785498044867,6527.674033507792,6517.100752006407,6500.9034667042415,6465.269915502939,6434.61740600984,6396.8518348774705,6375.249309149303,6366.213570060424
D42,6816.082395184977,6752.593155336585,6792.925618713344,6743.040188321503,6640.175793460598,6533.789482806356,6528.36350189204,6507.55215152336,6416.479856190774,6354.0061121018325,6324.120576668177,6287.263521513411,6210.36139828431,6192.584774622353
D43,1121.758694718131,1117.043784681108,1111.0084884625207,1111.4844163408463,1107.7733479184326,1104.7783301174986,1105.3421670001019,1106.7741106511671,1106.9039744271074,1109.7407876591058,1114.9273394873892,1117.1808671235376,1112.0892538932414,1114.5780831589816
D44,8580.23671450793,8578.768751020301,8569.840988835891,8556.166751547846,8544.864131953653,8540.465320272759,8540.459273081027,8537.847708985462,8534.414941594627,8524.075848283395,8509.349985698103,8497.239176615232,8492.203859783951,8491.687170749168
D45,1121.4253227155355,1122.635769317591,1123.074068536655,1122.881213983302,1124.1382327411607,1125.9363855801023,1126.2098228379098,1126.6816232062752,1128.041335110296,1129.0643770221634,1129.9550421240838,1128.847491877293,1131.0059237585917,1131.7079208346272
D46,10166.677187212981,10166.27405886799,10165.873328778966,10165.472529929482,10165.071733051576,10164.67093611714,10164.270139184324,10163.86934225146,10163.4685453186,10163.067748385738,10162.666951452877,10162.266154520015,10161.865357587154,10161.464560654293
D47,1006.3627352498797,1012.8113990444406,1010.4191635560209,1008.8904381933196,1008.3741285662162,1008.5854159340174,1005.8369689755863,1000.4448687578374,1003.2726064768349,1005.7126564227316,1003.4015331720736,1003.7763888323456,1009.3002002246534,1011.5496868823611
D48,10468.293206562892,10469.660258666678,10471.103014865297,10472.622967404042,10474.221234945318,10475.898557114475,10477.655290892288,10479.49140887166,10481.406499387027,10483.399768515856,10485.470043942465,10487.61578066536,10489.835068520259,10492.125641482182
D49,11069.263698369545,11067.502586696095,11068.209620793921,11068.874610991894,11069.321209012449,11069.761357039846,11070.36522416326,11071.03787011605,11071.362711960333,11071.764422370728,11072.338914544438,11072.904687713211,11073.420850568386,11074.189509508571
D50,9922.427617190087,9923.950147902102,9897.902309834046,9908.355189155964,9882.051544043285,9886.166660730076,9878.265744631994,9895.114885191912,9868.563180483397,9905.636638165448,9887.723551612044,9850.658560230897,9847.84897673717,9983.8528182611
D51,1017.125692451795,1017.963816836773,1017.298859808034,1011.1136523668845,1011.174582205662,1014.7684696333788,1012.2082251245438,1013.1229344430417,1005.8236092634351,1005.8501152153237,1004.2337883325606,1006.9082547297962,1009.5454219292343,1014.3219805897082
D52,2941.8027270554057,2935.881719698285,2951.903816595752,2903.3105237431278,2880.1952052492866,2881.0190221625635,2864.3724334501426,2826.70670053594,2819.8911492811426,2826.6183972297254,2815.0560536090484,2806.3561038086236,2816.691083134117,2810.652810523746
D53,1108.0287088223517,1109.4031920535842,1111.682008122357,1114.4497433115664,1116.7924401532694,1118.1683840447008,1119.3978713517886,1119.9504086715986,1120.663533387859,1122.0229835145878,1123.6485593768691,1124.652545401841,1124.5455307435568,1124.2266085918752
D54,2815.026840714059,2820.1564160551225,2823.123339343655,2831.791852674363,2830.054916257816,2830.7929381749886,2844.1945911692874,2845.79033935795,2835.040347881018,2845.5350073967234,2846.9973689219214,2847.414193731966,2851.3289852879498,2848.4176726107407
D55,1085.308536683114,1086.0051644020014,1086.057094927755,1087.7453526247268,1090.7000895496158,1092.5774980980002,1087.8604618262596,1087.2382631229143,1084.038219613926,1091.6558752967176,1094.5684891674923,1096.8444525442587,1097.8275705861183,1100.1753957271671
D56,10519.362013335583,10505.719938875829,10492.238690979006,10479.082400472531,10466.413615024083,10454.3925072257,10443.176094249015,10432.917472873374,10423.765073613722,10415.861937582053,10409.345019605487,10404.344520996125,10400.983255223337,10399.37604957889
D57,1716.4601402374392,1713.2696628531953,1708.4580236909555,1708.4996096092157,1704.1289846572345,1700.9119616722571,1700.2191548443006,1701.8472272564466,1703.338278365779,1704.3240664460245,1706.9848793935594,1707.0610926130128,1706.8931946489565,1708.8636911529125
D58,1672.3866838705314,1666.8372973413386,1658.5347577651937,1650.1620506579795,1641.337367244803,1635.0530755749207,1631.230076862178,1627.2829037409313,1620.7689179384379,1607.5291775963167,1594.5764206657257,1581.4447232921195,1571.146614577688,1563.549592592839
D59,4920.348186505388,4926.382174504945,4930.412415750508,4934.531743945285,4942.487838641068,4951.041791886928,4978.914944522388,4984.144378757607,5013.766544661629,5035.795435430139,5049.489878564946,5061.544413113995,5077.152621566238,5116.169168328127
D60,4079.345589848225,4092.780479501077,4107.264962893667,4118.385020392207,4124.735117674099,4129.279037118126,4132.936729623674,4138.7195901377945,4147.640269365927,4156.5872415984595,4161.297692890526,4160.890487653308,4158.634426527489,4155.683585101517
D61,3630.4344215273636,3634.775517473144,3629.142604264572,3609.8543002750935,3602.720810384466,3569.6628205421816,3529.1021653124785,3513.802028577184,3486.4717346221037,3467.64908627427,3455.092414898527,3414.811032354716,3434.850124688327,3422.141075322768
D62,5703.811898564151,5740.442573850692,5769.73703139067,5796.741538592034,5792.612539666377,5766.470282171319,5733.91235516709,5654.761615177345,5705.109262976311,5720.876506006762,5805.7837367600505,5870.265375886179,5870.564646339767,5862.132022971566
D63,4719.120129408698,4720.791329912215,4729.865512581128,4740.9106381693755,4731.666944914482,4749.527530430096,4760.9899183955795,4757.547711054752,4759.429506300357,4763.910977192024,4769.967717019471,4787.026665170695,4784.935782669201,4783.795713785002
D64,1059.0484875720692,1054.242157101665,1070.1650602090772,1075.414613699739,1075.7814429818259,1070.0321247815805,1069.2435822292066,1055.5237029256373,1047.1997336375168,1041.7655522046796,1044.4285626816056,1039.8777420454817,1040.860935308815,1040.0198294217112
D65,3561.7812688585573,3530.96220349505,3390.6586824617425,3403.1319222745105,3419.459678947955,3480.561608065545,3488.829387406166,3452.2479011659298,3479.876736144461,3491.1394703902697,3452.5892345048906,3430.5687466697045,3446.8706357731594,3487.373834553847
D66,1404.534969811825,1410.9035993467987,1408.648820192379,1391.0533057987773,1375.7106286138264,1372.4737315501934,1379.5744633104373,1389.0094962270423,1390.5948495598614,1390.5090279756894,1386.4601630705884,1380.5289662677017,1376.9572234399589,1387.0596134348386
D67,5157.609857717497,5164.816036513274,5169.889624446165,5173.234300437887,5176.9826553513285,5182.863601127658,5190.473458845155,5198.083316562652,5205.289495358429,5210.3630832913195,5213.707759283042,5217.456114196483,5223.337059972812,5230.946917690309
D68,5530.8072633591,5537.268528540932,5545.048607194885,5558.488034739235,5565.788039206842,5574.446391074189,5581.821951402932,5589.141326297781,5596.342860622718,5604.006295655972,5611.653572259846,5619.440464346986,5627.207551453783,5634.956194163247
D69,3959.8602388722766,3966.5614727261186,3966.9327902138198,3971.629470992558,3973.810695040303,3975.879055199571,3972.952499037629,3984.386998262209,3989.11843975175,3976.915241319471,3983.249288973311,3988.1903947861056,3983.654074031151,3985.466837784655
D70,4026.494612287208,4026.9164202298084,4027.510253972914,4027.644349114098,4028.065867850442,4028.142404822889,4028.3722808019675,4028.5250565019173,4028.1986994341264,4028.4286772650953,4028.5049925349954,4026.722124966592,4025.2075753839326,4023.9230109329947
D71,2530.1753901358243,2540.2440107776188,2541.80476545486,2537.265114755349,2534.864072840917,2536.063743686316,2536.139365195073,2542.369433685531,2545.1972378490636,2557.496189934437,2562.5452254632514,2566.341319201317,2573.856035177076,2583.836330349339
D72,1923.2241769231844,1921.7333594222403,1917.9007069774314,1917.1028577079458,1913.3959503422404,1909.9902522967254,1915.744667086905,1922.8576546493896,1927.0240784245666,1932.034748416469,1936.947851647755,1940.7206948346222,1942.7226590928858,1946.4602912299251
D73,1017.2363213152967,1015.2399884442085,1015.8262850161401,1013.4733186124325,1015.3882460091424,1020.0674033002794,1018.1604422888161,1010.3679771959797,1006.833013573063,1005.8572594643795,1008.4242257779014,1014.7572780998557,1019.1784914898716,1024.028065909432
D74,1665.8475087368947,1662.3692960559185,1663.174576706374,1667.1890721061316,1670.1292889237598,1668.7860124099566,1664.2335211468512,1659.6810298837459,1656.2028172027697,1657.008097853225,1661.0225932529827,1663.9628100706109,1662.6195335568077,1658.0670422937023
D75,1635.8821021065212,1636.3999866155455,1640.0724181305334,1636.9213838466976,1630.9753205789234,1631.6413538508518,1636.7030206513414,1633.2651190342747,1634.0859378091095,1636.4494539596124,1636.6801396782098,1635.7666937653391,1641.4313581821912,1639.0732581861414
D76,1799.4496543959694,1792.9981920509033,1786.545530013704,1780.0915914161963,1773.6363058450677,1767.179609682414,1760.7214464132333,1754.2617668983687,1747.8005296115653,1741.337700839488,1734.8732548437222,1741.9196739839683,1740.626948801826,1746.3763280647618
D77,1935.8230966555968,1938.770629971612,1942.143214840241,1942.5506892667097,1943.560736024752,1943.7888087534411,1943.0276239815491,1941.9986561136411,1942.9493179956014,1944.6035246081742,1945.2155819359914,1945.0399683980925,1943.1646856296752,1941.5717714072862
