V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
D1,2028.2522527694703,2027.0359779119492,2025.3563334465027,2026.8934564113617,2030.5466732501984,2034.736510705948,2033.9803577780724,2037.0887600302697,2038.0586272597313,2037.8842663735152,2038.245064046979,2037.40368732512,2037.2413980036974,2039.1684004336596
D2,2944.915407180786,2953.1116676330566,2963.8780269622803,2978.3297624588013,2992.494751930237,2972.045578956604,2954.0228872299194,2951.328503847122,2967.502104997635,2995.5553047657013,3002.561464071274,3002.0462299585342,2994.35788166523,2991.4704426527023
D3,1120.7388000488281,1117.9776000976562,1115.2164001464844,1112.4552001953125,1109.6940002441406,1106.9328002929688,1104.1716003417969,1101.410400390625,1098.6492004394531,1095.8880004882812,1093.1268005371094,1090.3656005859375,1087.6044006347656,1084.8432006835938
D4,1242.8970947265625,1238.4632568359375,1212.730712890625,1212.0263671875,1209.5142822265625,1207.66455078125,1205.9881591796875,1203.9986572265625,1206.8612060546875,1208.7884521484375,1206.858642578125,1209.3092041015625,1210.2762451171875,1207.77294921875
D5,6333.641766357422,6771.053601074219,6775.067090320587,6803.973855304718,6811.546636390686,6815.9299862861635,6819.618536758423,6843.511463928223,6850.335560131073,6856.035365867615,6858.690206098557,6863.66141037941,7024.094622659683,7029.273057508469
D6,3035.290150915527,3013.5262062896727,3017.403260027313,2988.8580406059264,3000.615532671356,2999.0356269229887,2965.8670096744536,2927.9611297000883,2921.592204605484,2900.004561935806,2889.6684079517363,2898.9118142475127,2894.865593944931,2853.6504412044524
D7,5255.251908496857,5288.43826027298,5270.486355976105,5301.305432514191,5290.215863422394,5279.126294330597,5295.3873817482,5301.360290245057,5334.54664202118,5316.594737724305,5347.413814262391,5336.324245170594,5325.234676078797,5341.495763496399
D8,1732.7343172812461,1729.6246492648124,1729.430130445361,1726.7393574351072,1722.595865213275,1720.0537237757444,1723.936145030856,1718.1383449667692,1721.758960210681,1737.9853224390745,1743.5673017138242,1747.645302736163,1758.5109805697202,1762.9056911104917
D9,1592.109518547058,1590.2314102840423,1588.2730561685562,1589.2354558300972,1589.375540677905,1589.9123256844282,1598.6084259194135,1594.8228948754072,1595.3305795830488,1613.0832784813642,1617.6371954125166,1625.1553276222944,1637.142691437602,1644.2295144242048
D10,2625.313170528412,2582.617026424408,2569.419571971893,2581.559021091461,2596.590324497223,2596.5391123466193,2609.5456497840582,2609.1065358690917,2609.8749097160994,2597.268725710362,2577.467425661534,2575.9117955736815,2580.875830131024,2588.3841080240904
D11,2451.740487575531,2447.5268592834473,2429.693313598633,2401.879535675049,2443.3069229125977,2461.5455799102783,2462.7433928251266,2476.9809111356735,2442.355831027031,2406.5717314481735,2430.45362842083,2433.4219866991043,2455.8885642290115,2460.36951982975
D12,3676.208808708191,3696.310973930359,3686.9246423721315,3683.564187574387,3689.744442510605,3686.285050916672,3681.636345911026,3688.69638543129,3703.1384506702425,3710.3473692417147,3710.3096130222084,3706.630363020301,3721.9868102401497,3734.8078914016487
D13,7261.212240600586,7256.1069163322445,7295.989835643768,7303.504755878448,7280.537531757354,7347.878374958038,7389.915530109405,7382.612595462799,7401.831437015533,7406.685845279693,7421.250512981414,7394.554220104217,7378.764473819732,7370.834145450592
D14,5689.260354614258,5699.326652145386,5737.826804733277,5754.797616577149,5764.473453140259,5781.164987182618,5805.71125946045,5821.3917757034305,5823.421757793427,5870.328995800019,5893.05114850998,5893.507803803683,5897.830881482363,5937.778646832705
D15,8021.784811401367,8073.877912902832,8195.002416992187,8160.775492095947,8241.82026901245,8765.992693328857,8844.023622894287,8927.945909881591,8979.533762359619,9019.272386932373,9113.276964569091,9180.785234832763,9712.646807098388,9823.21148147583
D16,3071.01513671875,3075.539306640625,3082.6279296875,3081.746826171875,3083.22216796875,3083.22216796875,3083.22216796875,3085.0927734375,3092.25439453125,3090.458740234375,3098.697265625,3087.08447265625,3091.608642578125,3091.608642578125
D17,4049.7776062011717,4057.1559960365294,4067.1656500816343,4082.6563031196592,4093.58522195816,4105.846197795868,4110.586579990387,4101.864055347442,4114.870764446258,4123.062157344818,4129.66031665802,4160.584737968445,4161.384207141399,4184.13801420927
D18,9581.923975372314,9587.440238857269,9786.281608486175,9913.048492336273,9845.2119597435,9852.010317707061,9900.839953327179,9999.112711811065,10029.412310504913,10025.209016227722,10046.493077659607,10072.377850914001,10095.141103172302,10034.228757286071
D19,2675.0736886978148,2676.7553777217863,2677.882553052902,2699.048828077316,2684.432104063034,2720.923173856735,2741.5276164531706,2874.7917155742643,2915.0922412395475,2892.84271235466,2919.099838209152,2893.5250148296354,2920.281661939621,2938.840846967697
D20,10864.84698638916,10851.304292297364,10909.96353302002,10875.64126739502,10878.577304935456,10841.157119846344,10784.306320285797,10734.764850711823,10687.259800052643,10667.95259103775,10665.48778758049,10687.482624387741,10650.861988401413,10609.235760068894
D21,2662.9580057144167,2676.9336812973024,2676.7674390107395,2669.912044170499,2659.9736391335728,2673.0641037255527,2715.5839744836094,2765.122899654508,2788.5859276086094,2783.538412216306,2751.1564275056126,2734.5988637238743,2718.1642705231907,2719.915183785558
D22,2843.0689628982545,2821.5342186355592,2790.400685157776,2772.452681388855,2764.481101360321,2759.289534416199,2746.7225216293336,2738.849509563446,2735.9613932037355,2752.0711668395998,2754.9635473155977,2764.497878637314,2804.7407947444917,2826.0731483364107
D23,1938.4353165054322,1938.1007162058354,1939.9255686724186,1925.741207214594,1912.2323094332219,1901.0745297396184,1913.084652992487,1917.7654877626896,1923.9911542856694,1936.677097889185,1942.6468106234074,1955.7346764528752,1964.1145068132878,1969.5385170900822
D24,2523.443648376465,2507.9123640441894,2506.0653348350525,2475.2580762290954,2440.938087978363,2426.255094089508,2431.670359649658,2430.9203699612617,2410.8565405392646,2407.162487127781,2378.4155694031715,2348.2220841431617,2337.7140933060646,2345.566934683323
D25,1603.3556715965271,1606.777817440033,1606.0994203209877,1607.58266736269,1602.551314842701,1607.642135155201,1611.0726425766945,1616.829633963108,1615.5713921904564,1614.0128582835198,1614.1902697503567,1615.69123904109,1620.917686623335,1624.9661099135876
D26,2340.928730773926,2326.125755119324,2328.693858909607,2330.295995759964,2336.6952214717867,2353.4253335475923,2364.9954391002657,2364.8699955523016,2369.2260551035406,2370.9765939295294,2372.6183142244818,2385.1189102709295,2393.56153627038,2417.5526327669622
D27,1723.4659757041932,1721.5416416549683,1720.998070063591,1706.2175677442551,1696.5716212415696,1676.484237971306,1682.9156807088852,1684.6414473676682,1690.3100655698777,1712.1769478940964,1721.5911553525925,1737.6350625181199,1745.1097906255723,1749.0358765745164
D28,423.1355068874359,429.9192640972137,428.44499089241026,437.3076598834991,445.68012024879454,448.45670415878294,437.12173273086546,441.443189163208,431.20760967254637,425.9350261878967,432.9649505805969,437.8039775085449,434.07512261390684,446.1077010822296
D29,6427.653251647949,6431.212975502014,6460.320813179016,6478.7701597213745,6523.25807094574,6517.498616218567,6555.05947971344,6566.803497314453,6601.369743347168,6621.816841125488,6645.410598754883,6665.420560836792,6724.288396835327,6768.476049423218
D30,612.2869250679016,612.8028361105919,612.1179303431511,612.4889732503891,609.1015630865097,613.8010274076462,608.2246509695053,626.5172363424301,632.9233156347275,641.5528989934921,638.1300743722916,643.6661409044266,640.9842585229874,635.1183708810806
D31,2123.35498046875,2155.08935546875,2179.5732421875,2173.5859375,2201.99560546875,2176.9453125,2179.172119140625,2227.1474609375,2246.167236328125,2269.18994140625,2324.484619140625,2316.14990234375,2330.40576171875,2342.847412109375
D32,1926.54541015625,1945.599853515625,2262.5078125,2243.17626953125,2303.184814453125,2270.955810546875,2132.881591796875,2156.68017578125,2154.302001953125,2154.302001953125,2152.881591796875,2152.59716796875,2133.39306640625,2122.496826171875
D33,6747.132513046334,6745.271662950585,6743.410812854836,6746.114563703606,6752.889740705559,6744.63740992553,6748.147466182778,6746.760669589112,6744.899819493363,6743.038969397614,6745.742720246384,6752.517897248337,6744.265566468308,6747.775622725556
D34,2381.2195892333984,2381.110012382269,2381.177511766553,2499.2329240590334,2499.0696862339973,2504.0963409543037,2620.331478893757,2620.383635185659,2625.5158139690757,2741.856481693685,2742.014162160456,2749.142245389521,2865.6108580604196,2865.344478942454
D35,1662.204339981079,1662.4086799621582,1663.863209605217,1665.1746537685394,1663.3649874925613,1664.2312251925468,1665.0974628925323,1669.713715314865,1712.1231772899628,1742.0388724803925,1769.1558501720428,1796.2728278636932,1830.986489057541,1868.2439124584198
D36,3766.453808784485,3753.233211517334,3738.947853088379,3727.4361486434937,3716.6537981033325,3704.817295074463,3693.417508125305,3682.1466932296753,3670.8891429901123,3658.7164630889893,3643.2071857452393,3628.9806928634644,3615.015254020691,3599.9228944778442
D37,2426.865083694458,2432.657106399536,2438.4491291046143,2434.4288454055786,2436.188446998596,2426.189154624939,2422.43754696846,2403.302630662918,2409.094653367996,2414.8866760730743,2410.8663923740387,2412.6259939670563,2402.626701593399,2398.87509393692
D38,2332.2665061950684,2239.905055999756,2312.125629425049,2230.8333702087402,2325.136402130127,2331.561408519745,2260.62024641037,2322.1943469047546,2358.747054576874,2266.151084423065,2339.900207042694,2277.863673686981,2286.1885571479797,2195.862659931183
D39,2505.8226108551025,2505.6367565989494,2349.8498608469963,2352.913015305996,2335.1266364455223,2300.550418794155,2269.6885890364647,2251.7110518813133,2293.787979066372,2298.5196313261986,2285.4110974669456,2347.1342076659203,2303.9786939024925,2298.324462354183
D40,3890.165075778961,3927.5924134254456,3912.7225556373596,3876.119417667389,3844.7884278297424,3846.850739002228,3858.657024860382,3836.7724347114563,3854.4590134620667,3890.0069642066956,3810.3458161354065,3797.9228653907776,3768.9872422218323,3773.0467014312744
D41,6495.328519821167,6432.15830039978,6431.343412041664,6448.502172112465,6375.927991509438,6373.187004208565,6366.658544182777,6348.616544365883,6281.170728325844,6264.9503074884415,6289.91248857975,6261.353580117226,6309.1487003564835,6330.360091805458
D42,6895.572129821778,6903.386641120911,7095.818937873841,6933.175001716614,6932.493791794777,6932.1643973946575,6863.603873407841,6841.536349451542,6762.907420313359,6631.86507717371,6574.262034571171,6421.828608667851,6346.4551116585735,6378.282113230229
D43,1119.9436108589173,1112.2607781410218,1104.0716769218445,1102.7553740262986,1101.0592340946198,1097.9121403217316,1107.8658823490143,1110.6947633743287,1114.0192977905274,1115.7054936408997,1121.9242813110352,1118.0743197917939,1123.1165961742402,1129.1004437923432
D44,8583.513671875,8583.513671875,8579.0498046875,8576.234375,8559.2314453125,8597.5498046875,8595.0439453125,8583.513671875,8583.513671875,8579.0498046875,8576.234375,8559.2314453125,8597.5498046875,8595.0439453125
