V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,631.7259391326941,572.5882600645608,533.1557198765817,507.0370106535386,492.51607637286804,484.61107491079144,483.40288843842245,496.2354716261293,512.8819778333636,553.8011186932906,610.7744109833234,679.2823289805699,745.3106568054249,801.6081214663056,845.4191296973082,870.0371748784648,881.8424678397191,886.0714291544652,885.0480292987294,870.8022321061311,843.5653551246538,805.9899872003804,784.2675753376968,733.0325138205034,666.2615634633742,604.1911309044285,556.5034313759444,524.0288468267814,500.3547343707092,485.80500855294576,480.58745807783004,489.2513225657445,503.10973415994755,543.509039035637,605.8464296913246,679.4479458743734,752.0054970636594,811.6314049146933,851.413857067994,875.7280276409019,883.5200716378904,883.0308052943657,876.304202430942,860.3480191979073,829.7700775765425,795.5738592679133,770.9324685249892,720.9907821244777
H2,2767.7019955947703,2443.544168922854,2206.3756125463915,2032.053327474891,1905.2088278067133,1846.1987211584487,1836.4297592457722,1849.7631968999356,1980.7865110370387,2128.2572481110087,2316.0185482872303,2555.1041459161333,2788.9393896634447,3018.7516407461853,3195.9561165674518,3353.993390169396,3450.1041846111348,3544.9260388510743,3552.5941582848955,3562.758646957848,3510.5511227035668,3335.0901801186806,3144.0897562788723,3022.5182854412174,2710.8232899906775,2387.2433533562353,2152.9406605834592,2003.2301980092868,1888.157283907636,1828.1806994392944,1820.6046253913348,1832.9087203059903,1948.5348150380487,2093.4422258638647,2291.781501194361,2527.8236547540564,2757.9371932219733,2999.596303131106,3181.3231618818213,3350.4846538292886,3458.6858863369857,3559.175731850756,3579.3392489540347,3604.1875789729265,3559.101951157693,3392.6408213510467,3219.7241128077158,3096.6781854734736
H3,1504.0810566182668,1443.069621234095,1324.1656741344232,1193.3124523032157,1106.6762005669489,1052.2427805656705,1023.744786260758,1016.5700725251743,1041.1569583970754,1098.4920412331285,1206.1805143071663,1293.4417872776462,1366.2101320061174,1407.3317759388365,1466.7724751314172,1521.2487497628822,1574.864163979377,1625.9445605433125,1673.359457349798,1685.844606819016,1724.666800966706,1735.4161057369995,1724.3894146288355,1675.7412340406465,1658.5304085186087,1597.9610424713421,1478.9828554410442,1349.6650651142636,1263.485295231982,1208.8573956243454,1180.1066288197258,1173.4712308344117,1199.8009065311928,1253.4906312417497,1365.0245039890742,1452.4901951095428,1526.9577807274284,1565.6648621968343,1627.4943050290378,1680.2106685957858,1735.0111954563854,1784.7488074332282,1832.58597800994,1843.299242160236,1884.777612520878,1893.9629483701478,1881.2872030504848,1829.7530661176038
H4,5387.085210722795,5098.44963694876,4673.126327040653,4287.362178504413,3987.7347285215437,3746.80674328536,3555.9052952021693,3451.2889435582456,3445.1445065644416,3528.2238995945263,3662.491558234484,3868.2619339473918,4034.901392812173,4218.130052004057,4438.350833874615,4653.240772389299,4808.369268444447,4990.863975561643,5113.504588226744,5297.73527054457,5439.934119724161,5454.038273681451,5260.004153136454,5181.902730958091,5092.136287153359,4804.303612934996,4386.66974564777,4010.4840572922794,3684.765511098947,3442.083613609481,3253.465096473385,3199.8381757977813,3244.9341987916855,3378.634035854304,3536.3540978186156,3735.3609313742368,3882.839821621175,4052.5052568710794,4256.7707183681305,4434.816985363921,4566.626050133889,4759.440415574598,4885.423155242551,5072.3177926623775,5214.403497626406,5227.857611276175,5029.894555124823,4952.73030458147
H5,3824.264929112287,3520.628306065431,3078.2167670685617,2672.768875464485,2380.2971431676096,2181.2655840408415,2049.2014276854525,1968.1558566820092,1957.6101289911524,2027.529187672133,2096.5119701140925,2236.7808113232068,2391.473045099662,2608.64506658787,2870.941737449257,3183.614284924965,3521.0267545842275,3882.8589650055546,4177.473282874113,4387.922872937401,4487.774807130357,4561.379769010991,4459.1179778080905,4274.949756773518,4020.2350744853925,3718.8775457404254,3281.3938701351144,2879.7271966730673,2592.1299283131816,2400.0046744840997,2272.3155013530677,2199.9594986614884,2196.422234274175,2273.2370034047917,2346.63459817397,2492.502862974215,2648.236634667817,2865.870410083146,3131.4426693600462,3445.208819094074,3784.108267749488,4147.0106028524615,4442.8709268629755,4656.939849861532,4760.700328252666,4841.239412580299,4743.123858508681,4565.252070054982
H6,5131.135989047316,5342.100506366989,5629.651615232773,5963.921222878258,6274.000667678574,6529.102715420024,6711.710822453298,6937.796960239432,7202.534299337061,7396.372138928129,7573.374981814185,7703.944106029793,7839.714265637124,7895.560827944402,7828.645290720652,7655.427732978411,7370.449611270975,7129.745778151178,6734.133836498014,6184.737048790367,5748.580974338854,5479.287461661122,5279.01722305983,5210.1684022680865,5262.91106465665,5488.59598938834,5809.834969801703,6196.662754546983,6556.939841288316,6825.736079517599,6997.419602349085,7207.761059909124,7436.326103082714,7596.8398386367935,7778.922857425932,7882.135853356186,7980.961830754655,8048.709611527613,7972.794230373842,7806.057529199459,7533.3589624970955,7297.308073842271,6909.2422585901895,6365.148058178394,5930.137997826673,5658.635791457359,5466.665881051446,5399.672523724874
H7,49214.166394600325,47920.55397878185,45250.21244767651,41113.40016700171,37309.198427104864,34583.698543433755,32828.452257293466,31780.56981232643,31150.275380871462,31345.613058412924,32076.18694128034,33487.561843754695,35595.83051592689,37719.06936333457,39831.72753271542,42246.88075470679,44376.0287488329,46226.37568117795,48616.335656966345,50215.03651717107,51384.46500974137,52110.659517144915,51598.90951473986,50414.48214758239,48271.76138038788,46997.53916007327,44348.497775858894,40308.373921161954,36631.06203118978,34139.733606435795,32571.07487164958,31695.314256930844,31202.978875544126,31592.041287269552,32451.712011916163,33958.20820897982,36127.16015243525,38335.77077665503,40539.275750239874,43026.38241860634,45168.588410586024,46931.297723130236,49255.99650296101,50812.43561572035,51934.072611280964,52596.711537603434,52047.08014369138,50889.33173472303
H8,29480.40332238051,27290.89742159521,25606.560206068498,24431.98306319071,23673.391654563246,23470.717506573536,24068.516963066053,25211.276111505023,26443.655953189642,28010.29225314851,29937.642429715543,32159.124502850587,34407.57301927484,36342.629050732954,38160.95824155883,39465.80236676571,40043.16552163173,40261.06468129979,40012.44183720056,39007.40090219287,37368.798925336516,36108.479762946656,34875.42089001813,32140.28057708053,29232.739942888482,27042.742914409362,25232.29467594179,24001.523158611148,23218.00501321417,22993.714030610907,23593.675402823268,24735.36974663617,25978.45910003977,27587.047499173346,29595.681081079227,31842.925718126007,34096.8468500878,36025.08087461877,37766.007050958244,38987.63501038164,39535.973589820576,39747.75272598098,39448.881978370635,38389.08528012997,36743.17193528298,35460.411544106006,34229.252628479466,31572.20326512145
H9,35326.08719765946,32466.100397676433,30385.27922256764,28792.480772889547,27605.421091070675,26874.526694030516,26538.046243116536,27174.043773331032,28260.510041943708,29509.61084184903,31260.121627929446,33241.25529440989,35305.509819459876,37561.23705968575,39437.48565274358,41046.03813895774,42116.562785772636,42891.360970494316,43040.204495767925,42626.26456791991,41954.2472461152,40931.328015698884,39512.64720927121,38356.03219754801,35624.89193748808,32762.182259256588,30694.908814169787,29128.547860704057,27985.478159782768,27314.15071723418,26990.115416964203,27639.3310056977,28725.291010375196,29971.39170948055,31697.0221320892,33682.13956884044,35751.13408857988,38005.42994721101,39860.873532480546,41456.69902951003,42519.46682944308,43292.10299944328,43439.708811173594,43002.86817003383,42292.018428189884,41228.334871006264,39760.52619220938,38585.817670370394
H10,460.0686280809906,448.81538606829656,436.0183588520152,421.6787850226973,408.347248904652,398.69966378314666,392.0836742947847,388.99948039054175,387.234567079184,389.36852399014225,394.7035556916623,403.7706324594756,413.05098726449097,422.8972444990328,431.90143986451255,441.21453274663816,447.9684726459216,454.65323244283564,459.0502981131234,461.36187231694146,460.1040861247013,457.40403060022425,455.4234708084422,448.26588563387674,439.13708804483457,429.69479695627524,418.2465532150547,405.5609828831005,395.1390084621337,388.16529203453587,383.81807532053324,382.7270892369622,381.750767986025,386.13832687933024,392.24601698477477,400.09030803626473,409.373267502864,418.61861146217416,428.3951122833924,437.47278136954054,444.02854966097783,448.0178193513241,454.4840083394244,456.81543362066105,459.38404724544006,456.4272297534388,453.7405469571882,445.28902066131604
