V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,622.5002817463228,557.7311436646274,505.9924044716912,473.4523513549309,452.5486754421126,446.9103465899906,448.30325879548917,463.40253005639477,476.6770803313294,508.3851819083038,554.1879274121289,616.34452085202,690.2676156073486,757.6159818688993,807.6076746481782,829.1224047451254,828.5988829351486,807.911949663766,786.1818807679628,764.8349571399206,748.2923105118971,725.792223594727,700.2947779560288,654.9734253962048,598.9480983661637,539.745696041044,489.32947752404056,454.9523188160497,434.9722579697331,429.4043626550752,433.4257006160368,447.89944348750885,465.0697607239023,494.86481186570643,538.6966344094787,596.9743192278952,664.8293902765986,729.8829276230609,782.8173687259027,813.1016225982829,821.7695763108567,811.9575050748035,795.986153075891,778.3763273889448,759.0818698631026,735.0611942636767,703.6638551804944,659.2137688161977
H2,2811.510255461603,2507.2226296876024,2283.6204218527923,2102.351297418212,1963.8545542369309,1891.4226438837159,1874.1320978497708,1919.185440606906,2034.278022572895,2195.0499936666893,2371.4414272653225,2588.144749033618,2809.033268906688,3011.701237911815,3187.8892802725245,3339.4956548206765,3456.5336652252504,3521.189078779705,3531.8461979081194,3529.451871251582,3455.585477725179,3282.2083634103556,3098.1971288476097,2911.846365766487,2657.01579345232,2383.0672172468458,2166.504627077909,1990.72650642203,1861.0582731831732,1788.0392467022334,1769.8585998888475,1823.1517852061309,1938.1249943975315,2089.875352449476,2271.6376479852192,2481.732830405679,2700.7607073841905,2903.179166629694,3083.3768485250416,3242.0907583365592,3363.5508384253553,3428.953182676738,3446.7558298425974,3433.3361229902994,3354.5831864773654,3194.7922904892284,3015.50505819683,2821.628263069626
H3,1467.4424171832154,1387.2548639841818,1280.5614786301994,1169.1967927771118,1078.9695807239884,1018.8115234578529,985.6230196268684,981.4220608285559,992.9834828085668,1042.2012366514593,1117.6256862836453,1195.0583071105048,1260.969204143832,1313.911516234656,1364.7658655608482,1414.3579307451753,1458.1405598450274,1503.2392160343418,1539.419804415179,1568.6029299881989,1595.7628179738326,1602.787122702991,1582.3489593934057,1534.0458882230146,1469.3719973239424,1382.5874667054045,1276.6666550882735,1169.7536483842869,1081.559829921854,1022.0311889894965,990.8467977313747,987.2916764196378,998.7502589192065,1044.3066045217683,1112.1329806001493,1184.6668558654687,1250.6128482383144,1307.4889704619566,1361.7213448171563,1412.9493619683556,1458.9511673295626,1501.7938063430254,1536.1545967600975,1564.7872473088823,1585.3017908111747,1586.7550192263143,1561.6924653576768,1511.2770372745629
H4,5386.051368678303,5128.818605840866,4744.686749421488,4365.477456432999,4053.958040241805,3802.6806537103703,3613.9289337281484,3506.158217659197,3467.2556385429307,3507.7987355856167,3612.3529483075436,3764.3339987897516,3949.4239036906074,4170.817023610188,4429.600865387125,4687.178542393996,4918.535088078507,5124.37425583084,5320.174773344722,5527.396054778049,5686.9072369522055,5683.341542444297,5527.879985822193,5388.010635842889,5239.195767348551,4955.011634547088,4576.695498799016,4202.650592854324,3888.0917102327967,3632.912339758712,3444.3244427998948,3337.0342248610673,3294.6607695802454,3329.6379674370496,3437.58702861965,3601.7011054775057,3811.6227602875615,4066.3867025507034,4355.885688144366,4640.815013029032,4896.7306343528435,5121.416554764606,5323.526233107127,5513.957595466246,5646.738463414766,5635.703015675564,5493.716918604242,5330.70922289163
H5,3800.0233957634127,3641.565050818922,3424.589752143021,3223.027038876301,3118.362194926305,3035.9838789467985,2962.4097888831297,2910.942024112465,2897.0318712608687,2923.874883876763,2959.9391411705074,3053.7110922857037,3147.216983032862,3262.183105477305,3427.2017302588906,3582.801516783838,3762.4071781578223,3928.135427096875,4069.666425717595,4173.08152135937,4227.465479333842,4247.368536569095,4175.449554029556,4051.155277052112,3911.167138348569,3744.606423775903,3537.7547180895945,3338.694700194289,3183.6333348006033,3064.205362974329,2968.873715766784,2907.7336749518477,2887.9233330579987,2909.700742574961,2949.0714455157604,3020.6995213363452,3104.634688805938,3215.0246893980443,3345.935938462745,3486.3484398191067,3645.6505113333274,3809.5965871450426,3949.9747603019455,4048.8277929923142,4105.804932230479,4124.234136898096,4070.555500776748,3959.8964062215196
H6,5152.406116930266,5279.885374275732,5619.041877452604,5901.95132286706,6172.961840505584,6366.847297176078,6550.332739127854,6697.394986705321,6874.694294511859,6992.106325032138,7150.823303980676,7282.239128867042,7388.745307445505,7496.900372526265,7516.954260582368,7426.36110840348,7219.8917027602765,6986.258426373605,6746.971246839506,6278.751480993832,5813.899250957922,5422.337363392342,5202.348478693829,5119.575665834456,5097.543264670195,5165.395562417717,5485.652671571319,5828.409528980676,6097.603232122606,6293.991603863257,6477.651344802781,6630.9968807725845,6792.738038134823,6931.878781432922,7052.491128283986,7126.028944994163,7239.118123172229,7322.88538146805,7312.2550482530005,7191.168198636643,6983.369110854351,6785.646256833861,6523.083161717721,6138.762977201364,5717.717716899826,5398.210127158017,5199.239547070173,5053.932755083335
H7,49696.83718669421,47853.71979439174,44884.46991710317,40807.5530665315,36951.900632097044,34064.679682935006,32064.573303295547,30833.618244370133,30181.786550251854,30317.118949994085,31198.56726440753,32768.31011900545,34635.29722899424,36533.11024667375,38609.97675798449,40754.35778289479,42724.10782647552,44893.498877037404,47220.323495168035,49162.22517082415,50590.471410034304,51259.89079035228,50908.36106860788,49679.04763054913,48010.50078607818,45991.49148546127,43029.38787320242,39281.43353875186,35526.265120477445,32616.258205470036,30613.437168612814,29325.314098491235,28694.222759134496,28722.41799495027,29436.86212780421,30791.174285540907,32356.845013168233,34136.25737448798,36089.42068821471,38036.1113696312,39931.75376635183,41979.216138326934,44106.70746895476,46024.42758516005,47518.265862240485,48329.21953774052,48190.63284871203,47186.4489212367
H8,29618.67928592582,27338.243431417315,25680.78430202264,24422.298577838606,23540.570884727724,23364.00843584875,23981.03827555738,25076.686270277372,26380.23389171446,27989.15460577377,29939.845017785792,32107.49117870182,34220.40323751206,36250.295854287164,38068.99875309965,39359.9469708163,39974.18253134076,40091.54254149512,39731.51830686144,38664.21608289356,37119.114313955826,35704.43985347726,34060.97254675374,31687.139905594537,29049.1126537355,26822.181719742657,25148.223389446437,23852.582389164763,22950.708473644227,22706.48667173095,23221.262355012284,24226.051948874778,25529.01202069044,27147.638318768728,29103.798326799337,31220.99049874039,33312.41662892011,35326.58301670452,37112.715334101114,38375.05214933923,39013.0655588486,39147.567762652674,38744.69848257713,37672.480193167234,36178.437282998595,34622.94894405467,32845.55799557335,30578.599971739946
H9,35849.83480240112,33205.597685118715,30989.884564318698,29227.2244762755,27851.87463568098,26856.03600621147,26323.242141815725,26713.38561826489,27584.276886939882,28747.32852946695,30374.21507564485,32241.650051407163,34301.91945352466,36467.768153851415,38408.66551087935,40192.958319494035,41389.00764988718,42105.24250290459,42274.68543646056,41776.053850822034,40855.28732657209,39582.73051734977,38051.281065717645,36667.65207187769,34738.647082227166,32387.8989741065,30264.456065537946,28504.585090270746,27143.884193386075,26151.685541045255,25616.377621156145,25920.89126752888,26753.11008406625,27951.699874356633,29584.494726490102,31459.08645000211,33544.38155138415,35696.26968699638,37690.85818582453,39564.10159091026,40940.63640212355,41776.84434213777,42075.92420370095,41677.941215599094,40735.17787927097,39362.368502664016,37719.16934054326,36132.125265392766
H10,446.74165186384477,435.8742963539016,424.2566760716059,412.74901551156654,402.20338595087594,393.40051121479934,386.99186495659546,388.686378737242,388.6695702446888,393.6343294774206,400.84142445636013,409.75509475088484,419.71301279371175,429.97540568170973,439.7799207430042,448.39816574225324,455.1897303957265,459.64968266754295,461.4466823173441,466.234597784798,468.1916787230647,466.9753738940627,462.67452671264635,455.6067488776751,446.2948645600657,435.42813492059634,423.81113875759365,412.30410057300696,401.7590916512275,392.95683582477926,386.5488067541388,388.2893814756141,388.27312370517507,393.2384321340529,400.4460747895046,409.36029124720676,419.3187539461404,429.58168998940465,439.3867467113201,448.00553188270646,454.79763522596124,459.25812471129734,461.05552426262307,465.7994095251603,467.7570842780079,466.5413716451307,462.24111504799066,455.1739261920199
