V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,628.9142515906578,574.529771260957,529.4646454303013,494.9862115769627,472.11965236781907,463.1331395527286,467.46557166238085,484.63380361017784,507.31234210530977,545.3588007857345,595.5724798800225,656.2887860503502,718.9426555591111,773.6142941333655,814.0070856009338,838.4522248020232,848.0405737355236,845.6668432680594,836.0786359195567,819.5091720070923,796.6780950696723,763.7710307178418,721.5985318903338,669.364190423468,615.1955169455639,563.3141519542457,518.3633993896715,483.34071276130624,460.67310482432003,451.83979036903116,456.7603476899982,474.8988339323205,499.2334589400819,535.9583136896981,582.6055602495022,635.9572751360358,690.4614372435345,740.8093239768923,782.913488495397,814.284257267927,833.9089178778562,841.7228170996115,837.9874300227336,822.6488981249795,795.8015720143071,757.8673890386907,710.7618226051121,657.746864108514
H2,2814.7101138716534,2519.0538194727565,2280.5668016074515,2092.6026283734136,1949.698537819341,1873.1851444562799,1853.6312721357262,1902.853104218595,2018.1835686179954,2174.124549678456,2364.5269998285808,2583.427553685199,2809.1477335565833,3018.3080692044728,3201.6005026982384,3355.747975718632,3471.64563581614,3538.400147385992,3562.00549873847,3548.530832817797,3465.1938361322136,3309.710838912409,3130.0716865892473,2923.446804515222,2670.6762592456325,2410.6589126015806,2182.004637367545,1995.130830554394,1857.6923350010275,1778.2582593389598,1762.464446772924,1814.3042388622112,1924.7535267741375,2081.182379842085,2273.8354045976366,2491.0061925818172,2714.088920107918,2925.795681496931,3116.0999603302394,3276.4792027876247,3395.7286897090007,3468.088736742853,3494.3194504791436,3469.072777047639,3382.175093570151,3241.0125404131677,3061.8127702860493,2848.8578878227763
H3,1471.5828043014224,1397.4032451241906,1295.8830915562417,1188.4761873455573,1098.5474821966604,1037.0528246461,1002.0666479144869,994.1681247211374,1009.246415837731,1058.115730922064,1126.6445545591544,1202.9836065612117,1264.396320335257,1320.6676981927528,1369.8706469151768,1421.7241985019896,1469.580451004693,1516.7407600196607,1551.7419401053348,1583.8417767228082,1602.240521636237,1608.3248824764632,1584.684237750943,1541.280121805717,1477.721045270278,1398.0166014505314,1302.49029288841,1204.5225112322396,1119.1688446280334,1056.3357127705715,1020.0349611333452,1009.8305675558607,1023.7731443997981,1062.077545763061,1119.5685090164357,1183.9504796474848,1247.8217285822277,1306.353098766576,1361.7419184156424,1413.3223484689315,1462.1398577313937,1504.6796624634685,1540.715792527697,1566.5542052538144,1580.802912323187,1576.5352335209905,1551.7242000341678,1505.025018454251
H4,5321.78883288305,5056.055268320153,4720.0183099698825,4381.077999321045,4076.3307108621557,3824.7294687191334,3644.3253533917464,3549.4415897460476,3513.8774165991085,3549.958186653958,3650.083444896949,3798.0963903516126,3980.0864036823587,4194.270859707731,4431.598416823599,4672.803563267496,4901.068547619056,5110.681608171264,5308.248552512961,5486.161539112226,5596.12800301971,5588.534616092376,5497.062577515511,5362.428387807413,5161.9962757094945,4893.57738115086,4582.7071257585285,4265.002640070834,3969.78395246499,3721.450179368472,3540.614058719849,3435.9972421124967,3385.992092801682,3406.222156532138,3496.3911690268087,3647.3021454131595,3848.2685575620985,4088.684793833563,4353.278339305704,4623.184157355427,4881.041188408068,5115.566367334702,5318.566754902491,5473.4873944287465,5553.56642148683,5545.395723153748,5459.0496601695595,5304.491974491417
H5,3805.608310488651,3450.410458446232,3042.1481668367137,2652.2510730557306,2325.8034810402096,2075.6282241496638,1898.9700582790929,1796.054695271175,1771.0717206130707,1806.8205487678897,1891.0181028097377,2019.2649548063555,2192.131155564275,2415.852585784638,2686.2329011714182,2993.1401739217354,3325.5642308228003,3652.102563905437,3932.1071721573517,4133.474041414059,4251.677135447919,4267.039452783924,4164.417698223121,3959.3353302212654,3666.0807906211885,3304.5250400280506,2909.2263709752724,2524.292201973849,2184.3316296924945,1911.2610360613958,1713.9044115648494,1598.5180005002326,1561.338969901668,1593.4300645060873,1684.2393678458511,1827.8298471525065,2022.6802785667378,2267.200355124194,2554.820788236243,2875.2474852298114,3210.917850538932,3533.8145993812905,3811.4211112743997,4017.6784327405194,4132.779614262203,4140.088549798724,4034.925997445137,3825.8022463705565
H6,5130.787583945911,5303.888817704903,5566.566283381613,5856.582698522208,6123.754781028045,6346.283026430717,6538.20744144488,6751.243019438661,6973.232562975953,7158.887877833603,7320.223326147177,7462.896124486309,7586.585902569048,7634.556651719857,7568.401279870393,7389.720240242991,7129.076755117041,6823.248431555661,6406.602424415618,5917.196047240463,5501.709852664277,5209.318107122761,5018.462954581765,4940.121608317934,4974.048084170881,5129.876398820103,5371.885826903714,5646.302333300333,5904.272001920353,6129.254933314638,6333.671651029452,6541.718175490639,6749.0127952253115,6931.640476609009,7090.840768216089,7235.264883154714,7352.278032122117,7396.265076676025,7330.924527558398,7156.055703533615,6898.774148831906,6570.578648992207,6156.915876541654,5704.882599443144,5308.23902142968,5016.088362119202,4833.579080969753,4762.3652731703505
H7,49724.922766175165,47839.884398884984,44964.41873540167,41193.25696434787,37589.32728486831,34791.579871892696,32793.7844538146,31458.128930732913,30685.54571787861,30610.56510684008,31244.167616064726,32615.861058120303,34452.025548430815,36412.74350614818,38564.43480821706,40711.24594270983,42646.92654693402,44723.93713786462,46842.95889781699,48579.09159994702,49772.68936720043,50209.1100496565,49717.830614271734,48426.57258489235,46738.18312784194,44692.52393609341,41916.66315856027,38532.058126266005,35205.85834856614,32483.595457427637,30509.66370149015,29202.046606009044,28391.955362486067,28157.869330315567,28640.76361623441,29837.620217602405,31496.35315065608,33446.710159069335,35569.28719784616,37627.59675290228,39584.8819761717,41571.377963531806,43501.63982603433,45135.65318800284,46273.45410706871,46721.06694345211,46318.605869550745,45178.66751193758
H8,29690.411275716968,27456.806638174705,25778.392646957916,24507.397408501383,23652.001007500126,23471.133004022056,24051.068024958367,25112.806304135414,26429.21788276128,28039.207062581456,29984.572972304744,32127.580998400776,34261.287134389975,36282.65615360282,38050.96620243253,39327.710574258715,39976.304506589615,40104.238296583455,39710.70987880672,38633.428058022924,37158.319287436374,35750.881597963904,34032.660967362186,31679.214211899984,29138.13460370485,26940.755259843136,25232.30922330385,23919.90877841942,23052.091229893646,22819.984936926456,23286.83625318896,24266.075470158576,25586.647549372938,27223.469374890705,29157.402669544088,31259.983540870442,33373.03261554548,35369.88281949846,37088.4617428981,38333.66882333561,39019.372907922356,39164.545473279126,38712.64610242663,37648.54220566992,36236.40791953928,34682.19008192195,32831.69807277325,30579.947892005534
H9,35785.21050116611,33218.583760795416,31009.46609857143,29248.26020352814,27885.34525885273,26864.64355173315,26400.14207403917,26772.473533573444,27639.283633140607,28857.019648480735,30487.455475256367,32379.47363488396,34454.9726037044,36593.899316261944,38542.0714870235,40243.1687113715,41456.1976382287,42189.17652435623,42315.68214912446,41872.92837369582,40973.041839126076,39651.65876423548,38207.03487486422,36753.02484253056,34742.49560719469,32445.858039499857,30331.156794830702,28596.153399185816,27234.436644911075,26224.094735936895,25774.218594653663,26057.41556344599,26889.596859327277,28151.69138439076,29799.03123172614,31735.633746155385,33859.40807382963,35999.617576202276,38011.559725628715,39791.214118363045,41144.36959078649,41978.61347114698,42218.658861992306,41859.645310347565,40924.98936627208,39529.72816782286,37974.62920606161,36322.6053328545
H10,444.6583537394895,434.11860141322944,423.44254873155916,413.4207112352479,404.79508613506744,398.20412176792007,394.13536679925886,392.88931096384084,392.87222010220574,394.5400323386274,398.99672865405597,405.9105122203163,414.7673570650547,424.9091310216076,435.5824063760818,445.9943381492445,455.3714657766834,463.017077135617,468.36288049091115,471.011152088448,470.76423350166,467.6391910479775,461.86655005333455,453.873197838544,444.2507234348282,433.71154212696933,423.0360588659953,413.0147891993721,404.3897303445311,397.79933064499676,393.7311387728076,392.4856444692696,392.46911358143495,394.1374842400538,398.59473743251704,405.50907633705435,414.3664749876816,424.50880122406994,435.18262733862554,445.5951083583808,454.9727837251538,462.61894132235966,467.96528942102674,470.61410427316605,470.36772745830524,467.243225299937,461.4711231300245,453.47830827537683
