V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,644.5,564.0,526.25,499.5,484.75,479.0,487.0,501.25,526.75,567.0,622.0,687.5,747.25,792.0,819.75,833.75,838.25,833.0,819.75,793.5,766.0,742.75,709.0,656.0,592.75,540.5,503.5,475.75,459.0,455.5,452.0,472.0,484.25,537.5,606.5,684.75,749.0,802.0,839.0,861.75,862.5,856.75,836.75,836.0,796.75,760.5,727.75,649.5
H2,2984.5,2658.5,2403.75,2236.0,2100.0,2015.75,1972.5,2022.75,2065.0,2232.0,2465.25,2689.75,2930.25,3136.0,3322.75,3477.5,3545.25,3551.0,3602.5,3619.25,3564.0,3420.75,3262.0,3092.75,2782.5,2498.0,2280.75,2120.25,1995.5,1940.0,1937.25,1979.25,2058.25,2209.75,2420.25,2633.25,2869.0,3081.25,3277.0,3349.75,3455.75,3531.25,3579.25,3592.75,3513.75,3398.0,3236.0,3111.0
H3,1412.25,1299.5,1176.0,1054.75,960.75,901.0,882.0,878.75,895.5,941.75,1037.25,1136.5,1220.0,1278.0,1325.0,1358.25,1388.5,1424.75,1448.5,1463.0,1485.75,1484.25,1461.5,1386.25,1335.0,1299.25,1187.5,1072.5,974.75,924.0,885.75,872.5,891.0,914.0,981.25,1070.25,1153.75,1211.0,1264.5,1299.75,1331.25,1359.75,1432.5,1467.25,1489.0,1488.5,1468.25,1413.0
H4,5681.666666666667,5426.0,5039.166666666667,4587.5,4182.333333333333,3873.8333333333335,3640.0,3474.1666666666665,3504.6666666666665,3414.1666666666665,3498.1666666666665,3708.3333333333335,3929.1666666666665,4164.833333333333,4389.0,4648.0,4878.833333333333,5081.5,5332.666666666667,5545.0,5708.166666666667,5774.833333333333,5827.666666666667,5705.666666666667,5482.5,5420.5,5025.5,4575.166666666667,4208.0,3930.1666666666665,3728.3333333333335,3532.8333333333335,3488.1666666666665,3526.3333333333335,3528.1666666666665,3581.3333333333335,3753.3333333333335,4011.8333333333335,4299.166666666667,4600.166666666667,4967.5,5221.0,5464.666666666667,5640.666666666667,5702.666666666667,5662.666666666667,5733.166666666667,5689.166666666667
H5,3604.25,3237.5,2863.0,2494.0,2230.25,2041.5,1905.25,1850.0,1808.0,1837.5,1907.0,2077.0,2215.0,2388.75,2610.5,2872.5,3169.25,3459.75,3705.75,3893.5,4019.75,4172.75,4064.0,3777.5,3244.0,2833.5,2514.25,2217.5,1994.5,1845.5,1745.5,1695.5,1733.25,1792.25,1882.25,2066.75,2202.5,2385.0,2600.0,2851.0,3318.0,3635.5,3889.0,4061.5,4164.75,4160.0,4030.5,3930.0
H6,5153.470588235294,5296.558823529412,5554.14705882353,5858.588235294118,6126.411764705882,6331.617647058823,6505.85294117647,6657.470588235294,6799.85294117647,6921.882352941177,7023.882352941177,7120.088235294118,7203.588235294118,7244.294117647059,7187.411764705882,7063.029411764706,6898.764705882353,6686.617647058823,6362.411764705882,5957.470588235294,5605.323529411765,5354.058823529412,5194.529411764706,5121.14705882353,5134.558823529412,5254.85294117647,5462.029411764706,5723.735294117647,6019.0,6255.176470588235,6419.794117647059,6549.205882352941,6670.529411764706,6809.441176470588,6915.0,6989.676470588235,7062.617647058823,7119.470588235294,7087.470588235294,6943.0,6767.441176470588,6587.764705882353,6285.5,5872.088235294118,5487.64705882353,5261.911764705882,5118.5,5048.529411764706
H7,46397.57142857143,44205.357142857145,40623.57142857143,36958.642857142855,33990.0,31813.14285714286,30431.928571428572,29960.571428571428,29207.571428571428,29926.928571428572,30989.428571428572,32553.5,34360.21428571428,36178.92857142857,37886.71428571428,39500.142857142855,41072.92857142857,42977.78571428572,44056.57142857143,46080.857142857145,46922.0,47217.28571428572,46913.5,45459.857142857145,42897.857142857145,41286.5,39265.5,36575.28571428572,33751.21428571428,31583.85714285714,30101.5,29171.214285714286,28862.14285714286,29058.928571428572,29794.214285714286,31010.785714285714,32509.928571428572,33838.357142857145,35549.857142857145,37136.28571428572,38805.92857142857,40119.92857142857,41380.21428571428,42484.0,42906.357142857145,43915.57142857143,43743.42857142857,43385.357142857145
H8,28585.0,26412.0,24740.75,23591.75,22804.75,22613.75,23194.25,24167.5,25409.25,27427.75,29384.5,31597.25,33777.5,35591.25,37190.5,38338.75,38991.25,39220.75,38652.75,37573.75,35742.75,34619.25,34421.75,32218.0,29078.25,26783.5,25009.25,23754.5,22890.5,22573.25,23194.25,24167.5,24821.75,26570.75,28821.75,31340.25,33465.5,35365.0,37319.0,38132.0,38359.5,39482.75,39228.25,38419.75,37031.5,35722.5,34527.25,32354.25
H9,35899.5,33208.0,31032.0,29428.5,28213.5,27348.5,27036.5,27674.0,28584.5,30036.0,32072.5,34208.0,36528.5,38812.0,40918.5,42734.0,43788.0,44600.5,44189.5,44286.0,43506.0,42235.0,40549.5,39526.0,37052.0,34097.5,31809.0,30431.0,29135.0,28182.5,27794.5,28352.0,29205.5,30472.5,32330.0,34231.5,36065.5,37888.5,39584.0,41190.5,42250.0,43154.5,42729.5,42502.0,41804.5,40615.5,39126.5,38005.0
H10,438.5,436.0,421.0,405.5,395.5,390.0,389.5,387.5,387.5,391.5,402.5,413.0,420.0,432.0,439.5,444.0,450.5,454.5,456.5,466.5,473.5,475.5,473.0,465.0,438.5,436.0,421.0,405.5,395.5,390.0,389.5,387.5,387.5,391.5,402.5,413.0,420.0,432.0,439.5,444.0,450.5,454.5,456.5,466.5,473.5,475.5,473.0,465.0
