V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,625.3850270782739,563.7954474757013,514.1266798730187,481.5929455386475,461.8008118065413,454.9217633320668,456.58890380125047,469.4774699749844,482.7064506418624,516.1079862353483,558.540156439384,616.2300872919212,684.3270903270584,748.2499947021754,796.4034332319924,820.7971691508488,821.6984901957717,802.7777334723531,780.476123868173,760.4193174515183,741.9883601323058,719.6802980014734,695.3819941425256,651.4565354145473,598.8416297141843,541.798742637641,491.9898847947676,455.6208858293011,433.20825998273506,423.8778730089715,424.9812157545477,438.43321006364584,458.47400389433017,494.18838684374913,539.6644192640421,596.0153734323733,658.7112628838016,719.836316801154,771.2521091503236,804.5830060697109,816.7079481402682,810.3842804740941,796.0721327183462,780.6763079494874,759.6641794523315,733.6405280264893,701.5415333458656,657.6834274909838
H2,2783.9199489624957,2475.362772620707,2261.8003713932026,2133.5769171943753,2050.0226926318082,2002.3701591163322,1985.5081179767194,2030.0441310134522,2136.849040533815,2292.284402659231,2467.749265701734,2674.239546773532,2894.435226752366,3090.3892221035303,3248.9395148567587,3379.420875670286,3464.7531941619495,3500.549992433104,3500.998294652249,3488.329258149152,3410.4626840572782,3246.645915001983,3056.5580916861068,2856.6712023032264,2586.419436143565,2309.2513364941847,2103.479630187122,1987.7774810203255,1925.9118547516255,1883.9417483947998,1870.4660317985363,1933.656526241351,2055.207887451377,2215.20947452637,2397.5733061222577,2602.7440782386607,2814.9492569119425,2998.374209824782,3147.6440944492992,3264.817540655649,3340.1442344121265,3375.037951898159,3378.2520007706744,3355.8292362533225,3278.0903217030295,3131.4014164053688,2946.209175447169,2733.60831825094
H3,1459.9337455760701,1371.4510286487407,1240.5576835265713,1100.9884630712318,1001.9967351340141,946.5614065812492,910.7024614430001,898.1951828525448,915.2728867182875,979.9463858613892,1086.2274401634002,1199.645402876039,1294.481677486844,1366.3304221355365,1422.6462644925307,1478.0800338964468,1523.4345447874327,1566.0804343991156,1598.2341138558313,1623.8795741544352,1649.3776572158004,1661.3093497773214,1644.58812615748,1596.16633755984,1532.5903925353623,1444.7048869432183,1312.4862627147322,1166.3453321116294,1059.5767183385137,997.6474523878965,958.1609684476696,942.3323742144066,959.952713588646,1022.0811250883708,1122.6177868404152,1231.820878400446,1327.7291375030388,1400.001978433631,1458.4624838777527,1512.3917116374378,1556.4332184718546,1590.606978237222,1615.5966582704864,1634.6119027957102,1648.2165486987128,1648.335999462284,1622.1640393310233,1572.236239767812
H4,5363.112570605232,5110.418318206477,4720.82770766509,4329.979184479561,4008.734186727708,3758.119835609089,3572.018540792361,3465.8851246246377,3422.949503603357,3461.577676213003,3566.8804953292047,3715.5046819994395,3895.469738544494,4111.892090555071,4368.198321954631,4623.681225174467,4858.9560055188695,5069.3907048529345,5278.866168812967,5503.816151443129,5681.214774928094,5689.016071095084,5549.491455919729,5396.112687547036,5235.041384390164,4947.657294377035,4558.697093138102,4159.841426105721,3827.032886861876,3570.6605126302093,3389.710032095603,3289.8492814291926,3251.575064590524,3294.925827946423,3414.596887714063,3586.4370962036355,3798.386927366721,4053.5942685535247,4341.147887642962,4622.068276188167,4873.676264589758,5095.507967075046,5304.812004061242,5511.587709453843,5660.4889607215755,5666.074680414821,5536.41980992594,5361.404590543969
H5,3790.9008404231895,3448.3231186096687,3023.295980396748,2600.356441384339,2277.9728205029605,2059.528673002145,1905.2974275276104,1815.9426433145268,1804.2258167629377,1868.974927210916,1959.6791672739491,2070.070010524876,2196.8897766482346,2371.195512159249,2588.071397303769,2843.2203596871977,3144.432215383779,3470.486973541008,3762.1483996213424,3971.38371890411,4093.55564487306,4125.4172734129625,4006.542286111087,3758.643838571204,3440.899190368149,3081.859684984742,2686.5206044780994,2305.5700244564155,2018.947274003729,1854.9954102250138,1768.1676870649724,1735.8146261333843,1759.356996835939,1849.334864245039,1954.300221152016,2045.4294537887167,2140.9969570798507,2276.0797164388596,2447.9203737014986,2650.0390779083473,2892.761227025175,3165.809942371266,3418.773928656419,3608.2580851423268,3724.13689854037,3747.67712570851,3638.3010912731056,3404.7268322893974
H6,5086.067342163431,5252.686663679109,5532.737648418453,5835.825983182623,6106.140346207017,6332.1212639815585,6526.79850749878,6727.105193422163,6943.417070099762,7127.721107669885,7283.620097014451,7436.785862631065,7575.764996626826,7634.851660491084,7560.321355378542,7366.564896712775,7116.808374815884,6819.986074290192,6407.181551023366,5904.565183930926,5469.9093439786575,5200.749487068648,5042.752397538764,4945.638750616566,4942.428418821876,5088.16704027308,5351.7003828758125,5643.246765375299,5900.95289522769,6126.884283035794,6340.138859328526,6547.123461759756,6746.085627110437,6919.177233496323,7073.577604933978,7230.914700848528,7371.994370966769,7428.241362600159,7351.154733119177,7163.8183585713,6921.061838545119,6616.693731156228,6203.957098047652,5720.762281117852,5303.84264015524,5042.094692709984,4897.72236881657,4815.032240687227
H7,49695.116323277696,47832.7256803596,44792.271909372015,40592.840195113786,36614.005254470794,33665.896164893646,31651.511652944107,30481.957217840212,29883.74988760046,30119.887443163858,31135.438526257054,32783.82659834113,34663.7906310452,36550.220618388645,38601.901634988426,40746.891873818204,42751.79350565052,44976.768412411024,47400.283761701714,49429.96365019808,50973.22208290813,51749.05253371304,51436.78994580125,50254.40944120613,48598.61252036629,46550.976680461776,43482.427466465,39580.66469557186,35629.17384256086,32604.196214509924,30573.949011681347,29292.22330557763,28736.31947922147,28903.4494367119,29744.010496674062,31167.578476399027,32697.467006286774,34424.6026287743,36312.796542720826,38214.702751544464,40104.13762429957,42200.62051770529,44413.30552094646,46460.40676236199,48133.50704232981,49097.74878860033,49064.80935878987,48135.80223052983
H8,29585.02460495016,27292.042033631868,25689.637576270365,24391.95638721151,23426.72291516233,23250.10937770727,23925.68217208272,25005.355899068065,26232.59025715873,27813.35283012971,29819.13015373319,31989.63465913844,34083.168106164,36136.808522567546,37994.88741320027,39253.7180422611,39815.848615010575,39935.86930232511,39584.971106150006,38501.06652254914,36951.56945167153,35518.71616251343,33927.03698410635,31579.36252182872,28852.853716703343,26624.335430934643,25054.63127280977,23748.10364324134,22740.906973355297,22505.045003726238,23119.631783675242,24121.401131970222,25304.329873429157,26890.632429622565,28919.210472804683,31060.163316885915,33125.801377053984,35177.064705042314,37032.039745343456,38279.591895332735,38851.58142488036,38985.24073548665,38628.98732568526,37560.57085670875,36026.60613268595,34484.6403850512,32799.62620513951,30549.432700562924
H9,35831.26354437151,33200.61205944766,30976.900216008355,29211.316666090206,27844.541587628155,26843.396437169737,26314.453342851233,26701.421406440408,27575.761283697517,28720.525316290034,30334.155490738125,32193.937434083804,34247.94819959113,36421.2951550097,38378.464821743924,40165.805086173474,41372.28817347432,42085.65215228449,42251.57351863403,41750.49243292104,40824.54794982124,39555.11872457018,38031.41250943827,36648.69664592538,34719.894666164124,32373.925243129976,30243.954402346964,28480.874468507922,27117.561022170717,26124.10412011506,25589.48356461592,25892.162744019814,26732.65142298586,27910.52617064931,29519.791951491337,31373.70996825653,33438.04878877557,35589.48429176999,37598.24246539672,39479.67019426926,40875.39410818042,41717.36724178208,42017.83498326037,41621.865441216396,40672.00978399846,39302.91962693723,37668.11472781092,36083.57292170111
H10,448.28763952539646,437.3194287726394,425.27416913274544,413.0437757060865,401.53389614729775,391.5967429160381,383.9678885717337,387.09491885337707,387.0787434779354,393.64196844532233,402.1619040671138,412.005469353779,422.44141744035943,432.694568816492,442.0033028397798,449.6760436499747,455.1425511821215,457.99621325885863,458.0252036270551,463.9426603028988,467.0783742086299,466.90318835195245,463.4287063375222,456.911227395609,447.83273783536225,436.86516431990776,424.8205401343312,412.5907803864783,401.0815327384159,391.14500965719304,383.5167837095851,386.7128750897379,386.69722969263506,393.2609831698706,401.7814458391161,411.6255367169022,422.0620089442995,432.3156830169396,441.6249382983877,449.2981989343253,454.7652248656941,457.6194039209969,457.6487052944053,463.4995683145683,466.6358868195219,466.4613039142168,462.98742321003675,456.4705439439435
