V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,631.7552397947385,581.8187620412,550.7079889057436,538.400315183395,541.3506030274453,558.5332351750276,578.3846746736797,603.8407125773812,626.6524716697527,658.8357816995629,693.951131118126,736.2927667310546,777.2449156960175,812.7782409153695,837.4447854457468,848.9504074333647,848.7067514401747,837.844030984103,820.4318758632891,796.6268917856542,768.7632526049331,735.9303927554319,700.3667156891419,663.7347720021587,629.785295491021,601.8276593709016,582.5443000508487,573.4485593664602,574.2946946953077,584.4055268915977,602.1258043151411,626.3646830189997,655.5237831537531,688.2619863865456,722.4999083403143,755.9247702494906,785.8859779258049,809.9452547811394,826.2779839909525,833.8141974792575,832.4272442618828,822.5718955640035,805.2901117283392,781.850620088006,753.8665041054098,723.1548732244753,691.8209094414844,662.0985702530545
H2,2781.043939847186,2468.389200994413,2235.511420007221,2034.0003838199973,1926.8621926091841,1871.9015170253974,1852.018582643157,1868.5355697655364,1990.3781840327927,2139.1115258777736,2327.21361696585,2562.9231112101747,2794.5263035812895,3015.8743448335854,3206.8353244537966,3363.1057259554655,3451.321831745252,3552.2890070593016,3563.7914454551164,3569.948951620816,3508.6139909876874,3333.0205492470564,3135.436145096041,3027.597555034887,2737.841742870228,2411.0789475548577,2173.554642538113,2012.2235409075383,1919.0425634263925,1858.740894492505,1845.381685273137,1868.4024089030727,1954.6292275838737,2100.1523771085967,2307.655036692705,2538.5230413660656,2757.115092050487,2996.076703942434,3189.8874172589894,3360.576520166169,3460.255185692753,3563.135644639577,3584.106458551796,3614.0374578968513,3554.956589334687,3384.960681291672,3222.026930409895,3099.817224986452
H3,1497.2274946805526,1428.0469337083746,1302.5778321204857,1169.76272961753,1075.7101373729574,1020.2226703680337,990.5518679632992,981.054328520318,1001.4402156240628,1060.8507640686134,1158.0742744158556,1246.4801763497908,1316.8047624782337,1369.3570218304953,1426.6725698346474,1490.0145162777535,1543.5594336070646,1597.2121310068137,1642.7643914226928,1660.2254426951565,1695.8525501930483,1710.119774992294,1698.3042333087046,1655.3240071974808,1635.3460518265842,1570.3235603705634,1446.0433471751048,1314.8633871837098,1222.21188813683,1165.6579767514613,1134.417291962554,1124.3481017620002,1148.6003845424998,1203.9340499031794,1309.2297492969005,1396.1367252089085,1469.1150664179372,1513.5311170268774,1573.7642574387912,1630.564565241466,1686.5888816345735,1738.5916018302255,1788.417365024075,1802.0315302021986,1845.2116586231082,1858.6086317571283,1848.549113406767,1803.1077131817424
H4,5400.529658744559,5133.997421634676,4721.255396490909,4337.075357845474,4035.3836007614427,3801.742871190876,3624.349513447779,3511.8585444425194,3490.8614574713624,3586.3156564296014,3716.5815076300873,3907.036584426079,4082.2642001695463,4276.625765712184,4520.772724097504,4755.948264877359,4939.026129070152,5156.409906080377,5375.398143625456,5625.758663093074,5804.074182599862,5818.807152398447,5649.636791066768,5569.676762396528,5487.870485493594,5231.187242397903,4828.902621020778,4453.162982635593,4162.992417012828,3933.2812633516214,3763.132259394134,3666.6375663622157,3655.186506318576,3740.737614949543,3862.135052938007,4040.2095638622004,4214.164174812751,4413.654313918045,4664.032944463301,4909.5219278521345,5114.066709762488,5345.237877385314,5572.306474475299,5825.067713663384,5999.918658596755,6005.45248683846,5827.161749799809,5751.74645690012
H5,3816.4375082430643,3516.597429609414,3074.3313818953807,2674.0826090247724,2384.819505925644,2193.816442889668,2074.2185682960107,2012.308932748081,2020.5759990927836,2106.806132063359,2198.1486852960497,2354.015009325519,2515.617711819463,2740.342729166823,3002.8060418247137,3309.711273619359,3641.23913446364,3993.6738436187525,4282.042644106455,4485.327891487095,4579.637527246571,4645.333378006225,4539.224218542739,4349.660948960132,4083.6094685358553,3784.408905834408,3344.6056513545427,2947.4622359931054,2661.810271523952,2474.705786716856,2358.4028483075917,2299.175659990383,2309.4351584633887,2397.054396123872,2488.901777106851,2644.913498417864,2806.359252640378,3030.560177212225,3292.398297696042,3598.6692698024763,3929.580216432451,4281.555784240385,4569.778056190902,4773.158217757941,4867.889081659986,4934.3383452792295,4829.203185926927,4640.74529160447
H6,5128.690207169995,5344.300866016854,5650.416428904733,5972.887009534367,6277.735008612885,6513.7039655410645,6692.702271209721,6909.903328009691,7180.916923921735,7377.324065797817,7559.096490777072,7699.496913797253,7842.610413573011,7898.3203974132275,7835.564469831539,7681.509886825974,7400.579915140411,7158.053853739286,6766.9757429263,6218.231542040839,5787.43190398261,5525.931749563199,5322.988539789632,5255.592211955099,5283.4496760533775,5501.448398071615,5810.484990781897,6135.364051062331,6442.760841148216,6680.79514161385,6861.645627786645,7080.405213639194,7352.591964859373,7549.942854337023,7732.202566445947,7872.933283283858,8043.56353031252,8131.4260251552305,8103.3249346495795,7983.759497588556,7734.847005932954,7522.990814563777,7158.810389365389,6633.36239280112,6221.971470889888,5979.110566385718,5792.385098020901,5740.3074930317425
H7,49475.573532823,48277.028799979395,45875.8996427538,42018.83531380845,38441.209507163585,35719.445926566994,34090.13317567454,33017.10343311781,32393.305169699335,32470.674066077714,33161.1487628642,34471.45936585479,36464.83323794692,38518.3247648432,40490.92972975433,42776.28208539056,44693.5873716712,46340.5336868959,48402.14902512517,49851.70011421626,50900.73272193165,51469.78664077204,50911.33221184401,49600.751070563056,47779.266989032396,46663.24896198395,44349.819274434274,40654.79309951685,37266.327458730346,34881.6977194588,33536.52440956917,32707.58010952453,32270.68429819213,32552.57862843764,33401.62825786702,34785.673152605246,36800.77272101694,38960.783037634195,41061.24379754894,43394.23632268526,45306.872198327044,46813.561254209926,48787.221509619965,50178.50843059496,51155.383943386565,51632.000890642405,51027.354746410994,49788.22038794847
H8,29563.520980171583,27275.574596809245,25560.41345676585,24419.089235206036,23664.761290836737,23487.397775505317,24060.293043934,25202.190151882016,26467.150292266768,28105.222317846707,30065.027944143796,32361.734506004166,34666.504131671194,36624.61133815058,38427.976616890664,39669.87100718451,40227.57363151958,40463.76582052828,40143.36995669242,39150.79434923718,37535.56919013478,36311.073169595016,35087.97079456198,32366.793510899206,29551.239933850076,27286.586703002267,25454.16725214204,24249.121776932632,23501.57429796701,23308.774027346364,23918.057823454445,25086.864893175047,26412.516998400057,28195.92875532421,30309.9911656951,32704.04405683153,35085.30572847944,37067.021185565565,38779.36262569312,39944.414843616,40497.580952301294,40721.15507942514,40333.232987007796,39268.82358389764,37658.5856968361,36494.330484744656,35255.53410122721,32596.32279092165
H9,35336.08331962294,32493.747950663896,30440.758542504307,28851.73828668268,27636.535245791325,26794.880171954417,26445.50507332696,27037.878258369263,28085.789076953748,29322.13989064957,31081.486906416267,33108.951602609246,35196.14590691281,37492.60389407739,39490.90838413097,41259.43538082639,42390.57014717695,43211.76474256718,43406.00026149292,43043.429152200864,42384.97527346507,41378.55704181323,39985.80022486194,38909.16768222842,36293.48322152123,33494.70528773824,31470.744797979467,29914.203787108418,28733.377613981087,27916.538133783775,27586.50749983309,28196.383746361884,29262.98658945481,30515.583906138323,32283.92943894995,34310.066676300405,36392.395516398545,38683.774166535164,40664.27113493736,42405.039384590826,43504.50693273635,44290.445946709384,44443.62192756369,44034.48655081694,43325.838914111046,42268.177128813615,40825.36998513323,39697.08666885484
H10,459.2391104217193,445.72290411330255,432.1893345146511,419.09856573174557,408.09825319011236,400.04186292435486,394.9442174744622,393.14923785323765,390.49522245383736,391.9727969083599,396.17114211799145,402.57347928068003,410.6940636592547,420.2131240701658,430.43194501538744,440.620673116867,449.5800873827634,456.9157099637664,462.0219851662106,464.4672137650981,464.02217846035126,460.735254168482,454.8502646550004,446.80820205083364,437.16318404472236,426.64084434983533,416.01722819204576,406.07224690972,397.53215821202537,391.0257389024346,387.03113441497203,385.8413254434749,384.0748572745903,386.15994020684525,390.8717881371175,397.80581149043354,406.45919599473905,416.4444451984537,427.0727393013185,437.5948539872323,446.8714043582227,454.4715792823728,459.79708553594736,462.431152027285,462.1544728231161,459.0142315626452,453.25751378516486,445.32583438217307
