V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,624.5314930574285,574.0042283635078,529.866824466229,496.0126372039892,474.75973787120995,467.61957888646754,474.22122475855554,493.7770218224386,504.11740000917985,543.111810928644,593.8297429251761,653.810124230903,716.4397883179822,774.199166039298,821.3567312445143,854.6759033742312,872.870655233254,876.6567929373334,868.0236362646874,847.4834576184182,816.0127539604207,773.4279508036509,722.8437786498031,665.6202677105668,608.4465253874935,555.2092703385547,509.64310948825073,475.11988103720694,453.5798833259496,445.91800309712625,451.97919539872146,471.15221239245045,483.99972177670094,522.2867130943267,570.2264600293921,625.1379268179476,682.6965864484187,738.320667397729,787.5798056199278,826.6871070322484,852.8918923196911,864.554796038288,861.1045061057168,842.8100251343135,810.836244848537,767.3222054630131,715.3030065555334,658.4434113781334
H2,2802.326409449819,2535.626045119716,2287.935377017366,2079.385079220034,1924.1124685050338,1833.7718921660091,1813.7206123859307,1863.6994204492921,1975.5518827729063,2136.6379824580317,2331.706381967897,2548.2329716861655,2770.5179834835117,2984.544004501063,3178.450931215917,3342.4328059620616,3467.313864850354,3545.5983878397747,3571.0388696599457,3541.105829854265,3453.6783528465776,3311.6676144329394,3124.3806535593876,2903.4925684256723,2660.7804506217394,2412.800560335011,2180.8985312609493,1982.9244969403321,1833.785857408513,1744.5961950696153,1721.7862294620352,1765.9313220408153,1871.0299199455317,2027.6034884096116,2222.61926234429,2441.7487643620775,2669.6490017133983,2891.965237835954,3095.345879291125,3267.0351106912744,3397.001078094474,3478.6705899950584,3505.109759672735,3474.040945731314,3386.1009685325653,3245.609871850571,3060.6848756188124,2842.946509182073
H3,1458.4177349649008,1378.2011105581519,1281.7990127298012,1182.531832580225,1096.3147281427662,1035.779531879186,1007.1404210699318,1011.8527208168347,1025.7334149755397,1079.543843289116,1148.7763406627203,1222.7061322808545,1292.8473736980422,1355.0349326270134,1409.4123550020363,1457.7754586957053,1501.9410576676437,1542.956052300745,1579.9918130235749,1609.8867638606262,1628.0772222971343,1628.1878240670806,1605.335668856922,1557.3183152074607,1486.2626310270673,1397.4141981011003,1299.104645451017,1202.4766767131484,1120.1318498669223,1061.6844382512336,1033.0587341115868,1035.2987526277225,1044.2137416232865,1091.4948145600256,1154.2831685400395,1224.0959833335505,1293.7692389121821,1358.7763067964434,1417.2428811382983,1468.9452091433002,1514.4779204292906,1554.2604799212827,1587.156306017188,1610.4293714586997,1619.899926317692,1611.030143453319,1580.2742641723826,1526.5252829826818
H4,5248.77704399594,4977.676221348775,4657.247717767104,4333.554185222141,4053.5775734460067,3841.8973690285693,3710.9516499684114,3669.3030500103223,3581.141502271104,3657.7795845529977,3800.292227052834,3992.9245269820376,4221.390988499141,4475.899529107675,4742.375121738458,5005.874305338145,5248.756896030634,5458.469455399351,5623.5636102036015,5731.7667627107985,5762.83923909047,5701.0489076125305,5545.933872803425,5317.805183635973,5035.342517257497,4713.858248872148,4364.892911005885,4027.9347666802996,3726.6206341885263,3485.619100539667,3319.7012004659737,3234.5032866967076,3122.1033869034172,3167.555063730596,3299.5899291753335,3510.9133613244203,3778.4597372651533,4090.2648346891783,4427.381918325868,4767.896990908512,5089.042244344113,5369.662073339729,5589.835403140573,5732.350592650705,5785.048999750505,5742.959303411016,5609.765628876783,5397.512058971093
H5,3799.776725867444,3443.682335689589,3057.4877343344115,2681.5378321476137,2350.9883279522674,2088.1010773075095,1903.97174789688,1800.7036654761719,1772.5783365377238,1809.3054158147422,1900.6932215639265,2038.8652124478572,2219.930853601879,2442.8592421263374,2707.830478814576,3006.996725003096,3324.8555006617034,3638.2263372569582,3918.8342599393472,4137.297657230473,4267.322458896977,4289.605585715843,4196.23515949478,3991.8179501857626,3695.5445813353663,3335.693490868382,2946.9356568184476,2564.8206081590088,2221.293851072207,1940.3462917060979,1737.651917006293,1619.3449525504975,1582.9102725884034,1618.9682404476841,1719.2215117857436,1874.3870193713512,2077.6297486226795,2323.5507731474277,2605.8561398665192,2914.9377929565044,3235.9182641213897,3548.104696210911,3826.087994465332,4042.5106006154924,4172.099481507728,4196.097270928198,4106.0452377523725,3906.0158061102647
H6,5162.531059384417,5335.22505678514,5588.3983201414585,5875.451916613132,6155.949472592922,6412.872590367911,6644.360816674074,6857.512115471854,7056.775717982154,7242.3941313188825,7414.259021721974,7568.612843728428,7690.191020877775,7745.016073898245,7702.743585255361,7548.395754824024,7286.383845400395,6933.603927652326,6514.57181076673,6073.027758180043,5668.284450543347,5352.3483590034675,5154.052014450703,5085.797587446657,5145.372158773877,5313.705358687502,5557.925297281476,5838.155349078848,6120.075403852265,6381.792324200749,6616.332358907343,6826.991653024454,7020.665420988486,7204.366688538554,7376.661083696354,7527.518818274528,7639.254907401695,7686.005791051424,7640.955730812695,7487.783804820438,7225.025155834979,6868.699238315372,6451.470322611783,6019.001249046807,5622.6519965758025,5309.498873465295,5113.061708807007,5048.124456334445
H7,50512.39870786886,48420.92947850611,45715.033481543025,42783.90427635476,40001.955395103025,37547.57903915252,35525.20492409771,34049.52005092231,32346.667021363653,31655.55790852488,31538.993860438277,32000.115816602123,32994.92276068352,34424.79973930926,36231.62499010247,38290.32346114295,40477.96250100674,42735.92315792764,44872.70533545573,46649.27111835747,47980.97715240412,48745.69056053266,48919.38320072183,48593.68232962975,47756.10823106154,46401.099959444444,44753.59622452478,42961.50784776319,41178.306753817145,39530.04331189615,38104.97441296866,36951.24636541211,35587.05923874243,34971.659301008585,34765.09030083685,34998.137466941684,35647.54760779477,36667.97586569429,37987.30028313805,39510.25981013265,41128.77700405594,42704.67033576206,44079.04875001593,45118.05042645213,45731.52950632068,45876.5066418913,45570.044091790354,44864.86674878193
H8,30031.34515819646,28069.37553441651,26395.90698338574,25116.220559844653,24328.0511644029,24146.54487167462,24587.794806105667,25548.10462944406,26933.13758162493,28673.90055022366,30670.259743896677,32795.593332821656,34903.72806999197,36852.652089015566,38519.59334684517,39780.97819007727,40530.6837164405,40722.324020461434,40347.509016479264,39442.759013775176,38079.94520880727,36358.327486915834,34376.35344285553,32241.897378637954,30092.17674984997,28087.038679104015,26376.803665852283,25066.783694222024,24235.252532939252,23976.4740290982,24329.53959631727,25201.456111128107,26536.35199488823,28247.809248916667,30216.75601776521,32306.356664679908,34372.011382003344,36274.26083465837,37884.96568952021,39091.296117350874,39805.83841667044,39976.246163851516,39588.850557426646,38669.00057812693,37278.24312098431,35509.337614969394,33479.663047584225,31323.013444523393
H9,35386.35714927091,33450.891300941505,31685.290625006928,30164.594590988818,29004.881758458163,28294.26530672804,28089.0104427126,28393.23087043017,29160.75537104234,30366.15339681664,31936.602766660348,33740.395131806006,35661.77016069761,37569.899231531424,39325.87473141076,40833.042097976315,41981.031395092854,42706.15093111106,42943.487268046214,42689.14079435791,41953.87994395448,40774.13770253172,39234.4702683007,37436.272481680746,35492.9011708153,33620.144978921264,31853.445952666763,30339.161757202033,29182.010511708377,28459.552902922795,28219.5346633733,28476.95513677509,29214.347001297552,30382.409004672798,31899.848598969373,33663.05970051963,35553.674587397836,37443.2299776354,39203.89985002007,40716.62746413687,41877.877156285314,42609.39657093419,42861.1219975722,42617.08897533949,41893.97065089105,40741.942724468594,39240.58912127994,37492.35843824618
H10,445.7594533169805,435.20258184412097,424.56598974391136,414.63748047966106,406.1523437624804,399.7388224728396,395.8715187558677,394.8361949471512,394.8219720651236,396.6943770476632,401.33456959078933,408.39735590806845,417.3578709940976,427.55050545670616,438.21827071647897,448.56894138258303,457.8338109817164,465.3247033965527,470.4850117361025,472.9309793184626,472.480161144312,469.1649550038667,463.23019867699225,455.11501143114816,445.4202265501932,434.86383027440263,424.2277120416644,414.2996753208609,405.8150098286444,399.40195845099606,395.53512333852547,394.5002668322689,394.48650995607943,396.3593796532252,401.0000356250851,408.06328409055595,417.02426004953537,427.2173541151243,437.8855777131501,448.2367054579934,457.5020308815374,464.9933778716123,470.1541395423571,472.6005592169689,472.1501919011993,468.8354353903092,462.9011274691815,454.7863874102659
H11,26483.515598494298,25111.911522517286,24383.40435600764,24280.71312239444,24759.706687718844,25757.13095854805,27164.661765770805,28833.533067252436,30481.10186204417,32306.237092994197,34130.584897432724,35931.78600704232,37675.55135151387,39226.37854076424,40425.78911775232,41138.41315159286,41246.692270832864,40697.48704905456,39523.51075155383,37789.22821464531,35528.81348586341,32878.44217740084,30150.26538635056,27649.3443456137,25564.946313364755,24036.12452314666,23144.066840072897,22897.68958181843,23252.491521202683,24134.334699987976,25441.781574719127,27043.995108571813,28887.540145445375,30863.46354237692,32900.64242603934,34914.38108498286,36818.64420748326,38497.91441244273,39818.69954787938,40647.704586322594,40874.51912765464,40433.71894210519,39320.47317589118,37594.6668239719,35377.784673257935,32846.499304052966,30224.188687785747,27742.943391280194
H12,8399.127604203153,7760.652485621866,7222.498296427393,6819.702420053679,6578.885737574927,6519.747473862217,6642.382692583461,6930.009377109657,7363.246147293589,7912.932363333294,8540.118794786875,9200.980076390813,9851.988078988816,10456.82963126402,10976.585000467607,11375.88078371357,11629.717372138326,11718.839716931674,11634.818038398736,11381.712942310114,10977.028362809213,10446.847459713435,9817.243901275528,9126.040319939082,8428.966842274007,7778.758735670992,7220.179569593767,6789.182213033157,6515.347523531242,6418.873541655948,6503.600450149956,6758.372721953703,7166.0818662268175,7697.39730174873,8313.459720427807,8971.201021175886,9625.49270771843,10234.703546779749,10755.999379408833,11154.067230793424,11402.735545533513,11483.636194497418,11391.01487598583,11128.40447969959,10713.480333389389,10175.151575884534,9543.246614026466,8859.850436740187
H13,553.1108249206092,517.9194752842542,489.8639295448976,471.0287998136203,462.8148621267811,465.8351672955232,479.8695737316324,503.881074342055,505.1585408533957,537.3701731123375,575.3968082427399,616.4220453064363,657.4070907775586,695.3161319567955,727.3414893113819,751.1118492217641,764.868133464725,767.593961997952,759.0910332181461,739.9938310837696,711.7225683424176,676.3778558483697,636.5849098651836,595.2988517849924,555.5855402936304,520.3941906572754,492.3386449179188,473.5035151866415,465.2895774998023,468.3098826685444,482.3442891046536,506.3557897150762,497.7183309945045,529.9299632534462,567.9565983838487,608.9818354475451,649.9668809186674,687.8759220979042,719.9012794524906,743.671639362873,757.4279236058337,760.1537521390607,751.6508233592548,732.5536212248784,704.2823584835263,668.9376459894784,629.1447000062924,587.8586419261012
H14,204.2695326368385,194.09888559940964,182.97467557617463,172.18296059171186,163.0590573438613,156.63455232561958,153.2999341295059,153.2776469596827,151.83163798290528,155.86295339895344,161.15136076734262,167.01435106807187,173.06586332638824,179.06524120311798,184.78373281315015,190.1719812246389,195.17554318320413,199.89109741753532,204.03436268615195,207.05703409700004,208.5901541637379,208.2066236651086,205.35747193165588,200.0018241009081,192.71056624512812,184.25424140571846,175.43349493546106,167.28188033540323,160.72674036382352,156.51910497551017,155.01228590692372,156.2243956283878,155.38296145187496,159.72742615943056,165.5855509080812,172.39893767977998,179.67310951602374,187.03594125959626,194.17096483924757,200.81955372329526,206.7290075928424,211.52711207165953,214.81324901445467,216.23557218568664,215.47512698048678,212.35857759222367,206.93340607549783,199.52742281154988
H15,14055.099326832684,13213.206254915105,12475.412262134047,11893.633639511103,11526.771767105183,11415.16427149462,11558.46198847843,11940.818469240494,12531.937170854599,13269.60920053275,14092.832295021268,14963.314054160282,15842.139746604445,16653.6645944243,17362.072442813493,17934.12171813108,18309.140706163504,18412.328148174925,18295.321461262352,17955.808492249547,17412.125082863306,16702.511601941587,15878.404680139676,14998.490327135874,14122.567327697221,13309.06423800406,12611.315894560585,12073.389293839306,11729.909524095354,11604.87613064646,11707.551703666977,12030.09908577901,12552.184149530018,13238.663967749786,14039.930734864654,14898.158844593167,15758.711291857597,16562.435563309347,17254.700333857865,17789.176447536513,18130.678051188337,18257.204949145904,18161.11395456142,17849.64447725809,17344.41221703531,16679.947092282506,15901.595749282309,15062.510330417952
H16,1214.522785308625,1115.613895310444,1017.7533364425839,931.2626926113543,864.4812225973058,820.5326769985593,801.0203499471526,804.5479820065642,831.4003956892528,881.076555964958,951.3088616059697,1036.652050533774,1128.8570272544812,1220.7533828208188,1308.4999306017535,1384.1821977630398,1446.3162382995533,1490.3735633206707,1511.9079889849504,1506.5692157574094,1474.6774682484,1421.7864381690704,1354.3439513944413,1274.0117917006824,1182.55563700977,1086.0650291258448,993.3309632721441,912.1676406070122,848.8602818688026,808.0411422163041,791.1760060527733,797.508009565249,825.7382993249953,875.0260850610922,943.0025995373918,1026.535474035949,1119.635610285714,1214.7517824354045,1303.1400731943913,1381.0943805025827,1443.1353553017916,1485.2296977700116,1504.359112005067,1498.889331611475,1469.1151141009118,1417.3083205610792,1347.3221775863774,1263.9282839204982
H17,54236.414019320175,50260.6506353826,46650.328990521644,43584.30077382522,41170.55110072055,39565.144364926666,38921.4523785155,39265.726440116334,40475.72495486052,42474.73001689835,45301.19090334997,48839.17387512765,52645.48832560074,56466.72908546153,60064.03142497327,63187.984685247924,65599.05995361051,67154.97430638055,67829.34249381805,67568.17748621026,66326.29824690388,64185.06253669267,61343.90996746614,58009.94214651889,54200.02761088299,50298.386895916265,46737.31544724756,43599.34284976338,41114.824754293586,39453.95509048075,38736.47498148674,39004.19434993908,40228.68185063266,42337.37202629537,45209.736678738656,48648.79544382738,52396.563352158395,56191.99273075134,59791.52953692892,62947.45427516011,65440.85416815322,67107.9237724733,67843.04830207044,67592.40527861688,66363.98275132601,64242.839452249405,61377.27080127437,57954.8039782305
H18,28370.862068279494,26068.43669163063,24091.532697081006,22612.69089687492,21767.52019291243,21665.61324843847,22332.85076648598,23697.586413281017,24802.65638956568,27152.97610646703,29764.413426616215,32356.529243275465,34664.15646881096,36506.155134608416,37750.71225029398,38353.77958092481,38362.78741089203,37879.40063681581,36999.17567820216,35802.169071263226,34367.89222244393,32694.564090941436,30717.13475175741,28456.006973844946,26088.094727827298,23828.10074132499,21868.68612474599,20378.70317893436,19504.912976554304,19350.23004196395,19946.32109375572,21224.221493092933,22618.513263221874,25031.522789013346,27754.743091048083,30470.185671695705,32915.04791555529,34858.71825471579,36165.20539718149,36821.654394042394,36863.93191455054,36374.69507126745,35450.421397770064,34191.304342556046,32639.592215893623,30824.733547171898,28709.670110076062,26387.280132236054
