V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,633.0333919632926,582.274972825614,539.4572364904716,507.7408989520037,488.71351194712486,482.9136381517403,490.5567579368253,511.17002798459754,527.5476284322463,567.1220119031514,616.2508493167393,670.4636467459839,725.0214022835512,774.2433930989516,813.5491661805615,840.5809538825682,855.1820616814407,857.8683401013908,849.6857798380149,831.3077731844409,802.9767480650808,765.3068152409026,719.5600508833242,668.7545432545526,616.3625131601276,567.3729765471619,525.241233265911,493.00025824792306,472.68343443588543,465.4920704699727,471.76255438096234,491.0856291760735,512.1592246485383,550.9130794350353,597.9443327387731,649.5107401255071,701.798815853429,750.972110054083,793.52166977814,826.6083775981377,848.1486497306172,856.8595445227645,852.188847630467,834.3553462889294,804.3277206206658,763.9850660282934,715.9243557230506,663.4026799462431
H2,2881.0729310384177,2651.3930062346217,2438.9174339894926,2258.0192317420256,2119.8567733392465,2032.2903676229812,2000.742082717201,2025.557840146188,2104.7808992883174,2232.7040671577693,2400.594303898403,2595.477531231144,2804.3043598425684,3011.8251189874054,3203.26318370888,3365.841660659131,3487.95857170425,3560.579228924333,3581.0567773072316,3549.36636826651,3467.697371443209,3341.234870852255,3179.2331218068553,2992.4560151246696,2793.1602532230295,2595.280139164431,2410.993451247523,2252.897415285275,2131.320106567261,2053.6597108924425,2024.7508123078067,2045.8866154540888,2115.7089323382656,2229.0538520618425,2378.142686858556,2552.55211403545,2740.3750562086325,2927.9831616734946,3102.211207240298,3252.2432259253055,3368.3037365065557,3441.579017920204,3467.716986669081,3445.359013929334,3376.390576484751,3265.8107801571705,3121.3786467864124,2953.0735202173455
H3,1368.3167300543435,1287.0385122748987,1197.5897409388363,1107.7719746080886,1027.3815000104194,965.8341573527384,928.4664170138656,918.0168886689867,929.7910612371554,966.5981900222145,1019.7035698135163,1082.6486466969113,1151.105013542222,1221.6553750991975,1291.4595202825337,1357.8309999634675,1418.5150507058909,1470.9025458066367,1513.839544145046,1542.616903237395,1553.383986011489,1541.5001545214814,1506.9062199039922,1450.074380508626,1375.446333659711,1289.4212209265725,1199.7928640252944,1112.8358107232577,1038.3765945635987,981.9296818140648,947.9113843497859,937.3104814881883,940.498935156384,966.1933029928103,1009.930701676753,1067.8139339250058,1135.5211262114328,1208.740635761844,1283.2760912260865,1355.0643997451518,1419.9962015201752,1474.3934335306494,1514.673277802358,1537.6683906980825,1541.0194545103868,1523.5848821423854,1485.7818096485,1429.7434060626172
H4,5402.25593735259,5195.721532234645,4969.555534337708,4735.843054336749,4510.467600431367,4312.9764674857615,4158.383342445632,4054.6966399151097,3923.3242151894324,3912.56728347752,3955.3257241679503,4046.7330354034107,4179.607201300732,4344.249203699762,4530.305964317356,4725.622237898246,4918.27869565125,5094.998564942815,5243.355046147733,5352.615780945958,5415.447091302355,5426.606526487589,5384.729015489923,5291.099355063648,5153.622176139414,4984.919344979706,4799.9118618906905,4606.928356378868,4418.70103596052,4250.5691467342995,4113.717280449852,4017.1130044593638,3933.755762380705,3919.824863943986,3954.791734619463,4035.669481348381,4157.96997644077,4310.986439433816,4483.842034558686,4664.377439808683,4839.960309735301,4998.352997842751,5128.5431062446405,5221.521329439002,5270.88596930676,5273.339298192659,5228.91673243186,5140.959704817473
H5,3242.065217027719,2992.4069458395425,2718.6401496074814,2441.2105069557388,2181.068694698095,1958.6051622357281,1788.6644671138893,1680.6765287769101,1640.255153445087,1667.7526748279304,1757.013806631476,1899.954373317245,2085.3873582190754,2300.743385600719,2527.1053758062394,2750.8074915178877,2959.6342438333672,3141.1050630478812,3282.412049755544,3372.3136065459403,3403.6726632505,3373.797962529208,3281.7666332113117,3134.1340182577987,2939.920601368353,2714.0863256557204,2473.505799872535,2236.4539623665273,2020.7882691650339,1842.9704554888285,1714.0923611093506,1640.9230218899197,1625.3786601691006,1668.7812982622534,1763.2888243486564,1900.6745125788027,2047.3034793766872,2214.3353819649947,2389.4804750880567,2560.2926275656678,2715.0231856323353,2843.420754507291,2937.269892031272,2990.816993386541,3001.11203437061,2968.1412531443884,2894.7286106827064,2786.3995998402374
H6,5136.369911388337,5202.610972855782,5337.301249382411,5523.958736773396,5748.357074739313,5994.4694644285655,6249.824151048798,6499.148604706189,6729.872003340804,6931.854594190916,7094.595407103159,7202.05245517726,7241.564746824341,7212.358774582803,7112.186708313433,6945.148769479624,6719.033031334299,6451.020064344564,6164.238848992225,5880.398385676064,5620.613793610864,5403.30544175543,5241.913771126844,5144.6562059336875,5117.146102880328,5158.922018966851,5262.795889948469,5419.259987053952,5616.21896076496,5841.3176160052535,6079.708521122556,6316.010764220088,6535.652206187714,6724.188955330027,6871.592977924031,6965.433220300003,6995.878343052527,6962.853912075908,6871.201205742273,6727.230122921933,6542.503975256586,6330.669871706675,6105.882627126008,5884.013110644397,5680.365801075268,5508.63515045301,5379.936183621298,5302.174959697475
H7,38018.55011495631,37340.73058703646,36635.446959159264,35947.632946213176,35340.23743404724,34865.616863243595,34546.8288071188,34385.8739559668,34326.19441716149,34446.0305226772,34693.21693807876,35040.52278436317,35457.21233187596,35913.2365562032,36373.199878596206,36807.88149133853,37188.350584467385,37484.52861471643,37679.67079087035,37762.09701647522,37721.09584701883,37570.122022829935,37327.87124963137,37017.98095634215,36687.3312658534,36367.13595108113,36199.125624659486,36038.39198462894,35895.78669080886,35780.44547238134,35698.98872711927,35655.24174668393,35607.27066999887,35618.54698075274,35664.30775942866,35739.658781102255,35838.36317818225,35952.8985541336,36074.95326668829,36195.94892052079,36307.675194344636,36402.79737043899,36475.369501256835,36521.26322870474,36538.32007888247,36526.44657233139,36487.61177361236,36425.45516062442
H8,31003.57140361881,30780.975340544104,30596.148583549617,30458.430289893593,30374.347314648447,30349.253911162737,30382.42564416619,30465.152621538757,30586.852186347798,30736.946116646144,30903.31398221252,31073.37405298557,31234.938494572107,31377.774857536668,31495.06565552006,31581.819920576272,31634.422965484166,31652.663492450367,31639.145121669128,31599.20555738632,31539.29808749685,31466.94212206563,31390.03038176915,31315.481048489677,31248.336717959453,31192.399975154054,31150.363123180345,31122.141728004157,31105.68165647277,31100.4074118251,31104.60510231135,31110.750375656167,31118.152391763833,31127.819546367165,31138.836123739842,31150.291676702327,31161.35013897349,31171.314662628592,31179.663729420703,31186.057799465783,31190.340797316607,31192.53253457366,31192.803408682114,31191.439507295378,31188.802177757054,31185.28896834074,31181.300460533108,31177.207172286362
H9,34355.94873209316,33995.97694059132,33690.31578291542,33458.630617099596,33304.417193124995,33230.728520578756,33236.91003124626,33318.287418226486,33463.77532368348,33652.72174900362,33868.53887145811,34096.67396804997,34316.98803358936,34513.18951131188,34673.03204678077,34784.25319541797,34844.94084609223,34854.779892891325,34820.97044549637,34748.94300750171,34650.59402237059,34538.03102752432,34420.47499391635,34308.242238189116,34211.580111102536,34131.28309623148,34102.296828755156,34082.30765959184,34071.72942624113,34070.195608103946,34076.78789867511,34090.08992946106,34108.31857463253,34129.48016693279,34151.56780549062,34172.79591945187,34191.645820460566,34206.9266589149,34217.91273816785,34224.32788166343,34226.3050423291,34224.373332867275,34219.291099613096,34211.980172506046,34203.37750787607,34194.40885050845,34185.856389465625,34178.31716816837
H10,445.63672210104505,435.3006684742081,424.94432035240976,415.3347988642396,407.18383779073645,401.09499752293294,397.51890174489506,396.7198167326877,396.7069584909712,398.74321181103346,403.4628133517761,410.5147808543087,419.37515248297757,429.3858466740069,439.80346903080766,449.8544464818629,458.7923996528667,465.95349840677125,470.8056950845547,472.9881840424735,472.33816095244265,468.90289725063803,462.93623422771367,454.8797567779203,445.3300430640349,434.9944190406193,424.6384993202156,415.0294050364503,406.87886997537436,400.79045453300205,397.21478239835335,396.41611985241957,396.4036829047633,398.4403563515431,403.16037685650554,410.2127621655785,419.0735504479051,429.0846601444682,439.5026968634243,449.55408753796735,458.49245279847946,465.65396251257386,470.5065690258644,472.6894666992206,472.03985120914285,468.6049939963672,462.6387363560839,454.5826631870547
