V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49
H1,636.9589957594873,580.0251265466213,548.0438024997711,520.7358201146126,509.44090256094927,505.6741751730441,507.4734502136707,528.5974356234073,552.5382474362849,591.0553641021252,645.6147573888302,713.6696385443211,775.353837877512,826.1186203658581,871.6179121434689,890.2576972544193,912.1565543711185,923.9069193303585,935.4063409864902,919.4109267890453,889.4477792084216,846.5465705692768,822.6303402781485,765.6313772797583,692.3695018291471,623.7483859062193,582.3796204328535,548.7027695477007,523.4540549218651,512.0441099405286,513.2162445783612,530.5165932178493,543.9027927517888,583.2828714251515,634.8998000621791,707.6429843902584,780.158894717693,835.3400461077687,871.4381908178327,888.4448709487912,892.5273045897482,887.3748016953465,882.0052639842029,869.5823382139201,839.0627185404296,805.2624848484988,786.6891094148154,732.1498508453365
H2,2679.6429781457587,2274.7324862023993,2055.4710115930247,1915.3526644250555,1722.4536776086488,1662.255130245368,1665.550784542243,1643.2227510949779,1734.4183992883368,1861.8631319543524,2053.120700313727,2296.981204464118,2520.089023067634,2740.4473604699774,2934.285678341071,3125.50378747193,3236.523868038337,3330.334933712165,3332.7560457727122,3289.433108760993,3263.1767000695863,3101.187777950446,2947.668643428962,2831.1854891320872,2477.717078117689,2120.8164586108533,1934.461920646986,1813.3155736010876,1629.3630055468884,1581.211516289076,1616.8074559253064,1613.050829796156,1719.1489552539197,1855.8876160662976,2056.6141213458386,2326.717397837004,2559.0337924044934,2788.0504902880994,2987.5338353198376,3190.5448025744763,3314.4622296374646,3415.6280964892712,3436.0354985278454,3394.11118975099,3367.401457695326,3196.0119313281384,3040.05837145265,2928.4179829638806
H3,1506.4370042085652,1448.3993505835533,1330.1288514733317,1190.2575021684172,1109.0051611959939,1048.49604973197,1020.435809820891,1014.40982618928,1043.611180454493,1107.3996296226983,1219.4933090507989,1310.541112929583,1383.3481414616117,1424.1014136374004,1482.7212819755089,1532.8944791853437,1580.2025177180776,1625.0563267171394,1663.7465826272974,1671.1770014762885,1690.2414896190176,1696.0402933061132,1685.3960729539403,1634.440071851016,1608.3656233549127,1546.5801720023164,1425.8091851472864,1289.598788470031,1207.8395480811607,1146.9997345507156,1119.1454931199564,1114.9381099641337,1145.8339651525034,1198.562596082689,1316.012709140779,1408.6566383838672,1485.0997431278247,1525.1811065673844,1590.0908179879211,1640.206077873709,1689.429538547995,1730.0203495025658,1765.1524673998379,1769.0158486664318,1789.6289554238342,1789.450082421305,1769.9760852456118,1709.798245966437
H4,5357.722577857308,5031.124639229409,4578.732755289008,4189.149709239234,3891.3772100644583,3656.7499135264034,3445.7141086875663,3335.9991046299792,3336.4407167833297,3413.987736651523,3557.5919464611234,3796.927632100802,3941.929943717043,4100.703465050081,4286.236141656555,4469.218006495453,4561.098003658569,4681.6981241127005,4643.446498961364,4724.560718536589,4805.892894654782,4829.814365206571,4607.328059879452,4526.690387364834,4412.8985837231485,4081.387215744693,3635.6369561646743,3255.112953908875,2873.4979482351064,2620.8471149246197,2406.816581907102,2417.8746109013027,2546.867027102535,2762.01612054986,2979.828666145623,3216.8350288800584,3317.65688233715,3428.2964543001,3560.8456942318007,3625.7675232748297,3627.8184416733266,3754.915960413621,3715.5936793492283,3794.949315765304,3876.6743979821604,3899.7713674060487,3678.2202045057184,3598.794712992106
H5,3816.4238841831675,3495.4199047386637,3053.5452106297007,2636.125042736529,2349.610024154185,2138.896098762749,2000.523368805645,1903.2399044334866,1867.192591845987,1905.1529484987232,1932.8697357177707,2043.9262782633277,2183.5127064883677,2388.6042746305434,2641.9223443269693,2963.106365323063,3301.8702342510187,3677.5514709949452,3973.3773330450017,4189.163857340808,4293.131380051369,4375.010546743864,4272.170615136618,4092.2752824425643,3829.32743903994,3506.118862122292,3071.7186403870523,2658.0803183913163,2380.5080863535336,2187.0247673392223,2055.809907615177,1983.9349092841067,1967.1077654659666,2023.6532251536755,2059.719388365736,2183.9053839146995,2318.0811616778274,2515.6063926219836,2772.613463073958,3089.201881170262,3424.943654149759,3795.9353776872035,4087.775252372014,4309.069096475827,4419.932903558002,4520.534300327287,4425.265057533966,4261.541195452199
H6,5109.643065907048,5311.186556821831,5608.563033553111,5932.450770529394,6198.598330359173,6398.241653841201,6548.907787184171,6778.180325334101,7040.2162956110315,7230.19700959711,7407.947231451681,7549.153929510894,7701.483648828327,7791.989157391242,7743.6014713217455,7642.8534683106445,7367.353979612812,7120.589239294946,6718.3622468467875,6140.669272660967,5706.046392781697,5431.566197186736,5204.96751262485,5110.164554254038,5084.792752405207,5235.427399444182,5495.331524876452,5813.542063972064,6149.101053341081,6380.008841992335,6582.521852612409,6850.24016934724,7236.749247973987,7538.400792338574,7706.713551024917,7871.577324530767,8007.067660582666,8083.807081466501,8012.537057300772,7858.533972404856,7509.572980119444,7207.072177672079,6803.575480076605,6215.160081999256,5767.716846032951,5474.423493088836,5239.530700353861,5142.834167958796
H7,49534.3262493918,47918.40779011568,44896.34080178681,40453.67054197358,36339.63240801483,33643.150502693796,31719.302477987985,30643.055878453066,30104.283659411318,30471.96505365082,31552.00899671844,33006.18062533294,35166.17784598845,37317.24904125335,39507.45115692839,42135.37281606048,44480.13956796599,46671.10303618011,49425.94901171843,51384.581059034106,52594.88504238493,53240.31793198576,52597.25948857878,51302.86834253507,49457.08414656676,47835.664494860226,44843.272095350934,40423.48522562681,36322.24436115171,33649.859713107275,31722.739682982763,30672.004037013518,30208.086338431975,30692.054626178557,31831.547602645835,33438.708456310385,35885.51011808039,38245.17974554867,40581.09229293879,43435.498324825996,45813.439970726875,47930.481836354316,50620.71086628839,52528.90559446465,53731.4389456878,54411.103980260545,53735.03604364189,52449.818998136514
H8,29441.330981228908,27304.785571072658,25727.662524197658,24690.663500760158,24178.738207791408,24280.24125954922,25421.04936501797,26700.94682595547,27896.226733182033,29351.749438260154,31218.16264626797,33334.60173318203,35513.82231423672,37390.65910622891,39165.83586404141,40473.567858670314,40738.417956326564,40687.79420754727,40333.38322732266,39286.832171414455,37664.07927224453,36295.69741723355,35165.49959943112,32538.020071957668,29620.8217181646,27515.829687067187,25871.87869352929,24852.62248606316,24296.617523142017,24408.001860567252,25552.912154623187,26878.743852564014,28090.311101862113,29566.59786028496,31385.934450098193,33507.56387133233,35590.38356966607,37495.3953837835,39308.38407749764,40724.47966570489,41156.44168657891,41179.611516901175,40874.125707575,39857.72916216485,38318.308629938285,36956.136125513236,35807.70875448815,33155.817819544
H9,35317.123997619674,32418.464048311278,30292.156652267022,28673.897107142664,27492.96998384538,26926.59221318057,26593.783940900692,27279.209499347715,28414.693097592488,29700.929189118026,31458.9422850976,33383.34089340989,35427.15558663283,37615.59100647514,39324.85726442102,40718.89215306963,41726.61025024622,42457.13445497658,42571.2973227459,42108.93504563171,41436.42286671994,40402.599597371765,38953.524714657324,37679.13411114925,34778.80325260091,31810.025629825846,29675.230503897074,28082.844129075937,26975.756860156864,26537.0768084609,26214.24902762576,26915.77764147958,28031.559170134147,29295.6579535812,30982.04176729121,32923.638323938496,34991.7178221581,37189.66655891275,38870.9247797121,40269.68974429871,41300.31890168763,42073.03766023397,42238.2462214977,41775.123159261406,41063.366494777365,39986.45510185374,38470.889750942784,37214.28771947092
H10,462.09830147085836,458.17707235174663,443.09165069078875,423.7801208519222,410.7161268533202,401.95727467680945,394.61112281123593,392.7430208354569,388.852898177573,394.9674348302601,404.7231778821411,419.460585726313,429.5022053216992,438.1219195342053,444.8235144508676,449.09084102764916,452.545966716027,457.26428710010765,462.7878687539877,461.2687712327209,455.9131865529088,454.04866369526434,451.8531353990453,442.4280459086364,438.49545161289274,428.10650044958885,418.10453996816324,407.3065724650637,388.86290368827605,385.0171502187634,378.42185417078366,380.3326765550789,380.01397970685423,381.40062004090464,387.6154346238804,395.4740572295853,408.2704846689324,405.22776992043737,426.44525676080303,437.0028521304897,440.17525953215227,444.2024801674204,444.9111236478054,453.3160138868814,461.0470966396533,460.08111369689266,456.4735402935848,450.399615992718
