V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6895.1635390705,6763.9065682037,6937.402366245249,6986.485205423049,7063.48200892875,6932.22503806195,7105.720836103499,7154.803675281299
Q2,7105.300467506349,7133.600302151873,7158.224943829505,7179.651676011761,7198.2957991637,7214.518680242718,7228.634756840106,7240.917631721133
Q3,7158.584627229833,7144.301150591835,7130.228190126326,7117.4868312543795,7104.569860106612,7090.286383468614,7076.213423003105,7063.472064131159
Q4,7683.028119657657,7687.303580346305,7691.2151843966685,7694.793897279572,7698.068049196117,7701.063559348336,7703.804141123636,7706.311489817328
Q5,1179.3828401946,1308.1925469963307,1143.9579868685867,1274.9910888176619,1108.6073251923026,1233.3721819769448,1065.2911563639007,1192.1772148224975
Q6,9766.12574992575,9731.470448470449,9784.534416394417,9867.629403029403,9863.655087615087,9830.29972081972,9884.663623403621,9969.058544698542
Q7,3361.3982414245606,3368.4580973625184,3381.097928905487,3389.6772517204286,3432.831224346161,3452.5516127586366,3415.1242484092713,3468.1388586997987
Q8,2582.5850087170857,2560.6359321807245,2597.1574028183545,2641.118548128574,2626.256535625871,2604.949490288356,2643.155607426168,2688.565645815521
Q9,2451.598335919525,2396.284257117029,2366.2260549226908,2432.9019830817215,2341.26944517315,2230.8021327288466,2122.2594266306164,2206.5947148730434
Q10,2552.013683227969,2537.523711230854,2531.229015373301,2535.577574639003,2531.1704576633147,2515.5596854625423,2508.144189401332,2511.3719484633766
Q11,1155.6104757660173,1157.1662981855695,1158.4612915550847,1159.8213655302661,1161.165200956738,1162.5130881350567,1163.8599643429172,1165.2070928024718
Q12,3259.2805798264535,3323.446489462183,3229.2186404778527,3282.8929789243657,3199.1567011292514,3285.8040081189642,3212.559301513066,3288.715037313563
Q13,1733.7561349813966,1763.870292057115,1765.9516222204302,1787.5093897596932,1805.7732610599735,1823.6167983655628,1841.4066968634077,1859.1897505146958
Q14,12192.983767449201,12384.43403984174,12298.282978987023,12408.868079683481,12403.582190524845,12768.310804569996,12843.89008710744,13127.75352945651
Q15,1308.6947808704322,1299.9075257081533,1304.8653415033248,1306.5343687167115,1302.8891485327445,1285.8006130877457,1279.3860283031927,1269.365539103475
Q16,2060.8399291052606,2063.3177942776224,2231.2303223675326,2191.329266637102,2194.206900709698,2182.906277261811,2256.5246080551765,2215.1508499697197
Q17,2435.157537099865,2450.3107005500146,2437.860072744128,2470.942169489159,2487.6621469878014,2500.6619398920257,2495.0238050880916,2532.5831750312036
Q18,4933.395308909626,4732.959475667669,4899.645004817677,4728.663955794454,4877.097469299808,4674.482220652735,4818.845996239156,4628.589429380804
Q19,5700.9974868326535,5693.536053206234,5769.8793061003435,5848.783205917944,5844.966508194713,5839.656171009447,5918.116887388196,5999.105653590302
Q20,6299.954735279083,6268.39768075943,6216.530985355377,6220.597220897675,6183.612208843231,6272.600848674774,6272.0889048576355,6441.852790355682
Q21,9965.879104614258,10217.589172363281,10312.555862426758,10602.78874206543,10818.667846679688,11070.377914428711,11165.344604492188,11455.57748413086
