V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6878.5576979748075,6794.329940390638,6921.057587771716,6962.125996788455,7022.516959198463,6938.289201614293,7065.016848995371,7106.085258012111
Q2,7103.665765875416,7130.653207771953,7154.233066261155,7174.836528177043,7192.840107841497,7208.572592614659,7222.321104495062,7234.336390458768
Q3,7158.139395992213,7143.334958213435,7128.870358951886,7115.814709355163,7102.452506969777,7087.648069190998,7073.1834699294495,7060.1278203327265
Q4,7680.983437592478,7683.4721790121785,7685.814304792924,7688.007719937365,7690.0537655127455,7691.956197934403,7693.720417930777,7695.35289154285
Q5,1258.7150368330138,1377.898760076734,1294.1413222898962,1414.8306728375705,1329.618956026309,1446.0750293879942,1359.7225031279104,1477.613474933343
Q6,9767.727769919204,9734.83068044294,9788.046731264596,9871.204411854702,9868.96572251987,9837.502173789571,9892.151765357192,9976.742986693262
Q7,3356.8933207214654,3361.214005139069,3367.161032657064,3377.18624429132,3411.4229096695785,3423.241045993166,3395.1417340432863,3435.989861937059
Q8,2584.135577430318,2562.7608690001452,2599.496193012703,2643.4189374178513,2629.2398896444383,2608.824759430484,2647.251432641667,2692.7019015159613
Q9,2459.7283276558587,2417.323750068139,2398.877471855988,2450.221682642235,2384.9467325438477,2304.12337608876,2231.7828977973904,2295.629221292923
Q10,2552.6813107130897,2538.9829797865323,2533.00942157094,2537.5921366925186,2533.9267108006557,2519.1816432691458,2512.161348448601,2515.6973269652267
Q11,1155.640369008147,1157.1837603752383,1158.4846175614537,1159.8442747797803,1161.189641152211,1162.5384888645679,1163.8864866623355,1165.234692371117
Q12,3259.1224345721953,3323.3550088794436,3229.002615392686,3282.7100177588873,3198.882796213177,3285.6687677531377,3212.366718148474,3288.6275177473876
Q13,1738.163221414813,1763.9717701700931,1767.628533886632,1786.5139033708062,1807.6435708720435,1827.1665082336942,1845.3519376195218,1866.010272584072
Q14,12265.357446408307,12470.946848984757,12432.280636818403,12543.173323598481,12560.483452857465,12886.019272544325,12906.777269142083,13176.336747403606
Q15,1332.8810797188464,1312.9767526002227,1351.2374232981329,1335.611051835987,1360.837971252638,1342.7886156210534,1325.7142319319837,1326.4609648659336
Q16,2061.642287460327,2064.9747738952206,2226.3625725930647,2189.046615704086,2192.1380523388757,2182.744510129814,2254.9416198896242,2215.7118614174515
Q17,2435.632211063218,2450.4668768061747,2438.455654695141,2471.239982568564,2487.949153218414,2500.510074236629,2495.00558191741,2532.0227904073304
Q18,4920.558872126152,4724.474412862687,4883.237085148283,4711.489164104259,4856.765461815132,4663.167717401495,4805.576534721205,4620.584519490555
Q19,5700.97726360349,5693.49119745522,5769.55028792329,5848.1689511495815,5844.321151065683,5838.9754750287475,5917.141490047912,5997.834642965823
Q20,6284.912175892213,6267.647845835996,6232.008038097806,6241.088826428487,6215.684319626395,6293.9915231742,6305.284785482589,6441.2849571247625
Q21,9876.588252165824,10049.46188331208,10147.784823764334,10374.556801609593,10514.517856688919,10687.155284593759,10787.388001427236,11015.731359999521
Q22,5176.458340879556,5213.744221086044,5241.597000716792,5274.690558777516,5307.937777159455,5356.697056373934,5395.338713507064,5439.905670575779
Q23,5930.991482123247,5888.566564366066,6033.010948803744,6099.165101725054,5970.162185006874,5932.563093994625,6061.525676874874,6135.620028344274
Q24,2344.4720737723496,2326.7926718154495,2338.2154334164807,2320.9314764082533,2332.246340821553,2314.991823570135,2326.298655343296,2309.0463297984197
Q25,1350.1341192191708,1338.37658461974,1356.5933598116992,1360.4338142708007,1333.0956698920263,1320.5532873937923,1339.0405376407637,1342.7858516083263
Q26,6838.298882373568,6423.468778625046,6824.2467345185,8204.94224848898,7011.204852748768,6453.257836103398,7730.476317881734,8429.251156162347
Q27,9192.168335186558,9188.207355325621,9184.11706041719,9179.897450461262,9175.548525457838,9171.070285406919,9166.462730308504,9161.725860162593
Q28,4979.814715935164,5004.438543885235,5025.390972085995,5046.8937303692455,5068.313111606938,5089.745234879419,5111.175397299133,5132.605863127332
