V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6795.552027867275,6768.574177212982,6742.085086722949,6719.959139189683,6697.344431492158,6670.3665808378655,6643.8774903478325,6621.751542814566
Q2,7105.300467506349,7133.600302151873,7158.224943829505,7179.651676011761,7198.2957991637,7214.518680242718,7228.634756840106,7240.917631721133
Q3,7118.341814172362,7064.456963499067,7009.921698135996,6956.111499240983,6902.951715035745,6849.066864362449,6794.531598999379,6740.721400104366
Q4,7683.028119657657,7687.303580346305,7691.2151843966685,7694.793897279572,7698.068049196117,7701.063559348336,7703.804141123636,7706.311489817328
Q5,1301.925036273885,1301.4055202608201,1264.92217247185,1263.1815985518622,1227.9179064825562,1229.9913369734265,1195.9282480067768,1196.7821001787236
Q6,9765.95090585092,9731.100089100111,9783.147607167644,9865.206850806908,9860.977762597835,9827.346951787034,9880.614475794575,9963.893725373846
Q7,3346.752445572016,3344.4605240544993,3335.365297749848,3347.6209125243913,3361.066230800825,3355.0516967613967,3347.6770015477587,3360.157962609485
Q8,2590.750004715938,2575.762476198085,2597.807863805902,2624.519349109171,2614.583836851224,2600.4114654494924,2623.313819978784,2650.88081466825
Q9,2479.085982969764,2464.9564467207456,2470.9168302715116,2486.1582831110045,2480.1386253268115,2465.588083130707,2472.6773177829887,2488.747940198175
Q10,2559.158774538965,2560.5264723378946,2564.3852468768596,2570.73509815586,2574.593872694825,2575.9615704937546,2579.8203450327196,2586.1701963117202
Q11,1155.7076005457302,1157.2230337954952,1158.5370790263914,1159.895798935743,1161.2446084894225,1162.5956164954007,1163.9461368102536,1165.2967653115038
Q12,3347.2856121844447,3349.460317145413,3333.513857267123,3334.920634290826,3319.742102349802,3323.562327584667,3309.151723580908,3312.204020878508
Q13,1754.5737516906008,1768.3543152938128,1782.1720098276364,1795.9887147563804,1809.805446059853,1823.6221766603924,1837.4389072796662,1851.2556378984407
Q14,12466.875538835471,12596.656496784106,12705.166504057152,12833.312993568212,12943.457469278832,13076.740775326236,13188.51971947443,13320.16855708426
