V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6895.1635390705,6763.9065682037,6937.402366245249,6986.485205423049,7063.48200892875,6932.22503806195,7105.720836103499,7154.803675281299
Q2,6919.2014264021345,6927.58755195465,6919.201426402134,6927.58755195465,6919.201426402134,6927.58755195465,6919.201426402134,6927.58755195465
Q3,7143.487936135725,7032.312621494951,7027.618308422025,6866.414516361025,6838.40085411915,6727.225539478375,6722.53122640545,6561.32743434445
Q4,7580.696885719074,7586.220018740049,7586.220018740049,7586.220018740049,7586.220018740049,7586.220018740049,7586.220018740049,7586.220018740049
Q5,1412.75,1818.75,1586.25,1407.0,1712.25,1830.25,1456.75,1350.0
Q6,9826.9,9798.85,9878.900000000001,9958.85,10014.35,9986.300000000001,10066.350000000002,10146.300000000001
Q7,3348.2333333333336,3346.9375000000005,3336.0458333333336,3346.454166666667,3345.5,3342.9375,3332.045833333333,3342.4541666666664
Q8,2604.9874999999997,2580.48125,2604.9937499999996,2621.6437499999997,2622.0562499999996,2597.5499999999997,2622.0624999999995,2638.7124999999996
Q9,2491.2,2470.0099999999998,2477.7999999999997,2482.4749999999995,2480.9749999999995,2465.6349999999993,2471.1199999999994,2481.4099999999994
Q10,2555.9750000000004,2537.4500000000003,2573.9750000000004,2564.3750000000005,2565.0500000000006,2546.5250000000005,2583.0500000000006,2573.4500000000007
Q11,1148.5349999999999,1155.0149999999999,1149.6,1154.625,1148.06,1154.54,1149.125,1154.15
Q12,3360.5,3417.0,3514.25,3521.0,3420.75,3280.75,3063.0,3233.75
Q13,1748.075,1764.2,1771.4,1784.275,1811.8500000000001,1835.15,1854.2250000000001,1881.3500000000001
Q14,12450.6,12582.0,12672.6,12784.6,12875.2,13006.6,13097.2,13228.6
Q15,1330.8333333333333,1344.5,1367.6666666666667,1312.1666666666667,1280.1666666666667,1292.5,1276.6666666666667,1279.8333333333335
Q16,2094.0,2070.0,2239.0,2146.5,2138.5,2179.5,2239.0,2266.0
Q17,2484.3500000000004,2485.05,2472.366666666667,2504.1833333333334,2542.3,2535.616666666667,2513.1666666666665,2563.633333333333
Q18,5184.0,5216.5,5232.5,5099.0,5387.0,5334.5,5266.0,5119.0
Q19,5806.5,5801.25,5889.75,5912.75,6012.25,6007.0,6095.5,6118.5
Q20,6294.714285714285,6314.428571428571,6323.499999999999,6336.535714285714,6333.607142857142,6357.892857142857,6380.321428571428,6399.357142857143
Q21,9749.0,9733.214285714286,9811.0,9847.92857142857,9893.714285714284,9885.499999999998,9959.071428571428,9979.214285714284
Q22,5217.5,5210.928571428572,5248.071428571428,5252.571428571428,5303.285714285714,5329.857142857142,5380.5714285714275,5407.142857142856
Q23,5939.671875,5867.9,6007.828125,6113.771875,6003.243750000001,5923.609375,6063.5375,6166.615625
Q24,2326.2999999999997,2318.772,2311.244,2303.7160000000003,2296.1880000000006,2288.6600000000008,2281.132000000001,2273.604000000001
Q25,1373.1799999999998,1371.282,1369.5359999999998,1365.3759999999997,1360.1199999999997,1358.2219999999998,1356.4759999999997,1352.3159999999996
Q26,7424.583333333333,7351.666666666667,7535.416666666667,7831.25,7424.583333333333,7337.5,7505.416666666667,7821.25
Q27,9171.0,9146.0,9121.0,9096.0,9071.0,9046.0,9021.0,8996.0
Q28,4992.0,5014.8,5035.0,5055.2,5075.4,5095.599999999999,5115.799999999999,5135.999999999999
Q29,1853.3333333333333,1843.3333333333333,1816.6666666666665,1806.6666666666665,1779.9999999999998,1769.9999999999998,1743.333333333333,1733.333333333333
Q30,3100.0,3120.0,3085.0,3060.0,3115.0,3125.0,3070.0,3085.0
Q31,2495.0,2506.25,2480.0,2498.125,2471.25,2489.375,2462.5,2480.625
Q32,4719.4,4738.2,4737.2,4760.0,4789.4,4808.2,4807.2,4830.0
Q33,8240.882352941177,8293.823529411764,8314.70588235294,8369.411764705881,8388.823529411764,8440.0,8452.64705882353,8505.882352941177
Q34,7219.285714285715,7295.0,7285.714285714285,7285.714285714285,7348.571428571428,7410.714285714285,7412.142857142857,7411.428571428572
Q35,10210.0,10385.0,10362.5,10212.5,10367.5,10542.5,10520.0,10370.0
Q36,9165.6,9233.2,9295.400000000001,9357.600000000002,9419.800000000003,9482.000000000004,9544.200000000004,9606.400000000005
Q37,4642.777777777777,4665.555555555555,4688.333333333332,4711.1111111111095,4733.888888888887,4756.666666666664,4779.444444444442,4802.222222222219
Q38,6413.0,6444.6,6476.200000000001,6507.800000000001,6539.4000000000015,6571.000000000002,6602.600000000002,6634.200000000003
Q39,5927.5,5905.0,5882.5,5860.0,5837.5,5815.0,5792.5,5770.0
Q40,5230.0,5210.0,5245.0,5215.0,5195.0,5230.0,5200.0,5180.0
Q41,1919.4166666666667,1931.0,1933.5833333333333,1939.3333333333333,1962.75,1972.3333333333333,1974.9166666666665,1980.6666666666665
Q42,2112.04,2126.96,2143.0,2157.92,2173.96,2188.88,2204.92,2219.84
Q43,5445.714285714285,5466.785714285714,5487.857142857142,5508.928571428571,5529.999999999999,5551.0714285714275,5572.142857142856,5593.214285714284
Q44,1281.4285714285713,1298.3571428571427,1291.9285714285713,1296.4285714285713,1310.8571428571427,1327.785714285714,1321.3571428571427,1325.8571428571427
Q45,1922.6666666666667,1951.0,1948.1666666666667,1959.1666666666667,1970.3333333333335,1995.5000000000002,2003.0000000000002,1994.8333333333335
Q46,3405.0,3430.0,3455.0,3480.0,3505.0,3530.0,3555.0,3580.0
Q47,9645.0,9650.0,9655.0,9660.0,9665.0,9670.0,9675.0,9680.0
Q48,1419.1666666666667,1430.9761904761906,1434.452380952381,1446.9761904761906,1453.5714285714287,1467.7619047619048,1474.1904761904761,1487.952380952381
Q49,8905.0,8865.0,8870.0,8850.0,8910.0,9095.0,9110.0,9140.0
Q50,9195.0,9175.0,9095.0,9475.0,9400.0,9590.0,9565.0,9495.0
Q51,1453.8181818181818,1467.1136363636363,1469.2954545454545,1474.7045454545455,1488.5909090909092,1501.8863636363637,1504.068181818182,1509.477272727273
Q52,5792.0,5854.5,5856.5,5922.5,5918.5,5953.0,5929.0,5963.5
Q53,2666.0,2637.5,2712.0,2658.0,2713.0,2729.5,2819.5,2714.5
Q54,1655.3125,1667.8125,1674.125,1686.40625,1692.71875,1705.625,1710.28125,1723.1875
Q55,6915.0,6910.0,7070.0,6975.0,7055.0,7230.0,7070.0,6980.0
Q56,2972.0,2961.1666666666665,3007.0,2946.1666666666665,2943.333333333333,2932.4999999999995,2988.333333333333,2927.4999999999995
Q57,1460.4,1473.5,1474.9,1490.4,1498.4,1505.5,1503.2,1511.9
Q58,7284.444444444444,7298.888888888889,7313.333333333333,7327.777777777777,7342.222222222222,7356.666666666666,7371.11111111111,7385.555555555555
Q59,9364.166666666666,9368.333333333332,9372.499999999998,9376.666666666664,9380.83333333333,9384.999999999996,9389.166666666662,9393.333333333328
Q60,1415.6666666666667,1403.8333333333335,1422.6666666666667,1413.1666666666667,1430.5,1421.0,1438.3333333333333,1428.8333333333333
Q61,2772.8875000000003,2782.8500000000004,2821.5000000000005,2852.5000000000005,2869.4625000000005,2871.375000000001,2900.8875000000007,2918.4875000000006
Q62,1974.5,1996.5,2001.0,2029.5,1974.5,1996.5,2001.0,2029.5
Q63,2871.25,2997.0,3023.5,3063.25,3138.25,3226.75,3176.0,3279.0
Q64,3192.383333333333,3194.133333333333,3237.383333333333,3259.7666666666664,3261.2166666666667,3304.5166666666664,3324.8666666666663,3377.4666666666662
Q65,4716.0,4547.5,4663.0,4855.5,4908.0,4826.0,4920.0,4775.5
Q66,6258.166666666667,6338.5,6423.666666666667,6521.666666666667,6615.333333333334,6698.333333333334,6812.666666666667,6874.666666666667
Q67,10776.0,10969.25,11075.5,11204.75,11339.25,11513.25,11639.25,11918.5
Q68,3238.3636363636365,3270.0227272727275,3303.75,3332.7045454545455,3362.818181818182,3394.477272727273,3419.659090909091,3445.318181818182
Q69,1092.1739130434783,1092.3478260869565,1092.5217391304348,1092.695652173913,1092.8695652173913,1093.0434782608695,1093.2173913043478,1093.391304347826
Q70,10724.826315789473,10779.565789473683,10822.518421052631,10875.194736842104,10906.994736842104,10958.192105263157,10994.313157894736,11046.989473684209
Q71,5001.428571428572,5001.428571428572,5018.571428571428,5065.714285714285,5141.428571428571,5136.428571428571,5149.285714285714,5196.428571428571
Q72,3971.5,3945.5,3914.0,4009.5,4091.0,4065.0,4033.5,4129.0
Q73,5210.5,5240.011111111111,5278.95,5317.283333333333,5348.438888888888,5379.9333333333325,5420.444444444443,5457.344444444443
Q74,3038.9694444444444,3059.758333333333,3083.975,3107.7166666666667,3129.4666666666667,3150.3416666666667,3176.975,3198.375
Q75,1612.6783333333333,1618.5,1631.3983333333333,1643.8566666666666,1655.3583333333331,1658.5666666666666,1671.465,1683.9233333333332
Q76,13533.85,13548.066666666668,13613.941666666668,13678.941666666668,13729.091666666667,13743.308333333334,13809.183333333334,13874.183333333334
Q77,17724.86666666667,17859.65,18009.175000000003,18135.775,18250.575,18380.350000000002,18531.375,18686.208333333332
Q78,17270.21,17397.51,17547.82,17672.21,17779.37,17915.89,18053.059999999998,18181.379999999997
Q79,1710.0,1762.5,1765.0,1772.5,1685.0,1682.5,1662.5,1670.0
Q80,6800.0,6808.75,6805.0,6825.0,6848.75,6838.75,6850.0,6870.0
Q81,4523.333333333333,4538.333333333333,4547.777777777777,4555.555555555555,4574.999999999999,4582.222222222222,4593.888888888889,4602.222222222222
Q82,2188.0,2146.5,2137.0,2095.5,2086.0,2044.5,2035.0,1993.5
Q83,3467.0,3410.0,3462.0,3539.0,3536.0,3479.0,3531.0,3608.0
Q84,12338.375,12369.770833333334,12405.604166666668,12431.145833333334,12470.8125,12512.375,12561.020833333334,12598.895833333334
Q85,33324.28571428572,33891.071428571435,34327.21428571429,34316.14285714286,34623.14285714286,35064.64285714286,35439.357142857145,35557.857142857145
Q86,1117.75,1126.0500000000002,1084.5,1110.3999999999999,1132.8,1126.0500000000002,1116.3,1113.5
Q87,2284.0,2300.35,2254.2,2272.05,2284.0,2300.35,2289.6499999999996,2180.75
Q88,3799.0,3759.0,3806.1,3911.6,3799.0,3759.0,3806.1,3911.6
Q89,8253.949999999999,8396.699999999999,8246.0,8736.925,9048.1,8970.175,9327.375,9002.65
Q90,8364.066666666668,8389.1,8376.9,8440.433333333332,8411.5,8436.533333333333,8424.333333333332,8487.866666666665
Q91,1084.6764705882354,1088.235294117647,1091.9117647058824,1095.5882352941178,1099.2647058823532,1102.9411764705885,1106.6176470588239,1111.0294117647063
Q92,7228.875,7247.375,7269.5,7307.25,7338.625,7429.0,7470.5,7567.875
Q93,1557.0500000000002,1557.0500000000002,1557.0500000000002,1557.0500000000002,1557.0500000000002,1557.0500000000002,1557.0500000000002,1557.0500000000002
Q94,4037.604,4062.2799999999997,4085.022,4103.442,4120.808,4137.06,4152.152,4166.542
Q95,5958.771428571429,5990.032142857143,6012.964285714286,6037.028571428572,6062.917857142857,6090.975,6142.364285714286,6172.517857142857
Q96,9072.0,9115.0,9161.2,9177.400000000001,9245.800000000001,9292.800000000001,9329.2,9347.800000000001
Q97,21178.895833333332,21292.333333333332,21359.770833333332,21434.229166666664,21520.458333333332,21646.0625,21726.104166666668,21809.979166666668
