V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6793.614837005865,6769.062938446931,6744.511039887997,6719.959141329063,6695.4072427701285,6670.855344211194,6646.30344565226,6621.751547093326
Q2,7457.13037109375,7457.13037109375,7457.13037109375,7457.13037109375,7457.13037109375,7457.13037109375,7457.13037109375,7457.13037109375
Q3,7117.654072721377,7063.806547065154,7009.95902140893,6956.111495752707,6902.263970096484,6848.41644444026,6794.568918784037,6740.721393127814
Q4,8100.834391276042,8100.834391276042,8100.834391276042,8100.834391276042,8100.834391276042,8100.834391276042,8100.834391276042,8100.834391276042
Q5,1318.5612533406204,1736.3260477223878,1374.6320220736243,1295.3178250833748,1273.8790784239952,1691.6438728057626,1321.1025369825124,1592.9771699033777
Q6,9796.485083129595,9821.570166259191,9846.655249388787,9871.740332518382,9896.825415647978,9921.910498777574,9946.99558190717,9972.080665036765
Q7,3339.0421253079094,3346.371364334194,3353.7006033604785,3361.029842386763,3368.3590814130475,3375.688320439332,3383.0175594656166,3390.346798491901
Q8,2615.37824081725,2616.218435910699,2609.247154815021,2612.143790420278,2605.1725093246,2608.069144929857,2601.097863834179,2603.994499439436
Q9,2486.60284933292,2491.2279175428207,2485.130766875741,2489.7558350856416,2483.6586844185617,2488.2837526284625,2482.1866019613826,2486.8116701712834
Q10,2555.0301115879797,2554.7602231759593,2554.490334763939,2554.2204463519183,2553.950557939898,2553.6806695278774,2553.410781115857,2553.1408927038365
Q11,1149.8613553185778,1151.5168319744348,1146.2781872930127,1147.9336639488697,1142.6950192674476,1144.3504959233046,1139.1118512418825,1140.7673278977395
Q12,3231.717739399011,3341.3397160827712,3209.057455481782,3077.7037038826893,2945.4214432817002,3055.0434199654605,2905.4953126303762,3015.1172893141365
Q13,1757.6675843284913,1768.677566288938,1786.9451506174291,1797.9551325778757,1816.222716906367,1827.2326988668135,1845.5002831953047,1856.5102651557513
Q14,12428.129811342831,12665.518891526563,12733.648702869394,12845.233167585482,12913.362978928313,13150.752059112045,13048.21398330485,13285.603063488581
Q15,1298.161079516687,1286.349473279703,1254.0011074626236,1221.6527416455442,1189.3043758284648,1177.4927695914807,1145.1444037744013,1133.3327975374173
Q16,2087.2815110284823,2063.422461111485,2121.7039721399674,2100.069021037356,2158.3505320658383,2134.491482148841,2192.7729931773233,2168.913943260326
Q17,2446.6918867296067,2477.962561991641,2477.7544487212476,2509.4799269141067,2509.2718136437134,2540.5424889057476,2540.3343756353543,2571.6050508973885
Q18,4861.751896623455,4656.2031023497975,4828.954998973252,4584.280378627189,4757.032275250644,4551.483480976986,4796.054951715036,4590.5061574413785
Q19,5737.716015916596,5768.432031833192,5799.148047749788,5829.864063666384,5860.58007958298,5891.296095499576,5922.012111416172,5952.728127332768
Q20,6309.874183449878,6346.170939113364,6361.045122563241,6389.235634663708,6417.4261467641745,6453.72290242766,6464.868650824766,6501.165406488251
Q21,9767.189393072678,9833.943216218126,9851.132609290804,9917.886432436251,9935.07582550893,10001.829648654377,10019.019041727055,10085.772864872502
Q22,5189.9659859059075,5223.084729514728,5259.050715420635,5304.782759499702,5340.748745405609,5373.867489014429,5409.833474920337,5442.952218529157
Q23,5927.280166361619,5864.211727623255,5996.534462187784,6072.277490426163,5919.560245661471,5864.06798838047,5991.302980140066,6066.280194122204
Q24,2349.735651774588,2326.615040674838,2344.750692449426,2321.630081349676,2339.765733124264,2316.645122024514,2334.780773799102,2311.660162699352
Q25,1360.6131291625504,1363.9327532569664,1370.1448382744447,1376.356923291923,1382.5690083094014,1388.7810933268797,1394.993178344358,1401.2052633618364
Q26,7430.248598254807,8059.539675354565,7430.248598254807,7823.079676948385,7430.248598254807,8059.539675354565,7438.3093052676195,8059.539675354565
Q27,9196.380217387365,9196.76043477473,9197.140652162094,9197.520869549458,9197.901086936823,9198.281304324188,9198.661521711552,9199.041739098917
Q28,4983.291339110002,5022.358688567094,5025.650027677096,5064.717377134188,5068.00871624419,5107.076065701282,5110.367404811283,5149.434754268375
Q29,1889.9845330248538,1894.1148243781151,1869.572340817667,1879.5568738425209,1883.6871651957822,1859.144681635334,1869.129214660188,1873.2595060134493
Q30,3072.661758846112,3078.3247545941686,3070.9865134402808,3095.235326965418,3087.8970858115304,3093.5600815595867,3091.312994616111,3074.6711225595627
