V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6955.373454417962,6760.753107454421,6832.096048557891,6719.958872180306,6857.165591033468,6662.545244069927,6733.888185173397,6621.751008795812
Q2,6934.198936294702,6930.406835248041,6930.286755208761,6930.282937186379,6930.282815774155,6930.282811913259,6930.282811790483,6930.282811786579
Q3,7166.710784768049,7161.935653330378,7155.010705595766,7148.005637726192,7143.214824116641,7138.4396926789705,7131.514744944358,7124.509677074784
Q4,7676.3848357240195,7674.855147722093,7673.667430978138,7672.745235692505,7672.029202893294,7671.473243675618,7671.041572595659,7670.706404267935
Q5,1098.90772139318,1114.291869944216,1176.8815054119552,1601.269384055021,983.8833456862926,900.0662600020064,1163.758740776265,1295.6604444169614
Q6,9788.204270546372,9734.851387418854,9819.527282940699,9896.58550455181,9914.099100233543,9863.898683894968,9950.814953328801,10030.01798453883
Q7,3388.7880030101055,3424.269288083416,3348.230206993723,3410.7224344413958,3415.9009089875512,3401.1397062342985,3258.0582959691546,3303.019792784322
Q8,2618.5897045026845,2616.8587209140533,2636.3750528616947,2655.8923567656484,2673.4189891655174,2680.417551994446,2699.9343224259155,2719.451779772292
Q9,2451.598335919525,2396.284257117029,2366.2260549226908,2432.9019830817215,2341.26944517315,2230.8021327288466,2122.2594266306164,2206.5947148730434
Q10,2542.855067549416,2536.1161696394342,2568.510906186848,2596.9357439874825,2584.167307575659,2579.091146571413,2612.1797124947384,2635.662056605245
Q11,1163.547246766923,1145.9817382653086,1162.5690830002961,1157.5680830795952,1170.1794668790455,1159.7732317334226,1195.6108826083478,1188.0985137084033
Q12,2742.1195935085466,2871.360840890937,2929.7032873563567,2933.544927512623,2876.7207299633205,2238.630221129964,2113.204989379574,2319.3603818483134
Q13,1733.7561349813966,1763.870292057115,1765.9516222204302,1787.5093897596932,1805.7732610599735,1823.6167983655628,1841.4066968634077,1859.1897505146958
Q14,12369.652698283473,12556.044056694453,12583.946233712484,12746.020464060464,12797.120810495675,13025.775802733071,13101.194948530674,13311.881605631295
Q15,1269.5834407772086,1241.1144144441992,1226.6987752868,1198.2297506893538,1221.4230538499974,1192.9540274766023,1340.3042498447992,1311.835223471397
Q16,1998.7975968064882,2056.416292917973,2001.1312858717,2058.7821227565655,2042.442508732629,2084.5586213926526,2128.7585957824535,2210.2073822248954
Q17,2525.16461950836,2482.838353489195,2495.0489112252762,2452.655209977243,2507.836674246029,2498.335903247373,2549.4931336273007,2525.018833339772
Q18,4925.022618204342,4627.11657042507,4798.0091476472,4553.305581295328,4722.052663009562,4387.213703736638,4645.5159498625435,4306.358853812673
Q19,5942.369507386977,5878.443980513413,5975.681008707806,6081.819299773153,6371.082248514499,6301.359576118452,6399.420406425316,6538.068708723735
Q20,6301.310831056568,6307.678661393876,6313.215927836843,6320.116489537375,6326.458504924228,6333.856069078066,6340.422368206708,6348.414858110671
Q21,9707.242041643543,9700.901257571259,9826.923613467194,9935.416011900832,9923.544038714237,9924.844912552247,10056.580268500591,10174.761251179525
Q22,5245.7890335190405,5293.32393783358,5304.876331286837,6052.435089534515,6088.160535490392,5622.875270137841,5731.951581457897,5633.478077074403
Q23,5948.793386243069,5928.21068188975,6030.755341907866,6094.214453757873,5955.128946958886,5880.811852394541,6003.866420017868,6092.925339979734
Q24,2329.9821047061287,2328.1309939883286,2326.2824631568687,2324.4339037860723,2322.5853447309846,2320.7367856724045,2318.888226613863,2317.0396675553216
Q25,1372.9008766836953,1367.0161029847227,1364.1767814262041,1360.4893550815748,1353.850807652947,1347.961008657479,1345.1217981414297,1341.4343694287259
Q26,7000.381442012883,6555.795105117433,7432.829237885292,8806.628467974266,7306.314972345221,6793.022791383158,7598.774700602095,8598.689476926515
Q27,9174.564081365721,9153.129065504154,9131.694839827462,9110.261306544155,9088.828380588837,9067.395987862707,9045.964063734998,9024.53255176386
Q28,5012.779159046518,4989.268165450965,5040.373087081827,5021.630405688424,5076.4172729819475,5058.701865015419,5114.281961606459,5096.787866894773
Q29,1855.6666259028393,1884.6092598015239,1909.1545960326453,1933.679811603652,1958.2049988223182,1982.7301860016446,2007.2553731809164,2031.7805603601882
Q30,3050.8148338022347,3056.551112308411,2975.2559412879687,2990.7457560319895,2961.560571809201,3014.0156778749383,3004.522516264875,3003.935619273531
Q31,2494.2465962231495,2499.115513306623,2486.0079641806424,2488.489957849697,2477.445926555446,2478.095271569622,2468.6355823434037,2467.9152486786597
Q32,4698.3425165348,4704.956925314715,4708.8177848083915,4714.569933484629,4722.912450019428,4729.526858799343,4733.38771829302,4739.139866969257
Q33,8226.922368456058,8233.411313127845,8240.852264230061,8246.989986542605,8254.939292118079,8262.470290575371,8270.908215689195,8278.089784882686
Q34,7237.669392745073,7202.678510788324,7086.851310722471,7213.130190549369,7350.529225567306,7246.745410932031,7310.857881760602,7321.257001410972
Q35,10201.454720790249,10362.909441580498,10039.575489391216,9930.209312789197,10091.664033579445,10253.118754369694,9930.883352355513,9821.517321674894
Q36,9134.368420835446,9138.19356428016,9142.017256314035,9145.840944470345,9149.664632616295,9153.488320762219,9157.312008908142,9161.135697054066
Q37,4636.676482973803,4653.353368514672,4670.0306448765705,4686.70830072519,4703.3863251206485,4720.064707501011,4736.743437666608,4753.422505765091
Q38,6397.728499041817,6420.750281247109,6443.722520093174,6466.695253683412,6489.667982336122,6512.640711038109,6535.613439739604,6558.586168441103
Q39,6043.747608928866,6137.495141202169,6231.242555622588,6324.989894241032,6418.737190533531,6512.484468804711,6606.231751408363,6699.979067376902
Q40,5229.957566695522,5199.598360604553,5232.359934161988,5211.065373339792,5240.0835656795725,5232.395000365222,5286.687872545086,5294.582057757002
Q41,1911.5537077940191,1918.9608025986802,1918.5797493004577,1922.1741986019367,1937.5912014356886,1943.5774354212626,1942.5658652081095,1945.006162571816
Q42,2101.133413793441,2106.1499203764906,2111.1650280370527,2116.180118956048,2121.1952096746886,2126.2103003909315,2131.2253911071457,2136.2404818233595
Q43,5436.147198028016,5440.47285976552,5444.776830070235,5449.0805420664765,5453.384250986699,5457.687959870292,5461.991668753448,5466.295377636599
Q44,1281.4288134362032,1298.3562504204274,1291.155788569993,1295.3554712234659,1309.784284659669,1326.7117216438933,1319.511259793459,1323.7109424469318
Q45,1899.8256953662737,1941.980606305297,1836.8339170836077,1885.0021931033177,1880.0622461086678,1967.0002344142222,1802.6481750524026,1851.8672652352684
