V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6826.5470902073375,6760.754014584833,6703.269861754738,6719.959139189683,6728.339493832221,6662.546418209717,6605.062265379621,6621.751542814566
Q2,7099.989232441494,7124.025031219318,7145.255115137563,7164.006997167443,7180.569959472097,7195.199516114375,7208.12135482975,7219.534818673462
Q3,7129.34566343503,7074.863598535467,7009.324483909729,6956.111499240983,6913.955564298412,6859.4734993988495,6793.934384773112,6740.721400104366
Q4,7677.401332486119,7676.517115331708,7675.697253416224,7674.937062826043,7674.232200552914,7673.578639682129,7672.972646386552,7672.410758595071
Q5,1179.3828401946,1308.1925469963307,1143.9579868685867,1274.9910888176619,1108.6073251923026,1233.3721819769448,1065.2911563639007,1192.1772148224975
Q6,9766.12574992575,9731.470448470449,9784.534416394417,9867.629403029403,9863.655087615087,9830.29972081972,9884.663623403621,9969.058544698542
Q7,3346.761507509377,3344.9216452649634,3335.8161902388033,3349.093284960075,3363.2744383014337,3357.3199771929653,3350.199965606624,3363.68500872792
Q8,2582.5850087170857,2560.6359321807245,2597.1574028183545,2641.118548128574,2626.256535625871,2604.949490288356,2643.155607426168,2688.565645815521
Q9,2478.0131240190353,2464.6427211903683,2472.312295525779,2489.174634847597,2483.1793422647183,2469.026865220169,2478.107178586369,2495.8726990209357
Q10,2552.013683227969,2537.523711230854,2531.229015373301,2535.577574639003,2531.1704576633147,2515.5596854625423,2508.144189401332,2511.3719484633766
Q11,1155.6104757660173,1157.1662981855695,1158.4612915550847,1159.8213655302661,1161.165200956738,1162.5130881350567,1163.8599643429172,1165.2070928024718
Q12,3255.9330540687374,3321.5100822744535,3224.6459484909806,3279.020164548907,3193.3588429132237,3282.9413195722054,3208.482810084312,3286.862474595504
Q13,1764.655558945698,1776.160902861324,1790.6983487510158,1804.5671765601155,1818.5834433872687,1832.5671979855792,1846.5581219549172,1860.5474649843209
Q14,12192.983767449201,12384.43403984174,12298.282978987023,12408.868079683481,12403.582190524845,12768.310804569996,12843.89008710744,13127.75352945651
Q15,1308.6947808704322,1299.9075257081533,1304.8653415033248,1306.5343687167115,1302.8891485327445,1285.8006130877457,1279.3860283031927,1269.365539103475
Q16,2073.1386616022955,2088.716357078387,2156.6163397740384,2156.340270720258,2162.4951193977718,2180.4266736399654,2232.260203165319,2223.750161835618
Q17,2435.157537099865,2450.3107005500146,2437.860072744128,2470.942169489159,2487.6621469878014,2500.6619398920257,2495.0238050880916,2532.5831750312036
Q18,4933.395308909626,4732.959475667669,4899.645004817677,4728.663955794454,4877.097469299808,4674.482220652735,4818.845996239156,4628.589429380804
Q19,5700.9974868326535,5693.536053206234,5769.8793061003435,5848.783205917944,5844.966508194713,5839.656171009447,5918.116887388196,5999.105653590302
