V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6823.972001741454,6766.237433389381,6712.057839614578,6721.418080368501,6727.223346545155,6669.488778193083,6615.30918441828,6624.669425172203
Q2,7021.728678155898,6968.168394714987,6911.972456988485,6853.011166754747,6791.1484434570875,6726.241510134707,6658.1405638985525,6586.688430191592
Q3,7129.449201088349,7080.334394560853,7015.821344851803,6958.370704380996,6916.318307091745,6867.203500564249,6802.690450855199,6745.2398103843925
Q4,7598.6094075923065,7512.764969872828,7420.3552041592075,7320.877998342428,7213.792839098754,7098.517874989247,6974.426754947017,6840.845224973979
Q5,1138.3250809805845,1254.498752007135,1067.6372320006499,1168.2165070666815,996.9684518579481,1145.0399597140795,987.8650449024246,1120.3602309673406
Q6,9771.330800561796,9742.388026051969,9795.946119633905,9879.244802360266,9880.909631067667,9853.700884703443,9908.993006430983,9994.025717302948
Q7,3354.184993622126,3350.4509181113667,3342.4808559302264,3356.022914280614,3371.8241122534823,3366.9117530321087,3360.0242580691943,3374.229723202641
Q8,2587.6228913278037,2567.539968203172,2604.7562601599707,2648.5926388279627,2635.9496161088546,2617.540451821613,2656.4631677126727,2702.0045669603282
Q9,2482.844819538877,2469.6502227684364,2477.7415815499917,2494.5679313622954,2490.060929191898,2477.4594780902885,2486.744972342333,2504.689498368814
Q10,2554.1828414658617,2542.264954632892,2537.013652549685,2542.122997006298,2540.1256749541376,2527.327624603146,2521.1961590019164,2525.425339940507
Q11,1155.7394417556159,1157.092631523282,1158.32036163884,1159.5701445293848,1160.8160510750135,1162.062638988403,1163.309107133806,1164.5555963315267
Q12,3262.113101621444,3325.0849878517997,3233.087841389821,3286.1699757035994,3204.0625811581976,3288.226283043144,3216.008640414319,3290.282590382689
Q13,1761.2242943869728,1773.844903123637,1787.9030823977337,1801.7367202078326,1815.6054302928158,1829.4686622605566,1843.3327498833303,1857.1967038569865
Q14,12299.514815586615,12499.496075811605,12478.331898000295,12638.992151623208,12657.148980413973,12941.387513247328,12998.865348640169,13243.78287487145
Q15,1291.338871172978,1284.6605956952528,1280.2424564401956,1276.3988289393599,1270.5534306244153,1263.8545786277923,1257.4794260899414,1251.844265550793
Q16,2049.1810550053674,2080.2724960804926,2125.4475979251165,2121.9042573456577,2127.2073937017276,2163.3725961701944,2206.909371061829,2203.988956689233
Q17,2440.720418033602,2452.6931614793134,2442.3882882407283,2474.5992213137497,2491.8849290492512,2504.3946298930214,2499.7385174068695,2536.7571858743145
Q18,4912.67733434835,4717.910195534859,4881.488791466438,4707.610970774054,4856.951705416166,4651.879352747094,4795.817691606211,4602.356010265364
Q19,5696.656223055889,5684.719766664826,5751.172224994885,5820.060349806846,5811.3890515947005,5801.098508658004,5869.171146154289,5939.654508430813
Q20,6277.350873264478,6291.153153779745,6306.776633547196,6338.571222965977,6343.417539688333,6377.801957305348,6412.765829467719,6465.2048533784655
Q21,9700.624022175423,9697.794781742798,9803.48424681515,9887.140115680037,9863.351153857706,9864.58815457335,9976.105324794558,10065.444723914674
Q22,5181.664816436073,5216.016924312686,5246.33934589123,5278.906531581644,5311.886558302658,5351.871085324265,5387.508717187749,5425.708322023158
Q23,5926.337308077435,5890.59892824356,6054.963191818035,6119.350040102597,6002.097874949373,5967.714097719358,6110.317323678304,6175.729475346369
Q24,2331.7122338588515,2326.46761735822,2322.4809156217216,2318.1988258404513,2313.9861001365266,2309.757086111828,2305.5318969688806,2301.305809653518
Q25,1350.649251456199,1339.257119983904,1356.8760709135759,1359.9068168464103,1333.0159897343483,1320.9748456829648,1338.7801824408782,1341.7574014035297
Q26,6645.330547882404,6399.133368004504,6870.585511725775,7911.262400480694,7108.736229491664,7309.001250234467,7807.04905295601,8907.579817074602
Q27,9188.224398299506,9180.19839307811,9171.92198433581,9163.395172072607,9154.6179562885,9145.590336983492,9136.31231415758,9126.783887810765
Q28,4983.539493509316,5006.793667580217,5027.712941692927,5048.908748706982,5070.071804662363,5091.2387394757,5112.4052148981145,5133.571744728301
Q29,1879.9448325242054,1878.5111638789601,1877.2685759250742,1875.9995013555658,1874.734098223512,1873.4681861758168,1872.2023446713715,1870.9364933885863
Q30,3076.2706116050435,3082.0472641855163,3082.329760463334,3087.0841592681923,3087.9466903188118,3093.963006815767,3095.067703496324,3100.619373980413
Q31,2498.889852204707,2505.8361796667223,2508.197559567436,2511.723161379698,2514.953140910308,2518.2581856261218,2521.544169593205,2524.8349935156043
Q32,4801.036020290367,4796.315429995318,4727.185069086368,4773.811318762834,4884.847339053201,4880.126748758152,4810.996387849202,4857.622637525668
Q33,8216.494274424093,8263.407351415342,8264.399313069734,8305.659552141715,8311.149201026406,8367.782428326198,8377.76976444119,8428.750153821711
Q34,7205.763240110044,7273.037372337094,7250.178444102181,7252.39510848476,7300.236938210292,7344.352038952418,7331.1069431740925,7326.4736175621665
Q35,10102.795087909577,10230.394833599008,10222.355662095484,10152.81428394535,10217.420778467887,10342.91724465349,10333.492487734426,10262.433946619747
Q36,9066.718213281376,9166.796180924626,9197.248065957374,9257.375506016642,9304.854832996529,9357.724952644854,9408.297445333987,9459.849216947074
Q37,4650.821812891108,4681.852449261041,4713.091909109802,4744.540192437389,4776.197299243803,4808.063229529043,4840.137983293111,4872.421560536004
Q38,6379.715982133539,6428.353017996034,6458.620421595541,6495.785538219527,6530.360595103235,6565.908207591156,6601.090629891152,6636.410179438967
Q39,5990.146288577997,6030.3121772132,6070.497665905607,6110.702754655219,6150.927443462036,6191.171732326056,6231.435621247282,6271.719110225713
Q40,5236.636169465069,5262.043308721246,5287.405173941734,5312.765371393364,5338.125507409054,5363.485641161616,5388.845774830809,5414.205908496932
Q41,1917.5590595590768,1928.566823658988,1928.9722443044448,1933.9405088904368,1951.8371961545058,1960.7622357082798,1958.885455544527,1961.456191956642
Q42,2106.690611115534,2118.473483790436,2129.9795108739895,2141.5557074886337,2153.114118871194,2164.677038114579,2176.238814791529,2187.800881064389
Q43,5454.862919797643,5482.4424823160125,5509.967432527671,5537.493480603255,5565.019506608627,5592.545533057674,5620.071559497802,5647.597585938109
Q44,1284.5882988426074,1297.5602822938242,1294.2804218476856,1295.6168767929378,1313.2051756355452,1326.177159086762,1322.8972986406234,1324.2337535858755
Q45,1932.067175942063,1948.6059465723004,1948.9784924893213,1955.4478174410538,1976.0045353897922,1992.7068013022129,1992.695687586079,1998.9444364456658
Q46,3394.4967545124787,3409.016701245951,3423.5598402004175,3438.1261713758777,3452.715694772332,3467.32841038978,3481.964318228222,3496.623418287658
Q47,9688.570655816828,9737.245849646471,9786.025581488931,9834.90985134421,9883.898659212304,9932.992005093214,9982.189888986943,10031.492310893487
Q48,1431.8706607369695,1437.0600531521038,1435.341239330681,1466.3654185371472,1469.1831462664104,1485.827751824849,1483.3027541482975,1518.9383836241934
Q49,8892.933978316334,8954.686290276366,8980.717116630512,9020.250409695447,9065.87954696113,9145.461262893656,9195.687116579691,9259.916121359454
Q50,9217.807070033892,9342.090133697813,9314.542051524577,9393.346421650964,9400.784339792084,9525.536344731001,9535.069111082557,9640.442705788202
Q51,1478.83989179916,1498.5089803404574,1488.6733240576102,1483.6922209056058,1512.945395808995,1535.7815634202195,1524.8996271705994,1520.2641742990902
Q52,5838.490995113795,5880.65795474175,5911.2521323548945,5971.315909483499,5984.013269595994,5987.830828705425,5982.631371317269,6004.345747927351
Q53,2668.7838040269717,2660.7350033976586,2688.256922580266,2664.3124430457124,2704.6339193645163,2721.7866129799468,2737.825335777123,2721.7783976906653
Q54,1654.8257483063414,1666.7589613092616,1672.1499017175834,1684.5179226185232,1689.4740551288253,1700.475559338874,1704.9968839511566,1716.433196059225
Q55,6894.136325445505,6927.816232380919,6952.391301521338,6979.772329421412,7006.288607752283,7033.071387440261,7059.772035866346,7086.49799577397
Q56,3006.8591254895223,2986.0704607047182,3014.035606340293,2982.754941066102,3016.4293735244555,3020.7674273908565,3036.523499303551,3008.821684755915
Q57,1459.4399386282594,1471.5943827478961,1473.0537605092418,1484.188765495792,1486.6675823902242,1501.0064863791963,1504.504742406715,1517.8242072626006
Q58,7290.393868269444,7310.6316304447455,7330.715824949161,7350.648908971119,7370.433262302409,7390.0711909383235,7409.564930457916,7428.916649200919
Q59,9378.68585016236,9396.64451347008,9413.875989923163,9430.380279521607,9446.157382265414,9461.207298154583,9475.530027189114,9489.125569369005
Q60,1413.2585286395313,1412.9099164696845,1423.0772377532771,1429.0787884581248,1436.7211472131949,1443.707972716719,1450.9475465420426,1458.0807500364738
Q61,2798.6576243398285,2821.3595216409867,2843.0536612849337,2859.4757560854323,2873.97712202202,2884.195931120829,2908.9309160983335,2918.2728184240973
Q62,2100.613500239997,2122.8785210553206,2152.038437437949,2178.425117815419,2198.782668658878,2222.7668814355648,2253.621485457503,2281.678698422009
Q63,2925.3664916310827,2935.4690229323946,2969.4277324487425,3008.930376786736,3011.8024231928925,3027.073511205151,3098.898852822921,3184.8823077766374
Q64,3195.5450216715817,3213.188464065687,3257.1283654625718,3275.7803255899394,3307.92801104081,3331.9640037276963,3366.8439232064916,3390.881451257875
Q65,4723.995291881948,4709.913211807356,4709.96390720772,4697.8264236147115,4695.932522533491,4685.739635422067,4689.957223026393,4681.708932396554
Q66,6234.370064741054,6281.006552468605,6300.699880993709,6300.741045322033,6288.1714461498905,6285.1169258589325,6276.426517935616,6267.936129198939
Q67,10832.706101589667,10869.095841969583,10922.310285758218,10973.844454704087,10932.607511345748,10959.71543779814,11106.847639585125,11291.030370426504
Q68,3228.2392022764207,3262.0916986418624,3286.0426037846596,3296.9787764392518,3317.415101917303,3350.4647214843753,3373.6127498288033,3383.7460456850263
Q69,1094.8433309743086,1097.7155976476938,1100.6162786277373,1103.5448709798616,1106.5008892642124,1109.4838646384035,1112.4933440205887,1115.5288893078746
