V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6841.210252525749,6862.753769486699,6884.297286447649,6907.340803408599,6930.384320369549,6951.927837330499,6973.471354291449,6996.514871252399
Q2,7514.096333804399,7519.347744704206,7519.410233041982,7519.4109766121255,7519.410985460122,7519.410985565407,7519.41098556666,7519.410985566675
Q3,7148.98098650285,7123.4603746281,7100.93976275335,7081.4191508786,7058.89853900385,7033.3779271291,7010.8573152543495,6991.336703379599
Q4,8042.468682371185,8047.992258388055,8048.07605059319,8048.077321714221,8048.077340997025,8048.077341289544,8048.077341293982,8048.077341294049
Q5,1437.137488862593,1534.67184826171,1631.911863070255,1729.337550610662,1826.6862095676702,1924.4553742778317,2021.9147160001376,2119.575245628466
Q6,9785.567474951427,9795.354528984488,9820.261162099181,9849.787374295507,9864.433165573466,9874.698535933057,9900.083485374282,9930.088013897139
Q7,3353.9978118935032,3356.144140595554,3354.2464334181504,3357.3560380123763,3364.7988032436265,3367.596465332937,3366.4208190186723,3370.250204055564
Q8,2600.3586437475506,2597.5838488305353,2617.450502529898,2638.608701545241,2637.382191840608,2635.1299957300575,2655.528228970518,2677.217871344768
Q9,2481.7388126295677,2471.873050212211,2468.0842519410694,2464.289458635879,2454.589971779496,2445.084024302473,2441.67006036326,2438.2498512672214
Q10,2563.4058674345974,2571.979687675317,2580.771460722159,2589.0311865751237,2597.0088652342106,2605.45449669942,2614.1180809707516,2622.249618048206
Q11,1158.7216072081314,1162.387217946989,1166.0510331334924,1169.7149215870313,1173.3788070509283,1177.042692636817,1180.7065782177278,1184.3704637988417
Q12,3367.013070581423,3370.888489183147,3373.999135994254,3377.7769783662943,3380.9852014070852,3385.069706898872,3388.375506169347,3392.3624354314497
Q13,1755.1697590028723,1770.5422452419705,1785.9177166592085,1801.2931656452877,1816.6686147999185,1832.0440639532828,1847.4195131066567,1862.7949622600304
Q14,12498.603656166839,12639.522041415208,12778.345094922546,12919.044082830414,13058.086533678254,13199.47504477348,13338.73689296182,13479.906006716546
