V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6889.038414700257,6775.128338744159,6931.373535764605,6977.500223476771,7048.371902612228,6934.46182665613,7090.707023676576,7136.833711388742
Q2,7104.697501914903,7132.513255762362,7156.752525393361,7177.875591369084,7196.28344774581,7212.325444379001,7226.30594340506,7238.490117148985
Q3,7158.395381617586,7143.890470359298,7129.651043757827,7116.776095560586,7103.669878800572,7089.164967542284,7074.925540940813,7062.050592743572
Q4,7682.273931304617,7685.8903541478485,7689.223050478791,7692.2907912953615,7695.111951759308,7697.704276248878,7700.0847234611765,7702.269371326139
Q5,1208.6448070034317,1333.903935057662,1199.353651712815,1326.5714236570227,1190.128262212455,1311.8283942693488,1173.8932203626714,1297.4614086721892
Q6,9766.716660777358,9732.70988215079,9785.829946399994,9868.948057926405,9865.613934450324,9832.956371570317,9887.425651566084,9971.892978839058
Q7,3359.736585178091,3365.786087823077,3375.9572544666053,3385.0698985865506,3424.934690277473,3441.740304510759,3407.7536259267063,3456.2805853118048
Q8,2583.156941578446,2561.4197227892737,2598.0200740154196,2641.9670550133264,2627.356956513852,2606.378897285985,2644.6663673268044,2690.0913186463235
Q9,2454.597112688924,2404.044749962274,2378.2696478023663,2439.2904167209495,2357.3799701239013,2257.8469377448846,2162.657553921574,2239.4354136321335
Q10,2552.2599400333784,2538.061967699865,2531.8857246195994,2536.3206531171277,2532.18711157231,2516.895657660601,2509.62593300214,2512.967379921473
Q11,1155.6215019961744,1157.172739177199,1158.4698954366495,1159.829815689562,1161.1742158109716,1162.522457285734,1163.8697471960763,1165.2172730028929
Q12,3259.20448122621,3323.402469524129,3229.114690430943,3282.8049390482583,3199.024899635676,3285.7389312212467,3212.466631489268,3288.672923394235
Q13,1735.3817047046964,1763.9077226250258,1766.570157135597,1787.1422010153424,1806.463131578654,1824.926121650983,1842.861913143179,1861.7055246753764
Q14,12219.679059919003,12416.344601466802,12347.708498285252,12458.407053217836,12461.455786935732,12811.727997449228,12867.08625097753,13145.67362459158
Q15,1317.6159844185513,1304.7281571760534,1321.9698510950698,1317.2594081382856,1324.2637807614344,1306.8208433258128,1296.4743532751736,1290.4253927869916
Q16,2060.8995489342356,2063.4409173694335,2230.868620632624,2191.1596525770296,2194.0531734065985,2182.894257035832,2256.406982952747,2215.1925363388527
Q17,2435.332622302963,2450.3683067252846,2438.0797552944796,2471.0520189174376,2487.768010270933,2500.6059236973924,2495.0170834058717,2532.376475141893
Q18,4928.660542912742,4729.829729654182,4893.592884479246,4722.328971945743,4869.5979350201105,4670.308825327439,4813.951507507436,4625.636789501389
Q19,5700.99002742165,5693.519508000719,5769.75794655927,5848.556635831578,5844.728465890457,5839.405093842318,5917.7571085618665,5998.63683673809
Q20,6294.406233004468,6268.121101443951,6222.23975207101,6228.155623492213,6195.442122560401,6280.490876100505,6284.33332513336,6441.643343020801
Q21,9932.94385169813,10155.574815515227,10251.779470637532,10518.604567804212,10706.48102608047,10929.0248654802,11025.933948507538,11293.338655121917
Q22,5176.139637665824,5213.470820317421,5241.1855612084555,5274.156641287089,5307.446485403333,5356.6372759501755,5395.50222329163,5440.332911265509
Q23,5930.894510411488,5887.930205090748,6032.057867046959,6098.4625644417265,5968.840024082884,5930.7734085932525,6059.690851830596,6133.808271315386
Q24,2347.7941620475453,2326.6805605616055,2342.3401385884154,2321.372398397802,2336.9921781578305,2316.0352969276787,2331.6521138194257,2310.696041008135
Q25,1350.14885669409,1338.4017759529786,1356.601447924758,1360.418737343429,1333.0933903136172,1320.5653478013285,1339.0330891101676,1342.7564285631167
Q26,6892.451085461791,6430.297961773845,6811.242803688059,8287.356862338442,6983.834875520212,6213.112781861062,7708.9879098913925,8295.019024984247
Q27,9192.053125824217,9187.973399392762,9183.760820705633,9179.415389762831,9174.937106564357,9170.32597111021,9165.581983400389,9160.705143434896
Q28,4978.769441267764,5003.777631632638,5024.739363779115,5046.328261000713,5067.819574137392,5089.32611655918,5110.830276776861,5132.33481027945
Q29,1880.6771009423014,1879.2977735956492,1878.3145805908227,1877.2550676536127,1876.2102608301293,1875.1626198733427,1874.1155251811265,1873.068325185061
Q30,3079.709983304133,3085.5670205950246,3088.6643931265153,3095.2216057066344,3096.813623389762,3099.3736715473437,3100.3888173020296,3104.429322392374
Q31,2494.3328838893613,2499.932629208227,2485.319869398319,2489.593463468531,2476.736304359595,2479.387143832106,2467.9328713967216,2469.370902092344
Q32,4804.2552201314165,4800.214899298908,4727.083601963348,4772.247845591714,4886.503065723131,4882.462744890622,4809.331447555062,4854.495691183429
Q33,8231.88205648035,8274.468606111906,8286.412429686909,8328.229980861208,8340.23557153086,8382.96797999005,8395.035337754352,8437.51685553479
Q34,7197.304276118512,7395.015172001533,7277.9893057815225,7355.143653341732,7358.136657950064,7551.569103312293,7437.034166754548,7512.081903588315
Q35,10102.07470511566,10229.72347565998,10221.818059697505,10151.937830028797,10215.996210907091,10341.431858489608,10332.129369272208,10260.690913743772
Q36,9091.709078387805,9217.900001552809,9191.210022070098,9311.242411615107,9287.821781804629,9406.11858818344,9383.619318652156,9501.427007147937
Q37,4961.079002665925,5302.16810541981,5643.267308261654,5984.376611191458,6325.496014209222,6666.625517314947,7007.76512050863,7348.914823790275
Q38,6072.684222216678,6349.377458344828,6298.786831259186,6384.995962371107,6499.407257664408,6721.839189628272,6576.762773687282,6729.349970266903
Q39,5970.774609002492,5991.502432125674,6012.183469369546,6032.817720734108,6053.405186219359,6073.945865825301,6094.439759551931,6114.886867399252
Q40,5231.109622990232,5237.300692901224,5269.759415763591,5275.9504856745825,5308.40920853695,5314.6002784479415,5347.059001310309,5353.2500712213005
Q41,1926.3656711301453,1930.8508206543156,1935.7003069214402,1940.4370499019233,1955.1972108345165,1956.0243644078305,1954.7847531478665,1955.0412324527645
Q42,2109.4545176712213,2123.07467587843,2137.013274790513,2150.458227233574,2164.460239178841,2177.8822402492847,2191.8925590910776,2205.311553608012
Q43,5446.64359658155,5465.333794570436,5488.232594693777,5506.922792682663,5529.821592806004,5548.511790794891,5571.410590918232,5590.100788907118
