V1,V2,V3,V4,V5,V6,V7,V8,V9
Q1,6955.374041473003,6760.754046355815,6832.097086822124,6719.9591855159715,6857.166491424175,6662.546496306987,6733.889536773296,6621.751635467143
Q2,6911.84814453125,6868.02734375,6906.8779296875,6892.59912109375,6863.201171875,6962.0927734375,7072.7001953125,6911.84814453125
Q3,7188.4391689495,7074.863653202429,7068.41814758338,6956.111491699591,6973.049062271491,6859.47354652442,6853.028040905371,6740.721385021582
Q4,7561.72705078125,7500.29541015625,7445.6923828125,7548.95703125,7581.28076171875,7587.2626953125,7675.76025390625,7561.72705078125
Q5,1224.7900772094727,1493.0962600708008,1043.1037368774414,804.9551315307617,1210.2708053588867,1336.2626876831055,1631.6164169311523,1773.7077713012695
Q6,9863.596022033691,9874.748784446716,9978.68036403656,10079.456281089782,10171.652303123474,10182.805065536499,10286.736645126342,10387.512562179565
Q7,3361.3982414245606,3368.4580973625184,3381.097928905487,3389.6772517204286,3432.831224346161,3452.5516127586366,3415.1242484092713,3468.1388586997987
Q8,2611.850556564331,2606.6870920181273,2659.776947212219,2717.5390283584593,2726.6895849227903,2721.5261203765867,2774.6159755706785,2832.3780567169188
Q9,2492.219440412521,2493.21290667057,2519.142517876625,2538.738709282875,2546.583961319923,2543.6304922819136,2569.5673018217085,2589.1634932279585
Q10,2545.3213623046877,2552.6660793304445,2587.4607303619387,2593.5272205352785,2583.548582839966,2590.893299865723,2625.687950897217,2631.754441070557
Q11,1172.584447479248,1146.6196743011474,1156.199045753479,1150.8875537872314,1140.0461736679076,1160.3642049789428,1145.2643438339232,1133.807718849182
Q12,2918.6392517089844,2976.950626373291,3324.426944732666,3513.345157623291,3398.0567665100098,3136.642978668213,2485.206027984619,2558.4568214416504
Q13,1730.8817800521851,1724.8361982345582,1767.274026298523,1778.1216320037843,1798.0366348266602,1849.0270980834962,1864.1811250686646,1888.11652507782
Q14,11971.16000366211,12812.95132446289,12811.214357733727,13169.841860175133,13241.617807745934,12692.728525519371,12294.673258185387,12793.31186902523
Q15,1387.2773895263672,1342.37015914917,1455.5307731628418,1401.006103515625,1491.1680450439453,1470.9577522277832,1429.9088973999023,1454.8717021942139
Q16,2051.179002761841,2043.3666615486145,2289.8412556648254,2218.8138966560364,2219.117206186056,2184.854060739279,2275.58483466506,2208.395900338888
Q17,2485.8741020202638,2570.403360748291,2588.426659011841,2676.4893650054933,2715.463467025757,2799.4280208587647,2817.526859664917,2909.0956386566163
Q18,5228.160827636719,5394.220077514648,5556.911956787109,5396.129333496094,5309.893577575684,5057.625663757324,5562.603324890137,5236.143669128418
Q19,5895.901565551758,6035.905548095703,6228.315505981445,6444.288635253906,6633.190200805664,6773.194183349609,6965.604141235352,7181.5772705078125
Q20,6299.954735279083,6268.39768075943,6216.530985355377,6220.597220897675,6183.612208843231,6272.600848674774,6272.0889048576355,6441.852790355682
Q21,9965.879104614258,10217.589172363281,10312.555862426758,10602.78874206543,10818.667846679688,11070.377914428711,11165.344604492188,11455.57748413086
Q22,5226.249885559082,5176.000942230225,5262.382083892822,5482.993045806885,5334.08182144165,5358.138620376587,5388.345232009888,5432.3334674835205
Q23,5975.044703674316,5949.802754592895,6074.6475269317625,6182.698041152954,6098.455434036255,6076.863841247558,6185.665827941894,6256.411143493652
Q24,2361.8924976348876,2343.1730514526366,2347.365960216522,2310.3264323234557,2295.7157155036925,2288.464706516266,2355.4688416481017,2276.5368653297423
Q25,1314.8873565673828,1348.6569755554199,1317.7942359924316,1358.5824096679687,1298.7327735900878,1287.0874851226806,1350.874369430542,1329.430163192749
