V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,35425.54923579219,35496.17565429918,35548.175135104146,35613.6531647782,35668.9306359533,35571.71673373725,35613.224171862494,35868.91898553689,35881.374843321864,35837.48491952988,35838.32617298403,34980.66824747684,34999.61197944394
W2,3536.2371046156086,3534.626165266187,3529.113619016124,3505.008254561688,3550.9519932614967,3543.7941664565806,3530.923329562729,3536.2612594234715,3559.3032753126504,3577.3470135159505,3487.377367910369,3416.8340258947173,3371.1510052237672
W3,9609.501506739629,9844.502665606638,9832.043868945186,9674.554016184473,9647.957257752072,9929.175602892336,9954.107871866398,9817.13257343916,9690.834649765255,9931.903680253085,10045.637699828081,9939.144997881132,9755.099337940203
W4,2304.09347274895,2327.950441168066,2373.562772675073,2544.1886433693753,2571.044967156915,2579.901705244544,2608.5181485540293,2813.0191631121406,2985.3054944583882,2839.7182094045793,2969.6447368049444,3213.6369748249676,3679.190698803911
W5,1937.5035654086287,1963.8630313617857,1947.154441254743,1953.452618595558,1803.5377566454365,1880.9905440767989,1804.1721018596563,1900.51590273584,2146.670765066194,1988.5402713335532,1919.238403401787,1654.2573534585956,1573.2756199471878
W6,521.982139773678,521.6421944826552,542.5657410924333,652.8248997480406,674.5966124917014,719.83758596482,740.3255511396992,820.6811632595394,1068.9715951433568,1574.2726247991307,1358.9680650918885,973.1574753707766,849.9244174182239
W7,3087.3979579748284,3047.5108713836416,3205.0140845501,2227.4220786909627,3713.4364174414613,3367.8639868667733,2912.6544498545086,2453.8493397222683,4425.5117617283595,5664.396572981157,3627.185920602434,3148.584761055882,2929.6921620155745
W8,3674.7321552428457,3868.172409641078,4478.402105188441,4058.4519729837107,5496.448750173051,5103.011097880724,5099.169001179275,4779.349441678513,4459.005923434166,5381.818934983368,4641.1227126002095,3965.1894233361068,3580.5102533029867
W9,8214.678514740908,7689.645474952692,7811.361080098313,8200.315100811069,9638.43948861886,7818.321673614097,7877.439894770904,9054.04839536426,8103.813032616372,10401.70547057772,7460.216237603829,6865.108422206778,6863.87008876063
W10,5112.205012331202,5105.0388205496965,5080.1766503888975,5147.5124589830375,5233.049132536364,5332.708927766883,5442.850137102662,5417.22119771394,5403.874211212375,5371.627129399152,5342.188451145093,5324.64854019673,5311.199332893846
