V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,35440.46534901367,35505.150003276416,35556.4171729634,35608.77075644935,35661.5770976522,35565.16803517793,35606.11972168654,35857.75604168982,35886.695941538754,35862.17627211183,35834.39949005386,35007.42201526179,35018.69768543901
W2,3536.102500262123,3541.174482119251,3530.918606146065,3513.6606086230836,3552.7943305616077,3546.800567604554,3533.0565729757586,3538.1293040212813,3564.118719328211,3575.7385643288826,3493.5269435580053,3422.9815183848855,3381.871547527972
W3,9644.678336941519,9889.949399724446,9865.010469176115,9690.250401806039,9636.574484854918,9918.065787515634,9935.314521629953,9796.203258164318,9652.343273711313,9899.689932227097,10029.22735292627,9918.63520045328,9726.279702929294
W4,2259.1351458658714,2250.288780757506,2250.468153160811,2371.977906517728,2394.5792042132807,2350.3204306979615,2412.4170895460366,2455.4406711519405,2559.221275776659,2564.796482635601,2663.9283465227068,2751.6874038355513,2949.634584513841
W5,2037.4177459920706,2059.859830059625,1860.3069846345509,2008.9078539904647,1785.5932799987283,1939.0609724690098,2089.5635658555766,2087.7072118827746,2254.3796742968516,2066.3167882421194,2053.081262977693,1716.657385136894,1578.065366815666
W6,540.4399671606172,507.57398971519393,494.29846684017286,605.4415266462381,587.5795846948033,654.8262489894355,654.4732658245575,728.0544545858223,987.1770773518558,1410.267777890898,1216.969629657192,795.3741062252029,744.9383438989382
W7,3129.6445497976,3102.2557089820584,3109.990556148717,2161.985342864795,3725.038876995454,3350.87087961102,2894.078096163311,2494.9150603909707,4205.520566629043,6025.473841342109,4061.219949136226,3501.334730892783,3264.168191936018
W8,3672.2247357094257,3864.8290157517195,4472.165701320186,4051.805247040696,5493.136047303341,5101.193685100954,5094.083228975378,4770.408597615399,4454.873944546733,5382.427239798674,4637.960068348419,3959.46650455908,3573.063780156758
W9,8046.848752821734,7830.3446561815,8409.02565525629,8018.220321777224,9209.561440397005,8898.604648673543,8639.08734203012,9785.657382174757,8998.952873734917,10325.182891685336,8366.385430454906,7650.181094876291,6885.247208497659
W10,5111.602578071821,5102.378456409564,5083.992778734781,5141.566280298501,5230.314615566337,5328.561042841032,5428.869601813391,5410.292673678663,5397.345220842252,5367.567046430111,5337.305326787909,5318.049758708921,5300.824584425726
W11,328.98318155697734,320.3781243825196,304.31473280641035,306.84403305229944,312.50682681419227,313.85409774554546,295.11788178003343,298.6880215100401,298.2462539625454,309.224274437555,287.8716677173256,282.69841536915993,270.1846820476829
W12,1041.2612843067154,1035.8787289383774,1033.1438077167404,1033.2745802275354,1047.753609871379,1044.3821131449636,1038.9002880421692,1032.0512077070998,1051.6995998930774,1043.2992370836691,1030.8489939200608,1029.1563614591412,1023.2694327149125
W13,2469.9848808933307,2472.076698934395,2478.799340250125,2476.121036642192,2444.1422338958287,2470.057533275573,2494.075402090957,2488.4910181188584,2462.2802749077555,2449.749408806304,2523.4880229835435,2575.2609574038247,2593.0390590569996
W14,2425.7810992484865,2448.627664703358,2460.861544528245,2437.9505630844633,2412.5885276450044,2449.8472704854134,2471.546524992181,2482.1818165903655,2414.8897168439676,2423.1543762175415,2498.880485260748,2529.5038377944575,2480.756000520817
W15,4542.988056863273,4316.684412929492,4525.318821340231,4549.058047075634,4433.125107379818,4588.9108937070605,4679.919445488006,4731.917317437861,4265.586587239272,3872.0876783441026,4533.9471521335645,5844.432721839873,5528.55198004739
W16,4747.018694069053,4653.504320436129,4725.238000199757,4704.3992813196055,4671.1886150086775,4756.581319835307,4847.57873931435,5049.322831366093,4718.185833012783,4661.287086520408,5466.045242267987,6128.448784052443,5889.348633487792
W17,12015.269215111906,12010.512985914605,11986.916178057974,11974.147401064038,11965.251231260656,12053.89769613558,12063.282484356743,12075.030350674053,12083.772503229835,12088.74993467838,12091.644588339062,12102.026823166592,12085.681958607165
W18,4362.94149334897,4364.151943156083,4359.348769692232,4358.602754395081,4365.56810967002,4161.2846372255935,4119.591128526837,4143.035226606161,4122.790684845029,4114.311002587243,4110.1200359521345,4088.2495834264523,4101.537031529535
W19,2583.5581491575367,3226.690332643272,2996.5063530255234,2784.7778804347217,2492.5235434402794,3232.447349456143,3571.663527212321,3104.9176342831815,2843.3701851893998,4397.221900950718,6703.104606245321,4651.039803778231,3428.921573396096
W20,3897.8285797920994,3766.736690825544,3691.1982857710154,3680.8699880755107,3731.0858444136475,3823.7404395950402,3931.3575497971874,4023.40644514582,4073.4078421669647,4065.185849576076,4005.7278550785295,3897.998356544157,3767.3223485897383
W21,2363.2638507905704,2420.4447690215593,2396.3602892907516,2751.724094408639,3265.30045111935,3009.163204882274,2632.351433052374,2670.760956936658,3247.9488195696294,3393.6240622474393,3697.3017166472314,3158.3457977942007,2709.7635205667007
W22,3796.851629816112,3892.8793472416037,4064.942326198473,4324.696325519033,4251.843512635735,4535.715823557457,4475.539928935628,4532.260668444678,4336.13297740558,4134.937308646611,4550.855433611831,4548.401403979185,4225.748407111698
W23,744.177538624816,795.395384762026,802.240976419857,780.0375456498641,757.1686052155608,794.956724361134,844.4351526549125,836.4246815428232,766.1521365739168,799.0912714323492,841.8481492580007,812.1066405365434,742.6564029772142
W24,7073.279801990174,7051.31617021456,6823.224403081432,6958.714306316171,7017.4403411646,8299.129861084533,6990.89872813718,6687.09143254596,6435.580505729713,6829.944139711031,7199.141842136893,7896.544294025822,7752.293053795679
W25,1652.6657420623706,1813.2920002831088,1941.8519678258513,2164.775055798428,2371.194698477643,2495.8444017804995,2447.3752435304973,2409.349704464362,2396.4840829612403,2381.866020439915,2317.819362854476,2173.6931009547106,2028.187820799536
W26,3318.703764570844,3304.818909017794,3498.7370362134707,3815.8165616822807,3953.0321561402716,5059.316519517904,4671.175375656272,5201.75775895043,5350.349262505032,5664.703431936156,9101.920867351746,6374.309308440987,4384.23971605846
W27,2368.195041052679,1734.9478487121032,1947.9399021817396,2236.562043245484,2617.7813720683644,2870.307471922774,3131.520479855375,3068.9119595743236,3185.4276631427556,3048.663758909984,3614.155414510752,2978.1955189646737,2702.183847041648
W28,3530.8721479519245,2962.894575159916,3059.5689467591023,3845.5459471621984,4294.122240588989,3849.9687047334664,3345.518766383541,4288.370200745688,6431.866596416025,7061.588263925342,6635.5727368024245,5540.90255185593,4712.559036374701
W29,832.0312957076326,1000.2418880671912,994.8406980614792,1031.448064254434,1055.689902595423,1398.5380905239263,1425.428860702853,1369.617725096629,1266.9118500230427,1507.6799595397129,1795.6397390634515,1500.6449808548973,1301.644827584101
W30,3745.124333629039,4144.129187986071,3922.4623537788043,4080.143428125093,4098.030346385634,4716.289014370058,4395.260928905058,4610.9244691778085,6354.708933383163,6249.657472181843,6186.587813381948,5439.212671521739,5066.7135702466985
W31,1123.4507793472148,1127.0791683165248,1237.4487496480288,1538.6311967257059,1563.414411146405,1766.2488933812888,1615.0052728705705,1740.3713742826426,1599.604544066945,1422.0742686699477,1327.8277050886447,1142.5486426537407,1091.9124765316387
W32,4494.096264317349,4636.892091390426,4882.954120609873,5031.866563431933,5245.901781271181,5600.8414446570805,5653.0551839004,5646.761037140755,5742.207181770736,5700.605353548806,5659.527181376989,5269.901896501529,4979.173945110929
W33,1742.7083887698743,1850.7610429390486,1880.559254138107,1992.1018188051098,2867.101329687526,2439.6195112941905,2201.333097899229,2495.8160014483346,3328.929987487315,3728.2837435590386,2757.8165715380565,2125.3568797670473,2286.81401177204
W34,1425.5007929039423,1591.047472004571,1695.4444896422028,1641.931162304299,2007.5029735764422,1940.3546341942956,2170.879252047177,1879.8934552060934,1809.1706066641964,2402.180809115428,1912.229035688112,1722.321013754321,1555.9447521644706
W35,1426.6585677233406,1699.7241059485386,1574.3312082110574,1240.0999248409578,2269.950947456571,2583.976535944338,2158.79495812207,1709.9456124146761,1779.4083054549833,2945.2910775895857,2728.8633297456463,2221.216310968029,2196.308778129376
W36,17436.108966936983,14409.23059805421,14921.390149777415,16865.856113788417,17683.735920481424,16203.331592181275,15049.75753105923,15775.282033295704,16067.732190665753,15238.05099139899,12253.054496019378,11966.03701999942,12826.455696014285
W37,2911.8578781294545,2913.7642790515765,2911.1056576869914,2918.208869814279,2943.0741358058185,2969.3044316487812,2987.4996826889933,3012.849400684849,3035.7840617065267,3048.528486704844,3050.1826384357464,3053.349173657153,3059.0115072931662
W38,3090.0582017451975,3086.5890226942183,3105.723275993374,3088.095117104756,3073.5806893421577,3091.5802994621854,3091.9910191097815,3094.0782481171454,3103.148528353418,3123.805366472332,3118.657015224105,3109.4432624208116,3109.4722507686065
W39,5815.336848801347,5815.877232428001,5792.740812422421,5799.261848348473,5790.305314902922,5742.250935167731,5722.280517553612,5716.252100138363,5701.766686326239,5703.223455091495,5687.883677783933,5663.463291464062,5645.03252416429
W40,5809.372104733393,5809.163917698795,5787.592744773481,5794.006083337588,5783.505528888825,5735.180101490827,5716.695828166533,5711.11112460936,5696.367400331389,5698.241970391364,5685.291367423699,5672.482291263627,5655.979884785549
W41,6195.969153116641,6219.500752462521,6233.902627241921,6234.729429668691,6228.711077543205,6238.872477807391,6247.108258312441,6245.06513991827,6243.710287813104,6258.678897407598,6256.352640726311,6240.161473510682,6219.405725336961
W42,6193.204440733516,6201.949074448896,6205.81101730834,6210.310536613167,6208.58137005172,6219.295085564056,6242.4532761434175,6238.038065704291,6254.717563190974,6280.434694164106,6285.381453362315,6284.162385195565,6271.4630576541995
W43,6193.280784909849,6201.904545016837,6207.163397109249,6208.72930238593,6204.491906111944,6212.085028461661,6219.904922526745,6217.572305665008,6217.253081867577,6229.151945045584,6229.409252590332,6222.885293775678,6212.651114882218
W44,5833.775684733575,5823.821713489156,5830.2245548241945,5829.500052594427,5808.187178907137,5762.415666494061,5761.529027125231,5773.874047170228,5766.432385462838,5764.905028843468,5770.258788544754,5771.957736304471,5767.433798208272
W45,2873.3459983445605,2867.076779645146,2861.197866233788,2855.859790222957,2851.176755277374,2847.64700622697,2843.4100399553595,2838.7773677681867,2833.860959562718,2829.6977996241,2824.1357458036146,2818.3241261899348,2812.4014809121404
W46,3332.7376331647524,3296.9928558384613,3328.6550567696586,3311.311710001312,3325.8361076755314,3340.3408188711555,3316.2239407035177,3334.4932973245736,3315.5935901477933,3352.492875736526,3293.2497343488762,3344.952935919621,3290.8335043409925
