V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,35474.012503996084,35525.33380528535,35574.95396718914,35597.78995290719,35645.03858755942,35550.43965371261,35590.14142441955,35832.64997003823,35898.66338264791,35917.70847540702,35825.568165239325,35067.59270322293,35061.622482767576
W2,3535.799767704341,3555.902005106109,3534.9781209868484,3533.120226443807,3556.9378479792463,3553.562128324353,3537.8543541624213,3542.3306385583883,3574.9489164647284,3572.1210740779825,3507.357675751056,3436.807565442779,3405.9826338971134
W3,9672.158379748336,9915.880308976251,9881.136932483516,9704.798775069166,9663.852504288,9935.410609322962,9966.565543077648,9825.3730507039,9687.954253359661,9915.812794975278,10057.38976866714,9959.95936810623,9773.883283816054
W4,2303.1946072753485,2262.742122685803,2286.5103922668613,2407.4394106537225,2412.9766134159236,2390.3287844550255,2413.6944571258473,2442.0672536473035,2528.9072166188475,2551.261400570784,2590.624849022114,2658.060340016772,2783.838449165685
W5,1876.3147791521944,1992.544128073137,1835.5940013054455,2149.4977426744645,1988.2559249420258,2044.210872035461,2219.782864348482,2012.8227194676076,2208.3881963110507,2198.6806211494195,2259.8017560380217,1963.703970517096,1740.6338724113834
W6,516.1625245154773,528.7707739984639,510.41471593519054,502.90339863734863,529.3761873440549,641.2442010137015,618.6537519136549,746.6284933368132,987.4054767985077,1221.057853129354,1108.4140620615449,939.419326955509,862.5592396105164
W7,3146.2586162982047,3127.068944038287,3125.9031868586108,2970.276656470681,3533.4539086306677,3448.8493307348385,3324.716258344289,3278.521965735945,3845.654415055745,4242.62850108458,3518.732252185936,3305.789232487343,3212.615479740728
W8,3646.710945191812,3783.2171427586773,4461.834121892363,4050.5314027053782,5498.087508595008,5076.604791580237,5102.6289466729195,4755.428982060506,4390.928264495187,5372.539710653384,4651.8884463188115,3991.3700699061587,3596.1793581520024
W9,7967.911249381428,8047.246939333222,8282.632259009306,8378.981031564075,8752.221476387112,8596.514539820459,8513.60165071502,8693.294868954688,8561.12246510327,8570.108896631338,7921.028225760054,7585.627354724302,7458.937936886597
W10,5110.260978374075,5096.453919963114,5092.491161015779,5128.324351570699,5224.224943401552,5319.3238504401215,5397.735446299614,5394.863096746743,5382.805391191575,5358.525385868384,5326.430782288441,5303.354506718077,5277.720388088519
W11,329.42767494794464,320.6552610972527,305.6382948529789,308.46725152329634,313.7145314614485,314.75698101792153,296.8895859255506,300.25377334174595,300.95250300063867,310.49428613759903,290.584950404932,284.1875630099231,274.04388191156534
W12,1046.4131972734674,1044.8063241403443,1043.435267498251,1044.9720839723213,1055.7117307990247,1060.8896394952274,1062.3047299312136,1059.5531358766946,1072.9099787173502,1064.2669455619525,1055.6737926382696,1049.3586306139073,1046.584005566658
W13,2472.38334428183,2496.4577876359476,2514.5536384683373,2541.179893984506,2515.7749168841638,2531.883610541347,2545.27046955463,2531.1850057929446,2500.4964135930413,2472.957408044205,2531.3210136688717,2562.6873120775476,2576.0466348492014
W14,2433.930054017035,2458.680645892556,2477.6785752122196,2456.711764718388,2441.101266055835,2480.511182809416,2500.83917084556,2516.0466895723785,2455.3713315657155,2464.5544433496393,2539.184096847613,2568.477111379841,2527.3842400129784
W15,4780.350388500795,4861.7617582920175,5031.667178671023,5122.656992894054,5063.733563564431,5186.811268791265,5274.777513506409,5564.878537077124,5066.641745963721,4912.080801513102,5562.291360991814,6030.8469642152795,5791.296048795702
W16,4890.356399168591,5031.763549741699,5080.469855869029,5108.346768557651,5078.9019238669225,5165.837277344783,5300.944412282959,5592.874241504212,5151.412232610389,5049.548583898746,5667.10107372512,6107.8491466864925,5917.437874794069
