V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,37485.167499999996,38056.21,38072.775,38092.16,38184.442500000005,38229.2225,38194.832500000004,38345.255000000005,38825.345,38280.7425,37814.555,37291.335,36999.33
W2,3831.5699999999997,3852.4288333333334,3833.7166666666667,3854.511,3905.3036666666667,3903.0558333333333,3881.3252499999994,3864.048833333333,3837.17175,3823.8733333333334,3799.622,3774.4972500000003,3780.5485000000003
W3,9637.475,9828.925000000001,9830.325,9683.050000000001,9635.850000000002,9857.225000000002,9898.350000000002,9790.225000000002,9685.275000000001,9844.550000000001,9962.375,9926.05,9777.949999999999
W4,2357.205,2419.73,2519.025,2747.69,2779.5699999999997,2851.2,2840.26,3235.5950000000003,3488.835,3164.585,3330.915,3759.55,4541.36
W5,1749.0,1861.1,2004.1,2160.6,2226.1,2203.6,2270.8,2206.0,2210.0,2125.2,1951.2,1884.5,1789.6
W6,516.0,567.75,623.5,677.5,766.5,783.25,823.5,937.5,1184.5,1685.0,1416.25,1194.75,990.5
W7,3673.5,3427.5,3436.0,2362.0,5729.0,3853.5,3443.5,2240.5,8289.5,9699.0,4479.0,2941.0,3281.5
W8,4586.666666666667,5505.0,7158.333333333333,5096.666666666667,7305.0,6021.666666666667,6103.333333333333,6236.666666666667,4775.0,5190.0,4728.333333333333,3738.3333333333335,3365.0
W9,8154.0,8543.5,8858.333333333334,9264.166666666666,9380.5,9764.333333333334,9828.833333333334,10231.166666666666,9919.5,9727.0,9514.5,8985.5,8425.5
W10,4766.091153846153,4777.014615384615,4787.976538461538,4782.205384615385,4787.122307692308,4788.350384615384,4769.24576923077,4787.035384615385,4774.665,4757.567692307692,4729.086538461538,4693.653076923077,4658.596153846154
W11,320.44,326.835,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44,320.44
W12,1044.1315789473683,1046.342105263158,1044.842105263158,1048.342105263158,1050.1842105263158,1050.578947368421,1052.2105263157894,1049.6315789473683,1050.921052631579,1046.5,1044.3157894736842,1046.7105263157894,1046.5263157894738
W13,2467.505,2470.2335000000003,2547.326,2556.556,2549.878,2586.4705000000004,2604.1560000000004,2634.7665000000006,2631.8975000000005,2458.0730000000003,2542.1695000000004,2637.8765000000003,2672.3585000000003
W14,2430.141,2470.1083333333336,2508.976666666667,2499.0941666666668,2533.5443333333333,2557.5695,2573.805166666667,2584.2861666666668,2551.841,2548.2214999999997,2543.8736666666664,2546.8329999999996,2519.2619999999997
W15,4915.165,4705.415,4857.15,4800.545,4674.95,4886.975,5086.490000000001,4815.89,4545.29,3885.965,4393.365,6271.719999999999,5984.74
W16,5231.885,5167.8925,5159.145,5089.5775,5154.007500000001,5221.710000000001,5350.652500000001,5306.167500000001,5317.897500000001,5350.840000000001,6105.277500000001,6545.497500000001,6400.680000000001
