V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,36268.037623962824,35805.930726423045,36262.639051122926,36359.201742822006,36576.81744881065,36686.97912227815,36809.18194806384,36984.87265894149,37017.626199249244,36904.4626720842,36592.3476674908,36550.17034058114,36970.503379599686
W2,3647.7372863465757,3683.679299912379,3693.574469584048,3715.6998980322596,3732.388377944374,3727.386747435819,3712.8101890802754,3704.9957590889335,3705.0123489155994,3681.507721690331,3651.177019096454,3660.562094164373,3651.6389955644563
W3,9590.28243322125,9856.933819756176,9847.469891694916,9674.766680101919,9642.942534772354,9892.279478998611,9917.177961919802,9765.449368995478,9630.063521433594,9842.623678001923,9963.551633128283,9872.632340918284,9679.1234433383
W4,2240.7950413518365,2277.529500814585,2436.9977041716775,2516.3548253759727,2682.352615027196,2733.9520280420397,2763.342851951399,2806.3318314751878,2951.5235095659696,2935.872652589833,2926.3134413845323,2851.6995652613246,2926.1239978106223
W5,1762.0875219095626,1911.8750993209326,1975.0341851943654,2044.1453241533502,1998.2791407293316,1900.226940181358,1678.1209892372558,1809.9795549936596,2259.6963841911634,2115.911980677385,1896.1024493346263,1600.546925955421,1517.0230656239585
W6,527.0439503514056,482.6278975064404,474.0829066321846,631.9459687656133,596.8322076769874,666.1809279350524,669.9471713348295,721.8344552483806,971.2167910338896,1480.580230398395,1310.4987355542564,785.6561083768186,730.9758475413365
W7,3211.1778975227903,2874.689224930351,2992.389048485415,2569.316041506252,3621.4728783707337,3596.494038835288,3264.424767725593,3089.3999178455692,3913.3283241582208,7424.064705158413,3848.1515052517448,2931.237638637832,2711.809035762529
W8,3568.4888035868416,4579.69643912486,5504.197538096275,4897.769069378251,7052.978796817215,5937.477951565501,5751.54004575951,4822.4374186436735,4830.206205319254,6567.0206470663325,5695.317541804426,5076.179019935697,5152.513808594236
W9,8158.372090182475,7625.905598468983,8304.773710486597,8751.714867937866,9660.310946357557,9161.794847375622,9261.58426568702,10479.458562615695,10323.186290896108,10715.797118227145,9072.5069833461,7905.588336201826,7227.699217339823
W10,5205.301780017324,5253.103171767936,5387.764526738987,5455.904853094296,5511.280453503518,5572.475844624788,5554.727212410362,5666.8295799443285,5654.915533614574,5650.487783784239,5650.487783784239,5620.832063190569,5608.999911774499
W11,365.0609833354435,330.09319267261475,351.74606495318216,359.26277670061006,394.80443037054204,367.79348045845103,368.8387708768182,367.79348045845103,367.79348045845103,336.67316989100436,362.4469966598279,364.20746497173377,367.79348045845103
W12,1031.860378244583,1030.095363593124,1029.0658014582118,1034.0299980713235,1063.997103274581,1062.8889619955428,1055.2028603036006,1049.167464360436,1065.6040797672665,1056.566733178607,1043.361566669759,1050.7864697765983,1049.657772886774
