V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,35499.27445179545,35497.159311207324,35521.35304931184,35524.13737409858,35534.559961469604,35410.65828085172,35453.84778153955,35656.28254220726,35690.75958569328,35645.467515428936,35591.10886072106,34860.17327124376,34841.423931676785
W2,3557.0603874255557,3559.615044960458,3510.9039222354427,3477.802055403547,3502.0519577210507,3502.587883272189,3440.4241614821744,3396.304687759825,3441.8105714993385,3466.2715993217726,3373.7523698035416,3247.9328169345076,3187.7367209495465
W3,9671.062787083674,9922.788635794177,9888.481784543239,9702.321651304595,9632.753381737728,9913.126329795909,9927.208074142001,9786.440920739238,9632.037407917858,9880.911891524927,10022.262779249433,9910.72970923377,9713.80673512386
W4,2259.116188038986,2250.286615230769,2250.4562310435426,2371.9595051468555,2394.5563059651454,2350.297878941313,2412.4045245994066,2455.425420528909,2559.199137242231,2564.7598077393072,2663.900482822543,2751.6627372575153,2949.604509753336
W5,2004.9360453511658,2105.414191545254,1795.0271488851015,2108.8359721164466,1933.0816605665532,2042.9193774877758,2260.4468911277854,2216.73456125199,2412.92951002476,2241.7430664830777,2169.921287717112,1765.2142806460402,1591.855869821696
W6,568.409437294976,559.6587990237258,536.5064242904684,550.1030470934257,568.2610838411233,631.1188770013478,622.165383250551,741.0411571394262,1020.5004717506446,1263.4627933577642,1021.690721655052,815.6642607134563,774.0905635801264
W7,2739.08272638318,3028.3739745467474,2887.315457045805,2105.0147185943542,2549.279974752134,2575.5710161209627,2547.280779210912,2352.6355513848393,2996.1707765816755,4405.391184202439,2777.2972021102964,2593.2632337867262,2320.35038160722
W8,4204.311124879052,3715.64151572228,4461.008892008997,2982.720611376923,7195.8254178861725,5563.812793363769,4814.698113894675,4017.9535456228905,3221.577615989437,4950.979213455113,3736.39399102883,2929.016060615855,2910.7744015736216
W9,8553.281942288158,8134.1600188209995,8290.020752797178,8158.713204792089,9926.862384387894,7723.826896917908,7825.827209533757,8750.780834560952,8291.757414041514,10270.501783318863,7765.134737747049,7418.511519190916,7058.119731534349
W10,5152.874496500828,5143.458276288998,5113.0777556321555,5184.8196538848715,5210.64752017893,5284.146468479517,5367.280751669423,5319.510165417308,5281.31040091868,5298.664721961331,5383.419703894019,5477.104622305257,5557.460618412955
W11,406.70086817395975,462.99720765762027,494.4833530100963,536.5199793157278,583.3964259313916,621.1077314638759,631.276999885439,662.6052014331376,683.164531828525,722.8596482572304,730.1052285599849,758.2051298420906,767.8256027799432
W12,1051.2921244573515,1042.0496249060163,1037.495072227016,1032.4685434915125,1030.4216756154099,1024.6351609591627,1021.5053161833068,1013.7880282505522,1036.8634113306227,1029.1427151858943,1017.4979811244972,1006.0768670423945,995.1128677673315
W13,2488.9515235715726,2513.5810596616643,2533.944215212031,2569.2184751968643,2553.529516042063,2575.211881978053,2599.485917701124,2589.065383889858,2553.442967816114,2531.0752491646945,2604.358112702659,2658.057143681345,2672.334758135213
W14,2469.6609714879573,2506.3161501166846,2537.6341233315216,2530.210466099042,2519.3652536116865,2554.5528380988694,2589.8999360511216,2601.0091150942726,2564.926765269799,2598.4104929038613,2635.2390363531495,2668.756286150159,2633.677284095659
W15,5297.180470873942,6438.152692623573,6369.453163447106,6817.531355181962,7265.604244180737,7918.604429197803,8366.76532972752,9487.317417270559,9418.617888094092,9349.918358917625,10519.91104013449,11065.667533942953,10996.967999325714
W16,5260.156971499553,5493.069546745325,5527.143833789925,5488.524086946532,5476.581685032587,5507.311390909448,5637.206799326454,5877.949755800333,5687.973250428884,5667.143517840063,6173.118074666881,6523.611001656011,6316.338026006053
W17,12012.72788262794,12003.635403768341,11960.788801189434,11928.134855892977,11915.18806068813,12014.904041135567,12047.472326667425,12052.34287303064,12053.435005974712,12058.032221591058,12061.035963761611,12064.049892442888,12038.744566283185
W18,4368.124698640637,4366.068967156998,4362.394763127752,4365.464628346004,4380.434099510959,4166.6037016853625,4119.8631464901955,4150.812541189425,4129.82547101601,4123.0992126646615,4121.57783592828,4097.577013009042,4112.994040868646
W19,2601.318409665262,3042.5558884695856,2936.0866369596824,2426.8561416477696,2585.3986480215535,3284.752530609371,3515.884566360618,2871.51351546385,2988.2791524180366,5572.550316121149,8100.060339785327,3970.403909572363,3958.9134384259532
W20,4020.2697278997434,3832.444264123028,3504.5516142587467,3414.09203681641,3476.911119356602,3595.709100104085,3752.2401409068684,3905.0575275601727,4018.267048184571,4065.117753027523,4064.496419976104,4027.7316514865747,3950.938152025689
W21,2072.228986869986,2206.599958531404,2019.1605619937338,2614.3963802160433,2831.3340364053697,2399.1593933186787,2336.1543377407384,2582.0158851895935,3398.483804555132,3097.510972867275,3833.580322362499,2316.298801288487,2916.4105797640455
W22,3807.3479555084746,3748.1026302628666,3909.8870436043167,4055.118766516374,3911.3699369076126,4103.156042522995,4102.882698544456,4203.357542551616,3974.670840870313,3769.8347296160996,4049.288513706344,3878.932631855915,3699.832862704532
W23,642.8891262139414,671.3463953734156,575.6824910269559,487.68092768164047,305.6237585984262,435.59239030883714,508.357242744505,498.05776725923204,374.64126175676097,546.1167260343946,773.784219479278,769.9212968441976,637.922270351196
W24,6492.595772219899,6560.335706195003,6755.157198111043,6814.376273550548,6806.71202853656,6942.0249751012825,7007.0403342324325,6975.7688879704165,6821.339419159248,6876.439350003283,7201.198610987642,7407.393151489274,7326.00458026781
W25,1820.3182772356429,1975.0612940644214,2172.5609691786767,2392.080073605598,2567.528895453937,2678.760705161406,2649.7154931526647,2640.6555317250195,2647.2804143419016,2629.456009714478,2558.65510644065,2418.0837738127443,2234.016130842544
W26,3471.0198951329708,3338.7953481820155,3607.8466025423095,3953.4136010096095,4291.6045836728745,5120.073803941312,4738.135976023917,5387.282881808833,5523.634214261129,5726.528309003366,9489.162785165765,7186.340701490549,4091.447312421609
W27,2267.566965523704,1815.0587239448487,1995.923928078258,2780.4037836420184,3119.5578005315783,2877.9574090637675,2752.492922308227,3042.5548107709706,3336.250013864818,2837.5409744418357,3354.252840031078,2672.7699753953093,2323.5339856905616
W28,3970.291975355875,3758.95245823703,3049.2656538467218,3581.5320439393677,3872.906393768569,3783.027568822939,3903.0794199802117,4304.913883461167,15390.293019246681,9381.23199151768,6003.496819342059,4502.095268861898,3773.090570918294
W29,846.4944407397321,1010.2974321791307,795.180214525006,821.8498311722236,762.3239407511251,1195.1716842475614,1017.6011266436883,910.3962390128115,831.3698609392734,892.962769090254,1105.101507692715,772.6177292127276,781.4418329276375
W30,3851.157141608108,4142.662524497893,3899.393097564429,3834.1813835216853,4033.4484687337763,4355.7546867528,3910.342621289496,4272.455303963839,6431.097376970501,6608.852428109774,6564.431664652723,4991.403698326967,4433.737628500226
W31,1175.0547172875165,1094.3005874608043,1191.2474610762124,1560.9361468136685,1469.3531804911174,1773.1135872434586,1502.0295188274986,1809.5563340731583,1561.4352294898904,1286.447006691505,1185.5658618754444,988.2474313208011,984.2111380407055
W32,4517.464431224744,4330.823497519281,4208.5343564684035,4712.179401768539,4751.3536951707365,5541.9116119430055,4974.324686026898,5152.456512548434,5419.824708878649,5010.176536308832,5114.947352703266,4745.375000043862,4070.7556546322307
W33,1827.5746924313655,1929.0941303063994,1971.6650762174024,2028.3132829557246,2954.1293182058535,2650.6615173696227,2069.862047752652,2349.238610172346,3744.9389578505156,3149.6854607401615,2113.9286426183567,1822.7024129554093,1951.4881206959333
W34,1047.5179358012858,1006.4354894753709,976.3171356000177,939.1495259880412,904.0636516438698,844.1127194977541,784.3257465021601,710.9286500455856,660.5151040793987,618.4382325846881,523.9009822574893,464.9077912451411,415.3118765678884
W35,1428.6283205539296,1445.666268512273,1430.3173676808622,1454.8950740875275,1618.1446185693094,1606.7149974649014,1523.1860573677743,1535.991759857429,1627.8407213198577,1745.3845209528004,1582.6950353112463,1443.190684572722,1362.3728550912717
W36,17555.313384311656,14477.318294102419,15776.49710580804,17388.49893647569,17482.329014567666,15884.975133580207,15145.489715247237,14923.516106443034,13410.942279061794,12296.478591061916,9214.820070410873,8303.34263573616,8010.117719702978
W37,2908.571608209028,2908.460955021777,2901.2140051971205,2911.8282828939505,2932.7771586160234,2956.4654554952717,2980.073890881826,3006.1908420683453,3032.092867714278,3046.4281415432665,3049.6685057670634,3055.6550180248037,3057.911007153439
W38,3088.250151760214,3085.93271278618,3104.884049890918,3088.027309433961,3073.198302862455,3090.6082164161157,3091.979785441608,3092.831862431249,3102.2137650154837,3121.937285389325,3118.4814540226516,3107.842547372666,3108.235143708387
W39,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528,5590.6088470528
W40,5834.035949204897,5824.458357907937,5807.462862593706,5783.4295109177965,5754.463299955196,5751.950702873615,5766.914571076741,5782.027496483311,5791.241663138715,5811.261040513248,5828.7151551198385,5843.0312976177,5860.22690610717
W41,6200.656257319741,6224.98000283715,6242.486323133338,6244.249295397683,6239.516983482169,6246.741457895731,6253.256176048391,6250.028126910286,6248.9946164302855,6259.097959827982,6256.147700716543,6237.976641074354,6217.824422471023
W42,6202.240049636389,6217.483462151847,6231.612995957957,6240.361782802355,6242.101280019786,6252.426765305229,6272.214581159763,6277.580626115936,6291.851648255429,6314.093982515725,6328.828596789735,6330.436469160118,6321.662650571189
W43,6201.708407502471,6218.036098974686,6227.775715224148,6225.625314534007,6218.806856838221,6228.652041069658,6241.303255887426,6238.953456849806,6242.382385598068,6262.788825018286,6267.702505922885,6256.759918412419,6244.25255906432
W44,5833.99786011856,5844.9052681950725,5845.6989782008395,5839.178173293568,5819.503361191382,5827.567120787035,5844.287796598325,5858.652853323996,5861.28061529056,5880.558528075761,5896.816471363561,5913.515867355434,5934.062382735276
W45,2906.264347485351,2920.2793225582595,2890.8198795225994,2865.85876781338,2843.7023453134093,2872.145626880398,2831.946840300299,2819.140291576379,2809.0133423596444,2825.39006336312,2823.7125718385346,2825.935693439591,2810.519176366777
W46,3287.4619644897175,3303.065650259164,3315.395985068023,3327.726340574333,3339.7611787242513,3351.4511796860947,3362.82503852316,3373.8986019410086,3384.6857265878466,3395.2000063291534,3405.4543960296646,3415.461224912306,3425.2322378649956
W47,2932.316250504203,2956.069266868313,2934.005673678822,2908.9019830397674,2893.766257069722,2913.6726286873572,2886.525848699379,2874.4619209198254,2865.0489282796952,2882.142622679454,2891.794779276752,2905.9415177721335,2913.615120960484
W48,3008.3057598401188,3005.7948965615183,3000.633478847348,3008.4353677246736,3024.5682977366787,3007.0901798727295,3025.1028654097377,2992.807358851291,3004.343749053622,3046.9248505188375,3049.2469940783835,3025.142368621008,3002.5677671883363
W49,3229.7186834248455,3238.6585406909426,3233.523050224792,3198.2080407412627,3185.225996577616,3217.6691748989806,3178.523685150025,3169.190359331787,3165.2298663338793,3155.6885984131827,3127.3002285693547,3120.2154901700997,3151.1210474135173
W50,3237.0188251669715,3250.4759355632887,3244.806256110827,3199.410756310408,3191.480223554566,3245.711800801952,3196.3132573336907,3197.2679395583914,3211.0910872503964,3210.6262006798343,3182.7211064414414,3179.8082388253906,3213.8745561033106
W51,6538.495483225192,6546.917326467566,6559.859302593314,6508.324516345035,6500.662125055893,6459.175586117998,6419.269818854555,6417.759242099121,6474.384168868752,6488.525886790099,6510.146962288478,6528.419523222551,6528.638650290026
W52,7032.052262875121,7005.071350301965,7010.536140317083,6990.207781971272,6973.601968573138,7031.848993832048,6982.3997271749895,6970.775807843343,7008.510261613416,6999.972087733281,7013.767350443739,7003.723565289071,7009.24045344053
W53,1927.8067622291605,1944.4428430434266,1960.3906023030065,1975.6851934792842,1990.353451301779,2004.4210213598762,2017.9124980298188,2030.851468688248,2043.2605549578814,2055.161452249224,2066.574967683095,2077.521056460466,2088.0188567431846
W54,2482.124899278447,2469.7414897056033,2455.52664183415,2444.20860702927,2434.2389067365516,2428.863352708039,2431.37091023105,2441.930797089858,2459.1103052043804,2480.1582162624118,2501.588105824837,2520.0828619569793,2532.547156404875
W55,5062.9068978153455,5078.5933263115685,5088.451108268157,5096.217963833957,5103.162089681756,5109.697771469451,5115.963747715603,5122.007662777846,5127.847276179904,5133.4904926969075,5138.941949417409,5144.205178580557,5149.283318486263
W56,3025.2335240670595,3059.354643997744,3084.510096597893,3102.590043352357,3110.50620309298,3107.7690013202737,3094.981858265562,3072.5427829776277,3040.659688974231,2999.845769381851,2950.874075510524,2894.641685553426,2832.1506584334497
W57,2092.6601765124838,2025.4009128605223,1962.5925291583146,1903.8502621472894,1851.455532196115,1808.2504867000894,1774.739189642676,1751.1862693448911,1737.5926133106357,1733.6834147402517,1738.909384559833,1752.461219373819,1773.2966847437142
W58,3328.8019380867872,3263.8042823425594,3200.380575374417,3159.7308514022207,3158.5764588176785,3175.240969597265,3208.7558025866256,3242.2559036615826,3261.500122699808,3233.2489973358734,3205.052869081487,3185.808112973517,3180.3665745684634
W59,2911.699360090981,2779.9075348611336,2625.452173824229,2457.3096611413134,2285.2518284763696,2119.27805165908,1969.0341233079725,1843.2516744243258,1749.2407237366726,1692.4648459830648,1676.2236488066367,1701.4610115529244,1766.7102304332036
W60,9039.450987619664,9045.451378132053,9052.057264486486,9059.166260591719,9066.668938547546,9074.45036472804,9082.391713153236,9090.37193350101,9098.269450343947,9105.963869757632,9113.337669343326,9120.277847940803,9126.051466266323
W61,10104.744631178677,11123.740645737505,11121.02443621559,10374.347303998553,10407.297084450687,10846.984686130398,10872.716259540159,10804.325718640055,10834.900186905988,10776.302715393065,10812.782846528053,11256.452904233762,11307.300171070397
W62,7236.262257387687,7279.317002265259,7328.316780368036,7389.817701400014,7384.010286281133,7346.544674187948,7393.851887871623,7387.957082629705,7497.240514970077,7614.191899337415,7651.685619107421,7746.428797940403,7757.09257174076
W63,6056.801838612321,6221.710771885752,6216.349332183543,6013.233917134226,6015.806638125132,6046.165363730278,6046.883672554004,6059.368610756941,6062.29093110772,5987.108262448573,5991.96052310863,6237.552297465874,6239.6012061160145
W64,13665.746904547466,12131.66036401617,12563.889601958952,13618.020321035057,14261.49537674937,12657.4527979085,12486.194434098847,13536.510918757107,14594.435374172173,13445.401193141322,12391.877169753818,13301.620731531284,14369.190697856013
W65,19452.667716102562,17549.74115072471,18170.68831011682,19241.278298148845,20131.006404740103,17952.019415997198,18075.89618932631,19124.209251415676,20525.121368446235,19173.7954843446,18099.7511583814,18976.184589679106,20292.65345205643
W66,7394.141654973483,7638.0466790414885,7613.822136837842,7446.9446663840245,7382.624052664726,7662.955014262183,7684.766379729028,7540.751092417447,7396.6392157862865,7626.515763387562,7768.771298153119,7673.062681907977,7493.705637074371
W67,13396.931205797926,13409.854855521002,13423.269974862342,13441.08944520145,13459.711201663045,13476.276990221246,13492.045616159632,13509.196701779378,13527.339433836876,13545.49102636297,13564.037683223063,13581.71282009724,13598.024991407432
W68,6893.035350279689,6851.543695109046,6808.059160663601,6765.8949838801955,6714.074976434217,6649.6775090758065,6589.67133598928,6548.22258791243,6518.964444025992,6490.476926665505,6456.410733150147,6423.773517710374,6399.694448120876
W69,6896.076921857663,6895.833737009958,6901.144412884417,6901.204379280816,6888.750794124955,6878.912041847796,6879.728065829107,6883.458531189455,6877.870521934445,6870.633058993182,6872.05878184516,6880.1727707653445,6881.431047445016
W70,2602.8809362354355,2607.7218425345673,2601.040738848057,2607.869333218053,2624.4899081641915,2644.7367262298612,2647.9414742709755,2645.7900219832904,2645.6700105588548,2639.6520855272956,2637.461141081645,2630.163871904928,2626.265616500985
W71,1929.5847380744185,1927.3965068338662,1939.6685065506513,1976.6199088522676,1986.1654729038316,1944.183521075433,1979.027575179495,2063.4435661960556,2105.686641457224,2091.1609086183835,2133.8234294234153,2229.4952947237352,2274.865025542452
W72,1910.4332704360704,1878.0360667431635,1859.2561082098632,1864.5328198112536,1852.4323270850768,1800.6781949085978,1800.7060937083127,1847.822009216227,1867.4068017588631,1840.007254714276,1859.5783274606597,1946.7280151366838,1967.868182723564
W73,1925.295228126365,1911.159903698812,1909.8066413814229,1937.9699313071874,1939.4955997570842,1891.4335976762507,1885.9552123740857,1927.9601671152193,1936.6633668342326,1896.2507727094917,1909.7971668114847,1990.6392679513024,2007.6364592014006
W74,4894.414786476951,4868.509183076029,4903.842936551144,5218.828659038033,5193.326912361449,5167.444658374222,5350.239646859466,5460.245410288993,5570.965266031331,5078.683429638619,5450.421002092588,6022.673254471337,6595.904785740773
W75,23692.172444386433,23764.548738078214,23774.012842689783,23783.77890901944,23793.333169831778,23803.137716102814,23762.72612756575,23772.197732974484,23781.66449398792,23791.136075217746,23623.197905976984,23632.668276717362,23641.812689278206
W76,432.18547371878606,426.7557904952965,422.2528576685395,418.576286692055,415.37254614420897,412.5758707634647,410.1337022011372,408.000665134742,406.13761014470015,404.5103615605863,403.08907247233486,401.8476746934533,400.763399527738
W77,4034.6491845066703,4572.438014296306,4714.802460993105,4414.422976552834,3813.2573618328556,3959.8741779706756,3887.176019637382,3691.8082005451724,3372.0282795110843,3286.7845044931805,3650.347879106685,3833.3179995141677,3985.293773531816
W78,3337.9638237291365,3347.9943021483887,3353.1052731662235,3362.3211469205257,3405.007111905494,3462.581593874511,3544.7547131710326,3576.4537577731485,3592.273929536498,3597.6172261737024,3593.7211152178843,3587.9698502500837,3550.8408878983246
W79,1488.218460700478,1593.317434010216,1657.9435550054347,1729.340809529951,1744.696067508934,1767.7526745196228,1783.8875627499672,1827.0830319334063,1808.602857139823,1820.1712708009302,1843.442799290419,1957.559244602542,2032.6755424363664
W80,1636.58559438741,1708.9412845469444,1810.25932433122,1824.1645022230257,1884.983157665624,1927.325642535687,2008.8493857351364,2028.0695503730462,2087.8027822266486,2153.736068701175,2331.572150682085,2473.061221366713,2596.7300976001466
W81,24486.002104595304,24624.380876070416,24570.274289979934,25036.282706468977,24725.610597574538,25191.619014121778,24888.291723081024,24508.46687786752,24839.608225097345,24839.710972792156,25305.719389328486,25631.126894782636,25769.503677941702
W82,4421.913813140912,4423.69264655905,4417.139965530757,4411.113322951348,4411.284893784841,4418.912475926499,4411.6851639061315,4397.000318688806,4399.594796845079,4410.7739226659605,4414.011609045012,4404.986312261015,4403.079565597654
W83,6001.724614173002,6024.325549793907,6040.914242513675,6037.796486703325,6032.719501452297,6038.895310278061,6048.257155457265,6053.889151381053,6061.918958441086,6052.511392535429,6042.091665771467,6027.986320954798,6026.168911622322
W84,5344.446084147187,5344.322583350102,5346.084162691868,5354.287693689739,5352.564451697016,5355.84322116852,5358.685074259746,5361.38605419907,5364.777592067229,5370.0670579262,5378.56114672915,5391.335469137543,5408.927845166501
W85,17309.6982609708,17377.157348663975,17455.29400259951,17537.252530561116,17618.203174332735,17695.507468514294,17768.267402343186,17836.42299453759,17899.669416911303,17956.50547155775,18003.69076092032,18036.287439883326,18048.317699823274
W86,17300.66965672165,17336.61538974758,17384.403757419146,17446.87974817695,17526.001700851506,17613.423510047214,17693.219005980573,17763.653688063932,17823.533901337505,17872.27622472443,17909.941394615584,17937.230792269103,17955.445699164862
W87,1092.7089907889076,1089.7304259732869,1089.6365450608762,1087.537667705781,1089.6469406053136,1090.647762218916,1086.5969074399402,1085.0705367288267,1079.2050801041044,1085.5543118709036,1083.7838557443686,1082.6017473878717,1075.9641243373699
W88,11999.139454124832,11999.151574866637,11981.12095089073,12014.007902862952,11996.022979258443,12014.435450991803,11981.493309132038,12026.45387044831,12037.274283516346,12037.891504733863,12019.045906322974,12045.307295374496,12032.859043977634
W89,1229.2076749701398,1240.1131162793606,1251.7125104855977,1225.2679539066232,1215.3027513049135,1237.8199666070666,1248.3083067703074,1245.1401583602446,1243.852634901757,1254.8989533694717,1278.0604803233418,1272.8141836494676,1254.4412265678984
W90,1861.5816563625167,1878.3094403115251,1876.9791729174933,1880.610108933761,1890.4330752293874,1909.2564526502736,1891.4375825109098,1906.6057691696321,1900.4757754293148,1913.8608089497368,1895.1343106607562,1927.3539753156663,1890.3669032539817
W91,19841.34205540011,19882.118727864206,19928.574201307805,19971.734570102457,20003.38079738447,20017.931597350253,20013.72204057214,19993.38496926567,19963.24784486721,19931.88320287306,19908.14478826751,19899.13926924613,19908.59818517676
W92,23335.372012326392,23712.37850006707,23551.084794254486,23453.9889229947,23784.127100034355,24033.13521887365,23814.056080765353,23564.033614027583,23367.33685473247,24011.665854080788,23576.622457460762,22493.159158924078,22091.18326365425
W93,1741.962359668279,1738.1968301037437,1734.5948526643285,1740.104588813667,1747.1761979705457,1748.529815087737,1746.223826967777,1748.8206779263016,1752.1164218290148,1754.8874551663241,1756.5883331336133,1758.795176589257,1750.2995213771546
W94,1816.8915958663117,1819.0342054656212,1819.370935893741,1818.084021581236,1815.4348261728562,1811.7492235056854,1807.3992081218892,1802.7818048465354,1798.2965038995123,1794.3225336723124,1791.1972927070053,1789.1971950193729,1788.5220426276585
W95,1688.078025235336,1700.8652288222636,1719.7120463336712,1744.5118111518543,1759.9115783486384,1747.5806796454378,1759.404380191313,1738.7815080747332,1762.1340548182413,1766.5549094169396,1766.1411275409394,1763.085032490348,1785.7011108446436
W96,11388.586695082913,11464.428057549587,11372.986321501117,11357.7701841751,11513.459751828552,11523.804582806188,11577.394219314598,11529.027513962075,11575.23608832755,11606.342625838088,11669.606089151115,11620.718306757475,11611.418075715552
W97,434.30570437898746,470.9958215047291,502.1666499775618,489.1722099204377,483.4953767234823,501.90200770438736,529.6912854914503,519.9886647108223,486.06902955821624,482.16335053238754,491.5413179965595,482.88894746224634,455.6201015701675
W98,560.6740503844223,593.1143351068645,634.2830197168597,630.1649620231788,618.0238694972187,616.121236376671,630.5636443491672,617.1068611626109,593.9848361420085,601.4736734014713,641.1355526491768,635.512765011695,596.5261007110598
W99,15110.552129954513,15062.615072242977,15071.289429115108,15024.816128002314,15069.208853207696,15041.372878542998,15064.81141824152,15063.950169383921,15115.520402164737,15142.573012354882,15158.59029337822,15221.221140652086,15208.269637338508
W100,11382.83645736779,11477.906072612253,11408.367574070026,11396.835257853956,11412.157575685858,11449.11022045351,11441.624070415442,11319.95913662543,11393.67307465373,11457.365387435411,11557.738135561814,11387.540612112614,11394.888328718462
W101,9848.399225333358,9870.033029909095,9813.359097577484,9822.401379424262,9926.630413971245,9969.687522665605,9975.51261996023,9930.756807608823,10026.979871938809,10075.972802206683,10102.204257259587,10011.066821999806,10065.3534248321
W102,16086.52004316804,15959.17997192873,15928.49666831326,16047.292694392603,16218.176566053793,16016.746854733035,16030.100427564046,16187.352261746131,16284.854290748275,16280.577823129806,16209.366207221248,16419.79731880945,16502.12776156223
W103,3868.8727979540827,3864.827876035137,3859.1953388212987,3851.5318775329333,3846.014607009777,3840.193478841939,3834.153488334003,3828.221144516176,3824.3933333060954,3822.8113359846593,3821.997109220796,3822.1142968448157,3819.7458650032777
W104,1022.9178297688461,1008.8351933510193,994.1745254935646,993.3215648712845,1008.5040072253626,1031.1715454328569,1052.2254549017744,1076.3119877670397,1108.8762751963832,1148.009972854218,1169.2541280261867,1181.498610951117,1201.5150697376257
