V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,35425.549235792205,35496.1756542992,35548.17513510418,35613.65316477825,35668.93063595336,35571.71673373733,35613.224171862596,35868.918985537,35881.37484332197,35837.484919530005,35838.32617298416,34980.66824747697,34999.611979444075
W2,3536.2371046156095,3534.6261652661883,3529.1136190161255,3505.0082545616897,3550.9519932614994,3543.7941664565833,3530.9233295627314,3536.261259423474,3559.3032753126527,3577.3470135159523,3487.3773679103706,3416.834025894719,3371.1510052237695
W3,9661.867346167814,9913.112341246793,9882.3329538452,9702.540943977954,9642.8786755365,9917.625232529752,9932.082781935555,9799.190693707647,9652.209672310057,9887.526374610565,10035.906454980392,9910.771806383416,9715.604025227729
W4,2259.152949690369,2250.290814464123,2250.4793495539825,2371.995187758848,2394.600708597383,2350.3416096822357,2412.4288896382086,2455.454993437799,2559.242066692409,2564.8309250546076,2663.9545141014355,2751.7105689076316,2949.662828561066
W5,1881.5656049408833,1998.8621612679517,1845.63420441244,2168.830052239997,1988.8507264293276,2040.8305744732434,2245.0378552710436,2015.6810629356607,2208.4287734377026,2218.092052342938,2273.2843479304347,1974.8328403460155,1746.5147822257845
W6,519.6381249267711,529.6357284015032,518.2249935599032,506.4446520564479,523.2706232742416,639.452420141454,607.1168573271055,737.9786614563532,981.8964079196694,1224.516501094389,1101.0103710273274,939.7202261732137,864.3644221408855
W7,3141.757877122878,3132.7899392677527,3161.6888666131417,2041.5483832267628,3752.7352233642505,3296.605540290801,2790.549664332025,2325.1422169251764,4194.210268258419,6252.197182638738,4095.347695365528,3519.811570884219,3262.9530569905132
W8,3642.340404654677,3784.820306367148,4502.5312483714315,3947.2550188569685,5586.964042244317,5095.19938951762,5115.588536070285,4816.137741812087,4352.973422634419,5432.338725707383,4691.339325465595,3983.3201279526666,3581.9499645040696
W9,8247.54964178728,7983.979621310029,8641.628488487444,8560.962837101948,9274.426163012526,8726.673051131593,8285.462287458988,9421.068041261004,9033.058688547557,9715.919664723839,8147.404572851592,7530.274242493643,7347.643575959685
W10,5112.205012331202,5105.038820549696,5080.1766503888975,5147.512458983037,5233.049132536364,5332.708927766882,5442.8501371026605,5417.221197713938,5403.874211212371,5371.6271293991485,5342.188451145088,5324.648540196724,5311.199332893839
W11,328.785545908013,320.2549007405462,303.7262357683577,306.1222994057578,311.96984359561543,313.4526476337974,294.3301267634511,297.9918393267619,297.0429710886675,308.6595875566448,286.66525746312135,282.03629380252545,268.46876121492994
W12,1051.2648786384582,1048.1376362282626,1043.6019442616237,1044.2213835197551,1058.4569760906954,1066.2367566453242,1066.4553981022766,1057.7398815314575,1076.4876036965538,1066.5961696205418,1053.4910596618029,1047.0733918013761,1046.0555867852213
W13,2466.743380096502,2490.0849016877473,2498.167324225365,2524.9974902802737,2490.585514894299,2505.82974608949,2508.773600208089,2482.718180565749,2443.5845143339743,2406.8840145533727,2466.9132977493246,2499.702745342717,2521.851650219266
W14,2422.1578193599844,2444.1577951805943,2453.384167270398,2429.6087466803892,2399.9108733219223,2436.2131370312472,2458.5220994534347,2467.124436019794,2396.890326168551,2404.7466129052054,2480.9602403404656,2512.1751027134837,2460.023628433016
W15,4193.465862193526,3951.6162096629914,4213.686507829602,4312.879333326996,4206.020315551456,4308.990220207647,4298.097209796949,4653.056128310832,4002.908975185178,3859.055081858066,4665.971941017567,5443.154808280017,5100.132539089957
W16,4230.60331295487,4105.646148934439,4263.097723737926,4294.1584496437345,4156.953875551592,4261.18784395085,4311.771188500486,4775.765902750359,4079.4523815901275,3926.866636476444,4785.219691060946,5684.263719108144,5344.746174453142
W17,12004.079498895382,11991.54594331077,11951.367297217585,11926.715992852905,11907.600451241897,12030.757490871729,12039.207594524194,12052.560959416873,12062.151725126312,12066.344666941712,12067.480711368748,12079.364869265204,12052.193940409341
W18,4369.243071096482,4368.617647926267,4361.088630493724,4363.093809348564,4380.334685912406,4162.988688618397,4119.791752495006,4147.7363630708205,4124.793628241904,4119.23853948128,4116.282229611487,4090.4392620969097,4106.192274990126
W19,2478.1917935635497,3343.114219789749,2982.687768874513,2662.0026518055515,2327.694176718006,2909.3791498442433,3512.881328486203,3153.3299691608927,2794.7645440245237,4844.611998123152,6761.1479697226405,4753.202390433032,3333.2881413293417
W20,3899.992028339087,3770.09970527554,3695.0900572007604,3685.0045737100654,3735.5984227662584,3829.1502564936727,3938.457403899849,4033.096290622911,4086.5038852625453,4082.2432285303216,4026.7976912062036,3922.830503706282,3795.2512624664173
W21,2413.2304379061757,2454.3142483361753,2393.7845640960245,2742.5071804595755,3304.823761171565,3024.2685871370322,2597.9485625821003,2622.6744923503384,3270.141310307987,3388.7693259244725,3732.2347683898793,3189.258585497157,2714.345455421283
W22,3872.51394322537,3996.8149962705575,4188.66310544598,4477.569805958382,4335.325835153395,4655.8825089658085,4559.754249922862,4614.232272825744,4390.8851155437915,4119.489220808833,4639.469941170293,4654.34238111366,4246.736689214797
W23,730.933209087478,814.1248131060935,820.8063046210141,786.2728991686209,745.1078028235576,811.5638403211772,892.4428785084505,875.2633412004868,761.104801379314,841.5975209369341,900.7915170359424,846.0176758684881,743.0491948050444
W24,6527.879288571014,6438.707971581802,7159.893009025754,7386.783343251309,7097.810513689454,7686.295923573247,7488.378171241682,7266.898570178795,6791.907323395113,7106.596057118992,8210.637418478731,8646.363538223151,8673.087332010546
W25,1652.987295738231,1824.7743420012282,1927.2131363838464,2156.8760568472794,2375.4154895053352,2504.8591620675907,2449.3617936842093,2410.7964828065483,2396.1070597618314,2386.0963772438968,2325.4957239278815,2161.635967393482,2016.231573303846
W26,3123.9982074531245,3172.4262644123296,3173.294354775849,3300.26958048051,3407.3914879140757,5123.57123475421,4755.2380974759635,5339.816971199145,5428.547805296921,5768.561275754782,8516.62687627029,5375.058639451861,4715.349809072632
W27,2718.836712066046,1658.1843045119558,1976.6888648854988,2313.4516557186653,2751.93822359735,2988.013550353574,3190.5045692869326,3059.177438088502,3255.6746479887306,3019.452497371653,3970.317220772901,3064.506928177271,2767.742944170064
