V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,37291.0588678367,37308.87324304507,37361.17558548941,37414.72652650314,37455.67613774229,37504.97966089997,37550.39599371045,37568.61375595803,37565.53305482298,37563.448641910305,37572.157082475795,37527.07197494564,37525.628769917865
W2,3583.4285156131746,3565.0891164371324,3547.4512390539758,3540.227859334417,3548.8806177065085,3553.721090689004,3558.0878600984524,3566.833694463686,3569.3450302916426,3555.206876556824,3523.932469024191,3493.6008916910255,3477.0149311063396
W3,9680.219284723707,9915.844532670439,9870.552293728415,9678.534409816537,9633.213948298562,9899.799955845434,9934.321381506954,9778.912814035128,9633.279857366651,9853.225158925163,10002.627096862674,9887.95086890337,9687.055928830225
W4,2281.8524344993266,2245.0964699969004,2251.002932274562,2332.3827327672902,2382.5122068266905,2372.3686922798115,2402.717979436431,2463.6290807189985,2549.2171712940594,2575.7834910556367,2624.8399978380216,2707.866978201859,2795.502377890349
W5,1829.9349522648859,1967.3489080166742,1950.7188514534246,2136.1943440131863,2143.755485363754,2215.8113676170137,2229.111051198721,2162.661042290423,2231.4544878203974,2216.005215588656,2255.361170153239,1993.3834315912627,1812.5666305576287
W6,546.4024568157677,541.2736516183004,501.5612850157147,515.075844599501,545.2994254539626,642.2204482211182,631.4649036766732,777.6563395537175,1019.0260511279621,1198.6057789773447,1077.7374083114757,921.2872124234009,855.4002339764861
W7,3102.515549714032,3033.871266480977,2994.2070532970365,2431.7158801769083,3663.0101574886653,3472.4034986364254,3125.940305478957,2875.138211379363,4230.851103582463,5517.70439205566,3984.787470640029,3459.9540119365893,3266.8896073781125
W8,3700.2920529838902,3939.9730712403034,4443.646426729811,4149.998658838153,5405.012940300856,5106.823518195299,5073.885477979657,4727.459856467176,4550.578756332777,5335.550449815546,4587.826353036595,3937.0632185458567,3564.7178896304335
W9,8484.332355869188,8604.530810988477,8989.198934619137,9161.283928739964,9838.875481571897,9669.840707680974,9539.969380055867,9923.808088755008,9829.26756432414,10039.316612618517,9038.03338528423,8487.062565842189,8288.403803239455
W10,5164.852384729311,5206.72929523275,5273.568290481843,5377.21350473808,5514.553538711978,5628.310846148706,5721.705155117026,5774.930762929618,5794.090289419165,5789.2612699207875,5769.981012004429,5749.663750225094,5736.152238617122
W11,321.60497608521996,314.2035558057014,306.625572613021,306.39095920094564,310.15824089956925,310.22422074599785,304.08389833485404,302.32548196432646,303.4606910725734,305.30897502989654,296.051065013389,288.8526863589112,282.9791277214945
W12,1017.4713021536578,985.2976049724023,978.5611412593157,958.3303971791656,937.9010742528403,904.3661507730484,849.6245362611972,766.6350617955989,683.0165848165174,556.9673931804471,393.6977349531278,201.2674400398423,-42.93779937747047
W13,2494.2824240260056,2510.4494739830116,2534.3001736685405,2544.1653937622013,2532.926204848088,2544.45524259329,2567.0457927743782,2567.2595401839635,2549.253567047246,2543.801989571613,2573.2645450645887,2595.507662409507,2595.8752691173686
