V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,31288.522764050977,31193.331486175448,31091.93073636267,30990.34524899566,30895.01917195166,30797.923416930058,30697.29307425476,30596.65764487775,30496.549366005755,30394.609745465543,30295.98826960624,30199.281242386176,30101.572413346483
W2,3842.851177598633,3841.7528800083924,3840.4834777295328,3840.0922775926256,3840.0294546948676,3840.1259428002477,3839.194049856852,3838.6833633581227,3839.240249672545,3839.8061729185206,3839.5238180713295,3838.9258253827256,3839.2640488429474
W3,9672.508415095414,9879.314345843646,9843.637331535881,9659.08915444416,9630.596835989154,9860.757908705727,9904.682988286895,9752.853319876114,9631.4274763143,9820.771213944305,9957.252292273992,9854.581826378804,9674.464498876494
W4,2990.3168911469393,3008.991599197413,3026.988155027001,3044.1792997151456,3056.0474343266073,3065.9785778688724,3075.059781888165,3083.6147292517353,3090.203551709127,3097.8427075078916,3105.166434383463,3111.6692545618052,3119.868539111552
W5,2016.991049733212,2022.359042597903,2026.232583118917,2030.246977135993,2032.7607390298424,2034.9098352684762,2035.1712169666446,2035.0811316966654,2033.4191884253064,2030.1262269783776,2027.3746516161857,2022.4854430415944,2018.499050426727
W6,648.15909226129,658.4570564601872,662.320469169513,671.2114330048878,684.237615698243,704.838479596992,709.5809085981487,732.1426135188879,754.6101097382042,751.1980655071861,724.072642192205,697.727695005118,685.8936081354275
W7,4200.47690669091,4206.163541848847,4209.189134184794,4212.445279936216,4231.663561499857,4230.728692709557,4233.152880174311,4232.688603578806,4240.292414843888,4236.050405229671,4210.049617004982,4207.407011379156,4209.447340064752
W8,3327.755293941737,3385.142842754766,3440.4894201608495,3437.472171107638,3482.318228211464,3424.858048645818,3400.30893000945,3342.212811007081,3321.8562072702775,3307.7735336390147,3187.304527777873,3119.0940964819683,3080.550609234715
W9,8242.371532365123,8244.91269379572,8252.029329300221,8244.841013247455,8249.39148758213,8230.980274119293,8225.438459382094,8221.015070461668,8197.012457543316,8176.519366311961,8142.398697505209,8127.633116358601,8124.87865101084
W10,4715.446822558346,4708.23980958709,4705.12283031841,4707.16767626133,4712.660609654591,4716.8453070456035,4718.492906524641,4718.28568766497,4714.056001766976,4706.018631432109,4695.011684730604,4682.406549313341,4670.005772867634
