V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,35447.5336274252,35516.93774027047,35580.5478100691,35652.29483144148,35715.61929902905,35623.119326548236,35676.77034553564,35978.32117394899,36052.08544214001,36027.88613391626,36018.39804081565,35183.20212690535,35194.67831301034
W2,3536.199444551185,3536.4582756561113,3529.6186244623545,3507.4290396472124,3551.4674486655363,3544.6353076082805,3531.5201756697434,3536.7839073028094,3560.6505566386713,3576.8969961247,3489.0979171278964,3418.5539922793537,3374.150435059232
W3,9606.474619902689,9841.054487636804,9829.672235305112,9673.092924078235,9647.189375312379,9928.874396368823,9953.506055031348,9816.734484754472,9690.973798649435,9932.681013792144,10045.069969892522,9938.139477812416,9754.191905510415
W4,2304.92423752086,2329.3860471128664,2375.8380771213933,2547.3717896066423,2574.306693194817,2584.145323864223,2612.1430295605296,2819.6290487041606,2993.181648590504,2844.7997406494733,2975.2956872357713,3222.176087392728,3692.6766578777397
W5,1937.5035654086287,1963.8630313617857,1947.154441254743,1953.452618595558,1803.5377566454365,1880.9905440767989,1804.1721018596563,1900.51590273584,2146.670765066194,1988.5402713335532,1919.238403401787,1654.2573534585956,1573.2756199471878
W6,521.9355911830236,522.0009713494954,543.1955116812759,653.0169031422173,675.3117367326465,720.3310145062796,740.972753231155,821.5901611127967,1069.87055180938,1575.1342234005447,1359.413790775475,974.8817446308218,851.0182727103385
W7,3090.8256410248564,3052.8881717933873,3202.28219830949,2215.7017500853685,3715.9144169134806,3363.3707614660048,2904.9550913892613,2445.7336686516783,4410.926967986232,5701.460538823932,3656.7060193291445,3171.9925928500948,2950.7060402340394
W8,3675.3388398209518,3869.733561313673,4477.950175953799,4060.5346476146306,5494.753434829321,5103.157408064845,5098.861469835117,4778.660411479759,4460.991869912673,5380.8727194388275,4640.182175456123,3964.84984246501,3580.483288086018
W9,8217.509121374685,7714.991249864858,7882.857272811173,8231.371288004226,9607.093482964978,7896.541852416472,7912.575620109549,9085.653282015597,8183.8324646966275,10342.650913407753,7519.391569732338,6922.387346072411,6905.528911111929
W10,5112.024002644508,5104.2394774313425,5081.323258812167,5145.725847541284,5232.227509176974,5331.462638500993,5438.649492346623,5415.139427055402,5401.912485957011,5370.407221442834,5340.721249045913,5322.665845236957,5308.082096547308
W11,328.84084108293877,320.28937667073694,303.8908874738237,306.32422850329147,312.1200825892291,313.5649667132121,294.55052754472797,298.1866195488768,297.37962966896515,308.81757757524235,287.00279103253337,282.22154442931225,268.9488473891808
W12,1032.23734665405,1030.209465328256,1020.0337327029171,1033.5835971920487,1063.367995135918,1063.6033298415744,1056.7565322826713,1049.7180677618805,1063.8538794635601,1055.301225555459,1045.0553706019116,1041.2751813750406,1039.3914261201373
W13,2464.4985472444637,2486.5516262963906,2499.8275070753584,2522.1776401613383,2488.417254379537,2501.086939119632,2509.33143744439,2479.2407785787814,2443.307869622863,2409.1307991866524,2471.0713138730757,2502.2158546275637,2523.843903824708
W14,2425.9838205508113,2422.652911166118,2436.641160365861,2440.2684534704154,2426.8236263985655,2497.0150818154116,2542.146788535563,2516.2685087695972,2456.0770826569874,2450.8825039188264,2478.7976697495037,2573.6431386547756,2513.8156619212673
W15,4531.576748809833,4304.765554008595,4515.144553774086,4541.347211828683,4425.710520325013,4579.771957512045,4667.453595766387,4729.342633093597,4257.010607814781,3871.662186127856,4538.2575380249955,5831.331677166586,5514.5648104444235
W16,4763.012989506155,4670.4724545643585,4739.551299891112,4717.105163642532,4687.115372126468,4771.924529779618,4864.173644459612,5057.795372067157,4737.968534886553,4684.033383556927,5487.131610732918,6142.205979165681,5906.215932457037
W17,12007.790142084192,11997.835640572779,11963.155729560967,11942.444812816573,11926.718136629679,12038.431058582319,12047.191114771678,12060.012077212137,12069.321432691175,12073.774520613724,12075.493740811104,12086.879843127053,12063.298966151491
W18,4370.579448585003,4370.226675936767,4364.3476686652575,4365.761211076175,4381.237244335506,4165.0525478853315,4121.19314257241,4148.695645669658,4126.774232490505,4120.633139690953,4118.182085002493,4093.629047676198,4109.778608549218
W19,2579.4995172801905,3225.4502828734317,2993.2695533625506,2780.8233094115517,2487.5999711574805,3233.4423410314803,3571.636151536477,3102.379395142625,2843.3432309958544,4409.246803420114,6689.975793531279,4650.129867106865,3431.3560707425936
W20,3899.8941060811703,3770.1562691361282,3695.4588195568144,3685.712120414998,3736.5243951225607,3830.0392007966684,3938.958694760804,4032.825758875405,4085.1154230763996,4079.4959299001903,4022.6621398261514,3917.3820032101303,3788.7310702539785
W21,2393.5268418896376,2455.9320059852525,2391.8846485896293,2742.0250241829535,3274.5071524042887,3021.60207722234,2602.6157798071317,2638.430049347235,3257.6284399513015,3393.9425621255677,3736.0689879914653,3186.7832705547276,2712.5905879420466
W22,3847.4745065803572,3961.840090219658,4147.222064620177,4426.825860654633,4306.647463377513,4615.441134033736,4530.704089296591,4585.453737604652,4369.835706471962,4120.560219785531,4607.743793733282,4617.0342649566255,4236.756993096671
W23,735.8407176569203,810.5041612980747,815.9548139083196,783.4907700291809,747.5226866687249,806.4463672317212,881.6412351467864,867.4499496413109,762.1885816894921,831.2567357907557,889.245273458511,840.1642759894734,741.9591103377459
W24,6518.006476021294,6798.357802167187,7329.333221624023,7689.827999340518,7409.068328330924,8247.449028739791,8175.348572678052,7747.7197463924385,6951.110846452866,7357.502494456974,8625.361883826668,9107.025626236344,8807.045014574733
W25,1651.0001458598374,1807.7703799037201,1936.8257038326133,2157.8004450496787,2359.772703867693,2480.5141420110713,2431.935444329862,2394.789525191387,2381.4746417517135,2365.1423031201366,2301.362970645707,2161.023319326915,2018.5668645520523
W26,3123.273302558102,3297.3389465181035,3380.9672306208004,3746.630970483213,3669.630350093218,4791.217810128898,4413.463623095685,4977.612338928195,4877.250326748225,5405.248032849289,8318.545612735626,5416.7628670113845,3842.1858431974647
W27,2406.6956339014746,1731.0608646689566,1956.2588757077422,2243.7322031119547,2621.7856565302363,2871.9464088722125,3116.360826733311,3059.052567925832,3191.626395357156,3042.548623527779,3637.2526210069436,2978.1808143088006,2700.785810037554
W28,3554.400311658824,2981.882314028612,3072.158651691363,3834.7822882726346,4257.301423090844,3802.4864202926783,3362.367695945001,4318.916689657225,6372.520534498982,6972.718932037497,6572.9876647802175,5531.056573687674,4707.323422394567
W29,832.023392180757,999.4513637446129,994.7654051626271,1033.0426964578949,1055.6449920703833,1395.655021151847,1421.7890103841376,1367.5835105583703,1266.3822785588989,1503.937304711272,1789.701536848293,1496.305228761735,1297.8083358899778
W30,3740.6117571776617,4142.40680538964,3921.6208254783714,4082.703915531303,4097.393900808072,4721.338522811569,4395.418195837202,4611.154904743429,6372.098473287454,6267.672209871819,6189.883601777932,5440.487345730923,5062.750929606888
W31,1066.2932757567423,1076.5921303424766,1143.4997450051883,1470.2013885890406,1792.3174390107959,2080.3650691273483,1680.411701481728,1789.428156070656,1818.804370540348,1793.1808632032396,1622.2123402318518,1299.4876344817415,1201.2017838095055
W32,4487.047250923971,4646.707321435,4894.67728719352,5003.402959244255,5199.45608310117,5631.6523873969145,5650.354007347283,5697.612497861604,5818.443290980516,5766.257613035909,5766.6359224505,5279.7534149180865,4931.729802829119
W33,1740.8884596322218,1817.8627869261172,1889.6323106395384,1986.0431980896255,2848.7403498663375,2401.9018967779843,2195.3053428906123,2493.3436411175876,3318.860967141243,3726.022943713001,2774.3284830776097,2143.9971044898357,2311.17213844294
W34,1435.118568217511,1583.751556933223,1684.0137640909861,1660.2734462692506,1997.7553903811413,1965.6547601026348,2140.039685363604,1869.775448258124,1847.0233997357261,2352.4430548937416,1912.1540770882862,1718.8667146263992,1567.4090251582807
W35,1465.3275931663507,1657.6310997568041,1541.1082588821366,1364.7963291729902,2233.1613898463797,2467.852645974002,2092.177286570172,1754.853412807788,1897.5542120227547,2848.4768994004653,2614.705020834569,2190.7233138709107,2159.4116995381387
W36,17314.60026721743,14337.873464493332,14116.321732005063,16383.843020607625,17890.12582362219,16517.7126568379,14955.618223479543,16609.913516393313,18564.146846627613,18015.265964075657,15117.537510307553,15426.350241394697,17368.370208767137
W37,2906.0444728867337,2911.9100058613785,2918.345419766152,2921.8626723939465,2942.9035289255876,2963.070689192495,2970.075591278561,2985.912855447945,2997.6114948158183,3005.045797679641,3006.2917355193863,3006.995673621858,3015.7576798186005
W38,3090.290769667359,3088.505044553485,3098.7567145379635,3087.549623046406,3079.488768196658,3092.240011901792,3095.1840936529497,3103.1512309533396,3113.0321612415173,3129.4274185499903,3127.954347754487,3125.606696078115,3126.5480225037522
W39,5814.613886700618,5815.933964987306,5792.087195144416,5798.774567977288,5789.730342574484,5742.528557024565,5722.6571745299225,5716.170623816684,5701.538836867779,5702.947978268988,5687.426824606713,5663.212258636112,5644.7943078869785
W40,5808.685025526247,5809.232107704681,5786.878771651332,5793.491122735006,5782.946746480057,5735.4841330159,5717.030208679806,5710.954332285023,5696.051989185836,5697.865172817069,5684.671709652092,5671.68222901354,5655.084444017206
