V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
W1,35724.703125,36212.21484375,36488.484375,36780.828125,36863.1484375,37461.7890625,37671.69140625,38024.80078125,37721.94921875,37562.171875,36954.203125,37451.84765625,37632.19140625
W2,3525.32958984375,3516.16552734375,3518.98388671875,3593.133544921875,3485.376220703125,3535.577880859375,3533.082763671875,3561.79541015625,3572.184326171875,3548.746337890625,3527.506103515625,3482.802001953125,3463.128173828125
W3,9593.72197341919,9826.526889801025,9819.680251121521,9666.937163352966,9643.95419216156,9927.605376243591,9950.970526695251,9815.05728816986,9691.560050010681,9935.956015586853,10042.678053855896,9933.903098106384,9750.368781089783
W4,2085.427490234375,2469.422607421875,2439.168212890625,2607.162353515625,2590.734130859375,2710.0146484375,2550.445068359375,2717.251953125,2758.865966796875,2938.882080078125,3151.04638671875,3398.3720703125,4101.35791015625
W5,2072.15869140625,2011.136962890625,1930.1273193359375,1902.029296875,1627.846435546875,1827.978759765625,1906.7945556640625,1949.7054443359375,2084.802001953125,1878.6888427734375,1928.114501953125,1664.72314453125,1563.315673828125
W6,504.86358642578125,535.5224609375,505.311279296875,595.1138916015625,593.1797485351562,676.4265747070312,569.8236083984375,668.5692138671875,835.4008178710938,1131.478271484375,1129.7891845703125,881.6243286132812,761.5739135742188
W7,3414.04150390625,2054.099853515625,3441.74951171875,1931.933837890625,3231.702880859375,3166.25732421875,2830.287841796875,2265.16162109375,3447.711181640625,4083.07275390625,2600.90380859375,2624.138427734375,2739.751953125
W8,3823.962890625,6059.05029296875,5882.65283203125,4739.82666015625,5814.1484375,6085.02001953125,5572.8330078125,4696.25048828125,4256.490234375,5999.57373046875,4469.94580078125,3545.963134765625,3705.67431640625
W9,7832.6005859375,7666.33935546875,8160.72216796875,7438.8427734375,9140.318359375,9082.1416015625,9016.58203125,10174.8564453125,8962.544921875,10975.5712890625,8600.1474609375,7778.181640625,6391.63916015625
W10,5114.4287109375,5093.26318359375,4990.64013671875,4854.90283203125,4924.48681640625,4903.015625,4900.02734375,4906.79248046875,4861.8271484375,4849.1533203125,4850.017578125,4858.6806640625,4855.2099609375
W11,311.6039123535156,309.1336364746094,321.2394104003906,325.9366760253906,316.78411865234375,322.0091857910156,359.0092468261719,330.8215637207031,352.9115905761719,334.7696838378906,336.4349365234375,350.0113220214844,349.2322692871094
W12,1034.3984375,1034.837158203125,1033.6622314453125,1034.3607177734375,1063.6614990234375,1061.326904296875,1060.3421630859375,1051.9219970703125,1064.6248779296875,1057.457763671875,1049.819091796875,1042.4346923828125,1041.3875732421875
W13,2441.344196746826,2450.1076225738525,2516.951479385376,2493.0922684173584,2466.052710006714,2452.16721005249,2515.0852550964355,2443.3730816345214,2440.4544150333404,2432.3052813510894,2513.959212015152,2528.137345026016,2544.393023202896
W14,2432.7008991622924,2476.303716697693,2423.196481742859,2447.1777534866333,2441.892882385254,2441.9237048429995,2418.0373236937075,2472.19369576402,2381.7075354856997,2406.6299426359683,2501.0802142424136,2556.4141680998355,2611.329329232648
W15,5211.479563598633,5206.836229686737,5302.903009777069,5437.816217784882,5291.449808483124,5475.268350963593,5531.009317760468,5649.935030345917,5346.213777904511,5304.795389537811,5650.426645641327,6298.806589488983,6306.303075199127
W16,5273.154642944336,5271.637315278053,5386.021241669655,5494.028855805397,5443.591111664772,5596.161195282936,6333.217591767311,6652.1251235055925,6408.227082734108,6282.765435700417,6656.63436270237,7166.689080719948,7272.093469147682
W17,12013.9541015625,12054.7646484375,12061.1455078125,12051.8203125,12055.302734375,12056.5244140625,12052.8564453125,12052.4501953125,12039.6259765625,12039.6259765625,12038.40234375,12044.2705078125,12043.81640625
W18,4329.2001953125,4319.54345703125,4319.2451171875,4323.21142578125,4319.35986328125,4309.75634765625,4323.1728515625,4320.9609375,4323.1328125,4323.0576171875,4317.18603515625,4317.521484375,4315.93994140625
W19,2612.09521484375,3142.3671875,2826.226318359375,2833.679931640625,2685.340576171875,2895.295654296875,2941.134521484375,3136.3076171875,3112.108154296875,3868.40771484375,6924.044921875,3886.912109375,3118.961669921875
W20,3920.491455078125,3896.62060546875,4449.310546875,5296.2685546875,5058.0478515625,4061.413818359375,3680.220947265625,3753.8564453125,3457.2333984375,2650.24560546875,3980.436767578125,4502.703125,3676.270263671875
W21,2412.9736328125,1935.508056640625,1792.682861328125,2691.813232421875,3172.404541015625,3189.686767578125,2349.569091796875,2591.946044921875,2930.037353515625,3268.562744140625,2104.633056640625,1975.9566650390625,2100.322998046875
W22,3592.487060546875,3351.5361328125,3369.53857421875,2896.24609375,2887.606689453125,3193.902099609375,2838.059326171875,2997.777099609375,3332.628662109375,2448.564208984375,3540.820068359375,3016.253173828125,2762.019775390625
W23,705.1458129882812,761.9083862304688,669.3816528320312,679.6329345703125,629.7108764648438,594.6431884765625,786.0829467773438,648.0352783203125,552.6832275390625,586.5985107421875,818.8234252929688,745.8716430664062,693.664306640625
