V1,V2,V3,V4,V5,V6,V7
Y1,7356.5229458001695,7424.572111098599,7477.136471797694,7466.446988845779,7453.434482068431,7421.451520469317
Y2,1484.555139125266,1409.1847177429854,1140.3914249052414,1113.3138569707098,1255.738232092066,1683.0617126670595
Y3,8540.995437586054,8729.23105223054,8937.48130871112,9138.132625495266,9310.79772656636,9462.70368614486
Y4,9909.762986579139,10154.984520708453,10405.788874035463,10662.303147429613,10924.657335393555,11192.909745409324
Y5,7239.981750488281,7639.9635009765625,8039.945251464844,8439.927001953125,8839.908752441406,9239.890502929688
Y6,4422.740197669844,4708.822792177484,4934.354440686409,5157.985511951607,5413.984982592822,5696.145593980848
Y7,4312.780611105448,4348.594533175401,4382.575737866197,4418.527685081849,5378.462448650128,7303.035778893077
Y8,2404.133126728383,2407.735864028957,2411.1708421226404,2414.453001905784,2417.5953711399134,2420.609378199894
Y9,2394.7287655368395,2541.5640615689763,2694.0595649264146,2841.0158288036246,2988.095462863037,3139.554263506868
Y10,2286.819402932871,2225.364686473907,2212.1416107967184,2278.773366605911,2377.0283131197093,2427.0516188517336
Y11,1485.243787943803,1458.3654079660985,1452.288175472368,1484.724081955416,1541.064347454936,1600.5875151746586
Y12,2053.7191146850587,2140.6007293701173,2227.482344055176,2314.3639587402345,2401.245573425293,2488.1271881103517
Y13,4533.9705546566065,4575.901163146733,4615.880790101204,4654.082945900086,4690.658976337043,4725.741684074422
Y14,5066.36662629396,5086.31244000548,5105.330198635855,5123.50243868628,5140.901153269071,5157.58951478403
Y15,5188.851418214862,5151.968614626089,5364.275725123466,5513.372369863155,5745.611131933289,5721.876905625972
Y16,2213.0353970599003,2169.549511733798,2291.141136238472,2456.2186460692487,2499.7045313953518,2378.112906890677
Y17,3732.148042144061,3675.0086986440174,3698.0085219160073,3810.3043771168295,3930.3158570214728,3967.4297949560587
Y18,3249.5901077353947,3273.0948649835836,3295.5059737243323,3316.9206974963868,3337.423875186391,3357.089951083439
Y19,3945.1816470787303,4975.818949319988,5703.327252068033,6595.263490527584,8225.164090180358,10266.8682857768
Y20,6697.357686767578,6890.466817626953,6984.277028808594,6974.989329109192,6893.174456367493,7141.135348091126
Y21,9319.7309342835,12159.452255323708,10816.112782178323,19386.295836738806,18717.013282514148,26408.647514181623
Y22,4753.614444444444,4845.883333333333,4795.934444444444,4797.3933333333325,4992.477777777777,5329.78
Y23,8434.998325767407,7882.493337536645,7504.977060679784,7679.965772053682,8232.470760284445,8609.987037141309
Y24,7916.16357421875,6565.25732421875,6547.328125,6410.24462890625,6610.58544921875,6893.5224609375
Y25,2588.8999628390934,2728.8920085470086,2812.505165366035,2900.526447417317,3056.84384057971,3284.5583166109254
Y26,10133.107165855821,13041.88545237058,16104.313642060308,19439.980390788285,23325.18649163015,27935.872587870977
Y27,2178.7997115081653,1905.6591196387665,2032.8357198126319,2050.830259664768,2232.947536024536,4968.247450728062
Y28,2310.8903410251833,3004.1599968764613,3841.4104183012446,4879.706731206079,6205.1395904102055,7887.845577246869
Y29,4741.020263932691,5312.111108554005,6009.9463773348225,6752.423597203677,7543.228452666899,8406.217541491305
Y30,4673.862358681581,4882.434374807313,5064.615965988551,5228.5873783033285,5379.993225075077,5522.728457539628
Y31,3750.4464517955985,3681.084662937782,3630.9699185843147,3668.9797434224715,3775.867092947906,3863.507397968991
Y32,5742.773122070313,6091.773244140625,6440.773366210938,6789.77348828125,7138.773610351563,7487.773732421875
Y33,1282.1174025639414,1299.5629819765056,1317.8795895165329,1343.3491533411052,1375.6174983777314,1408.0263577898697
Y34,1771.0250021020124,1841.9195711062903,1902.693066840606,1966.268845999519,2042.2891309030153,2129.752843015975
Y35,3516.3224503244683,3627.97504185617,3731.987529103894,3835.8130741192363,3941.5113040119895,4049.6512665525597
Y36,1259.740072018607,1387.6778785252986,1548.599777325131,1753.5588195724938,2017.5363597603261,2355.5099924954916
Y37,4172.405,4377.753,4583.101,4788.449,4993.797,5199.1449999999995
Y38,6037.523556714752,6932.077556250614,6932.077556250614,6027.3775163840855,6027.3775163840855,5132.823516848223
Y39,4042.719640837876,4356.638107146638,4366.559135033367,4383.586888758025,4383.8045648086445,4632.625159118097
Y40,4855.960094908788,5036.481474260671,5223.808929230246,5405.63273004565,5580.560807598617,5759.678299683709
Y41,14398.985294363516,14442.461175229564,14618.02121740355,14840.813004961605,14996.616607811664,15097.183253433888
Y42,5905.453190202043,6223.002884134961,6533.113813409067,6841.241096555083,7150.707159416451,7463.537632342723
Y43,2939.1953721820396,3075.27913538424,3217.0141952126355,3359.3938394561856,3485.0167214701646,3612.184652691555
Y44,10237.78404013397,10497.500547080283,10724.0323221238,10927.179449886129,11110.159244619226,11303.020274667897
Y45,10202.532408645935,10426.710026552793,10667.640342859635,10923.77303805578,11149.119817811546,11372.143352084831
Y46,6377.413665771484,6638.345916748047,7123.710662841797,7421.480560302734,7763.107147216797,8121.5299072265625
Y47,6398.366363525391,6725.905303955078,7002.7852783203125,7289.375152587891,7645.487854003906,8010.176483154297
Y48,6830.122384783539,6850.2969158522255,6544.98732040891,6517.3441610692935,6520.532189418036,6319.384233052362
Y49,2548.6622514628825,2562.8835416878846,2560.4058184562664,2566.2890706223047,2609.7972679201557,2672.921484893099
Y50,18653.929918932776,18792.42240685243,19016.586954677037,19209.79253525401,19425.229487542645,19618.369759134224
Y51,8179.921820030363,8231.211221025042,8301.162141651925,8416.419315093357,8531.385315851749,8634.65771513116
Y52,18342.55747137258,20010.201738117776,21826.024815207886,23803.193155628775,25956.04311974931,28300.18492763764
Y53,23503.999973922968,28643.999947845936,33783.999921768904,38923.99989569187,44063.99986961484,49203.99984353781
Y54,9239.157111565864,10466.300720981975,12015.771690595135,13680.427555000626,15260.084394991842,16761.172011788563
Y55,2843.786322357138,2962.4641020144145,3191.9018343402186,3441.4091293570777,3745.087927446041,4049.251377819164
Y56,13302.513909648374,15824.787412704265,18860.048460990358,22540.120814718866,26988.495392720517,32325.31098181771
Y57,2194.963571707904,2369.4356423371687,2543.6295298519703,2717.5579437516017,2891.2330128697295,3064.6663119035725
Y58,10118.874113916549,10194.506029789913,10270.137945663275,10345.769861536639,10421.401777410001,10497.033693283365
Y59,10163.281855813026,10328.292292949907,10495.049611015207,10663.572303342018,10833.879059042874,11005.988765082364
Y60,10022.995971105838,10056.619019051797,10090.24206699776,10123.865114943721,10157.488162889682,10191.111210835643
Y61,10029.934095979661,10287.244246352315,10536.975574523272,10707.106765263863,10821.218786858411,10955.748068774494
Y62,11202.798061265188,9131.381744501647,8438.938311260667,6809.145525782906,7096.695267014706,5600.149530283665
Y63,10019.597332206522,10039.18085262339,10058.745355929736,10078.33326920889,10097.94026646247,10117.550823666712
Y64,13493.71157913253,13813.584315985778,14063.461278427669,14322.57170127001,14665.053229910432,15085.866401255715
Y65,10630.303086670274,10907.526246242403,11187.300772176475,11469.715555144518,11754.837296798532,12042.691943462041
Y66,10461.92,10923.84,11385.76,11847.68,12309.6,12771.52
