V1,V2,V3,V4,V5,V6,V7
Y1,7364.484122691094,7427.192303016654,7475.012514688393,7466.737624195395,7459.14216225647,7434.506204148346
Y2,1492.568180779996,1410.3589396813704,1147.5727047670257,1118.1943180945118,1258.1833893991457,1664.214505601156
Y3,8540.660655698623,8728.266133093533,8935.83859899328,9136.038042072702,9308.503151654437,9460.213493932333
Y4,9883.804941928207,10099.693342088576,10317.73177691817,10537.988206931455,10760.532009135894,10985.396686913531
Y5,7162.490875244141,7484.981750488281,7807.472625732422,8129.9635009765625,8452.454376220703,8774.945251464844
Y6,4538.860261188438,5004.786720795774,5440.437707403752,5875.138405389866,6326.023303063989,6789.988771111518
Y7,4368.788030162099,4764.36271580645,5159.021042761224,5554.664740978425,6412.299847371939,7752.2542371027885
Y8,2388.3287995790574,2390.2225614557356,2392.0266715321713,2393.7493579271572,2395.3977430481236,2396.978038202549
Y9,2379.0960514406447,2482.9646792396807,2587.8815652501075,2690.04960871371,2793.0535497406227,2899.3361969882467
Y10,2251.28289951407,2213.349508704417,2205.2860140370794,2250.185158273155,2318.1770452703286,2356.299036125187
Y11,1484.4885454162024,1458.124399846748,1451.8458090171675,1483.4148003531104,1539.2845134476865,1600.3941017422862
Y12,2043.788836628952,2210.7949354717753,2276.972883985116,2362.1670671711754,2517.126606532479,2583.4861475268535
Y13,4764.751443911486,4830.645674472846,4893.473924554533,4953.5088668746575,5010.988342356148,5066.121051267537
Y14,5058.9454105025015,5080.704480005978,5101.451125784569,5121.27538765776,5140.25580356626,5158.461288855306
Y15,5196.429228852049,5159.392502481445,5362.157426623201,5511.273325356817,5738.598899779312,5719.914700807827
Y16,2280.391391092656,2258.6484484296047,2319.4442606819416,2401.98301559733,2423.7259582603815,2362.930146008044
Y17,3731.815383216154,3674.933286751479,3698.031992862972,3810.157561173272,3929.888483020131,3966.8812498120783
Y18,3256.101340463766,3279.992037569152,3302.7711288427863,3324.5374748565528,3345.377307521812,3365.3662934767344
Y19,3944.0690193401465,4928.100866261557,5760.568213436361,6675.249528466918,7958.913024094086,9448.478317693087
Y20,6668.4331071863735,6836.329700602305,6929.030150631749,6970.294528464687,6992.150224671564,7205.964549413022
Y21,9676.672903941542,11408.742119952682,10939.141663853447,15394.661473372998,15319.603670444432,19558.39409842574
Y22,4752.052726807796,4850.777577172204,4809.921233174984,4815.091571259525,5005.869785787455,5336.229194677012
Y23,8414.211662883703,7942.271668768322,7656.563530339892,7734.75788602684,7997.585380142223,8624.681018570654
Y24,8852.962701542121,8333.20785995034,8364.083337882837,8391.569891057923,8775.788620879055,9350.315038606825
Y25,2579.2933535469956,2711.352261838824,2789.08898845779,2870.8247796029746,3017.5986178911526,3232.1282397400187
Y26,10129.393150680386,13030.25794779574,16080.213092270606,19398.453025218074,23260.71234342537,27842.217393724015
Y27,2207.598474075017,2270.527060642471,2505.816015609858,2680.587902646101,2963.345279690333,4561.108576879055
Y28,2210.3009475751555,2702.042203068887,3233.517976105234,3854.313287214885,4635.287003178371,5622.474331336584
Y29,4572.944881966346,4961.998554277003,5414.424438667412,5889.171298601839,6388.08197633345,6923.084770745654
Y30,4672.467049866082,4879.041638696865,5059.054737730346,5220.905242955245,5370.335251554995,5511.270801673369
Y31,3743.5855384265897,3678.5531557755003,3629.3895969958644,3663.3700510068693,3764.6256939370633,3850.0125129958033
Y32,5836.504180340564,6410.471185060498,7169.126873071051,8186.657070622531,9566.02234761783,11450.118988839975
Y33,1280.6227105684334,1296.9995442094416,1314.5635564214717,1339.0970080517352,1369.859156626159,1400.3078548248031
Y34,1761.3694942679326,1821.288695813139,1871.931079363224,1926.124924669285,1992.522763121804,2069.256792739849
Y35,3558.8614210648416,3718.8304707136517,3870.07468667951,4020.2487861996974,4172.72683653516,4329.192377578302
Y36,1246.0995027853623,1343.8473975447678,1455.1789676070039,1587.7898958913493,1751.8642042627941,1955.5985812295405
Y37,4343.480080326557,4824.756922568587,5439.27623053571,6222.1662461027045,7216.8947297382465,8477.24877978041
Y38,5674.214903357376,6121.726278125307,6122.116903125307,5669.923133192043,5669.688758192043,5222.021133424112
Y39,4081.516275909091,4388.19386437025,4390.511165434436,4298.584185440956,4250.327513548729,4475.022045009099
Y40,4855.959899786747,5036.478341305498,5223.805897300293,5405.629928275135,5580.558112099976,5759.675458476893
Y41,14403.890137102142,14443.861751710803,14606.136162177088,14809.961277756032,14959.232878617973,15064.58276241018
