V1,V2,V3,V4,V5,V6,V7
Y1,7460.018245382187,7458.634606033307,7449.525029376785,7470.2252483907905,7527.63432451294,7591.162408296692
Y2,1340.898089911276,1325.6771325922266,1312.2370136983222,1308.6110543215182,1318.3129161199422,1331.6384049021196
Y3,8540.32587381119,8727.301213956529,8934.195889275437,9133.943458650137,9306.208576742514,9457.723301719807
Y4,9857.22707640009,10043.130214077104,10227.718774998211,10411.002054929308,10592.989283903145,10773.68962668415
Y5,7086.386206896552,7338.216685205784,7595.491434927698,7858.210456062292,8126.373748609567,8399.981312569522
Y6,4656.949993461235,5304.68998692247,5952.429980383705,6600.16997384494,7247.909967306175,7895.6499607674095
Y7,3944.3524701007464,4154.3802784217405,4329.921975631623,4550.746003731382,4866.2422540533635,5246.032175928926
Y8,2351.208457386111,2352.099858765488,2352.949784294772,2353.761922625231,2354.5394912119427,2355.285313302188
Y9,2368.647531094775,2435.291897132777,2497.9424492533394,2560.2421844901555,2623.928803146037,2689.83118383781
Y10,2194.431907235881,2193.6307250980403,2193.9916421395974,2204.9835771046164,2225.444430813699,2244.743185343384
Y11,1444.1687000835266,1446.8035980045056,1452.2891400171402,1464.2870230602675,1479.9466030422316,1492.75553893254
Y12,2058.5304894435317,2136.632853865193,2209.110404936114,2279.69969650482,2350.1373597058564,2421.215549687349
Y13,4533.537625744248,4575.44540414625,4615.403263269549,4653.584619022478,4690.140734794989,4725.204340941951
Y14,4969.457892092644,5012.953201011474,5054.424724737482,5094.052448437913,5131.993365590465,5168.385234578142
Y15,5380.874485726669,5479.783715616799,5647.034334493368,5798.938723368265,5863.218869566415,5851.501231212701
Y16,2219.832817015623,2247.322222222222,2376.683584427999,2478.5555414271766,2451.066136220578,2321.7047740148005
Y17,3731.4827242882466,3674.8578748589407,3698.0554638099366,3810.0107452297143,3929.461109018789,3966.332704668098
Y18,3262.6125731921375,3286.889210154721,3310.03628396124,3332.1542522167183,3353.330739857233,3373.64263587003
Y19,3146.510754952059,3278.544567494074,3404.687892765622,3535.1344711570055,3677.0215879189477,3827.2927879118715
Y20,6590.761063348416,6726.582762694821,6854.038954248365,6976.80900201106,7103.258413775766,7238.073333333333
Y21,10035.25237298528,10658.922016153909,11062.8748615246,11403.84265304112,11923.146658748181,12708.908965791059
Y22,4622.801724484666,4763.454404223228,4892.702026143791,5024.973634992459,5171.67428858723,5329.780000000001
Y23,8489.946023607406,8171.0,7787.193659360625,7722.333342328657,8041.279365936063,8425.085706575439
