V1,V2,V3,V4,V5,V6,V7
Y1,7254.6,7075.700000000001,7069.200000000001,6890.300000000001,6883.800000000001,6704.9000000000015
Y2,1579.75,1410.5,1348.75,1302.0,1499.25,1781.0
Y3,8505.0,8690.0,8850.0,8975.0,9160.0,9320.0
Y4,9878.75,10087.916666666666,10297.083333333332,10502.083333333332,10719.166666666666,10918.75
Y5,7085.0,7330.0,7575.0,7820.0,8065.0,8310.0
Y6,4242.4875,4442.7325,4684.5975,4936.4574999999995,5188.317499999999,5421.594999999999
Y7,3891.7775,4093.54,4324.115,4554.69,4801.987499999999,5041.027499999999
Y8,2374.185,2374.185,2374.185,2374.185,2374.185,2374.185
Y9,2320.430625,2348.66675,2377.736375,2406.806,2435.875625,2464.94525
Y10,2371.6281666666664,2378.8666666666663,2387.4793333333328,2396.0919999999996,2436.077333333333,2477.2344999999996
Y11,1485.6554999999998,1489.629,1500.3575,1542.217,1544.7825000000003,1548.7560000000003
Y12,2021.8403,2068.5613333333336,2115.282366666667,2162.0034,2208.7244333333333,2255.4454666666666
Y13,4640.383333333333,4762.866666666667,4976.366666666667,5189.866666666667,5262.033333333334,5240.916666666667
Y14,5163.814285714286,5279.092857142857,5391.314285714286,5510.035714285714,5623.007142857143,5742.607142857143
Y15,5525.25,5659.3,5902.15,6071.2,6366.349999999999,6373.6
Y16,2608.3500000000004,2667.05,2738.4500000000003,2805.3,2898.5,2953.95
Y17,3839.8166666666666,3927.0333333333333,4056.4166666666665,4185.8,4266.716666666667,4292.633333333334
Y18,3164.4333333333334,3237.4833333333336,3333.25,3429.0166666666664,3451.2166666666662,3444.3499999999995
Y19,3607.51,4209.49,4368.889999999999,4317.549999999999,4565.369999999999,5176.134999999999
Y20,6583.399375,6745.0225,6872.385625,6989.828125,7113.85375,7256.81625
Y21,9770.869999999999,10042.48,10240.18,10389.45,10650.44,11019.12
Y22,4620.51875,4769.335,4919.101875,5052.6900000000005,5206.850625000001,5374.933125000001
Y23,9980.55,9830.199999999999,9557.55,9281.099999999999,9327.05,9392.5
Y24,9444.207999999999,9708.569999999998,9663.864999999998,9618.648999999998,9882.973999999998,10184.562999999998
Y25,2465.52,2532.1057142857144,2558.1735714285714,2614.635714285714,2684.0821428571426,2756.7442857142855
Y26,7843.778,8141.648,8185.205,8467.294,8745.069,9066.664999999999
Y27,1809.0335,1807.4575,1792.9515000000001,1812.5570000000002,1836.3225000000002,2077.753
Y28,1820.3651000000002,1874.0875000000003,1894.9003000000002,1905.7495000000001,1966.1685000000002,2032.4139000000002
Y29,4330.55275,4451.28,4572.00725,4692.7345,4813.4617499999995,4934.188999999999
Y30,4529.906833333333,4630.248416666667,4730.59,4830.931583333333,4931.273166666666,5031.614749999999
Y31,3791.65825,3809.88175,3832.472375,3855.1109374999996,3878.0539999999996,3902.6761249999995
