V1,V2,V3,V4,V5,V6,V7
Y1,6523.738706527218,6523.738706527218,6523.738706527218,6523.738706527218,6523.738706527218,6523.738706527218
Y2,1322.2666666666667,1322.2666666666667,1322.2666666666667,1322.2666666666667,1322.2666666666667,1322.2666666666667
Y3,5690.333333333333,5690.333333333333,5690.333333333333,5690.333333333333,5690.333333333333,5690.333333333333
Y4,6706.333333333333,6706.333333333333,6706.333333333333,6706.333333333333,6706.333333333333,6706.333333333333
Y5,7002.0,7164.0,7326.0,7488.0,7650.0,7812.0
Y6,4123.070000133514,4236.930000267029,4350.790000400543,4464.650000534058,4578.510000667572,4692.3700008010865
Y7,3753.3766656600105,3837.293331320021,3921.2099969800315,4005.126662640042,4089.0433283000525,4172.959993960063
Y8,2334.3047260485196,2334.3047260485196,2334.3047260485196,2334.3047260485196,2334.3047260485196,2334.3047260485196
Y9,2311.516823354833,2332.661646709666,2353.806470064499,2374.951293419332,2396.0961167741652,2417.2409401289983
Y10,2087.2241596422696,2087.2241596422696,2087.2241596422696,2087.2241596422696,2087.2241596422696,2087.2241596422696
Y11,1349.377377158717,1349.377377158717,1349.377377158717,1349.377377158717,1349.377377158717,1349.377377158717
Y12,2002.3291533301858,2037.8208066603715,2073.3124599905573,2108.804113320743,2144.2957666509287,2179.7874199811145
Y13,3738.836849814967,3738.836849814967,3738.836849814967,3738.836849814967,3738.836849814967,3738.836849814967
Y14,4144.652600740132,4144.652600740132,4144.652600740132,4144.652600740132,4144.652600740132,4144.652600740132
Y15,4145.599989149306,4145.599989149306,4145.599989149306,4145.599989149306,4145.599989149306,4145.599989149306
Y16,2347.7473851254113,2347.7473851254113,2347.7473851254113,2347.7473851254113,2347.7473851254113,2347.7473851254113
Y17,3091.1210809004933,3091.1210809004933,3091.1210809004933,3091.1210809004933,3091.1210809004933,3091.1210809004933
Y18,2802.2526341488488,2802.2526341488488,2802.2526341488488,2802.2526341488488,2802.2526341488488,2802.2526341488488
Y19,3127.5288890488946,3249.527778097789,3371.5266671466834,3493.525556195578,3615.524445244472,3737.5233342933666
Y20,6582.395555744171,6713.5311114883425,6844.666667232514,6975.802222976685,7106.937778720856,7238.073334465027
