V1,V2,V3,V4,V5,V6,V7
Y1,7421.757287238625,7453.479217448425,6771.536986868215,6941.577921797414,6883.608114235226,5911.311137443708
Y2,1567.602159089636,1404.089227962533,1312.8136945838178,1355.1639703059486,1668.63125452537,2028.544303591754
Y3,8562.596736744254,8752.179617721684,8943.92237743732,9136.332898368306,9328.94986840814,9521.630665507057
Y4,9888.283447848286,10057.18808125702,10219.126065515553,10423.476215063436,10677.20517905087,10937.900792188506
Y5,7281.858059154569,7770.4407713429755,8304.35187833691,8882.277326863461,9503.009347778614,10165.387755633092
Y6,4650.5365045511135,5291.863009102227,5933.18951365334,6574.516018204454,7215.842522755567,7857.169027306681
Y7,4103.631544781747,4375.425025293709,4567.680610898031,4746.937380885058,4956.018369917171,5194.036857510408
Y8,2355.7378484827836,2307.750400653587,2265.310103805792,2231.9020368272863,2207.6899603797356,2191.0331666551906
Y9,2486.274914790404,2866.6784821690662,3197.1811237245597,3534.4703820655686,3870.5323438883797,4205.817798504738
Y10,2346.3861191522446,2352.5625846721896,2353.254726353649,2368.2229585983982,2384.4482474883566,2400.700627720649
Y11,1486.2800060041372,1496.2664625273226,1510.2711321458914,1524.6706465707641,1571.6377203698455,1573.7497851692585
Y12,2046.90810917111,2115.1958367966304,2181.326855902832,2248.351408033428,2317.236021989594,2388.2869613606604
Y13,4739.340061873846,4829.70896616631,4948.903098548345,5087.773899238576,5212.994031745885,5303.855907518453
Y14,4883.377829577036,5009.76042267009,5166.326070172397,5307.741131156287,5445.447658830322,5268.808658807518
Y15,5448.655160685571,5622.9030237306115,5894.969635989912,6069.217607194696,6243.465158113256,6222.20420714438
Y16,2598.264889433049,2654.5750460459676,2740.7453316009905,2815.1082795776065,2902.108356558355,2807.471883366577
Y17,3881.7651053987556,3944.7292796542456,4026.773328815703,4133.164431915494,4244.256705437138,4335.533009523697
Y18,3193.1813483673145,3258.1711731199603,3355.8513214886325,3448.8797029311436,3499.8007452917936,3510.8403446487673
Y19,3944.9299936559796,4884.3299873119595,5823.729980967939,6763.129974623918,7702.529968279898,8641.929961935877
Y20,6620.575489288924,6746.816745617653,6838.25927640871,6937.563750009674,7073.941371929445,7249.007078074565
Y21,9353.0703295132,9372.211688957306,9391.308340999332,9410.446897368804,9429.615855928027,9448.791196973933
Y22,4681.033477425832,4806.936051354005,4880.84272047852,4990.164388297036,5186.896959613208,5435.625435733039
Y23,10089.9781638767,9943.013437444757,9714.886623114393,9486.771505208106,9646.927541309116,10417.884741051443
Y24,9175.521003563466,9180.18350232625,9183.667375557703,9188.074552736221,9194.300374826114,9201.567414652367
Y25,2414.978235299248,2434.2280542585518,2453.3410364000706,2472.534366722732,2491.837193940235,2511.166441100486
Y26,8187.813363728722,8552.824965879865,8822.032336801465,9101.377359268929,9453.605129684935,9863.956998332653
