V1,V2,V3,V4,V5,V6,V7
Y1,7099.698955412756,6998.4628530842065,6930.185718252343,6879.408996572491,6837.363339301534,6799.087613053912
Y2,1666.7410001829662,1570.8197854677526,1440.6269195408836,1437.3336764543142,1596.6768702201816,1793.1806300895378
Y3,8571.27532522926,8756.944570088464,8943.618700968362,9130.112706725547,9316.638999786133,9503.159505369964
Y4,9876.333333333334,10085.333333333334,10297.666666666668,10510.666666666668,10721.000000000002,10928.000000000002
Y5,7040.941763223724,7243.272602290997,7446.951045997289,7651.938027786324,7858.196682484181,8065.692165316489
Y6,4650.5365045511135,5291.863009102227,5933.18951365334,6574.516018204454,7215.842522755567,7857.169027306681
Y7,4423.66212665671,5177.86425331342,5932.06637997013,6686.26850662684,7440.470633283549,8194.672759940258
Y8,2405.569883741958,2409.3279824447045,2412.9112212672285,2416.335151358386,2419.613337330076,2422.757681836016
Y9,2381.033013522035,2464.4201864157158,2545.264702462449,2626.3704813694703,2709.399256455092,2795.335848224004
Y10,2359.325333333333,2364.574888888889,2360.884722222222,2371.859611111111,2406.4392777777775,2449.9586666666664
Y11,1521.604596324724,1546.5112928472913,1565.6520666089964,1582.3497105881795,1598.0121545860582,1613.2359649063653
Y12,2063.351963897858,2151.1904054369916,2237.670353777813,2325.942270474624,2417.362543426611,2512.5151467916394
Y13,4657.705555555555,4772.911111111111,5003.733333333333,5231.1722222222215,5339.61111111111,5332.4333333333325
Y14,5040.735618729097,5112.053418803419,5265.5101077666295,5404.184039390561,5440.596859903382,5384.191861761427
Y15,5414.611111111111,5561.383333333333,5798.4944444444445,6032.283333333334,6172.4111111111115,6222.200000000001
Y16,2555.177777777778,2609.516666666667,2711.927777777778,2800.8500000000004,2828.211111111111,2807.5
Y17,3842.8611111111113,3915.4,4047.827777777778,4196.566666666667,4301.727777777778,4347.0
Y18,3183.077777777778,3252.7444444444445,3367.1555555555556,3468.4222222222224,3511.8,3510.4333333333334
Y19,3913.000374208866,4688.512858909609,5315.6521195313935,5896.781947489614,6564.1723566456585,7357.384883837318
Y20,6700.519444444445,6911.319444444445,7003.995555555556,7017.0072222222225,7068.4783333333335,7238.073333333334
Y21,9851.633333333333,10179.966666666667,10271.166666666668,10314.633333333335,10547.500000000002,11017.500000000002
Y22,4753.614444444444,4845.883333333333,4795.934444444444,4797.3933333333325,4992.477777777777,5329.78
Y23,10277.344444444443,10131.016666666665,9759.994444444443,9608.349999999997,9900.777777777776,10417.899999999998
Y24,10840.436258569514,11714.210307958661,11958.11201461249,12035.160382552267,12395.629390619808,13111.408979011756
Y25,2692.0544700668547,2837.7028986873543,2868.6824791760578,2875.3706677980445,2947.4138096748484,3098.736735022455
Y26,10264.416372330637,13485.4964873513,17083.90275037353,21220.10102660609,26223.672668420295,32345.893914663448
Y27,2269.441772062396,2723.402260842043,3131.9250117270526,3528.9468492559317,3973.5705000756197,4491.294278864607
Y28,2268.766990686225,2860.3694036988973,3525.077525720816,4316.236747907608,5317.152705630419,6587.996900270957
Y29,4608.908993885848,5019.964987771696,5431.020981657543,5842.076975543391,6253.132969429239,6664.188963315087
Y30,4673.862358681581,4882.434374807313,5064.615965988551,5228.5873783033285,5379.993225075077,5522.728457539628
Y31,3838.6375,3841.7465555555555,3800.295722222222,3777.829444444444,3818.907611111111,3904.5456666666664
Y32,5930.235238610815,6729.169125980371,7897.480379931164,9583.540652963811,11993.271084884096,15412.464245258072
Y33,1270.7866666666666,1275.2285555555554,1281.9503888888887,1298.3659444444443,1322.1952777777776,1343.7446666666665
Y34,1771.0250021020124,1841.9195711062903,1902.693066840606,1966.268845999519,2042.2891309030153,2129.752843015975
Y35,3709.1538334470883,4117.301937459393,4601.147424002003,5167.4034796958695,5822.9378438979975,6574.776366854911
Y36,1259.3658865592024,1385.3511480984446,1540.9841275630706,1734.8267661530053,1978.3579182038534,2281.6934730074477
Y37,4542.84782543884,5388.532136394842,6612.216129191913,8364.21805327971,10853.602478794233,14371.186192770814
Y38,-2265.6351432823312,-5159.021969230964,-7502.949795788378,-9534.512815822227,-11397.557479863786,-13179.356281094686
Y39,4132.592124087249,4433.615116073085,4417.4025242589205,4181.574144549978,4073.2661364434,4279.316282843208
Y40,4604.581410368061,4657.766668070955,4867.801630323604,5192.905135504627,5531.849977722882,5761.244371830597
Y41,14398.985294363516,14442.461175229564,14618.02121740355,14840.813004961603,14996.616607811662,15097.183253433885
Y42,5918.137780638894,6253.224844903009,6581.778660116388,6907.441701497173,7232.858256463284,7559.947969083605
Y43,2939.1953721820396,3075.27913538424,3217.0141952126355,3359.3938394561856,3485.0167214701646,3612.184652691555
Y44,10221.293356707505,10473.446899448816,10682.382034372737,10870.404058766408,11052.28037775026,11240.617120504772
Y45,10202.532408645935,10426.710026552793,10667.640342859635,10923.77303805578,11149.119817811546,11372.143352084831
Y46,6442.847232208202,6684.45733961165,6899.355929232706,7126.390454915196,7381.019123567714,7639.678008191207
Y47,6454.495452297015,6699.1011281814,6917.277906661528,7147.869644259711,7406.356537690021,7668.876827419133
Y48,6638.595522678724,6516.243035650131,6448.612666610339,6403.176085824304,6321.734835860866,6178.618789023906
