V1,V2,V3,V4,V5,V6,V7
Y1,7472.959183515139,7430.297868304929,7422.04972415214,7485.53502025842,7585.494919398145,7649.398201244321
Y2,1583.3386930313354,1427.6788023634153,1238.8628316983566,1172.085807732134,1272.7233194432063,1426.5147569720175
Y3,8355.63269811221,8335.4148633263,8366.388521342978,8442.844617778821,8512.122748629974,8527.356968351545
Y4,9685.50339494652,9699.992847267084,9713.534670156461,9726.190839838391,9738.019279209242,9749.07412293101
Y5,7082.1691597351055,7329.487021529326,7581.953585382661,7839.568851295111,8102.332819266676,8370.245489297356
Y6,4933.6016686797475,6192.095037834766,7878.914095561801,10145.38961100518,13196.264025653973,17275.215201117873
Y7,3912.962652546512,4097.895877561043,4253.051363869593,4449.0832774916325,4727.854095620633,5060.572129430595
Y8,2496.0200591853054,2505.156382820915,2513.8676041420413,2522.1915295875488,2530.1611361210826,2537.8053603153885
Y9,2363.46333734445,2424.365296910385,2481.7035655738005,2539.083388623795,2598.011636618208,2659.118130469625
Y10,2295.232579422188,2228.209249146096,2213.764655832936,2285.541551966814,2390.9612005847976,2443.8021122398495
Y11,1498.7476206664805,1462.6746638800355,1460.1977441140152,1508.1342040000281,1572.8880065176497,1604.045772014846
Y12,2045.984710990922,2111.0088499001213,2171.881590418999,2232.0212519247766,2292.5809154996673,2353.932140488822
Y13,4469.332026659415,4507.414965421984,4543.725950162784,4578.422569464876,4611.642281209257,4643.505701715122
Y14,4914.957215525003,4955.206163460834,4993.582375534252,5030.252403352899,5065.361522866468,5099.037210580425
Y15,5313.525471826324,5274.1102511486515,5329.424384356094,5478.837805746194,5630.242267579426,5689.59369872006
Y16,2213.0353970599003,2169.549511733798,2291.141136238472,2456.2186460692487,2499.7045313953518,2378.112906890677
Y17,3655.256269767772,3582.832398730562,3630.3895675595077,3779.979185258673,3910.2931760569923,3918.0863266946026
Y18,3249.5901077353947,3273.0948649835836,3295.5059737243323,3316.9206974963868,3337.423875186391,3357.089951083439
Y19,3417.5289621422166,3746.532635786221,3999.619841987324,4279.744329296613,4682.781025209863,5201.6511086717655
Y20,6694.734156634428,6894.232980741121,6980.546049226435,6997.648694618103,7058.726672537505,7232.9904060782865
Y21,10031.038297186113,10606.677893380976,10974.030983137998,11288.974429110605,11781.118703054233,12524.400666001038
Y22,4750.491009171147,4855.671821011073,4823.908021905523,4832.789809185717,5019.261793797132,5342.678389354023
Y23,8434.998325767407,7882.493337536645,7504.977060679784,7679.965772053682,8232.470760284445,8609.987037141309
Y24,9163.979962871521,9163.979962871521,9163.979962871521,9163.979962871521,9163.979962871521,9163.979962871521
Y25,2569.686744254898,2693.8125151306385,2765.6728115495443,2841.1231117886314,2978.3533952025946,3179.6981628691115
Y26,9042.667381322677,10162.04983513854,10958.908379966051,11662.590110932544,12546.487099262735,13711.26923782415
Y27,2079.917700196027,2271.7157420882427,2400.0054393606215,2521.2707549567667,2692.125913387672,2923.2317504746425
Y28,2109.711554125128,2399.924409261312,2625.6255339092236,2828.919843223691,3065.4344159465363,3357.103085426298
Y29,4738.814491006353,5432.499110173882,6304.594431706746,7384.018939320718,8703.328400787908,10299.173355107825
Y30,4620.384237769786,4764.767774633592,4887.144168657565,4999.627652826096,5107.663959724947,5213.70111915789
Y31,3825.916498854699,3708.931241722885,3648.353456057267,3730.6863599940953,3899.5224820671747,4011.951132674058
Y32,5852.887171795083,6440.564173584502,7180.24949441771,8098.799697533001,9226.978696084465,10600.026231812508
Y33,1279.1280185729254,1294.4361064423776,1311.2475233264106,1334.8448627623652,1364.1008148745864,1392.5893518597363
Y34,1751.7139864338528,1800.6578205199874,1841.1690918858417,1885.9810033390506,1942.7563953405922,2008.7607424637226
Y35,3601.400391805215,3809.685899571134,4008.161844255126,4204.684498280159,4403.942369058332,4608.733488604044
Y36,1228.1921418583865,1288.1011221563892,1339.6330171529046,1387.9770560725685,1439.2038639254072,1495.0283493534553
Y37,4354.583347657578,4751.293735499612,5161.407118735495,5588.261320232223,6034.497055744881,6502.2035253230315
Y38,5900.728978568817,6041.217739247307,6170.917945380418,6160.129390835041,6019.640630156551,5889.94042402344
Y39,4129.415239270591,4427.153120922362,4420.082735868531,4193.638450731255,4085.534552093075,4280.4426497984505
Y40,4855.979283008938,5034.932207425273,5219.048335116047,5397.469784551066,5570.30476007983,5748.679730934365
Y41,14475.570262138606,14552.126654379106,14741.751289232438,14971.953760588975,15138.979481947848,15244.701587010664
Y42,5904.941290961931,6221.795187204149,6531.189743618375,6838.653435316085,7147.534624836809,7459.861273140857
Y43,2943.8424785179272,3079.1073153080856,3218.562833400436,3356.4858985866977,3479.9066428490673,3608.161852314504
Y44,10237.78404013397,10497.500547080283,10724.0323221238,10927.179449886129,11110.159244619226,11303.020274667897
Y45,10206.957269279988,10439.83748020258,10686.246767333123,10932.972934365916,11156.404849738126,11373.82199928075
Y46,6490.42404972795,6757.961431552094,7005.47112960381,7259.843440846307,7543.377054650106,7832.973790261817
Y47,6501.344096653498,6770.842184299393,7020.965217958553,7278.13023412617,7564.892084975376,7857.661232588626
Y48,7158.961773561526,7112.556883255444,7043.5290223590655,7015.104152730968,7056.074177447371,6996.0148561913575
Y49,2553.292196363558,2556.3503368563042,2540.5937517066186,2540.729461503892,2578.165498249285,2636.6072069151924
Y50,18664.888713625052,18840.528621998492,19051.577694858148,19249.65174235662,19451.267075498334,19649.07899410435
Y51,8398.54207387047,8486.56455823498,8576.875359533984,8679.05018274262,8791.595278150855,8902.482957752705
Y52,17974.843355578483,19204.23405887794,20502.863719059234,21874.631855727654,23323.657608393776,24854.292105408014
Y53,23503.999973922968,28643.999947845936,33783.999921768904,38923.99989569187,44063.99986961484,49203.99984353781
Y54,9085.821361125192,9819.795488530497,10560.569120803222,11312.75514676486,12066.406986849272,12810.106406320127
Y55,2856.6252350460386,3145.31553442963,3438.0041209769392,3742.137807196738,4058.119537102124,4380.754022519662
Y56,11386.000288513755,11490.718967988254,11710.732988829142,12180.895673911467,12812.30562224102,13376.879493365674
Y57,2190.3669435781294,2355.90986509907,2517.204556877849,2674.596270747141,2828.4022000693403,2978.9137600365625
Y58,9726.282888808637,9885.104560905755,10043.926233002872,10202.747905099988,10361.569577197108,10520.391249294222
Y59,10163.281855813026,10328.292292949907,10495.049611015207,10663.572303342018,10833.879059042874,11005.988765082364
Y60,9998.823724840291,10183.038208757825,10367.25269267536,10551.467176592894,10735.681660510429,10919.896144427963
Y61,10517.815195826724,10854.178251972167,10994.771601402419,11187.95460167309,11292.726992517348,11423.56973634083
Y62,10690.528932645528,9838.258780161581,8671.885283456677,7749.070705123553,6912.42700085052,6330.133267560381
Y63,10134.46839537771,10432.846893359248,10727.684788732433,10923.94851501278,11039.810748787637,11176.954084761657
Y64,13199.818084792576,13190.445823873973,13127.525325242257,13119.794959887353,13219.11551519236,13368.671555539204
Y65,10312.334315540022,10271.579518771028,10233.189892432903,10197.028175844433,10162.965074132862,10130.878795944875
Y66,10440.860899165607,10859.723387767772,11265.268814136525,11662.752560502668,12055.356049997932,12445.005204029867
Y67,10611.644433065952,10752.687954466874,11085.186886702415,11291.102150884619,11520.180395308456,11735.960877715132
Y68,11032.498761668836,11156.351536241742,11264.047944426156,11373.049333857642,11476.539273352253,11599.912399346225
Y69,9950.75619552903,9907.621561838863,9869.838197137997,9836.742224691057,9807.75212810012,9782.358533707355
Y70,10289.21889520631,10335.652142880299,10557.278481368192,10652.838831797204,10702.96976100281,10708.784331097513
Y71,10589.79851147143,10644.746626901799,10698.667614374457,10751.599169891348,10803.576951605948,10854.634724115249
Y72,10290.34161111385,10534.984658294592,10781.398201958287,11079.903065117318,11433.351010368004,11794.272977294282
Y73,9857.976899131627,9945.339528575527,9946.489901581908,9974.550183691901,9989.618236433136,10006.334579307742
Y74,10187.57396168683,10341.563188944747,10495.55241620266,10649.541643460572,10803.530870718489,10957.520097976401
Y75,10180.189567716981,10288.413023209643,10420.785360684957,10607.257616218612,10817.143444062316,10981.937749822639
Y76,10168.536290057249,10295.390522776748,10435.521547432983,10614.297148822032,10813.312778470729,10992.312148978213
Y77,10371.121012801113,10769.723946417706,11101.417699930902,11431.233130063183,11755.520886763868,12037.495893868068
Y78,10466.651084593705,10783.778397966513,11376.651775660155,11813.042100790262,12327.285894509765,12834.911116602629
Y79,4851.8782018638585,5043.821116867223,5143.299492786198,5128.788616481277,5092.753027036851,5149.181976676814
Y80,3369.155936730694,2940.38630417175,3572.439780951683,3415.346086360368,3672.229905670773,4141.153540181315
Y81,4532.15896656791,4692.7506036669365,4840.116038828746,4994.189267241918,5166.043666489678,5349.631120902945
Y82,13540.90751658575,13832.011325003881,13996.40028304638,14555.65801902528,14525.601575573086,14634.14646221808
Y83,9262.12083876028,9225.134235276135,9218.036819206201,9215.961799408116,9209.965609495648,9213.424047197754
Y84,3803.274779451445,3915.128172940006,4032.393898632181,4150.246845429493,4311.507035007939,4584.509276814195
Y85,1506.1708040498154,1542.646350914727,1578.5272447441694,1599.1546233733177,1629.371349325558,1658.1135622828235
Y86,2696.6615632860057,2680.913598864106,2809.6664849786657,2862.4362517141467,2883.4292514946515,2858.021991327302
Y87,9511.77063854168,9631.897935440253,10291.540236646528,10400.510051299792,10515.682661658637,10187.575217976608
Y88,9568.809975948465,9601.538338662682,9633.369920131947,9664.352557431066,9694.530359197379,9723.944083300405
Y89,836.9918774448442,482.38399368530224,237.58809678701428,100.81659609930318,75.26421262151365,60.94506003067278
Y90,6010.475866458751,5754.303891384183,5535.2094229761215,5347.825982328337,5187.56381740866,5050.497482112689
Y91,7654.176004739158,7705.817790510889,7746.399155396693,7781.022221455371,7807.255625847369,7823.000173872058
Y92,2044.1221697182957,2217.6062573123927,2294.69983393324,2328.958996480184,2344.1832248771907,2350.948630481214
Y93,8065.625647709082,8230.50520040571,8393.258864857626,8398.255821169252,8247.16101209701,8097.300029772041
Y94,6750.417299292239,6758.764916720695,6762.7944282658955,6761.585261022797,6752.495978604945,6752.636716199629
Y95,6393.835726301363,6285.43016753954,6196.833192931465,6145.142605412847,6105.581227881793,6035.9288047498585
Y96,7387.713365320291,7607.9720368899325,7662.403588343902,7507.816891564311,7295.13321768395,7222.3433394603935
Y97,6414.048174495853,6408.782983057948,6406.867082858677,6387.410592841355,6361.817349374839,6342.1308860547215
Y98,8703.412022735345,8686.210574615721,8664.69186725302,8647.018410839552,8629.689551131729,8614.002615412592
Y99,8234.045659916246,8372.78279583314,8518.681655845881,8671.85789508913,8832.429036419617,9000.514500578107
Y100,8315.79306047273,8300.052763146028,8288.009499356034,8276.4372577722,8266.400514180807,8257.565506676832
Y101,1617.4894462300786,1640.334896683764,1659.7095326343353,1676.1406605290626,1690.0754753344436,1701.8932315410996
Y102,8291.33227039907,8712.14099682869,9247.83386940935,9362.718015560393,8941.909289130774,8406.216416550113
Y103,3739.924881797894,3858.75416307305,3956.717478816119,4018.9850964962225,4047.704543333347,4065.3444135425707
Y104,1746.0318815168268,1723.5231250611314,1706.2918643012504,1693.1007158715518,1683.0024184039937,1675.2718093302833
Y105,2164.3553487104314,2238.8594154740263,2299.4988438332407,2349.416372009893,2391.017368970596,2426.144526543254
Y106,1971.97715839985,1867.1829836893653,1814.011371515105,1774.5541080205687,1771.6660835662956,1786.153679612959
Y107,3132.5106873750865,3253.137267469759,3359.1699842717376,3379.219652497402,3323.7987243672965,3275.3610876368134
Y108,1188.9739702731358,1247.087578354111,1340.8428481971778,1360.23749145141,1257.7924282474592,1098.8068900647877
Y109,2467.2052389470136,2420.620413103323,2381.2257866478362,2346.4523914358697,2314.649119450405,2284.7547828797124
Y110,2029.284944071118,2032.6014067874012,2041.289043719878,2047.4135822058079,2053.460824355154,2058.764815319125
Y111,2417.106908159968,2286.621792784067,2180.8699495492165,2205.6032216902677,2336.088337066169,2441.8401803010192
Y112,1350.7886094938756,1332.482872843893,1314.1771361939104,1295.871399543928,1277.5656628939455,1259.259926243963
Y113,1740.4534428488646,1815.9205201008353,1897.1785300872023,1902.9694628215989,1827.5023855696281,1746.2443755832612
Y114,2097.0380331958654,2082.638353859467,2068.2386745230683,2053.8389951866693,2039.4393158502708,2025.0396365138722
Y115,1660.1124573307202,1698.7145616692378,1744.189624375124,1797.315979036354,1858.9693956567498,1930.134706069883
Y116,2151.3273837801935,2135.6962980317217,2123.4067401326383,2113.7443765716366,2106.1475801407464,2100.1747852186722
Y117,2161.165803699229,2237.85393033783,2232.938682897454,2151.335308818475,2074.647182179874,2079.5624296202504
Y118,2049.8490907541395,2045.6719764903419,2041.4948622265442,2037.3177479627464,2033.1406336989487,2028.9635194351508
Y119,2506.604443862956,2520.0967372992463,2530.7395962536993,2539.134792167518,2545.757008503656,2550.98068042898
Y120,1765.2025246842823,1779.9438938369708,1794.6852629896593,1809.426632142348,1824.1680012950364,1838.909370447725
Y121,3454.4720888600805,3522.2988151403624,3619.703116318895,3632.4172519078893,3662.809019495182,3645.7201085940087
Y122,2177.679651787192,2200.5001911989807,2263.9683881966876,2323.824818648741,2359.6829169067346,2399.0083207293123
Y123,2166.521377663016,2104.6144416866437,2091.024017015533,2086.5794131168086,2075.512951579133,2062.936682018591
Y124,2055.4006884545975,1906.535572904914,2087.767752358804,2409.9170908124825,2549.6777538268443,2367.1207982823307
Y125,7853.993437485697,7766.9974947209785,7593.766612917509,7167.057431226176,6381.2019425985145,5174.0883294338455
Y126,4564.630919035915,4733.9229588568005,4771.017847719817,4604.902046849075,4367.772707202441,4262.840518513677
Y127,7090.179984380155,7475.662040602445,8015.864128092542,8209.857269750151,7902.921434307456,7441.265567596955
