V1,V2,V3,V4,V5,V6,V7
Y1,7342.79426421866,7431.279722042028,7519.834463060993,7608.32905201196,7696.762693937125,7785.137011117491
Y2,1554.1317806250847,1496.2755295306747,1435.430889400781,1380.5975236378697,1334.7751146115213,1291.9633620990835
Y3,8551.323045239282,8722.571535448182,8893.8205165544,9065.069494428373,9236.318472323628,9407.567450218743
Y4,9885.0,10100.0,10315.0,10530.0,10745.0,10960.0
Y5,6967.364044909161,7094.787921801709,7222.26984437891,7349.808129917999,7477.401190516858,7605.047525298503
Y6,4111.893777002903,4197.931842405472,4285.3629334361585,4374.576946749336,4464.273862432768,4553.287068530006
Y7,3732.1760603627918,3779.8350942964494,3827.5981460473745,3877.7928039999942,3930.2533119485424,3982.719496012843
Y8,2352.182330168276,2352.204307723583,2352.22526268928,2352.2452860092876,2352.2644570101575,2352.2828452992235
Y9,2303.7056776260915,2316.529629204834,2329.3861342732416,2342.2783866231753,2355.206405064687,2368.1701897085595
Y10,2340.5295,2350.2755,2359.8340000000003,2369.5175000000004,2379.5135000000005,2389.6970000000006
Y11,1488.0132926254123,1495.1257626531865,1502.1652949567845,1509.2072573565465,1516.249138791795,1523.2910229245715
Y12,1998.1027272294864,2028.3138143622607,2058.7668708864067,2089.480589889677,2120.4552409723897,2151.6908280228445
Y13,4783.25,4908.75,5042.5,5180.75,5315.25,5441.5
Y14,5207.437890624999,5358.739062499999,5514.153515624998,5668.806249999998,5818.572265624997,5964.201562499997
Y15,5518.1,5675.200000000001,5832.800000000001,5990.4000000000015,6147.500000000002,6304.100000000002
Y16,2618.725,2677.6749999999997,2742.9999999999995,2812.0749999999994,2878.524999999999,2938.599999999999
Y17,3911.425,4011.2000000000003,4114.725,4219.75,4322.525,4421.549999999999
Y18,3245.1375,3319.3499999999995,3394.187499999999,3469.2749999999987,3543.9874999999984,3618.074999999998
Y19,3062.407586517042,3116.4045794775666,3170.0973894842496,3223.6819426988504,3277.469465371656,3331.5828634391187
Y20,6594.08,6735.031,6870.867,7003.457,7137.916,7277.49
Y21,9626.525,9915.775,10199.4,10480.775,10765.525,11055.9
Y22,4562.925,4657.255,4750.46,4843.415,4937.245,5032.2
Y23,9979.050000000001,9971.000000000002,9958.450000000003,9948.900000000003,9946.850000000004,9949.300000000005
Y24,9222.620049185709,9274.950699044612,9326.152629149658,9381.103893809479,9440.932368917704,9501.888719422053
Y25,2421.9437205455997,2447.2812123639087,2472.024263102381,2496.829393031434,2522.290816906824,2548.3464553777544
Y26,7629.671888361996,7742.841817550279,7855.45435038365,7967.947724342996,8080.884503313189,8194.389866681331
Y27,1827.6325909401517,1858.2196468265745,1888.2134265970192,1918.2768185477044,1949.005896841055,1980.3402436021345
Y28,1776.3202535323974,1796.6379985099106,1816.3913500474157,1836.0187234277112,1856.0833784737135,1876.7112913779467
