V1,V2,V3,V4,V5,V6,V7
Y1,7358.569223707088,7425.245584494212,7476.590546670346,7466.521691456088,7454.901539015987,7424.806993053359
Y2,1486.2088651797835,1409.427052863276,1141.873492529987,1114.321083198434,1256.2428619842276,1679.1720389672637
Y3,8540.907445356384,8728.97743819255,8937.049547925364,9137.5820967107,9310.194633118874,9462.049177722169
Y4,9902.940316917266,10140.45209147459,10382.64443102776,10629.628892320645,10881.519537486913,11138.368154635411
Y5,7219.614475113346,7599.228950226692,7978.843425340038,8358.457900453384,8738.072375566731,9117.686850680078
Y6,4453.260556393202,4786.612323089669,5067.370582566395,5346.478033433263,5653.700117658794,5983.64531746989
Y7,4327.501293035704,4457.872755173846,4586.652350609947,4717.143699008775,5650.1905834316,7421.105887315978
Y8,2400.9862174069453,2404.2486687440146,2407.358913382295,2410.3305555903876,2413.175447273756,2415.9039780007547
Y9,2390.6199489587366,2526.1621222704252,2666.1523235724644,2801.336697974388,2936.8317193357793,3076.4166683331814
Y10,2282.5644723145742,2223.9260601922724,2211.3207622113773,2275.3503837219805,2369.981810582675,2418.5801233019633
Y11,1485.243787943803,1458.3654079660985,1452.288175472368,1484.724081955416,1541.064347454936,1600.5875151746586
Y12,2051.109095026858,2159.0501883663296,2240.4901653248617,2326.9282647972173,2431.703106710213,2513.190812437527
Y13,4594.627734278928,4642.856809392826,4688.841842781189,4732.782408107611,4774.85258506981,4815.205124839495
Y14,5063.897545712507,5084.4466399094545,5104.039609099006,5122.761486178909,5140.686441763,5157.879558961599
Y15,5190.092516369884,5153.184503219973,5363.928788985005,5513.028587154818,5744.462664545336,5721.555534599937
Y16,2230.7388760088147,2192.967786125203,2298.580173772827,2441.9636513040637,2479.734741187677,2374.122353540052
Y17,3732.0606079013933,3674.988877797021,3698.014690890595,3810.2657888218537,3930.203528389928,3967.28561836794
Y18,3251.3014843276865,3274.9076798849014,3297.4155071303367,3318.9226493581427,3339.514311589917,3359.2652593902612
Y19,3944.889210124442,4963.276990864194,5718.372151473823,6616.286580739532,8155.184124606807,10051.767168496466
Y20,6689.755309383421,6876.237715594331,6969.7562432594805,6973.755373533702,6919.188702846753,7158.174698743704
Y21,9413.547598064786,11962.1397329695,10848.449016660808,18337.156618494224,17824.056829093417,24608.164589356988
Y22,4753.203971171774,4847.1697094609,4799.610655053608,4802.045040832547,4995.9976594941345,5331.47507085214
Y23,8429.534873641664,7898.205145279349,7544.819214494083,7694.367029881139,8170.734779063036,8613.84912238919
Y24,8162.3867035495405,7029.935717604587,7024.834071255675,6931.005261618425,7179.675540161079,7539.2523073334705
Y25,2586.3750144983355,2724.281958007681,2806.3505862389334,2892.719824436693,3046.528842134665,3270.777883621952
Y26,10132.13099453776,13038.829343030571,16097.979186129753,19429.065566462203,23308.240461185742,27911.25677183491
Y27,2186.3690198403847,2001.5590021280918,2157.1512589141057,2216.352294274137,2424.9212610806026,4861.237308780404
Y28,2284.4519781890467,2924.7530178900943,3681.6353127866887,4610.197959036149,5792.5281720790845,7292.427860689293
Y29,4696.844255112672,5220.089450743124,5853.422666918063,6525.531111755852,7239.616107242401,8016.399082683111
Y30,4673.495623388054,4881.54264671135,5063.15428334526,5226.56824810756,5377.454776443188,5519.71699029985
Y31,3748.1544014084902,3680.238953094325,3630.4419747794964,3667.1056929890674,3772.1116377237045,3858.9991124590047
Y32,5767.408877815227,6175.5380577872575,6632.209795310263,7156.922684862584,7776.738316255482,8529.214762914524
Y33,1281.7245459420833,1298.88922209518,1317.0080216191934,1342.2315428641296,1374.1040075081576,1405.9976689297102
Y34,1768.4872015374692,1836.4970653338664,1894.6077552725258,1955.717638547202,2029.2088125582202,2113.852393947775
Y35,3527.503159388675,3651.8549829849553,3768.2815979890847,3884.2891421089184,4002.282722672894,4123.124314429987
Y36,1256.154859837572,1376.157716014116,1524.045565602993,1709.989027560426,1947.7085518613605,2250.399477055184
Y37,4217.369433035797,4495.241052057068,4808.133387808001,5165.279354143896,5578.103778111912,6060.743764758533
